suite_id,suite_name,year,stage,current_trigger_count,required_minimum,need_to_add,status,current_examples
S027,2025西城二模,2025,2025各区二模,10,3,0,PASS_3PLUS,2025西城二模 第16题（1） / 主观能动性 / 意识的能动作用；2025西城二模 第5题 / 主观能动性 / 意识的能动作用；2025西城二模 第2题 / 发展的观点 / 发展的普遍性；2025西城二模 第16题（1） / 矛盾的特殊性 / 具体问题具体分析；2025西城二模 第4题 / 认识对实践的反作用；2025西城二模 第16题（1） / 价值观的导向作用；2025西城二模 第5题 / 实现人生价值；2025西城二模 第1题 / 文化的功能 / 文化与经济政治；2025西城二模 第1题 / 文化的功能 / 文化与经济政治；2025西城二模 第5题 / 文化的功能 / 文化与经济政治
S028,2025东城二模,2025,2025各区二模,10,3,0,PASS_3PLUS,2025东城高三二模 第16题 / 物质决定意识；2025东城二模 第16题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2025东城二模 第4题 / 联系的普遍性 / 联系的观点（总）；2025东城二模 第2题 / 事物发展是前进性与曲折性的统一；2025东城二模 第16题 / 矛盾就是对立统一；2025东城二模 第16题 / 实践是认识的基础；2025东城二模 第3题 / 实践是认识的基础；2025东城二模 第16题 / 人民群众；2025东城二模 第2题 / 实现人生价值；2025东城二模 第3题 / 文化的功能 / 文化与经济政治
S029,2025朝阳二模,2025,2025各区二模,9,3,0,PASS_3PLUS,2025朝阳二模 第3题 / 联系的多样性；2025朝阳二模 第16题 / 矛盾就是对立统一；2025朝阳二模 第2题 / 矛盾的普遍性；2025朝阳二模 第2题 / 矛盾的普遍性；2025朝阳二模 第2题 / 矛盾的普遍性和特殊性；2025朝阳二模 第16题 / 实践与认识（总）；2025朝阳二模 第3题 / 文化的功能 / 文化与经济政治；2025朝阳二模 第3题 / 文化的功能 / 文化与经济政治；2025朝阳二模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S030,2025丰台二模,2025,2025各区二模,4,3,0,PASS_3PLUS,2025丰台二模 第21题 / 尊重客观规律与发挥主观能动性相结合；2025丰台二模 第16题（1） / 实践是认识的基础；2025丰台二模 第21题 / 文化的功能 / 文化与经济政治；2025丰台二模 第16题（1） / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S031,2025昌平二模,2025,2025各区二模,10,3,0,PASS_3PLUS,2025昌平二模 第3题 / 主观能动性 / 意识的能动作用；2025昌平二模 第16题 / 联系的普遍性 / 联系的观点（总）；2025昌平二模 第2题 / 实践与认识（总）；2025昌平二模 第16题 / 价值观的导向作用；2025昌平二模 第3题 / 文化的功能 / 文化与经济政治；2025昌平二模 第3题 / 文化的功能 / 文化与经济政治；2025昌平二模 第4题 / 文化的功能 / 文化与经济政治；2025昌平二模 第4题 / 文化的功能 / 文化与经济政治；2025昌平二模 第4题 / 文化的功能 / 文化与经济政治；2025昌平二模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S032,2025海淀期中,2025,2025各区期末,3,3,0,PASS_3PLUS,2025海淀期中 第9题 / 人民群众；2025海淀期中 第12题 / 价值观的导向作用；2025海淀期中 第7题 / 中华民族精神 / 文化自信
S033,2025海淀期末,2025,2025各区期末,7,3,0,PASS_3PLUS,2025海淀期末 第17题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2025海淀期末 第16题 / 主观能动性 / 意识的能动作用；2025海淀期末 第16题 / 联系的普遍性 / 联系的观点（总）；2025海淀期末 第16题 / 发展的观点 / 发展的普遍性；2025海淀期末 第17题 / 发展的观点 / 发展的普遍性；2025海淀期末 第17题 / 发展的观点 / 发展的普遍性；2025海淀期末 第2题 / 辩证否定 / 守正创新
S034,2025西城期末,2025,2025各区期末,5,3,0,PASS_3PLUS,2025西城期末 第16题 / 发展的观点 / 发展的普遍性；2025西城期末 第18题 / 发展的观点 / 发展的普遍性；2025西城期末 第18题 / 发展的观点 / 发展的普遍性；2025西城期末 第18题 / 发展的观点 / 发展的普遍性；2025西城期末 第16题 / 文化的功能 / 文化与经济政治
S035,2025东城期末,2025,2025各区期末,3,3,0,PASS_3PLUS,2025东城期末 第16题 / 主观能动性 / 意识的能动作用；2025东城期末 第16题 / 中华民族精神 / 文化自信；2025东城期末 第16题 / 中华民族精神 / 文化自信
S036,2025朝阳期末,2025,2025各区期末,5,3,0,PASS_3PLUS,2025朝阳期末 第7题 / 辩证否定 / 守正创新；2025朝阳期末 第16题 / 矛盾就是对立统一；2025朝阳期末 第7题 / 文化的功能 / 文化与经济政治；2025朝阳期末 第16题 / 中华民族精神 / 文化自信；2025朝阳期末 第16题 / 中华民族精神 / 文化自信
S037,2025丰台期末,2025,2025各区期末,3,3,0,PASS_3PLUS,2025丰台期末 第7题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2025丰台期末 第7题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2025丰台期末 第10题 / 文化的功能 / 文化与经济政治
S038,2026海淀一模,2026,2026各区一模,12,3,0,PASS_3PLUS,2026海淀一模 第16题 / 物质决定意识；2026海淀一模 第8题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2026海淀一模 第16题 / 主观能动性 / 意识的能动作用；2026海淀一模 第4题 / 联系的普遍性 / 联系的观点（总）；2026海淀一模 第5题 / 联系的普遍性 / 联系的观点（总）；2026海淀一模 第16题 / 发展的观点 / 发展的普遍性；2026海淀一模 第16题 / 社会存在与社会意识；2026海淀一模 第16题 / 价值观的导向作用；2026海淀一模 第16题 / 文化的功能 / 文化与经济政治；2026海淀一模 第1题 / 文化的功能 / 文化与经济政治
S039,2026西城一模,2026,2026各区一模,7,3,0,PASS_3PLUS,2026西城一模 第16题 / 联系的普遍性 / 联系的观点（总）；2026西城一模 第6题 / 联系的普遍性 / 联系的观点（总）；2026西城一模 第7题 / 发展的观点 / 发展的普遍性；2026西城一模 第5题 / 人民群众；2026西城一模 第1题 / 实现人生价值；2026西城一模 第21题 / 文化的功能 / 文化与经济政治；2026西城一模 第21题 / 文化的功能 / 文化与经济政治
S040,2026东城一模,2026,2026各区一模,13,3,0,PASS_3PLUS,2026东城一模 第1题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2026东城一模 第16题 / 发展的观点 / 发展的普遍性；2026东城一模 第20题 / 发展的观点 / 发展的普遍性；2026东城一模 第20题 / 发展的观点 / 发展的普遍性；2026东城一模 第16题 / 两点论与重点论；2026东城一模 第20题 / 实践是认识的基础；2026东城一模 第20题 / 认识对实践的反作用；2026东城一模 第5题 / 真理观；2026东城一模 第16题 / 人民群众；2026东城一模 第16题 / 价值判断与价值选择
S041,2026朝阳一模,2026,2026各区一模,9,3,0,PASS_3PLUS,2026朝阳一模 第16题 / 尊重客观规律与发挥主观能动性相结合；2026朝阳一模 第16题 / 尊重客观规律与发挥主观能动性相结合；2026朝阳一模 第16题 / 规律的客观性；2026朝阳一模 第4题 / 联系的客观性；2026朝阳一模 第16题 / 系统观念 / 系统优化；2026朝阳一模 第5题 / 系统观念 / 系统优化；2026朝阳一模 第7题 / 系统观念 / 系统优化；2026朝阳一模 第5题 / 辩证否定 / 守正创新；2026朝阳一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S042,2026丰台一模,2026,2026各区一模,7,3,0,PASS_3PLUS,2026丰台一模 第16题 / 系统观念 / 系统优化；2026丰台一模 第16题 / 发展的观点 / 发展的普遍性；2026丰台一模 第16题 / 辩证否定 / 守正创新；2026丰台一模 第16题 / 矛盾就是对立统一；2026丰台一模 第16题 / 矛盾的普遍性；2026丰台一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2026丰台一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S043,2026延庆一模,2026,2026各区一模,5,3,0,PASS_3PLUS,2026延庆一模 第16题 / 文化的功能 / 文化与经济政治；2026延庆一模 第18题第2问 / 文化的功能 / 文化与经济政治；2026延庆一模 第5题 / 文化的功能 / 文化与经济政治；2026延庆一模 第5题 / 文化的功能 / 文化与经济政治；2026延庆一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S044,2026房山一模,2026,2026各区一模,8,3,0,PASS_3PLUS,2026房山一模 第16(2)题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2026房山一模 第16(2)题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2026房山一模 第16(2)题 / 尊重客观规律与发挥主观能动性相结合；2026房山一模 第16(2)题 / 联系的普遍性 / 联系的观点（总）；2026房山一模 第18(1)题 / 系统观念 / 系统优化；2026房山一模 第18(1)题 / 系统观念 / 系统优化；2026房山一模 第18(1)题 / 量变与质变 / 适度原则；2026房山一模 第18(1)题 / 矛盾的特殊性 / 具体问题具体分析
S045,2026石景山一模,2026,2026各区一模,6,3,0,PASS_3PLUS,2026石景山一模 第17题第1问 / 系统观念 / 系统优化；2026石景山一模 第17(1)题 / 系统观念 / 系统优化；2026石景山一模 第2题 / 发展的观点 / 发展的普遍性；2026石景山一模 第2题 / 发展的观点 / 发展的普遍性；2026石景山一模 第17题第2问 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2026石景山一模 第4题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S046,2026门头沟一模,2026,2026各区一模,6,3,0,PASS_3PLUS,2026门头沟一模 第4题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2026门头沟一模 第7题 / 系统观念 / 系统优化；2026门头沟一模 第16题 / 辩证否定 / 守正创新；2026门头沟一模 第5题 / 辩证否定 / 守正创新；2026门头沟一模 第16题 / 文化的功能 / 文化与经济政治；2026门头沟一模 第5题 / 文化的功能 / 文化与经济政治
S047,2026顺义一模,2026,2026各区一模,7,3,0,PASS_3PLUS,2026顺义一模 第16题 / 系统观念 / 系统优化；2026顺义一模 第3题 / 量变与质变 / 适度原则；2026顺义一模 第3题 / 量变与质变 / 适度原则；2026顺义一模 第21题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2026顺义一模 第21题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2026顺义一模 第5题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2026顺义一模 第5题 / 中华民族精神 / 文化自信
S048,2026海淀期中,2026,2026各区期末和期中,3,3,0,PASS_3PLUS,2026海淀期中 第9题 / 人民群众；2026海淀期中 第5题 / 文化的功能 / 文化与经济政治；2026海淀期中 第7题 / 中华民族精神 / 文化自信
S049,2026海淀期末,2026,2026各区期末和期中,3,3,0,PASS_3PLUS,2026海淀期末 第16题 / 主观能动性 / 意识的能动作用；2026海淀期末 第17题 / 联系的普遍性 / 联系的观点（总）；2026海淀期末 第16题 / 价值观的导向作用
S050,2026西城期末,2026,2026各区期末和期中,3,3,0,PASS_3PLUS,2026西城期末 第21题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2026西城期末 第16题（2） / 文化的功能 / 文化与经济政治；2026西城期末 第16题（1） / 中华民族精神 / 文化自信
S051,2026东城期末,2026,2026各区期末和期中,4,3,0,PASS_3PLUS,2026东城期末 第21题 / 系统观念 / 系统优化；2026东城期末 第21题 / 系统观念 / 系统优化；2026东城期末 第16题 / 矛盾就是对立统一；2026东城期末 第16题 / 矛盾就是对立统一
S052,2026朝阳期中,2026,2026各区期末和期中,6,3,0,PASS_3PLUS,2026朝阳期中 第20题 / 整体与部分；2026朝阳期中 第18题 / 矛盾的普遍性；2026朝阳期中 第19题 / 文化的功能 / 文化与经济政治；2026朝阳期中 第19题 / 文化的功能 / 文化与经济政治；2026朝阳期中 第21(1)题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2026朝阳期中 第21题（1） / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S053,2026朝阳期末,2026,2026各区期末和期中,3,3,0,PASS_3PLUS,2026朝阳期末 第16题 / 发展的观点 / 发展的普遍性；2026朝阳期末 第16题 / 辩证否定 / 守正创新；2026朝阳期末 第16题 / 辩证否定 / 守正创新
S054,2026丰台期末,2026,2026各区期末和期中,3,3,0,PASS_3PLUS,2026丰台期末 第16题 / 整体与部分；2026丰台期末 第16题 / 整体与部分；2026丰台期末 第16题 / 矛盾就是对立统一
S055,2026石景山期末,2026,2026各区期末和期中,3,3,0,PASS_3PLUS,2026石景山期末 第18题（1） / 联系的普遍性 / 联系的观点（总）；2026石景山期末 第18题（1） / 发展的观点 / 发展的普遍性；2026石景山期末 第18题（1） / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S056,2026通州期末,2026,2026各区期末和期中,3,3,0,PASS_3PLUS,2026通州期末 第16题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2026通州期末 第21题 / 系统观念 / 系统优化；2026通州期末 第16题 / 辩证否定 / 守正创新
