year,district,exam_stage,suite_status,question_ids_in_suite_exhaustive_core,source_file_ids,paper_file_ids,rubric_or_answer_file_ids,core_question_count,boundary_or_blocked_case_ids,notes
2025,东城,二模,has_suite_exhaustive_core_rows,CC0084_2025_东城_二模_19,F0100;F0101;F0316;F0317,F0101;F0316,F0100;F0317,1,,核心法律主观题已入库。
2025,东城,期末,has_suite_exhaustive_core_rows,CC0092_2025_东城_期末_19_1,F0127;F0128;F0129;F0130;F0338;F0339;F0340,F0130;F0339;F0340,F0128;F0129,1,,核心法律主观题已入库。
2025,丰台,一模,has_suite_exhaustive_core_rows,CC0103_2025_丰台_一模_19,F0075;F0076;F0293;F0294,F0076;F0293,F0075;F0294,1,,核心法律主观题已入库。
2025,丰台,二模,has_suite_exhaustive_core_rows,RECOVER_2025_丰台_二模_19_2,F0102;F0103;F0104;F0105;F0106;F0107;F0108;F0109;F0110;F0111;F0112;F0113;F0114;F0318;F0319;F0320;F0321;F0322;F0323;F0324;F0325;F0326,F0114;F0326,F0103;F0104;F0105;F0106;F0107;F0108;F0109;F0110;F0111;F0112;F0113;F0318;F0319;F0320;F0321;F0322;F0323;F0324;F0325,1,,本轮套卷穷尽补入核心法律主观题。
2025,丰台,期末,has_suite_exhaustive_core_rows,CC0119_2025_丰台_期末_19,F0131;F0132;F0341;F0342,F0132;F0341,F0131;F0342,1,,核心法律主观题已入库。
2025,延庆,一模,has_suite_exhaustive_core_rows,CC0125_2025_延庆_一模_19,F0077;F0078;F0295;F0296,F0078;F0295,F0077;F0296,1,,核心法律主观题已入库。
2025,房山,一模,has_suite_exhaustive_core_rows,CC0131_2025_房山_一模_19,F0079;F0080;F0081;F0297;F0298,F0081;F0297,F0080;F0298,1,,核心法律主观题已入库。
2025,昌平,二模,has_suite_exhaustive_core_rows,CC0137_2025_昌平_二模_20,F0115;F0116;F0327;F0328,F0116;F0327,F0115;F0328,1,,核心法律主观题已入库。
2025,朝阳,一模,has_suite_exhaustive_core_rows,CC0143_2025_朝阳_一模_19,F0082;F0083;F0084;F0085;F0086;F0087;F0299;F0300;F0301;F0302;F0303;F0304,F0087;F0302,F0083;F0084;F0085;F0086;F0299;F0300;F0301;F0303,1,,核心法律主观题已入库。
2025,朝阳,二模,has_suite_exhaustive_core_rows,CC0150_2025_朝阳_二模_20,F0117;F0118;F0119;F0329;F0330;F0331,F0118;F0119;F0329;F0330;F0331,F0117,1,,核心法律主观题已入库。
2025,朝阳,期末,has_suite_exhaustive_core_rows,CC0157_2025_朝阳_期末_20,F0133;F0134;F0135;F0343;F0344;F0345,F0133;F0135;F0343;F0345,F0134;F0344,1,,核心法律主观题已入库。
2025,海淀,一模,has_suite_exhaustive_core_rows,CC0162_2025_海淀_一模_18,F0088;F0089;F0090;F0305;F0306;F0307,F0089;F0090;F0305;F0306,F0088;F0307,1,,核心法律主观题已入库。
2025,海淀,二模,has_suite_exhaustive_core_rows,RECOVER_2025_海淀_二模_18,F0120;F0121;F0122;F0123;F0332;F0333;F0334;F0335,F0123;F0332,F0121;F0122;F0334;F0335,1,,核心法律主观题已入库。
2025,海淀,期中,midterm_mixed_law_reference_not_core,,F0136;F0137;F0346;F0347,F0137;F0346,F0136;F0347,0,UNCERTAIN_2025_海淀_期中_21_1_MIXED,Q21(1)有婚姻法/民法典夫妻共同债务材料，但设问为法治知识/良法，参考答案为主，未入核心。
2025,海淀,期末,has_suite_exhaustive_core_rows,CC0180_2025_海淀_期末_20;CC0181_2025_海淀_期末_21,F0138;F0139;F0348;F0349,F0139;F0348;F0349,F0138,2,,核心法律主观题已入库。
2025,石景山,一模,has_suite_exhaustive_core_rows,CC0189_2025_石景山_一模_20,F0091;F0092;F0308;F0309,F0092;F0308,F0091;F0309,1,,核心法律主观题已入库。
2025,西城,一模,has_suite_exhaustive_core_rows,CC0195_2025_西城_一模_20,F0093;F0094;F0310;F0311,F0094;F0310,F0093;F0311,1,,核心法律主观题已入库。
2025,西城,二模,has_suite_exhaustive_core_rows,CC0200_2025_西城_二模_18,F0124;F0125;F0336;F0337,F0125;F0336,F0124;F0337,1,,核心法律主观题已入库。
2025,西城,期末,has_suite_exhaustive_core_rows,CC0206_2025_西城_期末_19,F0140;F0141;F0350;F0351,F0141;F0350,F0140;F0351,1,,核心法律主观题已入库。
2025,门头沟,一模,has_suite_exhaustive_core_rows,CC0213_2025_门头沟_一模_20;CC0214_2025_门头沟_一模_20_2,F0095;F0096;F0312;F0313,F0096;F0312,F0095;F0313,2,,核心法律主观题已入库。
2025,顺义,一模,has_suite_exhaustive_core_rows,CC0223_2025_顺义_一模_19,F0097;F0098;F0314;F0315,F0098;F0314,F0097;F0315,1,,核心法律主观题已入库。
2026,东城,一模,has_suite_exhaustive_core_rows,CC0229_2026_东城_一模_18,F0144;F0145;F0146;F0147;F0148;F0149;F0150;F0151;F0152;F0153;F0154;F0155;F0354;F0355;F0356;F0357;F0358;F0359;F0360;F0361;F0362;F0363;F0364;F0365,F0154;F0155;F0354;F0355,F0144;F0145;F0146;F0147;F0148;F0149;F0150;F0151;F0152;F0153;F0356;F0357;F0358;F0359;F0360;F0361;F0362;F0363;F0364;F0365,1,,核心法律主观题已入库。
2026,东城,二模,has_suite_exhaustive_core_rows,CC0238_2026_东城_二模_19,F0179;F0180;F0181;F0182;F0183;F0184;F0185;F0186,F0186,F0179;F0180;F0181;F0182;F0183;F0184;F0185,1,,核心法律主观题已入库。
2026,东城,期中,has_suite_exhaustive_core_rows,CC0244_2026_东城_期中_18;CC0245_2026_东城_期中_18_2,F0205;F0206;F0385;F0386,F0206;F0385;F0386,F0205,2,,核心法律主观题已入库。
2026,丰台,一模,has_suite_exhaustive_core_rows,CC0251_2026_丰台_一模_20,F0156;F0157;F0366;F0367,F0157;F0366;F0367,F0156,1,,核心法律主观题已入库。
2026,丰台,二模,has_suite_exhaustive_core_rows,CC0254_2026_丰台_二模_18,F0187;F0188,F0188,F0187,1,,核心法律主观题已入库。
2026,丰台,期中,stage_mapping_conflict_mixed_review,,F0207;F0208;F0387;F0388,F0208;F0387,F0207;F0388,0,,manifest将2026丰台期末归为期中；Q18为政治与法治+法律与生活混合，未入核心。
2026,延庆,一模,has_suite_exhaustive_core_rows,RECOVER_2026_延庆_一模_18_1,F0158;F0159;F0368;F0369,F0159;F0368,F0158;F0369,1,,本轮套卷穷尽补入核心法律主观题。
2026,房山,一模,has_suite_exhaustive_core_rows,RECOVER_2026_房山_一模_17_1,F0160;F0161;F0370;F0371,F0161;F0370,F0160;F0371,1,UNCERTAIN_2026_房山_一模_17_2_MIXED,本轮套卷穷尽补入核心法律主观题。
2026,房山,二模,has_suite_exhaustive_core_rows,CC0276_2026_房山_二模_17;CC0277_2026_房山_二模_18,F0189;F0190;F0191,F0191,F0189;F0190,2,,核心法律主观题已入库。
2026,朝阳,一模,has_suite_exhaustive_core_rows,CC0283_2026_朝阳_一模_18,F0162;F0163;F0372;F0373,F0163;F0372,F0162;F0373,1,,核心法律主观题已入库。
2026,朝阳,二模,has_suite_exhaustive_core_rows,CC0289_2026_朝阳_二模_18,F0192;F0193;F0194,F0194,F0193,1,,核心法律主观题已入库。
2026,朝阳,期中,no_law_subjective_confirmed,,F0209;F0210;F0211;F0212;F0213;F0389;F0390;F0391;F0392;F0393,F0211;F0213;F0391;F0392,F0209;F0210;F0212;F0389;F0390;F0393,0,,主观题为当代国际、哲学、文化、辩证思维，未见法律主观题。
2026,海淀,一模,has_suite_exhaustive_core_rows,CC0305_2026_海淀_一模_18_3,F0164;F0165;F0166;F0374;F0375,F0166;F0374,F0165;F0375,1,,核心法律主观题已入库。
2026,海淀,二模,has_suite_exhaustive_core_rows,CC0311_2026_海淀_二模_18,F0195;F0196;F0197,F0197,,1,,核心法律主观题已入库。
2026,海淀,期中,has_suite_exhaustive_core_rows,CC0317_2026_海淀_期中_18;CC0318_2026_海淀_期中_18_2;CC0319_2026_海淀_期中_19,F0214;F0215;F0216;F0217;F0394;F0395;F0396;F0397,F0215;F0217;F0394;F0397,F0216;F0396,3,,核心法律主观题已入库。
2026,石景山,一模,has_suite_exhaustive_core_rows,CC0325_2026_石景山_一模_18,F0167;F0168;F0376;F0377,F0168;F0376,F0167;F0377,1,,核心法律主观题已入库。
2026,石景山,二模,has_suite_exhaustive_core_rows,CC0332_2026_石景山_二模_19,F0198;F0199,F0199,F0198,1,,核心法律主观题已入库。
2026,石景山,期中,stage_mapping_conflict,,F0398,F0398,,0,STAGE_CONFLICT_2026_石景山_期中,该项来自2026石景山期末文件映射，不是独立期中套卷。
2026,石景山,期末,special_user_excluded_or_source_blocked,,F0225;F0226,,F0226,0,BLOCKED_2026_石景山_期末_17_SOURCE_EXCLUDED,仅见答案及评分参考且路径在已放弃；按选必二小本本暂不纳入核心。
2026,西城,一模,has_suite_exhaustive_core_rows,CC0340_2026_西城_一模_17,F0169;F0170;F0171;F0378;F0379;F0380,F0170;F0171;F0378;F0380,F0169;F0379,1,,核心法律主观题已入库。
2026,西城,二模,has_suite_exhaustive_core_rows,RECOVER_2026_西城_二模_18_1;RECOVER_2026_西城_二模_18_2;RECOVER_2026_西城_二模_18_3,F0200;F0201,F0201,F0200,3,,本轮套卷穷尽补入核心法律主观题。
2026,西城,期中,has_suite_exhaustive_core_rows,CC0353_2026_西城_期中_17,F0218;F0219;F0220;F0221;F0399;F0400;F0401,F0399,F0219;F0220;F0221;F0400;F0401,1,,核心法律主观题已入库。
2026,通州,一模,has_suite_exhaustive_core_rows,RECOVER_2026_通州_一模_20,F0172;F0173,F0173,F0172,1,,核心法律主观题已入库。
2026,通州,期中,has_suite_exhaustive_core_rows,CC0364_2026_通州_期中_19_1,F0222;F0223;F0224;F0402;F0403,F0224;F0402,F0223,1,,核心法律主观题已入库。
2026,门头沟,一模,has_suite_exhaustive_core_rows,RECOVER_2026_门头沟_一模_18_1,F0174;F0175;F0381;F0382,F0175;F0381,F0174;F0382,1,,本轮套卷穷尽补入核心法律主观题。
2026,顺义,一模,has_suite_exhaustive_core_rows,CC0373_2026_顺义_一模_18,F0176;F0177;F0383;F0384,F0177;F0384,F0176;F0383,1,,核心法律主观题已入库。
2026,顺义,二模,has_suite_exhaustive_core_rows,CC0380_2026_顺义_二模_18_2,F0202;F0203,F0203,F0202,1,,核心法律主观题已入库。
