question_id,year,district,exam_stage,question_no,sub_question_no,flags,evidence_level,source_locator,must_fix_before_reasoner,sample_text
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,,missing_ask_text,formal,F0096:page 10 | F0096:page 7 | F0095:text lines 38-55; F0096:text Q20,yes,20. “以事实为根据，以法律为准绳”是我国司法活动的基本原则，核心是通过客观事实认真严格依 照法律规定作出裁判，确保司法公正性与权威性。请结合以下案例，参照所给出完成下表。 案件事实 裁判要点 案例一  A 享有“我不是胖虎”系列美 术作品的复制权、改编权、信息网络传播权 等著作财产性权利。B 公司、C 公司未经许 可，在其经营的微博账号中发布了与A 公司 “我不是胖虎”类似电脑壁纸“橘猫”。A 公司向法院起诉B 公司、C 公司，要求
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,2,missing_ask_text|full_equals_answer|full_equals_rubric|material_equals_answer|material_equals_rubric|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0095:text | F0313:text,yes,20（2）裁判理由共4分。 ①法律规定1分，写出签订劳动合同用遵循的原则，写出诚实信用原则即可得1分；/根据《劳动合同法》以欺诈手段订立的劳动合同无效或者部分无效。 ②违反诚实信用原则/违反劳动者基本的职业道德/侵犯了甲公司知情权（1分） ③甲公司在违背真实的意思的情况与其签订合同/写出不是甲公司真实的意愿/劳动合同无效即可得（1分） ④甲公司提出解除劳动关系符合法律规定/解除劳动关系并无不妥/解除劳动关系的行为无过错（1分）
CC0245_2026_东城_期末_18_2,2026,东城,期末,18,2,missing_ask_text|full_equals_answer|full_equals_rubric|material_equals_answer|material_equals_rubric|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0205:slide 56,yes,18（2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？ 维权途径2分 |  | 充分准备2分 调解或仲裁或诉讼 2分 （无解释不具体1分） | 调解（例如第三方人民调解、行政调解、诉讼调解）或仲裁（仲裁需要双方达成有效的仲裁协议）来高效解决争议；  若不愿调解或调解不成，可考虑诉讼。如果决定向人民法院提起诉讼。需准备起诉状、原被告身份信息、熟悉诉讼流程、注意诉讼三年时效等） | 依法收集证据及类型2分 （无解释不具体
CC0251_2026_丰台_一模_20,2026,丰台,一模,20,,full_equals_answer|full_equals_rubric,formal,F0156:slide 51,yes,20.（8 分）     人民法院以事实为根据、以法律为准绳，作出了上述判决。根据民法典规定，宾馆、商场等公共场所经营者、管理者因过错造成他人损害的，应当承担侵权责任。被告对原告的安全保障义务应保持在合理限度内，且相关证据表明事发现场不存在影响原告通行的客观因素。原告是完全民事行为能力人，摔倒是其自身未尽安全注意义务所致。因此，某餐饮公司和某商业管理公司对此并无过错，不应承担赔偿责任。     该判决有利于平衡原被告双方的权利与义务，倡
CC0254_2026_丰台_二模_18,2026,丰台,二模,18,,full_equals_answer|full_equals_rubric,formal,F0187:slide 29,yes,18.（8分）   该案的成功调解坚持了法治与德治相结合的原则。（1分）该案以法理定分止争，依据《民法典》，确定李某应承担无过错侵权责任，依法维护张某的合法权益。（3分）   同时，引入《生态环境法典》的核心原则和立法理念，将矛盾化解与生态修复同步推进，彰显法律的刚性；充分考虑双方当事人的实际情况，以“分期赔偿+生态修复”的方案促成当事人互谅互让，传递司法的温暖力量，有利于弘扬社会主义核心价值观。（3+1分） 第一层：案件本身（司法机关
CC0276_2026_房山_二模_17,2026,房山,二模,17,,missing_ask_text|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0189:text | F0190:text | F0191:page 10,yes,17.（8 分） 完善涉外法律法规体系，出台外商投资法及其实施条例，平等保护内外资企业合法权益；创新涉外司 法实践，公正司法，创造性适用“活扣押”等措施，提升司法公信力；打造“调解、仲裁、诉讼”衔 接的一站式线上多元纠纷解决平台，高效率实现公平正义；以和为贵，创新诉讼调解，构建多元主体 参与的涉外海事纠纷化解模式。中国以法治方式践行大国责任和担当，推动涉外法治建设。 细则 ♣2 分 完善涉外法律法规体系/加强涉外立法——合法权益/为……
CC0277_2026_房山_二模_18,2026,房山,二模,18,,missing_ask_text|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0189:text | F0190:text | F0191:page 10,yes,18.（1）（7 分）法律边界及应对措施 风险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁规定，同时可能侵犯 该公司的名誉权。应履行审核义务，依法经营 风险2：将公司的核心代码等上传公共AI 平台，可能造成商业秘密泄露。应完善保密措施，与平台签 订保密合同 风险3：数字员工设计的图案直接用作商业用途，可能会侵犯他人的著作权。应履行审核义务  细则：法律边界及应对措施 ♣4 分   风险：不正当竞争/商业诋毁1 分，
CC0289_2026_朝阳_二模_18,2026,朝阳,二模,18,,full_equals_answer|full_equals_rubric,formal,F0193:text | F0194:text,yes,18.（8分） 结合材料，运用《法律与生活》知识，将以上回答补充完整。从以上三个问答中任选其一，谈谈如何依法保护问答中所涉及到的权利。 【设问要素】结合材料，《法律与生活》，补充完整。任选其一，谈谈如何，保护权利，8分 【阅卷细则】 第一问：（3分=1+1+1）要求：法律术语准确，变通较少 生命权/身体权/健康权 任选其一——1分 举证责任倒置——1分 相邻的不动产/相邻/相邻关系——1分 第二问：（5分=2+2+1）结构：依据+做法+
CC0317_2026_海淀_期末_18,2026,海淀,期末,18,,missing_ask_text,formal,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2,yes,18.(12 分) (1) 该合同条款无效。该合同条款是住房租赁企业为了重复使用而预先拟定，并在订立合同时 未与对方协商的条款，属于格式条款。民法典规定，采用格式条款订立合同的，提供格式条款 的一方应当遵循公平原则确定当事人之间的权利和义务。该合同条款约定合同期满后，承租方 不得与产权人私下建立合同关系，限制了承租方自由订立合同的权利，应被认定为无效。(6 分) (2)上述规定为住房租赁市场设立了清晰、规范的行为指引，由相关政府部门提供
CC0318_2026_海淀_期末_18_2,2026,海淀,期末,18,2,missing_ask_text|full_equals_answer|full_equals_rubric|material_equals_answer|material_equals_rubric,formal,F0216:page 2 | F0396:page 2,yes,18（2）上述规定为住房租赁市场设⽴了清晰、规范的⾏为指引，由相关政府部⻔提供合同 示范⽂本，有利于规范合同内容，防⽌格式条款滥⽤，保护租赁双⽅合法权益，减少合同纠 纷；引导市场主体依法依规从事⺠事活动，弘扬诚信的社会主义价值观，规范住房租赁市场 秩序；明确政府法定职责，推动政府依法履⾏市场监管职能，推进严格执法，推动良法善治。  [page 3] 3
CC0319_2026_海淀_期末_19,2026,海淀,期末,19,,missing_ask_text,formal,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3,yes,19.(7 分) 根据反不正当竞争法规定，不正当竞争行为是指经营者在生产经营活动中，扰乱市场竞争秩序， 损害其他经营者或者消费者的合法权益的行为。郑某利用技术手段，为用户提供不正当抢票优 势，破坏平台的购票规则，干扰、妨碍平台售票业务的正常开展，损害了甲公司的信誉以及其 他合法权益，构成不正当竞争，应当承担侵权责任。同时郑某的行为仅为少数消费者用户提供 了便利，损害了消费者的合法权益和长远利益，有违经营者公认的商业道德，不符合社会主义 
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,,missing_ask_text|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text,yes,18．（8 分） 证据是打官司决胜负的关键砝码。根据我国法律关于举证责任分配的相关规定，在诉讼中，如果负有 举证责任的一方不能提供充分证据，将承担其主张不能成立的法律后果。 案件一 被告人朱某、宁某未经著作权人、注册商标权利人同意，生产、销售假冒泡泡玛特公司“温度”系列、 “夜之城”系列玩具产品，经营额达100 余万元。侦查终结后，公安机关将案件移送人民检察院。人民检 察院经审查，以侵犯著作权罪、销售侵权复制品罪提起公诉，要求追究两被告
CC0353_2026_西城_期末_17,2026,西城,期末,17,,missing_ask_text|full_equals_answer|full_equals_rubric|material_equals_answer|material_equals_rubric,reference_only,F0221:page 11,yes,17．法院判决B 公司构成不正当竞争并赔偿损失是正确的，因为B 公司的行为违反了《中华 人民共和国反不正当竞争法》和《中华人民共和国未成年人保护法》的相关规定，损害 了T 公司的合法权益和市场竞争秩序，同时危害了未成年人保护机制，应承担相应侵权 责任。法院判决以事实为依据，以法律为准绳，彰显了司法公正，维护了市场竞争秩序 和未成年人合法权益。
CC0364_2026_通州_期末_19_1,2026,通州,期末,19,1,full_equals_answer|full_equals_rubric,formal,F0223:slide 11 | F0403:slide 11,yes,19（1）细则 一、法理依据3分 依据《中华人民共和国民法典》规定（1分，写按照法律不给分），不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系。（2分，写应当为相邻方提供便利或不侵害相邻方合法权益给1分）没写出以上内容，写出法院判决以事实为根据，以法律为准绳，给1分，与前面不重复给。  二、事实分析2分 业主角度：2分 范某角度：1分，但不与业主角度重复给分  三、判决意义3分 业主合法权益1分，
