patch_id,target_file,target_id,question_id,patch_type,current_value,suggested_value,reason,evidence_level_impact,source_locator,must_fix_before_reasoner
AP_0011,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0214_2025_门头沟_一模_20_2_01,CC0214_2025_门头沟_一模_20_2,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0095:text | F0313:text,yes
AP_0012,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0245_2026_东城_期末_18_2_01,CC0245_2026_东城_期末_18_2,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0205:slide 56,yes
AP_0013,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0276_2026_房山_二模_17_01,CC0276_2026_房山_二模_17,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0189:text | F0190:text | F0191:page 10,yes
AP_0014,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0277_2026_房山_二模_18_01,CC0277_2026_房山_二模_18,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0189:text | F0190:text | F0191:page 10,yes
AP_0015,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0317_2026_海淀_期末_18_01,CC0317_2026_海淀_期末_18,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2,yes
AP_0016,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0318_2026_海淀_期末_18_2_01,CC0318_2026_海淀_期末_18_2,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0216:page 2 | F0396:page 2,yes
AP_0017,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0319_2026_海淀_期末_19_01,CC0319_2026_海淀_期末_19,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3,yes
AP_0018,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0325_2026_石景山_一模_18_01,CC0325_2026_石景山_一模_18,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text,yes
AP_0019,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0353_2026_西城_期末_17_01,CC0353_2026_西城_期末_17,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0221:page 11,yes
AP_0020,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0364_2026_通州_期末_19_1_01,CC0364_2026_通州_期末_19_1,update,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,替换为 19(1) 法律设问真值：要求结合材料，运用《法律与生活》(相邻关系/民法典)说明法院判决的法理依据并分析事实,ask_text 指向《逻辑与思维》(实为 19(2) 设问)，与本记录_19_1 对应的法律细则矛盾,risk_of_module_misclassification,F0223:slide 11 | F0403:slide 11,yes
AP_0021,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0054_2024_石景山_一模_17_01,CC0054_2024_石景山_一模_17,update,不确定,法律与生活,"核心法律主观题 module_requirement 必须明确为""法律与生活""",no_level_change,F0056:text | F0276:text,no
