suite_id,year,district,stage,suite_name,question_no,answer,answer_source,overview_sentence,wrong_option_sentences,question_excerpt,rubric_source,notes,curation_status,curation_reason
2025_延庆_一模_017,2025,延庆,一模,2025延庆一模,11,,,在小何入职某网络科技公司，从事外卖配送工作，双方签订了承揽配送协议，未签订书面劳动合同。该 公司对外卖员工配备统一的服装并记录考勤。后小何在取餐途中不慎摔倒受伤，造成左臂骨折。下列认识 正确的是（ ）中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,11. 小何入职某网络科技公司，从事外卖配送工作，双方签订了承揽配送协议，未签订书面劳动合同。该 公司对外卖员工配备统一的服装并记录考勤。后小何在取餐途中不慎摔倒受伤，造成左臂骨折。下列认识 正确的是（ ） A. 双方基于意思自治签订了承揽配送协议，应确认为承揽合同关系 B. 公司对小何有劳动管理，双方形成事实劳动关系 C. 双方未签订书面劳动合同，无法确定双方的权利义务关系 D. 外卖配送等新就业形态突破了劳动关系范畴，应由平台经济法调整,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_朝阳_一模_019,2025,朝阳,一模,2025朝阳一模,10,,,"在王某是一名 AI（人工智能）生成内容的创作者，他发现某公司发布的广告图片与自己用 AI 创作的图片 完全一致，认为该公司侵犯了自己的著作权，遂诉至法院。法院经审理认为, 该图片虽用AI创作，但需王 某构思画面、在人机对话中多次提交和调整关键词以获得理想的图案，体现了王某的个性化表……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。",答案未锁定，暂不生成错项句。,"10.王某是一名 AI（人工智能）生成内容的创作者，他发现某公司发布的广告图片与自己用 AI 创作的图片 完全一致，认为该公司侵犯了自己的著作权，遂诉至法院。法院经审理认为, 该图片虽用AI创作，但需王 某构思画面、在人机对话中多次提交和调整关键词以获得理想的图案，体现了王某的个性化表达，凝结了 王某的智力劳动成果，遂判令该公司停止侵权并赔偿王某经济损失。由 AI 生成的图片 ①并非由人类直接创作，故不属于艺术作品 ②使得法律和法院都难以界定艺术作品的创作主体 ③如果符合一定的条件，可以受到著作权法的保护 ④是否构成法律意义上的作品，关键在于是否体现出作者的独创性智力投入 A.①② B. ①④ C. ②③ D.③④",,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_石景山_一模_021,2025,石景山,一模,2025石景山一模,8,,,在入党誓词是中国共产党的政治宣言，是党员的庄严承诺。某班同学查阅党史文献发现，党不同时期的入 党誓词内容不尽相同，但背后蕴涵着中国共产党人不变的“红色基因” 。例如，都包含“为共产主义奋斗 终身” “为群众谋利益”的承诺，都提出“严守纪律、永不叛党”的基本要求。入党誓词的“不变”表……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,8.入党誓词是中国共产党的政治宣言，是党员的庄严承诺。某班同学查阅党史文献发现，党不同时期的入 党誓词内容不尽相同，但背后蕴涵着中国共产党人不变的“红色基因” 。例如，都包含“为共产主义奋斗 终身” “为群众谋利益”的承诺，都提出“严守纪律、永不叛党”的基本要求。入党誓词的“不变”表明 我们党 ①坚定信仰信念，为实现共产主义这一共同理想而奋斗 ②牢记初心使命，始终坚持党性和人民性的高度统一 ③勇于自我革命，以严明纪律增强自身凝聚力和战斗力 ④坚持与时俱进，根据形势发展对党员提出新的要求 A. ①② B. ①④ C. ②③ D. ③④ 9.2024 年，全国人大常委会法制工作委员会共收到报送备案的法规、司法解释等规范性文件 1999 件，对经 审查发现的 15 件报备不规范问题，及时督促报备机关纠正；共收到公民、组织提出的审查建议 5682 件， 经逐一研究沟通，深入调研论证，提出审查处理意见。对此，下列理解正确的是 A.全国人大作为最高国家权力机关，依法行使监督其他国家机关运行的职权 B.我国不断健全立法机关和社会公众的沟通机制，拓宽公民参与立法的途径 C.我国形成了以宪法为核心的社会主义法律体系，实现了国家治理有法可依 D.推进合宪性审查工作，切实保证宪法法律的有效实施，维护国家法治统一,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_石景山_一模_021,2025,石景山,一模,2025石景山一模,11,,,在大学毕业生王某与甲公司依法签署了劳动合同，按照约定公司为王某申请了进京户口指标，并额外支出 专项费用对其培训；王某承诺长期在职为公司服务，劳动合同周期为 8 年，如提前离职应当退回相应费用。 工作 3 年后，王某以个人原因提出离职申请，并因公司要求其交纳离职赔偿金而产生纠纷。据此……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,11.大学毕业生王某与甲公司依法签署了劳动合同，按照约定公司为王某申请了进京户口指标，并额外支出 专项费用对其培训；王某承诺长期在职为公司服务，劳动合同周期为 8 年，如提前离职应当退回相应费用。 工作 3 年后，王某以个人原因提出离职申请，并因公司要求其交纳离职赔偿金而产生纠纷。据此，下列说 法正确的是 ①王某在其服务期满前单方提出辞职违反诚实信用原则，没有履行应尽义务 ②双方签署的劳动合同具有法律效力，王某在服务期内不可以解除劳动合同 ③王某的行为会给公司造成一定的损失，公司要求其作出相应赔偿并无不当 ④王某和公司可以直接向法院提起诉讼，并对各自提出的主张提供相应证据 A. ①② B. ①③ C. ②④ D. ③④ 12.2024 年是实现“十四五”规划目标任务的关键一年。北京市国资国企平稳发展，交出一份亮眼成绩单。 下表中，对相关成绩的积极影响评析恰当的是 序号 成绩 影响 ① 瞄准人工智能、信息技术、医药健康等重点领域，北京国管 8 只市级政府投资基金全年已投资决策 170 亿元、带动社会 投资 286 亿元。 加 强 在 战 略 性 新 兴 产 业 领 域 投 资，壮大耐心资本，推动首都产 业升级 ② 汇集 260 余家店铺、包括 100 家区域首店的首开通州万象汇 开业；8 家企业联合发起成立亚奥商圈联盟，合力打造国际 文化商业新地标。 建设高标准市场体系，创造更加 公平、更有活力的市场环境 ③ 北辰集团国家会议中心二期、新国展二期会展业态竣工；国 企在施和完工居住类城市更新项目超 300 个，开通通学、通 医等公交专线超 350 条。 履行公共服务职能，助推首都功 能优化和超大城市精细化治理 ④ 国企继续保持在城市副中心 300 亿元以上投资强度，加快第 二批市属国企搬迁；加强与津冀两地的产业联动。 服务国家和首都发展大局，积极 主动融入京津冀协同发展 A. ①② B. ①④ C. ②③ D. ③④,,答案未从可靠答案表或逐题解析锁定,defer_mixed_module,法律材料与非选必二模块混在同一题段，需人工拆分或复核。
2025_门头沟_一模_023,2025,门头沟,一模,2025门头沟一模,3,,,在2024 年 8 月 30 日，国务院第40 次常务会议通过《网络数据安全管理条例》 ，以下为部分内容节选： 第二十二条 网络数据处理者基于个人同意处理个人信息的，应当遵守下列规定： （一）收集个人信息为提供产品或者服务所必需，不得超范围收集个人信息，不得通过误导、欺诈、胁 迫等……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,3. 2024 年 8 月 30 日，国务院第40 次常务会议通过《网络数据安全管理条例》 ，以下为部分内容节选： 第二十二条 网络数据处理者基于个人同意处理个人信息的，应当遵守下列规定： （一）收集个人信息为提供产品或者服务所必需，不得超范围收集个人信息，不得通过误导、欺诈、胁 迫等方式取得个人同意； （二）处理生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等敏感个人信息的，应当 取得个人的单独同意； （三）处理不满十四周岁未成年人个人信息的，应当取得未成年人的父母或者其他监护人的同意； …… 法律、行政法规规定处理敏感个人信息应当取得书面同意的，从其规定。 下列说法正确的是（ ） ①网络数据处理者应增强法治观念，依法处理个人信息 ②处理个人信息时，都应取得父母或其他监护人的同意 ③需完善法律实施机制，使已制定的法律法规得到有效实施 ④被侵权的个人要依法行使国家权力，维护自己合法权益 A. ①② B. ①③ C. ②④ D. ③④,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_门头沟_一模_023,2025,门头沟,一模,2025门头沟一模,6,,,在关于AI 作品是否拥有著作权引发了广泛讨论。支持者认为：AI 作品凝聚了研发者的智慧投入，应受著 作权保护；反对者则指出：AI 缺乏人类独有的情感、意识，其作品不等同于人类创作成果，不应赋予著作 权。这一争论体现了（ ）中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,6. 关于AI 作品是否拥有著作权引发了广泛讨论。支持者认为：AI 作品凝聚了研发者的智慧投入，应受著 作权保护；反对者则指出：AI 缺乏人类独有的情感、意识，其作品不等同于人类创作成果，不应赋予著作 权。这一争论体现了（ ） A. 对“AI 著作权”的真理性认识可以有多个 B. 在争论中才能正确把握事物发展的主要矛盾 C. 对“AI 著作权”的看法往往因人而异，具有主体差异性 D. 对“AI 著作权”的争论既对立又统一，没有判定正误的标准,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_东城_二模_025,2025,东城,二模,2025东城二模,10,,,在司法助力旅游市场健康发展，就地解“游”愁。某地风景名胜区游客张某不顾警示逗猴喂猴，不慎被抓伤。 在接受工作人员救护后，张某拨打旅游环保法庭热线电话，要求景区管委会对其进行赔偿。旅游环保法庭 工作人员迅速到达现场，向双方当事人释法说理，开展调解工作。对此，下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,10.司法助力旅游市场健康发展，就地解“游”愁。某地风景名胜区游客张某不顾警示逗猴喂猴，不慎被抓伤。 在接受工作人员救护后，张某拨打旅游环保法庭热线电话，要求景区管委会对其进行赔偿。旅游环保法庭 工作人员迅速到达现场，向双方当事人释法说理，开展调解工作。对此，下列说法正确的是 A.就地化解旅游纠纷，人民调解机制助力打造安心舒心的旅游环境 B.本案符合举证责任倒置情形，张某作为受害者无须提交任何证据 C.如果能证明张某在游览时没有尽到相应注意义务，景区就能免责 D.景区如果没有尽到安全保障义务，则须承担赔偿责任,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_东城_二模_025,2025,东城,二模,2025东城二模,11,,,在物权是最基本的财产权，国家依法保护物权。下列情形符合我国法律规定的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,11.物权是最基本的财产权，国家依法保护物权。下列情形符合我国法律规定的是 A.李某作为土地承包经营权人，可以自主决定依法向他人流转土地经营权的方式 B.王某“一房二卖”，先签买房合同且入住的丁某可对抗已办完产权过户的刘某权利 C.张某向银行抵押贷款，没有按约定还款时，银行可以直接获得抵押财产所有权 D.付某将借来的电脑以远低于市场的价格卖给申某，因已交付，电脑归申某所有,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_东城_二模_025,2025,东城,二模,2025东城二模,12,,,在田某与所在公司就解除劳动关系、结清工资等事项达成一致，依法签订《解除劳动合同协议书》 。不久， 田某以对内容了解不足、存在误解为由提起劳动仲裁，请求撤销协议书，被劳动人事争议仲裁委员会驳回。 下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,12.田某与所在公司就解除劳动关系、结清工资等事项达成一致，依法签订《解除劳动合同协议书》 。不久， 田某以对内容了解不足、存在误解为由提起劳动仲裁，请求撤销协议书，被劳动人事争议仲裁委员会驳回。 下列说法正确的是 ①在解除合同过程中发生争议，田某应先向劳动保障监察部门投诉 ②若田某不服裁决结果，有权向法院提起公诉解决与该公司的纠纷 ③协议经双方协商一致且田某签字确认，应视为田某真实意思表示 ④双方当事人均应遵循诚实信用原则，按照协议履行自身义务 A.①② B.①③ C.②④ D.③④,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_丰台_二模_026,2025,丰台,二模,2025丰台二模,9,,,在北京市首家街道劳动人事争议“一站式”调解中心成立。该调解中心在原有解纷中心的 基础上融入了公益 法律服务、工商联行业监管、工会联合调解等多元化功能，并设置了 巡回法庭、心理咨询室、争议调解室 等专业功能室。通过专业力量、社会资源、居民自 治，构建“大维权”“大调解”体系，为辖区内……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,9. 北京市首家街道劳动人事争议“一站式”调解中心成立。该调解中心在原有解纷中心的 基础上融入了公益 法律服务、工商联行业监管、工会联合调解等多元化功能，并设置了 巡回法庭、心理咨询室、争议调解室 等专业功能室。通过专业力量、社会资源、居民自 治，构建“大维权”“大调解”体系，为辖区内企业和劳动 者提供集成、高效、专业、 便捷的调解服务，实现“只进一扇门、最多跑一地、事务全办清”。该调解中心 ①提供“一站式”服务，促进 劳动关系和谐 ②整合“多元化”功能，创新劳动人事改革 ③构建“大维权”体系，维护居民自治权利 ④提供“集成式”服务，提升社会治理水平 A.①② B.①④ C.②③ D.②④,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
