question_id,year,district,exam_stage,question_no,ask_text,evidence_status,entry_node,run_status,complete_exam_answer
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,运用《法律与生活》相关知识阐释法院的裁判理由”→可分析法院裁判对构建合理健康的 劳动关系的意义。,正式证据,一格一句,STUDENT_RUN,法理依据：法院判决应以事实为依据、以法律为准绳，或写出相关法律规定，为必踩点。 法理依据：劳动者应完成劳动任务，遵守劳动纪律和职业道德，。 法理依据：尹某没有履行劳动者义务，违反法律规定或不符合敬业价值要求，。 法理依据：购物中心根据劳动合同法规定解除劳动合同，。
CC0125_2025_延庆_一模_19,2025,延庆,一模,19,运用《法律与生活》知识，说明你会如何进行调解并说 明理由。,正式证据,路径三件套,GOLD_SYNCED,调解结果：本案标的较小，本着以和为贵原则适用调解，。 调解理由：消费者维权应遵循诚实信用原则，不能损害他人利益和社会经济秩序，诚信原则、材料分析。 调解理由：杨某收到退款后买卖合同已解除，应依法退还货物，合同解除、材料分析。 调解理由：杨某主张商品质量不合格但已丢弃商品，缺乏证据意识；
CC0131_2025_房山_一模_19,2025,房山,一模,19,结合材料，谈谈“真创新”受到“真保护”的法治价值。,正式证据,价值从规则长出来,STUDENT_RUN,①B 集团通过挖走A 集团核心技术人员并窃取技术秘密属于典型的不正当竞争行为，法院的判决打击 了违法行为，促使企业依法诚信经营，维护了公平的竞争环境，促进市场经济健康发展。 ②法院对B 集团适用的高额赔偿提高了侵权成本，强化知识产权保护，使企业更愿意投入研发，激发 创新活力和科技进步。 ③法院公正司法，维护了社会公平正义，弘扬了社会主义核心价值观。 1.不正当竞争 B 集团通过挖走A 集团核心技术人员并窃取技术秘密（材料）属于典型的不正当竞争行为（定性 分析），法院的判决打击了违法行为，促使企业依法诚信经营，维护了公平的竞争环境，促进市 场经济健康发展。
CC0137_2025_昌平_二模_20,2025,昌平,二模,20,运用《法律与生活》知识，完成裁判理由。,正式证据,一格一句,GOLD_SYNCED,李某虽然使用 AI 软件制作图片，但该图片体现其智力投入并具有独创性，依法受著作权法保护，李某享有著作权。刘某未经许可将图片作为文章配图使用，还抹去平台署名水印，侵害李某的信息网络传播权和署名权，应承担侵权责任。小王申请开通信用卡并认可合约，合同合法有效，对双方具有约束力；小王透支消费后经催告仍不还款，构成违约，违反诚信原则和全面履行原则，应偿还本金并按约支付利息。
CC0143_2025_朝阳_一模_19,2025,朝阳,一模,19,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,正式证据,定关系定责,PRIORITY_REWRITTEN,王某通过 A 公司平台购买机票并出票，双方合同已经成立，但合同成立不等于当然有效。A 公司擅自搭售外卖红包，王某不能清楚知悉费用支出细节，也无法拒绝支付额外费用，说明 A 公司存在欺诈，使王某在违背真实意思的情况下订立合同，王某可以请求撤销相关交易。A 公司提供服务存在欺诈，法院支持退还票款并承担惩罚性赔偿，有利于保护消费者合法权益，规范在线文旅平台经营，优化网络消费环境。
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,"结合材料,运用《法律与生活》知识,分析上述案例。",正式证据,定关系定责,STUDENT_RUN,（1）结合材料，运用《法律与生活》知识，分析上述案例。 （2）假如你是人民调解员，提出解决纠纷的建议。 （2） 建议刘先生在及时拆除摄像头，并清除已拍摄的孙女士及家人的视频信息。 ①定性 刘先生侵犯了孙女士的隐私权， 注意：隐私权，如果字写错了，不给分。
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,了解案件，分析事实，印证法理，参考示例，完成下表。,正式证据,一格一句,STUDENT_RUN,案件二裁判理由：根据反不正当竞争法，。 案件二裁判理由：被告抓取并使用数据，损害原告数据合法权益和消费者利益，构成不正当竞争，。 案件二裁判理由：破坏市场竞争秩序，违背商业道德和诚实信用原则，。 案件二裁判结果：被告停止侵权或消除影响，。
CC0162_2025_海淀_一模_18,2025,海淀,一模,18,运用《法律与生活》知识，谈谈对本案判决的认识。,参考运行,参考运行：定关系定责 + 价值从规则长出来,REFERENCE_RUN,小黄与主题乐园签订的格式合同意思表示真实，条款符合公平原则，合同有效。 小黄利用审查漏洞不当获利，违反合同约定，违背诚信原则。 主题乐园可以根据合同约定采取撤销年卡方式解除合同。 法院判决保护主题乐园合法权益，有利于营造公平公正市场环境。
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,下表列出了《解释》部分条款。参考示例，完成下表。,正式证据,价值从规则长出来,STUDENT_RUN,第十九条案例：生产者产品责任是无过错侵权责任，法理解释。 第十九条案例：从消费者权利、安全消费权角度展开解释可替代得分。 第十九条案例：意义部分写维护消费者合法权益等双方任一角度，。 第二十五条案例：禁止饲养烈性犬等危险动物致害适用无过错侵权责任，法理解释。
CC0181_2025_海淀_期末_21,2025,海淀,期末,21,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,正式证据,价值从规则长出来,PRIORITY_REWRITTEN,法律规定竞业限制，是为了保护企业商业秘密和知识产权，推动创新发展。案例一中，李某是 A 公司高级管理人员，掌握不为公众知悉的技术信息，离职后立即到竞争企业从事相同岗位，违反竞业限制义务，应承担赔偿责任。法律同时限制竞业限制，是为了防止用人单位过度限制劳动者就业权，促进人才合理流动。案例二中，刘某只是普通冷菜制作员工，不属于负有保密义务的核心人员，公司与其签订过宽的竞业限制协议无效。这样才能平衡企业商业秘密保护和劳动者合法权益。
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,阅读材料，参考示例，完成下表。,正式证据,一格一句,MANUAL_REWRITTEN,①根据民法典规定，当事人不履行合同义务或者履行合同义务不符合约定的，守约方可以要求违约方承担违约责任。 ①被告开发时间超过履行期限且终未提交符合合同约定功能的技术成果，构成违约，应承担返还研发费用、支付违约金等责任。 ②依法打击不正当竞争行为，促进公平竞争，维护市场秩序，增强市场活力，营造创新环境，护航软件产业高质量发展，培育新质生产力。
CC0195_2025_西城_一模_20,2025,西城,一模,20,结合材料，综合运用经济和法律的知识，说明上述做法能促进社会公平与经济效率的平衡。,正式证据,价值从规则长出来,STUDENT_RUN,20．劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订集体合同，可以确保双方协商一致，更加公平、平等自愿。
CC0200_2025_西城_二模_18,2025,西城,二模,18,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,正式证据,定关系定责,PRIORITY_REWRITTEN,小刘是限制民事行为能力人，其大额打赏行为与年龄、智力和消费能力不相适应，且家长事先不知情、事后不追认，相关交易行为无效。平台发现异常消费后虽采取限制措施，但之后又因审核不完善解除限制，存在过错；小刘父母疏于监管，未尽到监护职责，也有过错；小刘本人沉迷打赏并通过欺骗规避监管，同样有过错。法院综合各方过错分担责任，符合公平原则，也能警示平台健全审核机制、监护人履行监护义务，引导未成年人树立正确消费观。
CC0206_2025_西城_期末_19,2025,西城,期末,19,运用法律知识分析法院的判决。,正式证据,定关系定责,PRIORITY_REWRITTEN,“小爱同学”已经成为有一定影响的唤醒词和商品名称，受到反不正当竞争法保护。陈某明知他人已经使用并形成影响，仍抢先大量注册相关商标，并与公司合作使用、宣传，容易造成消费者混淆，也发布了引人误解的商业宣传信息，构成不正当竞争，违背诚信原则和商业道德。法院判令停止侵权并赔偿损失，有利于保护科技企业品牌商誉，规范数字经济竞争秩序，营造良好的法治化营商环境。
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,请结合以下案例，参照所给示例完成下表。,正式证据,一格一句,STUDENT_RUN,裁判结果：驳回或不支持孙某诉讼请求，。 裁判结果：甲公司无需支付赔偿金，。 裁判理由：根据劳动合同法，订立劳动合同应遵循诚实信用原则，。 裁判理由：孙某违反诚实信用原则、劳动者基本职业道德或侵犯甲公司知情权，。
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,请结合案例二，参照所给示例完成裁判要点中的裁判理由。,正式证据,一格一句,STUDENT_RUN,20（2）裁判理由共。 ①法律规定，写出签订劳动合同用遵循的原则，写出诚实信用原则即可得； ②违反诚实信用原则/违反劳动者基本的职业道德/侵犯了甲公司知情权 ③甲公司在违背真实的意思的情况与其签订合同/写出不是甲公司真实的意愿/劳动合同无效即可得
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,运用法治知识，设问指向是阐释定分止争的价值，运用 《法律与生活》的知识进行说明。,正式证据,价值从规则长出来,STUDENT_RUN,案例1解决纠纷方式：法院坚持诉讼调解实现邻里和谐、实质化解纠纷，。 案例1理由：通道属于建筑物共有部分，应合理限度恰当使用； 案例1要求：相邻各方按有利生产、方便生活、团结互助、公平合理原则正确处理相邻关系，。 材料二价值：民事主体行使权利不得超过正当界限，不得损害国家、社会和他人合法权益。
CC0229_2026_东城_一模_18,2026,东城,一模,18,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,正式证据,价值从规则长出来,STUDENT_RUN,法院公正司法，坚持以事实为依据、以法律为准绳，发挥司法裁判的导向作用。 保护知识产权就是保护创新，有利于提升创新活力。 案例一中，法院通过诉讼调解或调解方式化解专利权归属纠纷。 案例一中，调解推动纠纷实质性化解，体现以和为贵，提高效率或节约司法资源。
CC0238_2026_东城_二模_19,2026,东城,二模,19,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。,正式证据,分主体评析,GOLD_SYNCED,乙公司以商业诋毁获取竞争优势，； 乙公司未全面履行合同，构成违约，。 乙公司应承担赔偿损失等违约责任，为必出点。 张某未遵守或违反劳动纪律与职业道德，。
CC0244_2026_东城_期中_18,2026,东城,期中,18,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,正式证据,定关系定责,STUDENT_RUN,"18.无人机起飞如何系好""安全带""? 陈某向店主刘某发送邮件：“急需购买A型号无人机一台，用于重要商业拍摄。 （1）运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。 （2）维权成功需要做好充分准备和策略选择。 1.只说合同成立/合同有效，没说合同成立且有效，也可给"
CC0245_2026_东城_期中_18_2,2026,东城,期中,18,维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？,正式证据,定关系定责,STUDENT_RUN,18（2）维权成功需要做好充分准备和策略选择。 1、加强材料关键信息的提取，例如材料中已“协商未果”，不再适宜协商途径维权了。 2、法律专业性较强，精准使用要点，不能直接“上诉”，不能对刘某直接行政诉讼等。 3、有些同学思维片面僵化，罗列具体的违约或侵权证明，不能归纳到证据类型，再到依法收集并固化证据、证据链完整。
CC0251_2026_丰台_一模_20,2026,丰台,一模,20,运用所学知识展开论述；逻辑严密，条理清晰 水平3 | 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1 | 应答与试题无关；或重复试题内容；或没有应答,正式证据,价值从规则长出来,STUDENT_RUN,20. 人民法院以事实为根据、以法律为准绳，作出了上述判决。 1.模块基本运用准确，但法理依据和现实意义揉在一起作答，思路混乱。 2.背诵模版，从维护个体权益到法治社会、法治政府、法治国家建设、再到社会稳定与公序良俗，没有围绕题意作答 。 3.很多学生写有利于维护市场秩序，优化营商环境。
CC0254_2026_丰台_二模_18,2026,丰台,二模,18,运用《法律与生活》知识，谈谈你对这句话的理解。,正式证据,价值从规则长出来,STUDENT_RUN,1.答案未指向问题，答案不聚焦，按照某类主观题模板机械化作答，从司法机关的权力到案件的法理依据写到现实意义，并非辩证思考回答法律的规范作用与道德的教化层面。 2.分辨不清过错推定与无过错责任，同样是动物（动物园动物伤人与家庭饲养动物的侵权案件的区分） 3.学生答题逻辑不清晰，思维跳脱，一个观点反复阐述，不能进行有层次的思考与论证，法治与德治的统一可以呈现但并未结合材料展开详细表述。 4.模块错误，少部分作答写的哲学模块/政治与法治
CC0276_2026_房山_二模_17,2026,房山,二模,17,中国走向世界，以负责任大国参与国际事务，必须善于运用法治。结合材料，运用法治知识，谈谈中国是如何加强涉外法治建设的。,正式证据,价值从规则长出来,STUDENT_RUN,17. 完善涉外法律法规体系，出台外商投资法及其实施条例，平等保护内外资企业合法权益；
CC0277_2026_房山_二模_18,2026,房山,二模,18,结合材料一，运用《法律与生活》知识，分析上述场景可能涉及的法律边界，并提出应对措施。,正式证据,定关系定责,STUDENT_RUN,18.（1）法律边界及应对措施 风险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁规定，同时可能侵犯该公司的名誉权。 应履行审核义务，依法经营 风险2：将公司的核心代码等上传公共AI平台，可能造成商业秘密泄露。 应完善保密措施，与平台签订保密合同 风险3：数字员工设计的图案直接用作商业用途，可能会侵犯他人的著作权。 应履行审核义务 细则：法律边界及应对措施 风险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁规定，同时可能侵犯该公司的名誉权。
CC0283_2026_朝阳_一模_18,2026,朝阳,一模,18,运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对 创新的干扰。,正式证据,路径三件套,STUDENT_RUN,18.结合材料，运用《法律与生活》知识，谈谈人民法院是如何依法保护知识产权以护航新质生产力发展的。 1.通过特邀第三方调解，高效化解知识产权纠纷，既维护当事人合法权益，又能激发创新积极性和创新效率，助力创新驱动经济发展。 2.针对故意侵权的违法行为，适用《民法典》惩罚性赔偿规定，有效遏制侵权人再次侵权，保护创新主体的核心利益，维护良好的创新生态和公平竞争的市场环境。 3.依据民法公平、诚信等基本原则，谴责专利权人的不诚信诉讼行为，保障诉讼秩序和经营秩序，避免“假维权”拖垮“真创新”，营造诚信守法的创新生态。
CC0289_2026_朝阳_二模_18,2026,朝阳,二模,18,结合材料，《法律与生活》，补充完整。,正式证据,一格一句,PRIORITY_REWRITTEN,补表时要准确写出权利名：涉及人身损害的，可写生命权、身体权或健康权；涉及证据责任的，可写举证责任倒置；涉及邻里不动产利益的，可写相邻关系。任选一项权利展开时，应先写民法典保护该类民事权利，再结合材料说明任何组织和个人不得侵害该权利；权利受到侵害时，权利人可以依法请求停止侵害、排除妨碍、赔礼道歉或赔偿损失。这样才能从权利名走到保护路径。
CC0311_2026_海淀_二模_18,2026,海淀,二模,18,结合材料二，运用《法律与生活》知识，分析上述关于知识产权的法律规定是如何助力企业创新与发展的。,参考运行,参考运行：先定任务,REFERENCE_RUN,知识产权是财产权的重要组成部分，也是企业重要的无形资产。 民法典将知识产权中的财产权纳入可质押权利范围，有利于拓宽融资渠道、缓解资金压力。 公司法确认知识产权可以作价出资，促进技术要素转化资本，鼓励创业创新。 专利法规定对发明人给予奖励和合理报酬，尊重创新主体权益，调动员工创新积极性。
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,阅读材料，参考示例，分析案件中举证责任的分配方式及理由，完成下表。,正式证据,定关系定责,STUDENT_RUN,①本案属于行政诉讼，行政诉讼的核心问题是行政机关的行政行为是否合法，而行政相对人在举证能力上无法与行政机关抗衡。 ②本案中，原告张某需要对自己车辆受到损害的事实，以及损害与窗户坠落存在因果关系进行举证； ③本案属于民事诉讼，实行“谁主张，谁举证”的原则，但在有些情况下，案件当事人因欠缺专业知识或远离证据难以举证，出于公平合理的考虑，实行举证责任倒置原则。
CC0332_2026_石景山_二模_19,2026,石景山,二模,19,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,正式证据,价值从规则长出来,PRIORITY_REWRITTEN,校园欺凌可能侵害未成年人的生命权、身体权、健康权等人格权益，依法惩治欺凌行为，能为保护学生合法权益提供更有力支持，维护校园秩序。父母对未成年子女负有教育、引导和合理惩戒义务，学校、家庭和执法机关也应协同治理。“惩”让未成年人认识法律边界，“教”帮助其树立法治观念、回归正途，二者并行才能实现保护受害者和教育矫治涉事未成年人的统一。
CC0340_2026_西城_一模_17,2026,西城,一模,17,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,正式证据,价值从规则长出来,STUDENT_RUN,17.结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。
CC0364_2026_通州_期中_19_1,2026,通州,期中,19,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,正式证据,先定任务,STUDENT_RUN,19（1）细则 一、法理依据 依据《中华人民共和国民法典》规定（，写按照法律不给分），不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系。 （2）根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。 ①如果阻碍加装电梯，就会侵犯相关业主的合法权益。 ②只有公示期间未收到异议，加装电梯才符合要求。
CC0305_2026_海淀_一模_18_3,2026,海淀,一模,18,判断是否支持原告诉讼请求，并说明理由。,正式证据,先表态,MANUAL_REWRITTEN,支持原告诉讼请求。 任何组织或者个人不得以刺探、侵扰、泄露、公开等方式侵害他人的隐私权； 经营者应当保护消费者知情权，提供真实全面信息，不得作虚假或者引人误解的宣传；
CC0373_2026_顺义_一模_18,2026,顺义,一模,18,结合材料，运用《法律与生活》知识，闫某和张某的诉求能否得到法院的支持，并说明理由。,正式证据,先表态,STUDENT_RUN,闫某能获得法院支持。 劳动者享有平等就业和选择职业的权利，不因民族、种族、性别、宗教信仰等不同而受歧视。 公司因性别对求职者差别对待，属于就业歧视，违反公平、平等原则，损害闫某平等获得就业机会的权益。 张某不能获得法院支持。
CC0380_2026_顺义_二模_18_2,2026,顺义,二模,18,设问待从试卷 OCR 回补；评标答案显示要求从必修3《政治与法治》和选必2《法律与生活》角度分析开源智能体法律风险与治理。,正式证据,参考运行：路径三件套,STUDENT_RUN,该开源智能体可能侵犯用户的财产权、隐私权、个人信息利益等。 民法典明确规定保护用户人身权益和财产权益，任何组织或者个人不得侵害他人的财产权、隐私权，处理个人信息应遵循合法、正当、必要原则。 用户权益受到侵害时，可通过协商、调解、仲裁、诉讼等途径维护权益。 权利人可依法请求行为人停止侵害、排除妨碍、消除危险、赔礼道歉；
