top_node,framework_node,entry_count,main_count,choice_count,evidence_counts,question_ids
推理,推理-充分条件假言推理（B正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026丰台一模-7
推理,推理-归纳推理 vs 演绎推理（②错）,1,0,1,"{""B-choice-signal"": 1}",Q-2025丰台期末-10
推理,推理-类比推理（A正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026顺义一模-4
推理,推理-联言判断推论受限（A）,1,0,1,"{""B-choice-signal"": 1}",Q-2025丰台期末-9
推理,推理>三段论>小项不当扩大,1,0,1,"{""B-choice-signal"": 1}",Q-2024朝阳二模-7
推理,推理>三段论>第三格AAI式,1,0,1,"{""B-choice-signal"": 1}",Q-2024朝阳期中-7
推理,推理>三段论>第二格补大前提,1,0,1,"{""B-choice-signal"": 1}",Q-2026朝阳期中-11
推理,推理>判断>性质判断·主谓项周延,1,0,1,"{""B-choice-signal"": 1}",Q-2025东城期末-14
推理,推理>归纳>不完全归纳·轻率概括,1,1,0,"{""A-formal"": 1}",Q-2024朝阳期中-18-楚王推理
推理,推理>归纳>不完全归纳推理或然性,1,0,1,"{""B-choice-signal"": 1}",Q-2026朝阳期中-14
推理,推理>归纳>共变法（因果探求三法）,1,0,1,"{""B-choice-signal"": 1}",Q-2024朝阳期中-9
推理,推理>归纳>完全归纳推理,1,0,1,"{""B-choice-signal"": 1}",Q-2024西城一模-11
推理,推理>归纳>求异法（因果探求）,1,0,1,"{""B-choice-signal"": 1}",Q-2024海淀二模-5
推理,推理>演绎>三段论 / 形式逻辑>判断>选言（相容/不相容）,1,0,1,"{""B-choice-signal"": 1}",Q-2025海淀二模-13
推理,推理>演绎>充分条件假言推理（否定后件式）,1,1,0,"{""A-formal"": 1}",Q-2024朝阳一模-20-1
推理,推理>演绎>充分条件假言推理（肯定后件无效）,1,1,0,"{""A-formal"": 1}",Q-2025西城二模-16-2
推理,推理>演绎>必要条件假言推理 / 推理>归纳>求异法 / 推理>类比推理,1,0,1,"{""B-choice-signal"": 1}",Q-2025西城二模-7
推理,推理>演绎>必要条件假言推理（肯定后件式）,1,1,0,"{""A-formal"": 1}",Q-2024朝阳一模-20-2
推理,推理>演绎推理>三段论·中项不周延,2,1,1,"{""A-formal"": 1, ""B-choice-signal"": 1}",Q-2026东城期末-17-2 | Q-2025东城期末-13
推理,推理>演绎推理>三段论保真+必要条件假言判断,1,0,1,"{""B-choice-signal"": 1}",Q-2026东城期末-6
推理,推理>演绎推理>充分条件假言推理,1,0,1,"{""B-choice-signal"": 1}",Q-2025东城期末-15
推理,推理>演绎推理>充分条件假言推理（肯后必肯前的无效式）,1,1,0,"{""A-formal"": 1}",Q-2026东城期末-17-2
推理,推理>演绎推理>复合假言推理,1,0,1,"{""B-choice-signal"": 1}",Q-2026东城一模-7
推理,推理>演绎推理>换质位推理（直言判断变形）,1,0,1,"{""B-choice-signal"": 1}",Q-2026东城一模-6
推理,推理>类比推理,2,2,0,"{""A-formal"": 2}",Q-2024朝阳二模-19-1-类比推理 | Q-2024朝阳期中-18-晏子推理
推理,推理>逻辑思维基本要求>矛盾律,1,1,0,"{""A-formal"": 1}",Q-2026东城期末-17-2
推理,推理>逻辑思维基本要求>矛盾律 + 演绎推理>充分条件假言推理,1,0,1,"{""B-choice-signal"": 1}",Q-2026东城期末-7
形式逻辑,形式逻辑>判断>必要条件假言判断（三种等价表达式）,1,0,1,"{""B-choice-signal"": 1}",Q-2024朝阳期中-8
形式逻辑,形式逻辑>判断>相容选言判断,1,0,1,"{""B-choice-signal"": 1}",Q-2026朝阳期中-12
形式逻辑,形式逻辑>判断>联言判断（真值条件）,2,1,1,"{""A-formal"": 1, ""B-choice-signal"": 1}",Q-2024朝阳二模-19-2 | Q-2026朝阳期中-15
形式逻辑,形式逻辑>判断>选言判断（相容/不相容） / 推理>各类型识别,1,0,1,"{""B-choice-signal"": 1}",Q-2025海淀期末-8
形式逻辑,形式逻辑>概念>下定义结构（被定义项+联结词+种差+邻近属）,1,1,0,"{""A-formal"": 1}",Q-2024西城一模-19-2
形式逻辑,形式逻辑>概念>外延关系/属性识别/换位推理,1,0,1,"{""B-choice-signal"": 1}",Q-2024海淀二模-6
形式逻辑,形式逻辑>概念>外延关系>属种关系,1,0,1,"{""B-choice-signal"": 1}",Q-2024朝阳期中-10
形式逻辑,形式逻辑>概念>外延关系（属种·相容）,1,1,0,"{""A-formal"": 1}",Q-2024西城一模-19-3
形式逻辑,形式逻辑>概念>外延关系（属种）,1,0,1,"{""B-choice-signal"": 1}",Q-2025西城二模-6
形式逻辑,形式逻辑>逻辑规则综合（排中律/矛盾律/越级划分/四概念）,1,0,1,"{""B-choice-signal"": 1}",Q-2024朝阳一模-6
判断,判断-性质判断主项识别（①正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2025顺义一模-6
判断,判断-联言判断的矛盾命题（B正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2025顺义一模-5
判断,判断-联言判断（D正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026丰台一模-9
推理边界,推理边界>判断>假言判断>充分条件假言判断,1,1,0,"{""A-formal"": 1}",Q-2025顺义一模-17-1
推理边界,推理边界>判断>假言判断>必要条件假言判断,2,2,0,"{""A-formal"": 2}",Q-2025丰台期末-18-1 | Q-2025顺义一模-17-1
推理边界,推理边界>判断>复合判断>相容选言判断,1,1,0,"{""A-formal"": 1}",Q-2025顺义一模-17-1
推理边界,推理边界>判断>复合判断>联言判断,1,1,0,"{""A-formal"": 1}",Q-2025丰台期末-18-1
推理边界,推理边界>演绎推理>三段论>大项不当扩大,1,1,0,"{""A-formal"": 1}",Q-2026丰台一模-18-2
推理边界,推理边界>演绎推理>三段论保真两条件（前提真实+结构有效）,1,1,0,"{""A-formal"": 1}",Q-2026顺义一模-19-1
推理边界,推理边界>演绎推理>充分条件假言推理（肯定前件式）,1,1,0,"{""A-formal"": 1}",Q-2026通州期末-19-2
推理边界,推理边界>演绎推理>必要条件假言推理（肯定前件式无效）,1,1,0,"{""A-formal"": 1}",Q-2026通州期末-19-2
推理边界,推理边界>演绎推理>必要条件假言推理（肯定后件式）,1,1,0,"{""A-formal"": 1}",Q-2026丰台一模-18-2
选必三导论,选必三导论-系统思维与辩证思维联动（②正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026通州期末-5
选必三导论,选必三导论-系统观念+数字化治理（D正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026通州期末-9
选必三导论,选必三导论-综合思维（②正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026丰台一模-4
必修四联系观,必修四联系观-人为事物的联系（③正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026通州期末-8
形象思维与抽象思维区分（基本单元,形象思维与抽象思维区分（基本单元,1,0,1,"{""B-choice-signal"": 1}",Q-2025丰台期末-8
边界陷阱·选必三超前思维概念跨模块外挂,边界陷阱·选必三超前思维概念跨模块外挂,1,0,1,"{""B-choice-signal"": 1}",Q-2025丰台期末-7
