question_id,source_batch,type,framework_node,evidence_level,source,recheck_reason
Q-2024朝阳期中-18-楚王推理,batch02_chaoyang_controlled_input,main_thinking,推理>归纳>不完全归纳·轻率概括,A-formal,Q-2024朝阳期中-18-楚王推理,entry marked needs_codex_recheck=yes before student final
Q-2024朝阳期中-18-晏子推理,batch02_chaoyang_controlled_input,main_thinking,推理>类比推理,A-formal,Q-2024朝阳期中-18-晏子推理,entry marked needs_codex_recheck=yes before student final
Q-2024朝阳期中-7,batch02_chaoyang_controlled_input,choice_trap,推理>三段论>第三格AAI式,B-choice-signal,Q-2024朝阳期中-7,entry marked needs_codex_recheck=yes before student final
Q-2026朝阳期中-11,batch02_chaoyang_controlled_input,choice_trap,推理>三段论>第二格补大前提,B-choice-signal,Q-2026朝阳期中-11,entry marked needs_codex_recheck=yes before student final
Q-2026朝阳期中-14,batch02_chaoyang_controlled_input,choice_trap,推理>归纳>不完全归纳推理或然性,B-choice-signal,Q-2026朝阳期中-14,entry marked needs_codex_recheck=yes before student final
Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>逻辑思维基本要求>矛盾律,A-formal,S-2026东城期末 Q17(2),entry marked needs_codex_recheck=yes before student final
Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>演绎推理>充分条件假言推理（肯后必肯前的无效式）,A-formal,S-2026东城期末 Q17(2),entry marked needs_codex_recheck=yes before student final
Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>演绎推理>三段论·中项不周延,A-formal,S-2026东城期末 Q17(2),entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-13,batch03_dongcheng,choice_trap,推理>演绎推理>三段论·中项不周延,B-choice-signal,S-2025东城期末 Q13,entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-14,batch03_dongcheng,choice_trap,推理>判断>性质判断·主谓项周延,B-choice-signal,S-2025东城期末 Q14,entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-15,batch03_dongcheng,choice_trap,推理>演绎推理>充分条件假言推理,B-choice-signal,S-2025东城期末 Q15,entry marked needs_codex_recheck=yes before student final
Q-2026东城一模-6,batch03_dongcheng,choice_trap,推理>演绎推理>换质位推理（直言判断变形）,B-choice-signal,S-2026东城一模 Q6,entry marked needs_codex_recheck=yes before student final
Q-2026东城一模-7,batch03_dongcheng,choice_trap,推理>演绎推理>复合假言推理,B-choice-signal,S-2026东城一模 Q7,entry marked needs_codex_recheck=yes before student final
Q-2026东城期末-6,batch03_dongcheng,choice_trap,推理>演绎推理>三段论保真+必要条件假言判断,B-choice-signal,S-2026东城期末 Q6,entry marked needs_codex_recheck=yes before student final
Q-2026东城期末-7,batch03_dongcheng,choice_trap,推理>逻辑思维基本要求>矛盾律 + 演绎推理>充分条件假言推理,B-choice-signal,S-2026东城期末 Q7,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-9,batch04_fengtai_shunyi_tongzhou,choice_trap,推理-联言判断推论受限（A）,B-choice-signal,S-2025丰台期末 Q9,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-10,batch04_fengtai_shunyi_tongzhou,choice_trap,推理-归纳推理 vs 演绎推理（②错）,B-choice-signal,S-2025丰台期末 Q10,entry marked needs_codex_recheck=yes before student final
Q-2026丰台一模-7,batch04_fengtai_shunyi_tongzhou,choice_trap,推理-充分条件假言推理（B正解）,B-choice-signal,S-2026丰台一模 Q7,entry marked needs_codex_recheck=yes before student final
Q-2026丰台一模-8,batch04_fengtai_shunyi_tongzhou,choice_trap,推理-充分条件假言推理-否定后件式有效（②正解）,B-choice-signal,S-2026丰台一模 Q8,entry marked needs_codex_recheck=yes before student final
Q-2025顺义一模-7,batch04_fengtai_shunyi_tongzhou,choice_trap,推理-三段论-大项不当扩大（A正解，硬样本：硬规则§十九）,B-choice-signal,S-2025顺义一模 Q7,entry marked needs_codex_recheck=yes before student final
Q-2026顺义一模-4,batch04_fengtai_shunyi_tongzhou,choice_trap,推理-类比推理（A正解）,B-choice-signal,S-2026顺义一模 Q4,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,S-2025丰台期末 Q18(1),entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>复合判断>联言判断,A-formal,S-2025丰台期末 Q18(1),entry marked needs_codex_recheck=yes before student final
Q-2026丰台一模-18-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>必要条件假言推理（肯定后件式）,A-formal,S-2026丰台一模 Q18(2),entry marked needs_codex_recheck=yes before student final
Q-2026丰台一模-18-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>三段论>大项不当扩大,A-formal,S-2026丰台一模 Q18(2),entry marked needs_codex_recheck=yes before student final
Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>充分条件假言判断,A-formal,S-2025顺义一模 Q17(1),entry marked needs_codex_recheck=yes before student final
Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,S-2025顺义一模 Q17(1),entry marked needs_codex_recheck=yes before student final
Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>复合判断>相容选言判断,A-formal,S-2025顺义一模 Q17(1),entry marked needs_codex_recheck=yes before student final
Q-2026顺义一模-19-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>三段论保真两条件（前提真实+结构有效）,A-formal,S-2026顺义一模 Q19(1),entry marked needs_codex_recheck=yes before student final
Q-2026通州期末-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>充分条件假言推理（肯定前件式）,A-formal,S-2026通州期末 Q19(2),entry marked needs_codex_recheck=yes before student final
Q-2026通州期末-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>必要条件假言推理（肯定前件式无效）,A-formal,S-2026通州期末 Q19(2),entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-7,batch04_fengtai_shunyi_tongzhou,choice_trap,边界陷阱·选必三超前思维概念跨模块外挂,B-choice-signal,S-2025丰台期末 Q7,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-8,batch04_fengtai_shunyi_tongzhou,choice_trap,形象思维与抽象思维区分（基本单元,B-choice-signal,S-2025丰台期末 Q8,entry marked needs_codex_recheck=yes before student final
Q-2026丰台一模-4,batch04_fengtai_shunyi_tongzhou,choice_trap,选必三导论-综合思维（②正解）,B-choice-signal,S-2026丰台一模 Q4,entry marked needs_codex_recheck=yes before student final
Q-2026通州期末-5,batch04_fengtai_shunyi_tongzhou,choice_trap,选必三导论-系统思维与辩证思维联动（②正解）,B-choice-signal,S-2026通州期末 Q5,entry marked needs_codex_recheck=yes before student final
Q-2026通州期末-9,batch04_fengtai_shunyi_tongzhou,choice_trap,选必三导论-系统观念+数字化治理（D正解）,B-choice-signal,S-2026通州期末 Q9,entry marked needs_codex_recheck=yes before student final
Q-2026丰台一模-9,batch04_fengtai_shunyi_tongzhou,choice_trap,判断-联言判断（D正解）,B-choice-signal,S-2026丰台一模 Q9,entry marked needs_codex_recheck=yes before student final
Q-2025顺义一模-5,batch04_fengtai_shunyi_tongzhou,choice_trap,判断-联言判断的矛盾命题（B正解）,B-choice-signal,S-2025顺义一模 Q5,entry marked needs_codex_recheck=yes before student final
Q-2025顺义一模-6,batch04_fengtai_shunyi_tongzhou,choice_trap,判断-性质判断主项识别（①正解）,B-choice-signal,S-2025顺义一模 Q6,entry marked needs_codex_recheck=yes before student final
Q-2026通州期末-8,batch04_fengtai_shunyi_tongzhou,choice_trap,必修四联系观-人为事物的联系（③正解）,B-choice-signal,S-2026通州期末 Q8,entry marked needs_codex_recheck=yes before student final
