priority,question_id,parent_question_id,source_batch,type,framework_node,evidence_level,source,source_id,stable_locator,base_decision_reason,recheck_reason
P0,Q-2026丰台一模-18-2,Q-2026丰台一模-18-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>三段论>大项不当扩大,A-formal,S-2026丰台一模 Q18(2),042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf,042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf::render_page_07::Q18(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=LOCKED_FOR_FUSION_NO_STUDENT_DRAFT_YET；学生稿门禁由GPT Phase03 gate控制；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026丰台一模-18-2,Q-2026丰台一模-18-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>必要条件假言推理（肯定后件式）,A-formal,S-2026丰台一模 Q18(2),042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf,042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf::render_page_07::Q18(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=LOCKED_FOR_FUSION_NO_STUDENT_DRAFT_YET；学生稿门禁由GPT Phase03 gate控制；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026通州期末-11,Q-2026通州期末-11,batch04_fengtai_shunyi_tongzhou,choice_trap,认识发展历程-思维抽象与思维具体（C正解，硬规则§九硬样本）,B-choice-signal,S-2026通州期末 Q11,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q11,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026通州期末-19-2,Q-2026通州期末-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>充分条件假言推理（肯定前件式）,A-formal,S-2026通州期末 Q19(2),006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q19(2),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2026通州期末-19-2; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P0,Q-2026通州期末-19-2,Q-2026通州期末-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>必要条件假言推理（肯定前件式无效）,A-formal,S-2026通州期末 Q19(2),006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q19(2),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2026通州期末-19-2; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P0,Q-2026顺义一模-19-1,Q-2026顺义一模-19-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>演绎推理>三段论保真两条件（前提真实+结构有效）,A-formal,S-2026顺义一模 Q19(1),001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(1),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026顺义一模-19-2,Q-2026顺义一模-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,科学思维>可检验性,A-formal,S-2026顺义一模 Q19(2),001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026顺义一模-19-2,Q-2026顺义一模-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,科学思维>客观性,A-formal,S-2026顺义一模 Q19(2),001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026顺义一模-19-2,Q-2026顺义一模-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,科学思维>预见性,A-formal,S-2026顺义一模 Q19(2),001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P1,Q-2024朝阳期中-18-晏子推理,Q-2024朝阳期中-18,batch02_chaoyang_controlled_input,main_thinking,推理>类比推理,A-formal,Q-2024朝阳期中-18-晏子推理,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q18,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P1,Q-2024朝阳期中-18-楚王推理,Q-2024朝阳期中-18,batch02_chaoyang_controlled_input,main_thinking,推理>归纳>不完全归纳·轻率概括,A-formal,Q-2024朝阳期中-18-楚王推理,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q18,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>发散思维与聚合思维,A-formal,S-2026东城一模 Q19(4),046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2026东城一模-19-4; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>思路新方法新结果新（实践基础+创新思维特征）,A-formal,S-2026东城一模 Q19(4),046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2026东城一模-19-4; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>超前思维,A-formal,S-2026东城一模 Q19(4),046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2026东城一模-19-4; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,辩证思维>整体性·分析与综合（同类索引到必修四系统观念）,A-formal,S-2026东城一模 Q19(4),046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2026东城一模-19-4; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2025丰台期末-18-1,Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,S-2025丰台期末 Q18(1),040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(1),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-18-1; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2025丰台期末-18-1,Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>复合判断>联言判断,A-formal,S-2025丰台期末 Q18(1),040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(1),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-18-1; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>充分条件假言判断,A-formal,S-2025顺义一模 Q17(1),035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q17(1),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025顺义一模-17-1; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,S-2025顺义一模 Q17(1),035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q17(1),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025顺义一模-17-1; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>复合判断>相容选言判断,A-formal,S-2025顺义一模 Q17(1),035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q17(1),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025顺义一模-17-1; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P2,Q-2024朝阳期中-10,Q-2024朝阳期中-10,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>概念>外延关系>属种关系,B-choice-signal,Q-2024朝阳期中-10,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q10,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=题干显然涉及概念外延/关系判断，但本轮只找到试卷题面，未找到可靠选择题答案表；不得逻辑猜答案。,entry marked needs_codex_recheck=yes before student final
P2,Q-2024朝阳期中-7,Q-2024朝阳期中-7,batch02_chaoyang_controlled_input,choice_trap,推理>三段论>第三格AAI式,B-choice-signal,Q-2024朝阳期中-7,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q7,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2024朝阳期中-8,Q-2024朝阳期中-8,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>必要条件假言判断（三种等价表达式）,B-choice-signal,Q-2024朝阳期中-8,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q8,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026朝阳期中-11,Q-2026朝阳期中-11,batch02_chaoyang_controlled_input,choice_trap,推理>三段论>第二格补大前提,B-choice-signal,Q-2026朝阳期中-11,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q11,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=证据级B-choice-signal（paper answer table非formal rubric）；可入fusion但等formal rubric才能完全locked；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026朝阳期中-12,Q-2026朝阳期中-12,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>相容选言判断,B-choice-signal,Q-2026朝阳期中-12,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q12,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=无blocker；题干+选项+答案全部从source 003独立确认；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026朝阳期中-13,Q-2026朝阳期中-13,batch02_chaoyang_controlled_input,choice_trap,创新思维>联想思维（与认识发展历程综合）,B-choice-signal,Q-2026朝阳期中-13,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q13,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=证据级B-choice-signal；②类比推理非正确选项；主体为思维部分(感性具体+联想)；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026朝阳期中-14,Q-2026朝阳期中-14,batch02_chaoyang_controlled_input,choice_trap,推理>归纳>不完全归纳推理或然性,B-choice-signal,Q-2026朝阳期中-14,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q14,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch01已确认can_enter_fusion=yes；Batch02重确认：全部条件满足，升级至L3就绪；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026朝阳期中-15,Q-2026朝阳期中-15,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>联言判断（真值条件）,B-choice-signal,Q-2026朝阳期中-15,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q15,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch01已确认can_enter_fusion=yes；Batch02重确认：全部条件满足，升级至L3就绪；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2025东城期末-13,Q-2025东城期末-13,batch03_dongcheng,choice_trap,推理>演绎推理>三段论·中项不周延,B-choice-signal,S-2025东城期末 Q13,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q13,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-13; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P2,Q-2025东城期末-14,Q-2025东城期末-14,batch03_dongcheng,choice_trap,推理>判断>性质判断·主谓项周延,B-choice-signal,S-2025东城期末 Q14,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q14,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-14; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P2,Q-2025东城期末-15,Q-2025东城期末-15,batch03_dongcheng,choice_trap,推理>演绎推理>充分条件假言推理,B-choice-signal,S-2025东城期末 Q15,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q15,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-15; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P2,Q-2025东城期末-5,Q-2025东城期末-5,batch03_dongcheng,choice_trap,辩证思维>整体性+动态性+矛盾分析法,B-choice-signal,S-2025东城期末 Q5,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q5,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-5; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P2,Q-2026东城一模-5,Q-2026东城一模-5,batch03_dongcheng,choice_trap,辩证思维>分析与综合,B-choice-signal,S-2026东城一模 Q5,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q5,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026东城一模-6,Q-2026东城一模-6,batch03_dongcheng,choice_trap,推理>演绎推理>换质位推理（直言判断变形）,B-choice-signal,S-2026东城一模 Q6,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q6,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026东城一模-7,Q-2026东城一模-7,batch03_dongcheng,choice_trap,推理>演绎推理>复合假言推理,B-choice-signal,S-2026东城一模 Q7,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q7,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026东城期末-6,Q-2026东城期末-6,batch03_dongcheng,choice_trap,推理>演绎推理>三段论保真+必要条件假言判断,B-choice-signal,S-2026东城期末 Q6,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q6,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2026东城期末-7,Q-2026东城期末-7,batch03_dongcheng,choice_trap,推理>逻辑思维基本要求>矛盾律 + 演绎推理>充分条件假言推理,B-choice-signal,S-2026东城期末 Q7,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q7,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P2,Q-2025丰台期末-10,Q-2025丰台期末-10,batch04_fengtai_shunyi_tongzhou,choice_trap,推理-归纳推理 vs 演绎推理（②错）,B-choice-signal,S-2025丰台期末 Q10,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-10; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P2,Q-2025丰台期末-16,Q-2025丰台期末-16,batch04_fengtai_shunyi_tongzhou,main_thinking,辩证思维>动态性,A-support,S-2025丰台期末 Q16,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q16,phase12_action=excluded_keep_out；phase12_category=out_of_scope；blocker=scope_out=哲学(非选必三逻辑与思维primary task);但量变质变可fusion-only attach；note=scope_out=哲学(非选必三逻辑与思维primary task);但量变质变可fusion-only attach,entry marked needs_codex_recheck=yes before student final
P2,Q-2025丰台期末-16,Q-2025丰台期末-16,batch04_fengtai_shunyi_tongzhou,main_thinking,辩证思维>整体性,A-support,S-2025丰台期末 Q16,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q16,phase12_action=excluded_keep_out；phase12_category=out_of_scope；blocker=scope_out=哲学(非选必三逻辑与思维primary task);但量变质变可fusion-only attach；note=scope_out=哲学(非选必三逻辑与思维primary task);但量变质变可fusion-only attach,entry marked needs_codex_recheck=yes before student final
