suite,question,reasoning_family,rule_or_error,tested_move,common_trap,solution_protocol,original_source_path_or_cache,needs_original_recheck,notes
2025朝阳期末,Q相关,假言推理,充分条件与必要条件综合,选择题：识别推理类型和错误,把充分条件否后式误认为新的推理类型；或把必要条件错读为充分,先看连接词→判断条件类型→对照有效式表格→确认是否违规,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/,YES_need_full_q_and_answer,cache有部分假言相关词条；需回原卷确认
2024顺义二模,Q12,选言推理,相容选言与不相容选言区分,复合判断识别+否定肯定式有效性判断,把"或者"（相容选言）当"要么"（不相容选言）处理；对相容选言使用肯定否定式（无效），①看关键词（或者=相容/要么=不相容）②相容：只有否定肯定式有效③不相容：两种式都有效,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/,NO_cache_confirmed,cache文本已确认题面内容包含选言推理选项
2024朝阳期中,Q相关,选言推理,相容/不相容选言识别,选择题：判断判断类型和逻辑关系,把包含刑法条文的"或者"误判为不相容选言；忽视实质语义只看关键词,看语义：选言肢是否可同时为真→是则相容选言→否则不相容选言,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/,YES_need_full_question,旧稿有定位；需回原卷确认题目
2024朝阳一模,Q相关,逻辑三律,矛盾律+排中律+同一律区分,选择题：找出违反哪条律的表述,"我不赞成所有人崇高也不赞成所有人没有崇高"→很多人判为矛盾律（实为排中律）；把偷换概念当矛盾律,①看是否自相矛盾（矛盾律）②看是否两不可骑墙（排中律）③看是否偷换概念/论题（同一律）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/,NO_cache_confirmed,讲评PPT cache已确认三律各选项对应关系；排中律选项B确认
2026顺义一模,Q相关,周延判断,谓项周延性判断,关系判断中谓项是否周延,把肯定判断的谓项判为周延（实际肯定谓项不周延），主项看量项（全称/单称周延→特称不周延）；谓项看联项（否定→周延；肯定→不周延）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/,NO_cache_confirmed,cache已确认"谓项是不周延的"选项C文本
2024丰台一模,Q相关,周延判断,概念/判断类型识别与周延综合,判断类型识别+周延+逻辑关系综合选择题,把假言判断误认为三段论；把属种关系误认为矛盾关系,先识别判断类型→再检查各选项陈述→对照周延规则和关系定义,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/,NO_cache_confirmed,cache已确认丰台一模试题答案含周延相关选项
2025朝阳期末,Q相关,换质换位,换质换位规则（两变两不变）,从一个判断推出换质/换位后的判断,换质时忘记谓项取反（非A）；换位时把不周延项变为周延项,换质：①联项取反②谓项取非③主项量项不变；换位：①联项不变②主谓互换③前提不周延的换位后也不周延,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/,YES_need_full_question,cache有朝阳期末相关内容；换质换位确认需回原卷
2024东城二模,Q相关,归纳推理,不完全归纳推理→或然性,不完全归纳推理与完全归纳推理的区别；归纳方法识别,把不完全归纳结论当必然结论；把求同法和求异法混淆,完全归纳→必然；不完全归纳→或然（结论可能错）；方法识别：求同（共同原因）/求异（差异决定）/共变（量变关联）,/Users/wanglifei/Desktop/2024模拟题/东城二模/,YES_need_full_question_and_answer,旧稿有归纳推理相关定位；需回原卷确认具体题目
2024朝阳期中,Q相关,类比推理,类比推理可靠性判断,判断类比推理结论可靠程度的高低,把类比根据数量多误认为结论必然；忽视共同属性是否是本质属性,①类比根据越多越好②共同属性越接近本质属性结论越可靠③确认的属性不应与结论属性相斥,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/,YES_need_full_question,旧稿有类比推理定位；需回原卷确认
2026海淀期中,Q相关,假言推理,充要条件四种有效式综合,综合判断充要条件推理,混淆充分/必要/充要三种条件；忘记充要条件四种式均有效,连接词识别→条件类型→查对应有效式表；充要条件：肯前/否后/否前/肯后都有效,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/,YES_need_full_question_and_answer,2026海淀期中已在source inventory；需找相关题目
