bucket,core_cluster,question_count,atom_count,source_questions,expression_accumulation
经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,13,16,2024东城一模 Q20；2024海淀期中 Q16(2)；2024西城一模 Q19(6)；2025房山一模 Q18(2)；2025昌平二模 Q21；2025朝阳一模 Q20；2025海淀期中 Q16(2)；2025西城期末 Q20(2)；2026房山一模 Q19；2026朝阳期末 Q20；2026海淀一模 Q20；2026西城一模 Q20(2)；2026门头沟一模 Q20,建设开放型世界经济，参与全球经济治理和规则制定；利用国际组织赋予的权利；积极参与全球经济治理和规则制定；为企业出海营造良好国际环境；对标国际规则，推进制度型开放，深入融入经济全球化；制度型开放；深入融入经济全球化。
经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,13,12,2024朝阳期中 Q20(3)；2025东城一模 Q20；2025延庆一模 Q20(2)；2025昌平二模 Q21；2025朝阳二模 Q21；2025朝阳期末 Q21；2025石景山一模 Q17(2)；2025西城一模 Q21(2)；2025西城二模 Q19(2)；2025门头沟一模 Q19；2026朝阳一模 Q20；2026石景山一模 Q20；2026顺义一模 Q20,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；开放、包容、普惠、平衡、共赢；让发展成果更普惠、更平衡、更共赢；让经济全球化更具活力；惠及全体人民。
经济全球化,推动贸易和投资自由化便利化,11,11,2024丰台一模 Q20；2024朝阳期中 Q20(3)；2024海淀一模 Q18(1)；2025东城一模 Q20；2025朝阳一模 Q20；2025朝阳二模 Q21；2026房山一模 Q19；2026朝阳一模 Q20；2026石景山一模 Q20；2026西城一模 Q20(2)；2026门头沟一模 Q20,推动贸易和投资自由化便利化；推动贸易投资自由化便利化；贸易投资自由化便利化；贸易投资便利化；贸易投资自由化；贸易投资便利化自由化；优化营商环境。
经济全球化,提升贸易投资合作质量和水平,1,1,2024东城一模 Q20,提升贸易投资合作质量和水平；贸易投资合作质量和水平。
经济全球化,维护产业链供应链安全稳定，形成多元稳定的国际经济格局和经贸关系,2,3,2024丰台一模 Q20；2025朝阳一模 Q20,维护产业链供应链安全稳定，形成多元稳定的国际经济格局和经贸关系；多元化布局；顺应经济全球化趋势；利用世界各地优势组织生产经营；产业链供应链安全；多元稳定国际经济格局；供应链金融创新缓解供应链资金短缺。
政治多极化,世界多极化深入发展与平等有序的世界多极化,4,4,2024海淀期中 Q21(2)；2025东城二模 Q20；2025延庆一模 Q20(2)；2025海淀期中 Q21(2),世界多极化深入发展与平等有序的世界多极化；政治多极化；经济全球化深入发展，和平与发展成为时代主题；世界之变；和平与发展仍是时代主题；国际局势变乱交织，面临诸多问题和挑战；局部动荡不断。
政治多极化,全球治理应坚持开放、合作、共享、共赢、包容和共商共建,1,1,2024朝阳二模 Q20,全球治理应坚持开放、合作、共享、共赢、包容和共商共建；全球治理应坚持开放；合作；共享；共赢；包容和共商共建；开放。
政治多极化,共商共建共享的全球治理观,12,12,2024朝阳二模 Q20；2025丰台二模 Q20；2025丰台期末 Q20；2025石景山一模 Q17(2)；2025顺义一模 Q20；2026东城期末 Q20；2026丰台一模 Q19；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026石景山一模 Q20；2026西城期末 Q20；2026通州期末 Q20,共商共建共享的全球治理观；共同商量、共同建设、共同分享；各国平等参与全球治理；建立公平合理的全球治理体系。
政治多极化,坚持共同但有区别的责任，发达国家应承担更多责任,1,1,2024朝阳二模 Q20,坚持共同但有区别的责任，发达国家应承担更多责任；不同国家发展阶段和具体情况不同；从各自实际出发；共同但有区别的责任；发达国家兑现承诺。
政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,11,12,2024朝阳二模 Q20；2024海淀期中 Q21(2)；2024西城二模 Q19；2025东城一模 Q20；2025东城二模 Q20；2025丰台二模 Q20；2025石景山一模 Q17(2)；2025顺义一模 Q20；2026丰台一模 Q19；2026朝阳期末 Q20；2026通州期末 Q20,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展；推动构建国际新秩序；倡导国际关系民主化；践行多边主义；推动构建更加公正合理的国际新秩序；国际关系民主化；多边主义。
政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,9,8,2024东城一模 Q16；2024朝阳一模 Q21；2025丰台期末 Q20；2025朝阳二模 Q21；2025海淀二模 Q21；2025门头沟一模 Q19；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026顺义一模 Q20,推动建设相互尊重、公平正义、合作共赢的新型国际关系；合作共赢的新型国际关系；互利共赢；共享发展成果；国际关系民主化要另看题目是否单独考。
中国,中国作为负责任大国积极参与全球治理并推动全球南方现代化,3,3,2024丰台二模 Q19；2025丰台二模 Q20；2026西城期末 Q20,中国作为负责任大国积极参与全球治理并推动全球南方现代化；积极参与全球气候治理，做全球气候治理的建设者；引领者和负责任大国；建设者；引领者；做负责任的大国；中国以最大发展中国家身份积极参与全球治理并推动全球南方现代化。
中国,中国平等开放、合作共享的全球治理理念,1,1,2024朝阳期中 Q20(3),中国平等开放、合作共享的全球治理理念；中国平等开放；合作共享的全球治理理念；平等开放；合作共享；全球治理理念；中国发展新机遇。
中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,7,10,2024朝阳一模 Q21；2024海淀期中 Q21(2)；2024西城一模 Q19(6)；2025朝阳二模 Q21；2025海淀期中 Q21(2)；2026丰台一模 Q19；2026朝阳期中 Q17,中国特色大国外交；习近平外交思想；独立自主和平外交政策；维护世界和平、促进共同发展；和平共处五项原则；主权、安全、发展利益；周边命运共同体。
中国,中非携手推进现代化,1,1,2025丰台期末 Q20,中非携手推进现代化；中非现代化；材料事实。
中国,国际发展合作、南南合作与“小而美”项目,6,6,2025西城二模 Q19(2)；2025门头沟一模 Q19；2025顺义一模 Q20；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026西城期末 Q20,国际发展合作、南南合作与“小而美”项目；坚持正确义利观；改善发展中国家民生；增强全球发展内生动力；共享发展新机遇；小而美、惠民生、可持续；和平、发展、合作、共赢是时代潮流。
中国,坚定维护本国利益，坚持互利共赢、和平谈判并推动贸易自由便利,1,1,2025东城期末 Q20,坚定维护本国利益，坚持互利共赢、和平谈判并推动贸易自由便利；坚定维护本国利益，坚持互利共赢；和平谈判并推动贸易自由便利；维护本国利益；互利共赢；和平谈判方式；推动贸易自由便利。
中国,坚持正确义利观，在发展合作中义利相兼、互利共赢,3,2,2025朝阳期末 Q21；2026朝阳期中 Q17；2026通州期末 Q20,坚持正确义利观；义利相兼、互利共赢；兼顾他国合理关切；在国际合作中既讲共同利益又重国际道义。
中国,推动构建人类命运共同体,21,28,2024东城一模 Q16；2024东城二模 Q20；2024丰台二模 Q19；2024海淀期中 Q21(2)；2024西城二模 Q19；2025东城一模 Q20；2025东城二模 Q20；2025丰台期末 Q20；2025延庆一模 Q20(2)；2025朝阳二模 Q21；2025朝阳期末 Q21；2025海淀期中 Q21(2)；2025海淀期末 Q22；2025门头沟一模 Q19；2026东城期末 Q20；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026朝阳期中 Q17；2026石景山一模 Q20；2026通州期末 Q20；2026顺义一模 Q20,推动构建人类命运共同体；人类命运共同体理念；建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界；四大全球倡议围绕发展、安全、文明、治理系统发力；同球共济；命运与共；周边命运共同体。
中国,改善民生、促进就业和经济社会发展，提升当地民众获得感,1,1,2025顺义一模 Q20,改善民生、促进就业和经济社会发展，提升当地民众获得感；改善民生；促进就业和经济社会发展，提升当地民众获得感；中老铁路安居村；200口井；中国园林；公共卫生。
中国,自觉履行国际义务，遵循国际法，承担国际责任,1,1,2026西城期末 Q20,自觉履行国际义务，遵循国际法，承担国际责任；履行国际义务；遵循国际法；承担国际责任。
中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,5,5,2024丰台二模 Q19；2025西城一模 Q21(1)；2026朝阳一模 Q20；2026西城期末 Q20；2026通州期末 Q20,贡献中国智慧、中国方案、中国力量与全球倡议体系；贡献中国智慧；中国方案；勇于大国担当；中国智慧；大国担当；大国责任与担当。
联合国,《联合国宪章》宗旨和原则,5,5,2024东城二模 Q20；2025丰台二模 Q20；2025海淀二模 Q21；2026丰台一模 Q19；2026通州期末 Q20,《联合国宪章》宗旨和原则；符合《联合国宪章》宗旨和原则；符合《联合国宪章》；坚定维护以联合国为核心的国际体系；维护《联合国宪章》宗旨和原则；支持联合国工作；支持联合国改革。
联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,3,4,2025朝阳期末 Q21；2025海淀二模 Q21；2025石景山一模 Q17(2),以联合国为核心的国际体系、联合国作用与中国的联合国身份；最具普遍性、代表性和权威性的政府间国际组织；集体安全机制核心；实践多边主义最佳场所；和平与安全、发展、人权三大支柱；中国作为联合国创始会员国和安理会常任理事国。
联合国,维护联合国在国际事务中的核心作用，完善全球治理体系,1,1,2026西城期末 Q20,维护联合国在国际事务中的核心作用，完善全球治理体系；维护联合国的核心作用；完善全球治理体系。
联合国,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台,1,1,2025海淀二模 Q21,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台；提供平台；创造良好外部环境；中国也是受益者。
