question,bucket,core,atom_id,scoring_position,evidence_level,status,source_boundary,boundary_note
2025海淀期中 Q21(2),中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,ATOM-B20,内嵌图片image8不变第2组宗旨目标准则,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,do_not_merge_with_era_theme_ATOM_B02
2024东城一模 Q16,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,ATOM-B21,试题分析PPT slide26阅卷细则中论证层可得1分,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_marking_details,cross_book_prompt_not_standard_xuanbiyi_question
2024东城一模 Q16,中国,推动构建人类命运共同体,ATOM-B22,试题分析PPT slide26阅卷细则中论证层可得1分,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_marking_details,keep_evidence_level_visible
2024东城一模 Q20,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-B23,试题分析PPT slide64第3点,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_scoring_info,high_level_opening_excluded_as_boundary
2024东城一模 Q20,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-B24,试题分析PPT slide64第4点,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_scoring_info,keep_P2_label
2024东城一模 Q20,经济全球化,提升贸易投资合作质量和水平,ATOM-B25,试题分析PPT slide64第4点,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_scoring_info,boundary_with_required_economics_terms
2026朝阳期中 Q17,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,BOUNDARY-B01,第二层发展端分说2，本项目不作为选必一主链术语,P0_formal_scoring_rule_boundary,excluded_boundary_subpoint,formal_scoring_docx_but_cross_module_boundary,prevents_false_missing_subpoint_without_promoting_cross_module_terms
2026朝阳一模 Q20,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,ATOM-C01,第20题第①点2分(1+1)必答点,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,not_merge_with_generic_global_supply_chain_result
2026朝阳一模 Q20,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,ATOM-C02,第20题第②点1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,avoid_duplicate_count_with_HMC_same_section
2026朝阳一模 Q20,中国,国际发展合作、南南合作与“小而美”项目,ATOM-C03,第20题第②点1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,not_a_general_empty_result_phrase
2026朝阳一模 Q20,中国,推动构建人类命运共同体,ATOM-C04,第20题第②点1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,independent_core_not_initiative_subordinate
2026朝阳一模 Q20,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-C05,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,keep_P0_source_variant
2026朝阳一模 Q20,经济全球化,推动贸易和投资自由化便利化,ATOM-C06,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,high_level_opening_excluded_as_boundary
2026朝阳一模 Q20,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,ATOM-C07,朝阳第20题第③点1分;顺义第20题国际经济角度,P0_formal_scoring_rule,candidate_with_fixes,mixed_formal_docx_pptx,Shunyi_short_phrase_is_variant_not_core
2026顺义一模 Q20,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,ATOM-C07,朝阳第20题第③点1分;顺义第20题国际经济角度,P0_formal_scoring_rule,candidate_with_fixes,mixed_formal_docx_pptx,Shunyi_short_phrase_is_variant_not_core
2026朝阳一模 Q20,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,ATOM-C08,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,candidate_with_fixes,mixed_formal_docx_pptx,do_not_merge_with_common_interests_theory
2026顺义一模 Q20,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,ATOM-C08,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,candidate_with_fixes,mixed_formal_docx_pptx,do_not_merge_with_common_interests_theory
2026朝阳一模 Q20,政治多极化,共商共建共享的全球治理观,ATOM-C09,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,do_not_merge_with_global_governance_view_M02
2026朝阳一模 Q20,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,ATOM-C10,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,may_merge_later_with_factor_flow_core
2026朝阳一模 Q20,时代背景,和平与发展仍是时代主题,ATOM-C11,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,candidate_with_fixes,mixed_formal_docx_pptx,do_not_merge_with_China_diplomacy_purpose
2026顺义一模 Q20,时代背景,和平与发展仍是时代主题,ATOM-C11,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,candidate_with_fixes,mixed_formal_docx_pptx,do_not_merge_with_China_diplomacy_purpose
2026顺义一模 Q20,理论,国家间共同利益是国家合作的基础,ATOM-C12,幻灯片9共同利益1分必答,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_pptx,do_not_merge_with_correct_yiliguan
2026顺义一模 Q20,中国,推动构建人类命运共同体,ATOM-C13,幻灯片9国际政治3分同一评分功能位,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_pptx,do_not_duplicate_frequency_across_M05_M06_M13
2025海淀二模 Q21,联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,ATOM-C14,中国需要联合国第1点2分任意两条,P1_structured_scoring_answer_plus_P0_marking_record_support,candidate_with_fixes,structured_scoring_answer_docx_plus_marking_record,not_pure_P0_frequency
2025海淀二模 Q21,联合国,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台,ATOM-C15,中国需要联合国第2点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,candidate_with_fixes,structured_scoring_answer_docx_plus_marking_record,meaning_understanding_not_verbatim_required
2025海淀二模 Q21,联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,ATOM-C16,联合国需要中国第1点中国地位1分,P1_structured_scoring_answer_plus_P0_marking_record_support,candidate_with_fixes,structured_scoring_answer_docx_plus_marking_record,not_pure_P0_frequency
2025海淀二模 Q21,联合国,《联合国宪章》宗旨和原则,ATOM-C17,联合国需要中国第2点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,candidate_with_fixes,structured_scoring_answer_docx_plus_marking_record,not_pure_P0_frequency
2025海淀二模 Q21,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,ATOM-C18,联合国需要中国第3点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,candidate_with_fixes,structured_scoring_answer_docx_plus_marking_record,avoid_duplicate_count_with_variants_same_point
2025海淀期末 Q22,中国,推动构建人类命运共同体,ATOM-C19,教师研修PPT slide61-62可选知识,P2_teaching_lecture_with_q22_rubric,candidate_with_fixes,teacher_training_ppt_optional_knowledge,not_mandatory_not_P0_frequency
2026西城期末 Q20,中国,中国作为负责任大国积极参与全球治理并推动全球南方现代化,ATOM-D01,角度一“中国实践是什么”第1点1分,P0_formal_scoring_rule_visual,candidate_with_fixes,formal_scoring_pdf_visual_prompt_support_separate,climate_governance_trigger_required_not_generic_slogan
2026西城期末 Q20,中国,坚持绿色发展理念，发挥有为政府和有效市场作用推进绿色低碳转型,ATOM-D02,角度一“中国实践是什么”第2点1分,P0_formal_scoring_rule_visual,boundary_only,formal_scoring_pdf_visual_prompt_support_separate,not_in_xuanbiyi_core_term_frequency_not_in_six_bucket_student_core
2026西城期末 Q20,中国,国际发展合作、南南合作与“小而美”项目,ATOM-D03,角度二“为什么参与”4选3第1项1分,P0_formal_scoring_rule_visual,candidate_with_fixes,formal_scoring_pdf_visual_prompt_support_separate,optional_group_4_choose_3_do_not_split_nontraditional_security_frequency
2026西城期末 Q20,理论,国家间共同利益是国家合作的基础,ATOM-D04,角度二“为什么参与”4选3第2项1分,P0_formal_scoring_rule_visual,candidate_with_fixes,formal_scoring_pdf_visual_prompt_support_separate,optional_group_4_choose_3_do_not_merge_with_correct_yiliguan
2026西城期末 Q20,政治多极化,共商共建共享的全球治理观,ATOM-D05,角度二“为什么参与”4选3第3项1分,P0_formal_scoring_rule_visual,candidate_with_fixes,formal_scoring_pdf_visual_prompt_support_separate,main_bucket_china_crossref_political_multipolarity_and_UN_only;do_not_split_six_variants_frequency
2026西城期末 Q20,中国,自觉履行国际义务，遵循国际法，承担国际责任,ATOM-D06,角度二“为什么参与”4选3第4项1分,P0_formal_scoring_rule_visual,candidate_with_fixes,formal_scoring_pdf_visual_prompt_support_separate,optional_group_4_choose_3_separate_from_value_concept_slot_D05
2026西城期末 Q20,中国,促进全球可持续发展，建设清洁世界,ATOM-D07,角度三“效果怎么样”第1点1分,P0_formal_scoring_rule_visual,result_expression_only,formal_scoring_pdf_visual_prompt_support_separate,not_independent_high_frequency_core_unless_later_P0_repeats_as_reusable_core
2026西城期末 Q20,联合国,维护联合国在国际事务中的核心作用，完善全球治理体系,ATOM-D08,角度三“效果怎么样”第2点1分,P0_formal_scoring_rule_visual,candidate_with_fixes,formal_scoring_pdf_visual_prompt_support_separate,keep_UN_core_role_explicit_not_generic_multilateralism
2026西城期末 Q20,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,ATOM-D09,角度三“效果怎么样”第3点1分,P0_formal_scoring_rule_visual,candidate_with_fixes,formal_scoring_pdf_visual_prompt_support_separate,climate_governance_variant_avoid_duplicate_effect_frequency_with_D07
2024海淀一模 Q18(1),经济全球化,推动贸易和投资自由化便利化,ATOM-E01,Q18(1)措施加知识替代表,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,do_not_count_Q17_loose_opening_phrase
2024海淀一模 Q18(1),经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-E02,Q18(1)措施加知识替代表,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,keep_high_information_phrase_not_compress_to_opening
2026海淀一模 Q20,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-E03,Q20结构化答案第1层,P1_structured_answer_in_scoring_file_plus_P3_visual_prompt,candidate_with_fixes,structured_answer_pdf_plus_visual_prompt_support,keep_P1_plus_P3_not_auto_P0_after_visual_prompt_check
2026海淀一模 Q20,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-E04,Q20结构化答案第2层,P1_structured_answer_in_scoring_file_plus_P3_visual_prompt,candidate_with_fixes,structured_answer_pdf_plus_visual_prompt_support,keep_P1_plus_P3_not_auto_P0_and_do_not_genericize_standard_material
2024海淀二模 Q18(1),政治多极化,世界多极化深入发展与平等有序的世界多极化,ATOM-E-B01,Q18(1)宽泛答案角度,P1_answer_in_scoring_file_needs_boundary,boundary_only,answer_only_open_comment_no_detailed_rubric,not_counted_as_frequency_or_core_atom
2025海淀一模 Q21(2),经济全球化,推动贸易和投资自由化便利化,ATOM-E-B02,Q21(2)参考答案与学生错误提醒,P1_reference_plus_P0_marking_caution,reference_only,reference_answer_not_formal_rubric,positive_answer_not_promoted_to_P0;negative_warning_kept_as_boundary
2026海淀期中 Q22,联合国,《联合国宪章》宗旨和原则,ATOM-E-B03,Q22纸面答案无正式细则,P3_paper_answer_doc_no_scoring_source,reference_only,paper_answer_only_no_scoring_source,do_not_count_as_P0_frequency_until_scoring_source_found
2026西城一模 Q20(2),经济全球化,推动贸易和投资自由化便利化,ATOM-XC01,标准规则2分中的两层,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,keep_standard_rules_as_material_trigger_not_standalone_empty_label
2026西城一模 Q20(2),经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,ATOM-XC02,产业链供应链3分中的前两层,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,产业就业只作结果支撑不单列选必一术语
2026西城一模 Q20(2),经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-XC03,综合对区域1分替代表述,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,区域经济转型升级和增强竞争力可作结果 不替代规则话语权核心
2026西城一模 Q20(2),经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-XC04,综合对世界1分同槽表述,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,共同利益只作本题世界意义同槽替代表述 不反向并入理论桶“共同利益是国家合作的基础”；多边主义和全球经济治理体系改革保留完整表述
2025西城一模 Q21(1),理论,国家间共同利益是国家合作的基础,ATOM-XC05,总体解释2分,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,新发展理念内涵只作材料支撑不升选必一核心术语
2025西城一模 Q21(1),中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,ATOM-XC06,对世界的意义2分,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,不得把中国经验泛化为空洞大国担当
2025西城一模 Q21(2),经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,ATOM-XC07,举例说明2分中的说明1分,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,核心名保留完整五词 不压缩成经济全球化正确方向
2025西城二模 Q19(2),中国,国际发展合作、南南合作与“小而美”项目,ATOM-XC08,中国担当3分,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,发展是总钥匙不单列为本批采分原子
2025西城二模 Q19(2),经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,ATOM-XC09,世界意义2分任意点,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,普惠包容是完整核心的表述积累 不另造低信息标签
2025西城期末 Q20(2),经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-XC10,利用规则维权角度,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,题干写企业 不扩展为政府职责除非后续源文件明示
2025西城期末 Q20(2),时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,ATOM-XC11,市场多元化和走出去角度,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,技术创新和产品质量是企业实践支撑 不升选必一主术语
2024西城二模 Q19,时代背景,和平与发展仍是时代主题,ATOM-XC12,第一句1分多选一,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,本题命运与共表述并入和平与发展核心表述积累 不拆三条
2024西城二模 Q19,中国,推动构建人类命运共同体,ATOM-XC13A,第二句多选二每点2分中的人类命运共同体超越逻辑组,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,第二句为多选二 本组是表述积累中的一组 不等于必答频次
2024西城二模 Q19,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,ATOM-XC13B,第二句多选二每点2分中的国际秩序和民主化组,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,真正的多边主义和全球治理只作本组表述积累 不吞并联合国桶或独立多边主义语义
2024西城一模 Q19(6),经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-XC14,机遇2分多选一,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,题干是经济角度 所以保留混模块边界说明
2024西城一模 Q19(6),中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,ATOM-XC15,挑战2分多选一,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,国家安全在本题作为国际竞争风险变体 不另造新主线
2024西城一模 Q19(6),经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-XC16,助推作用6分多选三中的规则话语权点,P0_formal_scoring_rule_text,candidate_with_fixes,formal_scoring_docx_with_paper_text_support,助推作用6分为多选三 技术标准和贸易规则话语权、制度型开放、产品服务国际竞争力不得全计为同一必答频次；产品服务国际竞争力优先作结果表述
2025西城一模 Q18,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-XC-B01,《经济与社会》题细则中的物质条件和市场层,P0_formal_scoring_rule_text_but_wrong_book_prompt,boundary_only,formal_scoring_docx_with_paper_text_support,题干不是当代国际政治与经济 不进入选必一正式频次
2026东城期末 Q20,中国,推动构建人类命运共同体,ATOM-DC01,学理层面总句,P0_formal_scoring_rule_pptx,candidate_with_fixes,formal_scoring_pptx_with_paper_text_support,总句是学理层面 不替代四大倡议分项给分
2026东城期末 Q20,政治多极化,共商共建共享的全球治理观,ATOM-DC02,四大倡议4分中的发展倡议1分,P0_formal_scoring_rule_pptx,candidate_with_fixes,formal_scoring_pptx_with_paper_text_support,四大倡议共同挂入全球倡议系统推动构建人类命运共同体父核心；发展倡议1分 不并成普通大国担当
2026东城期末 Q20,中国,推动构建人类命运共同体,ATOM-DC03,四大倡议4分中的安全倡议1分,P0_formal_scoring_rule_pptx,candidate_with_fixes,formal_scoring_pptx_with_paper_text_support,作为中国倡议/方案分项 不流入时代背景桶 不单独扩写联合国安全机制
2026东城期末 Q20,中国,推动构建人类命运共同体,ATOM-DC04,四大倡议4分中的文明倡议1分,P0_formal_scoring_rule_pptx,candidate_with_fixes,formal_scoring_pptx_with_paper_text_support,文明互鉴是中国倡议分项 不转入必修四文化主链
2026东城期末 Q20,中国,推动构建人类命运共同体,ATOM-DC05,四大倡议4分中的治理倡议1分,P0_formal_scoring_rule_pptx,candidate_with_fixes,formal_scoring_pptx_with_paper_text_support,保留全球治理倡议完整表述 不压缩成“全球治理”泛帽子
2026东城期末 Q20,中国,推动构建人类命运共同体,ATOM-DC06,系统推动2分和实践层面1分,P0_formal_scoring_rule_pptx,candidate_with_fixes,formal_scoring_pptx_with_paper_text_support,系统推动和实践层面另给分 是父核心下的结构层 不被四个分项吞掉
2024东城二模 Q20,中国,推动构建人类命运共同体,ATOM-DC07A,全球发展倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,candidate_with_fixes,P0_marking_summary_plus_visual_prompt,已视觉核读原卷第10页；本倡议2分=路径1分+效果1分
2024东城二模 Q20,联合国,《联合国宪章》宗旨和原则,ATOM-DC07B,全球安全倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,candidate_with_fixes,P0_marking_summary_plus_visual_prompt,已视觉核读原卷第10页；联合国宪章是本分项路径依据 不另造联合国频次
2024东城二模 Q20,中国,推动构建人类命运共同体,ATOM-DC07C,全球文明倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,candidate_with_fixes,P0_marking_summary_plus_visual_prompt,已视觉核读原卷第10页；文明分项作选必一倡议路径 不转入必修四文化主链
2024东城二模 Q20,时代背景,在动荡变化的时代为国际社会注入稳定性和确定性,ATOM-DC08,阅卷总结总论1分中的现实意义,P0_marking_summary_docx_with_visual_paper_prompt,candidate_with_fixes,P0_marking_summary_plus_visual_prompt,总论1分可前可后 不拆成多个频次
2025东城二模 Q20,政治多极化,世界多极化深入发展与平等有序的世界多极化,ATOM-DC09,第一层背景2分及替代表述1分,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,和平与发展和世界多极化在本题是背景替代层级
2025东城二模 Q20,中国,推动构建人类命运共同体,ATOM-DC10,第二层精神4分中的两点,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,共同利益不能反向泛化为所有合作万能模板
2025东城二模 Q20,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,ATOM-DC11,第三层行动2分及替代表述,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,国际关系民主化和和平解决争端是替代表述 不重复刷频
2025东城一模 Q20,经济全球化,推动贸易和投资自由化便利化,ATOM-DC12,第一层4分中的共同利益2分及替代,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,具体合作只作替代层级 不反向替代共同利益
2025东城一模 Q20,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,ATOM-DC13,第一层4分中的经济全球化方向2分,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,高水平对外开放和高质量发展只作边界表述
2025东城一模 Q20,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,ATOM-DC14,第二层2分及替代,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,不与人类命运共同体实践层混成一条
2025东城一模 Q20,中国,推动构建人类命运共同体,ATOM-DC15,第三层2分,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,作为中国外交实践层 不吞并前两层经济和治理点
2025东城期末 Q20,经济全球化,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力,ATOM-DC16,第一层中国贡献2分,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,绿色贡献可作材料支撑 不单独升为选必一术语
2025东城期末 Q20,时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,ATOM-DC17,第二层批判欧盟行为2分,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,不得使用试卷普通解析冒充细则
2025东城期末 Q20,中国,坚定维护本国利益，坚持互利共赢、和平谈判并推动贸易自由便利,ATOM-DC18,第三层我国态度和做法2分,P0_formal_scoring_rule_pdf_text,candidate_with_fixes,formal_scoring_pdf_with_paper_text_support,与西城汽车贸易壁垒题同类但本题是短文认识类
2026东城一模 Q19(3),经济全球化,维护产业链供应链安全稳定，形成多元稳定的国际经济格局和经贸关系,ATOM-DC-B01,评标细则4+3+1的开放促进韧性与韧性支撑开放,P0_formal_scoring_rule_pptx_but_mixed_module,boundary_only,formal_scoring_pptx_with_paper_text_support,未来产业、高水平对外开放、产业链韧性和高质量发展不直接计入选必一主链频次
