review_id,bucket,status,question,sentence_exact_in_19,question_key_in_19
149,政治多极化,✅高度匹配,2025东城二模Q20（国际关系民主化）,YES,YES
150,政治多极化,✅高度匹配,2025延庆一模Q20(2)（世界多极化）,YES,YES
151,政治多极化,✅高度匹配,2026通州期末Q20,YES,YES
152,政治多极化,⚠部分匹配,2026西城二模Q19(2),YES,YES
153,政治多极化,✅基本匹配,2025朝阳期末Q21（国际秩序公正合理）,YES,YES
154,中国,✅高度匹配,2026朝阳期中Q17,YES,YES
155,中国,⚠部分匹配,2024朝阳一模Q21,YES,YES
156,中国,✅基本匹配,2026通州期末Q20,YES,YES
157,中国,✅高度匹配,2025东城二模Q20同球共济小论文,YES,YES
158,中国,⚠部分匹配,2026西城期末Q20——参与全球气候治理中的中国实践,YES,YES
159,中国,✅高度匹配,2024丰台二模Q19,YES,YES
160,中国,✅基本匹配,2026顺义一模Q20,YES,YES
161,中国,✅高度匹配,2025西城一模Q21,YES,YES
162,中国,⚠部分匹配,2026顺义二模Q20,YES,YES
163,中国,✅高度匹配,2026朝阳期中Q17,YES,YES
164,中国,⚠部分匹配,2025西城二模Q19(2),YES,YES
165,中国,✅基本匹配,2025海淀二模Q21,YES,YES
166,中国,⚠部分匹配,2025顺义一模Q20,YES,YES
167,中国,✅高度匹配,2026丰台一模Q19（正确义利观）,YES,YES
168,中国,✅基本匹配,2025海淀期中Q21(2),YES,YES
169,中国,✅高度匹配,2025朝阳期末Q21,YES,YES
170,中国,✅高度匹配,2025海淀期中Q21(2),YES,YES
171,中国,❌细则无支撑片段,2026朝阳期末Q20,YES,YES
172,中国,✅高度匹配,2025海淀期中Q21(2),YES,YES
173,中国,✅基本匹配,2025海淀期中Q21(2)〔本题可同时联系外交政策层与准则层〕,YES,YES
174,中国,✅基本匹配,2025顺义一模Q20〔本题只写政策层〕,YES,YES
175,中国,✅高度匹配,2026顺义二模Q20〔本题只写政策层〕,YES,YES
176,中国,✅高度匹配,2025朝阳期末Q21〔本题可同时联系外交政策层与准则层〕,YES,YES
177,中国,✅基本匹配,2025海淀期中Q21(2)〔本题可同时联系外交政策层与准则层〕,YES,YES
178,中国,✅高度匹配,2025西城二模Q19(2),YES,YES
179,中国,✅高度匹配,2025东城一模Q20,YES,YES
180,中国,✅基本匹配,2025东城二模Q20,YES,YES
181,中国,✅高度匹配,2026朝阳一模Q20中国为全球发展注入稳定性和正能量,YES,YES
182,中国,✅高度匹配,2025丰台二模Q20,YES,YES
183,中国,✅高度匹配,2026丰台一模Q19,YES,YES
184,中国,✅基本匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,YES,YES
185,中国,✅高度匹配,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",YES,YES
186,中国,✅基本匹配,"2025顺义一模Q20——""小而美""项目为何成为中国开展国际发展合作的亮点和名片",YES,YES
187,中国,✅高度匹配,2024顺义思政二模Q19(2),YES,YES
188,中国,✅高度匹配,2024东城二模Q20,YES,YES
189,中国,✅高度匹配,2026顺义二模Q20,YES,YES
190,中国,✅高度匹配,2026顺义一模Q21,YES,YES
191,中国,✅高度匹配,2025延庆一模Q20(2)（人类命运共同体）,YES,YES
192,中国,✅高度匹配,2026通州期末Q20（人类命运共同体担当）,YES,YES
193,中国,✅高度匹配,2025海淀二模Q21,YES,YES
194,中国,✅基本匹配,2026东城期末Q20四大全球倡议系统推动构建人类命运共同体（全球发展倡议子项）,YES,YES
195,中国,✅基本匹配,2026朝阳一模Q20中国为全球发展注入稳定性和正能量,YES,YES
196,中国,✅高度匹配,2026朝阳一模Q20,YES,YES
197,中国,✅基本匹配,2025顺义一模Q20,YES,YES
198,中国,✅基本匹配,2026顺义二模Q20,YES,YES
199,中国,✅基本匹配,2025顺义一模Q20,YES,YES
200,中国,✅高度匹配,2026东城期末Q20,YES,YES
201,中国,✅基本匹配,2026东城期末Q20,YES,YES
202,中国,✅高度匹配,2024东城二模Q20,YES,YES
203,中国,⚠部分匹配,2026海淀二模Q20(2),YES,YES
204,中国,✅基本匹配,2026东城期末Q20,YES,YES
205,中国,✅高度匹配,2024东城二模Q20,YES,YES
206,中国,✅基本匹配,2026东城期末Q20,YES,YES
207,中国,✅基本匹配,2024东城二模Q20,YES,YES
208,中国,✅基本匹配,2026东城期末Q20,YES,YES
209,中国,✅基本匹配,2026东城期末Q20,YES,YES
210,中国,✅高度匹配,2025丰台二模Q20,YES,YES
211,中国,❌细则无支撑片段,2026顺义一模Q20,YES,YES
212,中国,✅高度匹配,2025丰台二模Q20,YES,YES
213,中国,⚠部分匹配,2026西城期末Q20,YES,YES
214,中国,✅基本匹配,2026西城期末Q20,YES,YES
215,中国,⚠部分匹配,2026西城期末Q20,YES,YES
216,中国,✅高度匹配,2024丰台二模Q19,YES,YES
217,中国,✅高度匹配,2026丰台一模Q19,YES,YES
218,中国,✅基本匹配,2025顺义一模Q20,YES,YES
219,中国,❌细则无支撑片段,2026门头沟一模Q21,YES,YES
220,中国,❌细则无支撑片段,2024朝阳一模Q21,YES,YES
221,中国,✅基本匹配,2025顺义一模Q20,YES,YES
222,中国,⚠部分匹配,2025西城一模Q21,YES,YES
223,中国,✅高度匹配,2026丰台期末Q20（中拉命运共同体）,YES,YES
224,中国,✅基本匹配,2026丰台期末Q20（全球发展倡议）,YES,YES
225,中国,✅高度匹配,2025朝阳期末Q21中国特色大国外交营造良好外部环境（外部文化与国际舆论环境）,YES,YES
226,中国,✅基本匹配,2026西城二模Q19(1),YES,YES
227,联合国,✅高度匹配,2026通州期末Q20,YES,YES
228,联合国,✅高度匹配,2025海淀二模Q21,YES,YES
229,联合国,✅高度匹配,2025丰台二模Q20,YES,YES
230,联合国,✅高度匹配,2025海淀二模Q21,YES,YES
231,联合国,✅高度匹配,2025丰台二模Q21（联合国地位）,YES,YES
232,联合国,✅高度匹配,2025海淀二模Q21,YES,YES
233,联合国,✅高度匹配,2025丰台二模Q21（联合国对中国独特贡献）,YES,YES
234,联合国,✅高度匹配,2026丰台一模Q19,YES,YES
235,联合国,✅高度匹配,2025丰台二模Q21（中国身份）,YES,YES
236,联合国,✅高度匹配,2025丰台二模Q21（中国对联合国反向支撑）,YES,YES
237,联合国,✅高度匹配,2026丰台期末Q20（联合国为核心的国际体系）,YES,YES
