flag_order,review_para,bucket,core,question,sentence,hit,missing_clause,rubric_excerpt
17,122,政治多极化,国际组织（出现1次）,2024海淀二模Q18(1),金砖国家、二十国集团、上海合作组织等国际组织和合作机制作用增强，为全球南方国家表达诉求、参与全球治理、推动治理民主化提供了重要平台。,· 最长命中片段（4 字）：国际组织,为全球南方国家表达诉求、参与全球治理、推动治理民主化提供了重要平台,（1）【答案】 可从时代主题、世界多极化、人类命运共同体、国际组织等角度作答。 （1）【细则】
18,129,政治多极化,在平等互利基础上开展合作，实现互利共赢（出现2次）,2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,中方主张通过磋商解决中欧新能源汽车贸易争端，坚持互利共赢，避免以单边关税破坏开放合作的国际经贸环境。,· 最长命中片段（5 字）：新能源汽车,避免以单边关税破坏开放合作的国际经贸环境,20.运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认 识（8分） • 评分细则：短文题目1分；分三段1分； • 第一层 中国的贡献（2分） • ①阐述我国新能源汽车产业的发展对世界经济的贡献： • 促进资源优化配置/促进国际贸易/为世界新能源产业注入活力/让经济全球化 更有活力 2分 • （替代：只说我国新能源汽车产业发展好，阐述不充分1分） • ②说明我国用行动为世界气候/环境/绿色/生态保护做贡献 1分 • 第二层：批判欧盟行为(2分） • ①界定欧盟的行为：违背经济规律/贸易保护主义/逆全球化1分 • ②带来的不良影响：破坏市场竞争/破坏市场秩序/不利于自身的发展/损害
19,136,政治多极化,坚持主权平等与安全保障（出现1次）,2026西城二模Q19(2),各国应坚持主权平等，尊重各国数据治理权利，在保障数据安全的前提下促进数据合理流动。,· 最长命中片段（7 字）：坚持主权平等，,,19. 1纟 结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。 （6分） 中国发起成立世界数据组织，顺应数字经济全球化发展趋势，助力弥合全球数字鸿沟，释放数据价值， 促进全球数字经济协同发展，弘扬全人类共同价值。（三选一，1分+材料分析1分）我国发挥自身数 据治理实践优势，秉持共商共建共享，在坚决维护我国数据安全与发展利益基础上，推动构建公正合 理的全球数据治理新秩序，践行人类命运共同体理念，展现大国责任担当。（ （任意三，3分） 【细则】 ①背景解释（2分）: 全球化发展趋势，1分（替代：和平与发展/全人类共同价值/人类共同利益）； 结合材料分析，1分 ②对宗旨原则加以说明（
20,142,中国,坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展,2024朝阳一模Q21,面对地缘政治动荡、保护主义上升和经贸科技交流政治化，中国应坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局。,· 最长命中片段（7 字）：总体国家安全观,面对地缘政治动荡、保护主义上升和经贸科技交流政治化；统筹发展与安全,21题【评分细则】4+5=９分 分析我国当前经济形势：4分 思路：经济增速稳健（１分）——经济发展进入高质量发展阶段（１分）——我国发展面临风险挑战（１分）——对世界经济贡献稳步提升（１分） 进入新时代，我国经济长期向好的基本面没有变：经济总量持续增长、经济增速保持稳健，（每句均可得１分，替代：经济积极向好／经济稳步向前／国内生产总值持续上升／增速较高）进入了以创新、协调、绿色、开放、共享的新发展理念引领的高质量发展阶段（１分）。我国发展的外部环境日趋严峻、风险挑战增多，（每句均可得１分）但依然保持强大韧性和良好势头，在世界经济中的地位和贡献稳步提升。（每句均可得１分，替代：保持良好势头／为世
21,149,中国,贡献中国智慧、中国方案、中国力量（出现7次）,2026西城期末Q20——参与全球气候治理中的中国实践,中国通过构建全国碳市场、完善碳交易机制和推进气候适应行动，为全球气候治理提供可借鉴的中国方案。,· 最长命中片段（6 字）：全球气候治理,中国通过构建全国碳市场、完善碳交易机制和推进气候适应行动,20.（8分) 中国是全球气候治理的积极建设者与引领者，为全球生态文明建设、完善全球气候治 理体系贡献了中国力量。中国坚持绿色发展，根据自身实际自主提出气候治理行动目 标，推动国内能源、产业、市场等全方位低碳转型，自觉履行国际义务，承担大国费 任。中国坚持共商共建共享，积极落实《巴黎协定》，以多边合作共同应对气候变化， 维护联合国在国际事务中的核心作用，促进全球可持续发展，推动构建人类命运共同体。 【细则】 角度1：中国实践是什么，2分： 北京市西城区2025一2026学年度第一学期期末试卷高三思想政治签案及评分参考第4页（共4页） --- p-4.png --- 在全球气候治理中，中国的角色
22,156,中国,贡献中国智慧、中国方案、中国力量（出现7次）,2026顺义二模Q20,中国把中国式现代化的新蓝图和发展实践转化为可感可及的合作项目，为人类走向未来贡献中国智慧、中国方案和中国力量。,· 最长命中片段（7 字）：中国式现代化的,,20.（8分） 可从共商共建共享、新型国际关系，独立自主的外交政策，世界经济发展的重要推动者，中国智慧的生动实践，让经济全球化更有活力等角度做答。 等级水平 等 级 描 述 水平4 观点鲜明，能明确表达自己的见解;紧扣问题，综合运用所学知识展开论述；逻辑严密，条理清晰 水平3 观点比较明确，能表达自己的见解;能扣住问题展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 观点不明确;论述不能集中指向问题，罗列知识;知识运用不正确；论述缺乏逻辑，条理性差 水平1 应答与试题无关;或重复试题内容;或没有应答 【答案示例】总-分-总结构 “今天的中国，明天的世界”深刻揭示了中国发展与世界未来的紧密
23,162,中国,坚持正确义利观（出现5次）,2025西城二模Q19(2),中国向最不发达国家开放广阔市场，坚持正确义利观，在追求自身发展的同时帮助发展中国家获得更多贸易机会。,· 最长命中片段（7 字）：坚持正确义利观,,（2）（5分）发展是解决一切问题的总钥匙。释放各国发展潜力，实现世界各国共同发展，才能保证持久的和平。中国对最不发达国家实行零关税，开放广阔的中国市场，惠民生增福祉，与各国包括最不发达国家共享发展新机遇，开放包容、互利共赢，携手推动建设开放型世界经济，展现了大国担当。 【细则】 ①中国担当：3分 开放广阔的中国市场（或坚持正确义利观）（1分） 与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢 （2分） （发展中国家/最不发达国家1分，具体说明1分） ②世界意义：2分 推动普惠包容的经济全球化/建设开放型世界经济/促进贸易自由化， 促进共同发展、维护持久和平， 共同推进现代化 （任意1点1
24,168,中国,坚持正确义利观（出现5次）,2025顺义一模Q20,中国通过“小而美”项目帮助共建国家改善民生、促进发展，体现正确义利观和负责任大国形象。,· 最长命中片段（7 字）：负责任大国形象,,20.评分细则：1.项目本身的创新和实践优势（2分） 聚焦发展中国家紧迫需求/灵活实施/快速响应基层社区需求（1分）；规模小更易统筹、可推广，形成品牌和共同发展目标（1分）。2. 项目对当地的价值（2分）改善民生/促进就业/提升公共卫生水平/促进经济社会发展、提升民众获得感等具体惠民措施（2分）；3.项目对我国的意义或折射我国的理念（2分）传播中华文化/增强文明互鉴/提升国际认同、正确义利观/共商共建共享原则、彰显大国担当、负责任大国形象、独立自主和平外交政策、发展开放型经济（以上任意一点1分，不超过2分。）4. 项目对世界的意义和贡献（2分）构建人类命运共同体、为重构公正合理的国际政治经济秩
25,174,中国,习近平外交思想指导中国特色大国外交（外交为民、服务中国式现,2026朝阳期末Q20,中国践行外交为民宗旨，完善海外安全保障体系，让中国公民和法人在海外更安全、更踏实、更放心，有利于维护人民利益、服务中国式现代化。,· 最长命中片段（3 字）：外交为,中国践行外交为民宗旨；完善海外安全保障体系；让中国公民和法人在海外更安全、更踏实、更放心,20.（8分）结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。 【阅卷细则】聚焦和平发展、政治、经济、我国的国家利益4个角度。 中国特色大国外交主动作为，是顺应世界发展大势、服务国家发展大局的必然选择。（此点不单独赋分，但 在以下4个角度没满分时可加1分） 分以下4个角度单独赋分。 角度1：和乎发展（背景1+目标1） 和平与发展是当今时代的主题（1分）+命运共同体/共同利益/国际新秩序/全球治理（结合材料/做法+目标， 1分） 角度2：政治（背景1+目标1） 多极化/单边主义/霸权强权（1分）+提升发展中国家代表性话语权/维护发展中国家利益/全球南方联合自强 （
26,181,中国,全球发展倡议：以发展促繁荣（出现3次）,2026海淀二模Q20(2),全球发展倡议是中国面向国际社会提供的重要公共产品，通过合作理念和丰富实践推动各国共享发展机遇。,· 最长命中片段（6 字）：全球发展倡议,,20.（9分） 2026年是全球发展倡议提出五周年。五年来，在各方推动下，全球发展倡议已从中国主张扩 大到国际共识，从合作理念拓展到丰富实践。 当前全球发展面临各种新的挑战，同球共济、团结合作才是正确选择。五年来，已经有80多 个国家加入“全球发展倡议之友小组”，近百个国家、地区和国际组织同中方签署倡议合作文件， 并且共建全球发展促进中心网络。中方发起的创新培训基地、全球发展青年领袖之家、全球妇女 能力建设中心等平台陆续投入运作，不断提升发展中国家可持续造血能力。中方还与非洲国家和 联合国机构共同建设合作示范中心，开辟了三方发展合作新局面。 2026年4月/全球共享发展行动论坛第三届高级别会议
27,187,中国,南南合作与全球南方共同发展（出现2次）,2026顺义一模Q20,科技小院回应全球南方农业发展的共同利益，把中国农业技术、本土化人才培养和当地生产问题结合起来，从单一技术输出转向支持农业生态整体建设和协同创新，推动南南合作共赢共享。,· 最长命中片段（4 字）：科技小院,把中国农业技术、本土化人才培养和当地生产问题结合起来；从单一技术输出转向支持农业生态整体建设和协同创新,20、中国智慧、中国方案下的南南合作正结出硕果。“科技小院”正从中国乡村走向世界，成为全球南方国家农业合作的创新范式。 经济全球化方向：普惠、平衡、共赢（典范） --- slide 10 --- 一、是什么：（2分） “势”是事物发展的趋势和方向，具有客观规律性。推进中国式现代化建设、实现中华民族伟大复兴进程中的“势” 是历史发展的总趋势、时代前进的大方向。 （一）哲学角度： 1. 客观性——2分 （哲学）主观能动性和客观规律相结合/社会存在和社会意识/实践和认识/科学思维的特征/超前思维 （话题）充分调查研究，深刻洞察百年变局、民族复兴全局与中国特色社会主义发展大势，了解国情、世情、党情、社
28,194,中国,中国推进绿色低碳转型并参与全球气候治理（出现1次）,2026西城期末Q20,中国在积极减排的同时，实施《国家适应气候变化战略2035》，提升气候适应能力，推动气候减缓与适应协同发展，增强气候治理系统性，为发展中国家应对气候变化提供系统性方案。,· 最长命中片段（6 字）：应对气候变化,中国在积极减排的同时；提升气候适应能力；推动气候减缓与适应协同发展,20.（8分) 中国是全球气候治理的积极建设者与引领者，为全球生态文明建设、完善全球气候治 理体系贡献了中国力量。中国坚持绿色发展，根据自身实际自主提出气候治理行动目 标，推动国内能源、产业、市场等全方位低碳转型，自觉履行国际义务，承担大国费 任。中国坚持共商共建共享，积极落实《巴黎协定》，以多边合作共同应对气候变化， 维护联合国在国际事务中的核心作用，促进全球可持续发展，推动构建人类命运共同体。 【细则】 角度1：中国实践是什么，2分： 北京市西城区2025一2026学年度第一学期期末试卷高三思想政治签案及评分参考第4页（共4页） --- p-4.png --- 在全球气候治理中，中国的角色
29,201,中国,中国是负责任大国并勇于担当（出现5次）,2026西城期末Q20,中国主动担当全球气候治理责任，于2025年11月向联合国提交《中国2035年国家自主贡献目标》，持续更新气候行动承诺，以实际行动展现负责任大国担当。,· 最长命中片段（6 字）：全球气候治理,持续更新气候行动承诺；以实际行动展现负责任大国担当,20.（8分) 中国是全球气候治理的积极建设者与引领者，为全球生态文明建设、完善全球气候治 理体系贡献了中国力量。中国坚持绿色发展，根据自身实际自主提出气候治理行动目 标，推动国内能源、产业、市场等全方位低碳转型，自觉履行国际义务，承担大国费 任。中国坚持共商共建共享，积极落实《巴黎协定》，以多边合作共同应对气候变化， 维护联合国在国际事务中的核心作用，促进全球可持续发展，推动构建人类命运共同体。 【细则】 角度1：中国实践是什么，2分： 北京市西城区2025一2026学年度第一学期期末试卷高三思想政治签案及评分参考第4页（共4页） --- p-4.png --- 在全球气候治理中，中国的角色
30,208,中国,中国是负责任大国并勇于担当（出现5次）,2026门头沟一模Q21,中国坚持大国担当，是150多个国家和地区的主要贸易伙伴，并通过对外投资为东道国贡献3000多亿美元税收，以自身开放发展为世界经济提供稳定预期和发展确定性。,· 最长命中片段（4 字）：大国担当,是150多个国家和地区的主要贸易伙伴；并通过对外投资为东道国贡献3000多亿美元税收；以自身开放发展为世界经济提供稳定预期和发展确定性,21.（10分） 可从制度优势（如，集中力量办大事、一张蓝图绘到底等）；高质量发展（如，超大市场规模与强劲内需、创新驱动发展等）；大国担当（如，互利共赢的开放战略、构建人类命运共同体等）；科学治理（如，尊重客观规律与发挥主观能动性相结合、辩证思维、系统思维等）角度作答。 细则： 以材料逻辑为主线生成答题逻辑。本题最高不超过10分。 结合材料一，用中特（如，制度优势、集中力量办大事、一张蓝图绘到底等）、哲学或思维（如，尊重客观规律与发挥主观能动性相结合、辩证思维、系统思维等）阐释，占4分。可以抓其中的两个关键词，且言之有理，理例结合。 结合材料二，用《经济与社会》知识（如，高质量发展、超大市场规
31,215,中国,坚持独立自主、自力更生，增强发展主动权（出现1次）,2024朝阳一模Q21,面对“小院高墙”和经贸科技交流政治化，中国应坚持独立自主，增强自主创新能力，实现关键核心技术自主可控，把发展主动权牢牢掌握在自己手中。,· 最长命中片段（4 字）：自主创新,面对“小院高墙”和经贸科技交流政治化；中国应坚持独立自主；实现关键核心技术自主可控,21题【评分细则】4+5=９分 分析我国当前经济形势：4分 思路：经济增速稳健（１分）——经济发展进入高质量发展阶段（１分）——我国发展面临风险挑战（１分）——对世界经济贡献稳步提升（１分） 进入新时代，我国经济长期向好的基本面没有变：经济总量持续增长、经济增速保持稳健，（每句均可得１分，替代：经济积极向好／经济稳步向前／国内生产总值持续上升／增速较高）进入了以创新、协调、绿色、开放、共享的新发展理念引领的高质量发展阶段（１分）。我国发展的外部环境日趋严峻、风险挑战增多，（每句均可得１分）但依然保持强大韧性和良好势头，在世界经济中的地位和贡献稳步提升。（每句均可得１分，替代：保持良好势头／为世
