review_id,field,old,new,applied,reason,applied_count
155A,什么时候写,题目先要求分析“变局”中的经济形势，资料卡集中呈现地缘政治动荡、局部冲突、全球性问题、经贸科技交流政治化、保护主义和逆全球化趋势，因此要先写外部风险压力。,题目先要求分析“变局”中的经济形势，细则明确我国发展的外部环境日趋严峻、风险挑战增多，因此要先写外部风险压力。,YES,同为2024朝阳一模Q21，原细则支撑“外部环境日趋严峻、风险挑战增多”，未直接支撑地缘政治动荡和经贸科技交流政治化清单。,1
155A,材料信号,"材料信号：资料卡集中呈现地缘政治动荡、局部冲突、全球性问题、经贸科技交流政治化、保护主义和逆全球化等多类外部压力；这是典型的""百年变局""现场。",材料信号：细则集中呈现我国外部环境日趋严峻、风险挑战增多；这是典型的“变局”中分析经济形势的信号。,YES,收紧为原细则明确表述。,1
155A,答题动作,"答题动作：先写我国外部环境日趋严峻、风险挑战增多，再把地缘政治、保护主义、""小院高墙""接为对经贸科技交流的具体冲击，最后承接统筹发展与安全的开新局思路。",答题动作：先写我国外部环境日趋严峻、风险挑战增多，再把外部压力接为统筹发展与安全的必要性，最后承接以新安全格局保障新发展格局的开新局思路。,YES,删除无法在原细则中确认的“小院高墙”扩展。,1
155A,卷面句,我国发展的外部环境日趋严峻、风险挑战增多，地缘政治动荡、保护主义上升和“小院高墙”影响经贸科技交流，使中国经济开新局必须统筹发展与安全。,我国发展的外部环境日趋严峻、风险挑战增多，使中国经济开新局必须统筹发展与安全。,YES,删除原细则未直接支撑的具体风险清单。,1
155B,材料信号,材料信号：资料卡把地缘政治动荡、地区安全问题、经贸科技交流政治化、保护主义上升四类风险并列摆出；这些风险既来自政治也来自经贸，单纯抓发展或单纯防风险都不够。,材料信号：细则把我国外部环境日趋严峻、风险挑战增多作为形势判断；这些风险会同时影响发展与安全，单纯抓发展或单纯防风险都不够。,YES,同为2024朝阳一模Q21，原细则未直接支撑地缘政治动荡和经贸科技交流政治化清单。,1
155B,答题动作,答题动作：先把地缘政治动荡、保护主义上升、经贸科技交流政治化作为外部风险的清单，再用坚持总体国家安全观、统筹发展与安全作为应对总思路，最后落到以新安全格局保障新发展格局推动中国经济开新局。,答题动作：先写我国外部环境日趋严峻、风险挑战增多，再用坚持总体国家安全观、统筹发展与安全作为应对总思路，最后落到以新安全格局保障新发展格局推动中国经济开新局。,YES,改用2024朝阳一模Q21细则可直接核验的表述。,1
219,卷面句,中国坚持大国担当，是150多个国家和地区的主要贸易伙伴，并通过对外投资为东道国贡献3000多亿美元税收，以自身开放发展为世界经济提供稳定预期和发展确定性。,中国坚持大国担当，是150多个国家和地区的主要贸易伙伴，并通过对外投资为东道国贡献3000多亿美元税收，以互利共赢的开放战略为世界共享发展机遇。,YES,原材料支撑贸易伙伴、东道国纳税和世界共享机遇；“稳定预期和发展确定性”来自设问方向但不宜放成细则化卷面句结论。,1
220,什么时候写,资料卡显示个别国家泛化国家安全、把经贸科技交流政治化并筑起“小院高墙”，推动中国经济开新局必须把关键核心技术和发展主动权掌握在自己手中。,细则强调面对外部风险挑战，推动中国经济开新局必须坚持独立自主、增强自主创新能力，把关键核心技术和发展主动权掌握在自己手中。,YES,原细则有独立自主、自主创新、关键核心技术和发展主动权；未直接写“小院高墙”。,1
220,卷面句,面对“小院高墙”和经贸科技交流政治化，中国应坚持独立自主，增强自主创新能力，实现关键核心技术自主可控，把发展主动权牢牢掌握在自己手中。,面对外部风险挑战，中国应坚持独立自主，增强自主创新能力，实现关键核心技术自主可控，把发展主动权牢牢掌握在自己手中。,YES,改用原细则和参考示例能支撑的表述。,1
220,材料信号,"材料信号：资料卡里个别国家泛化国家安全、把经贸科技交流政治化、构筑""小院高墙""，对中国关键核心技术形成挤压。",材料信号：细则把外部风险挑战与自主创新、关键核心技术联系起来，说明中国经济开新局必须增强发展主动权。,YES,同为2024朝阳一模Q21，删除原细则无法确认的“小院高墙”扩展。,1
220,答题动作,"答题动作：从""小院高墙""的外部压力切入，说明中国必须把关键核心技术和发展主动权掌握在自己手里，再落到坚持独立自主、自力更生、增强发展主动权。",答题动作：从外部风险挑战切入，说明中国必须把关键核心技术和发展主动权掌握在自己手里，再落到坚持独立自主、自力更生、增强发展主动权。,YES,改用原细则能支撑的外部风险表述。,1
86,材料信号,材料信号：“发展工程”把多边贸易体制、反对单边主义和保护主义、开放非歧视秩序放在同一段。,材料信号：“发展工程”把多边贸易体制、全球产业链供应链稳定畅通和开放合作国际环境放在同一段。,YES,2026丰台期末细则原文未直接写反对单边主义和保护主义、开放非歧视秩序。,1
86,答题动作,答题动作：先写维护 WTO 多边贸易体制，再写反对单边主义和保护主义，最后落到为共同现代化创造稳定环境。,答题动作：先写维护多边贸易体制，再接全球产业链供应链稳定畅通和开放合作国际环境，最后落到扩大中拉发展工程的利益汇合点。,YES,改用2026丰台期末细则原文支撑的三项。,1
86B,材料信号,材料信号：“发展工程”强调开放合作环境，并指向反对保护主义、封闭排他等破坏合作的外部因素。,材料信号：“发展工程”强调开放合作环境，并与维护多边贸易体制、维护全球产业链供应链稳定畅通并列。,YES,同为2026丰台期末Q20，删除原细则未直接支撑的保护主义/封闭排他扩展。,1
86B,答题动作,答题动作：先写维护开放合作的国际经济环境，再接抵制保护主义和封闭排他，最后落到拓展双方现代化合作空间。,答题动作：先写维护开放合作的国际经济环境，再接多边贸易体制和全球产业链供应链稳定畅通，最后落到拓展双方现代化合作空间。,YES,改为原细则可核验的关联项。,1
86B,卷面句,中拉双方维护开放合作的国际经济环境，有利于抵制保护主义和封闭排他，为双方现代化拓展合作空间。,中拉双方维护开放合作的国际经济环境，有利于稳定“发展工程”的外部条件，为双方现代化拓展合作空间。,YES,删除未在2026丰台期末细则中直接出现的保护主义/封闭排他。,1
86B,同题组,其他：反对单边主义和保护主义（时代背景与经济全球化交叉处）,其他：维护多边贸易体制和全球产业链供应链稳定畅通,YES,同题组提示改回该题细则原文支撑项。,1
