paragraph_index,title,year,district,stage,question,base_question,key
211,3. 2025海淀二模 第16题（主观题）,2025,海淀,二模,16,16,2025|海淀|二模|16
217,4. 2025海淀期末 第16题（主观题）,2025,海淀,期末,16,16,2025|海淀|期末|16
223,5. 2024海淀一模 第16题（主观题）,2024,海淀,一模,16,16,2024|海淀|一模|16
229,6. 2026西城一模 第16题（主观题）,2026,西城,一模,16,16,2026|西城|一模|16
235,7. 2025西城二模 第16题（主观题）,2025,西城,二模,16,16,2025|西城|二模|16
241,8. 2025东城期末 第16题（主观题）,2025,东城,期末,16,16,2025|东城|期末|16
247,9. 2026朝阳期中 第18题（主观题）,2026,朝阳,期中,18,18,2026|朝阳|期中|18
253,10. 2025朝阳二模 第16题（主观题）,2025,朝阳,二模,16,16,2025|朝阳|二模|16
259,11. 2025朝阳二模 第22题（主观题）,2025,朝阳,二模,22,22,2025|朝阳|二模|22
265,12. 2025朝阳期末 第16题（主观题）,2025,朝阳,期末,16,16,2025|朝阳|期末|16
271,13. 2024朝阳二模 第16题第（2）问（主观题）,2024,朝阳,二模,16,16,2024|朝阳|二模|16
277,14. 2025丰台二模 第21题（主观题）,2025,丰台,二模,21,21,2025|丰台|二模|21
283,15. 2025丰台期末 第16题（主观题）,2025,丰台,期末,16,16,2025|丰台|期末|16
289,16. 2025房山一模 第20题（主观题）,2025,房山,一模,20,20,2025|房山|一模|20
295,17. 2025门头沟一模 第21题第（2）问（主观题）,2025,门头沟,一模,21,21,2025|门头沟|一模|21
301,18. 2025海淀期末 第4题（选择题）,2025,海淀,期末,4,4,2025|海淀|期末|4
307,19. 2024海淀一模 第2题（选择题）,2024,海淀,一模,2,2,2024|海淀|一模|2
313,20. 2025西城二模 第2题（选择题）,2025,西城,二模,2,2,2025|西城|二模|2
319,21. 2024西城一模 第9题（选择题）,2024,西城,一模,9,9,2024|西城|一模|9
325,22. 2024东城一模 第3题（选择题）,2024,东城,一模,3,3,2024|东城|一模|3
331,23. 2025门头沟一模 第7题（选择题）,2025,门头沟,一模,7,7,2025|门头沟|一模|7
337,24. 2024石景山一模 第5题（选择题）,2024,石景山,一模,5,5,2024|石景山|一模|5
343,25. 2024顺义二模 第2题（选择题）,2024,顺义,二模,2,2,2024|顺义|二模|2
349,26. 2026房山二模 第5题（选择题）,2026,房山,二模,5,5,2026|房山|二模|5
356,1. 2025海淀期末 第16题（主观题）,2025,海淀,期末,16,16,2025|海淀|期末|16
362,2. 2026西城一模 第21题（主观题）,2026,西城,一模,21,21,2026|西城|一模|21
368,3. 2025西城二模 第16题第（1）问（主观题）,2025,西城,二模,16,16,2025|西城|二模|16
374,4. 2024西城一模 第17题（主观题）,2024,西城,一模,17,17,2024|西城|一模|17
380,5. 2024西城二模 第18题第（4）问（主观题）,2024,西城,二模,18,18,2024|西城|二模|18
386,6. 2026朝阳一模 第16题（主观题）,2026,朝阳,一模,16,16,2026|朝阳|一模|16
392,7. 2025朝阳期末 第16题（主观题）,2025,朝阳,期末,16,16,2025|朝阳|期末|16
398,8. 2024朝阳二模 第16题第（2）问（主观题）,2024,朝阳,二模,16,16,2024|朝阳|二模|16
404,9. 2024朝阳期中 第17题（主观题）,2024,朝阳,期中,17,17,2024|朝阳|期中|17
410,10. 2026丰台一模 第21题（主观题）,2026,丰台,一模,21,21,2026|丰台|一模|21
416,11. 2026丰台期末 第16题（主观题）,2026,丰台,期末,16,16,2026|丰台|期末|16
422,12. 2025丰台二模 第21题（主观题）,2025,丰台,二模,21,21,2025|丰台|二模|21
428,13. 2026延庆一模 第20题（主观题）,2026,延庆,一模,20,20,2026|延庆|一模|20
434,14. 2026门头沟一模 第21题（主观题）,2026,门头沟,一模,21,21,2026|门头沟|一模|21
440,15. 2026顺义一模 第21题（主观题）,2026,顺义,一模,21,21,2026|顺义|一模|21
446,16. 2026房山一模 第16题第（2）问（主观题）,2026,房山,一模,16,16,2026|房山|一模|16
452,17. 2026通州期末 第16题（主观题）,2026,通州,期末,16,16,2026|通州|期末|16
458,18. 2025昌平二模 第22题（主观题）,2025,昌平,二模,22,22,2025|昌平|二模|22
464,19. 2026丰台二模 第16题（主观题）,2026,丰台,二模,16,16,2026|丰台|二模|16
470,20. 2026房山二模 第16题（主观题）,2026,房山,二模,16,16,2026|房山|二模|16
477,1. 2025西城一模 第22题（主观题）,2025,西城,一模,22,22,2025|西城|一模|22
483,2. 2024东城二模 第16题（主观题）,2024,东城,二模,16,16,2024|东城|二模|16
489,3. 2024东城二模 第21题（主观题）,2024,东城,二模,21,21,2024|东城|二模|21
495,4. 2025丰台二模 第21题（主观题）,2025,丰台,二模,21,21,2025|丰台|二模|21
501,5. 2026延庆一模 第20题（主观题）,2026,延庆,一模,20,20,2026|延庆|一模|20
507,6. 2026顺义一模 第21题（主观题）,2026,顺义,一模,21,21,2026|顺义|一模|21
513,7. 2024顺义二模 第16题第（1）问（主观题）,2024,顺义,二模,16,16,2024|顺义|二模|16
519,8. 2025丰台一模 第4题（选择题）,2025,丰台,一模,4,4,2025|丰台|一模|4
525,9. 2025延庆一模 第4题（选择题）,2025,延庆,一模,4,4,2025|延庆|一模|4
533,1. 2025海淀一模 第22题（主观题）,2025,海淀,一模,22,22,2025|海淀|一模|22
539,2. 2025海淀二模 第16题（主观题）,2025,海淀,二模,16,16,2025|海淀|二模|16
545,3. 2025海淀期末 第16题（主观题）,2025,海淀,期末,16,16,2025|海淀|期末|16
551,4. 2024海淀二模 第16题（主观题）,2024,海淀,二模,16,16,2024|海淀|二模|16
557,5. 2026西城一模 第16题（主观题）,2026,西城,一模,16,16,2026|西城|一模|16
563,6. 2025东城一模 第18题第（1）问（主观题）,2025,东城,一模,18,18,2025|东城|一模|18
569,7. 2024东城二模 第16题（主观题）,2024,东城,二模,16,16,2024|东城|二模|16
575,8. 2026朝阳一模 第16题（主观题）,2026,朝阳,一模,16,16,2026|朝阳|一模|16
581,9. 2025朝阳二模 第16题（主观题）,2025,朝阳,二模,16,16,2025|朝阳|二模|16
587,10. 2025朝阳二模 第22题（主观题）,2025,朝阳,二模,22,22,2025|朝阳|二模|22
593,11. 2025朝阳期末 第16题（主观题）,2025,朝阳,期末,16,16,2025|朝阳|期末|16
599,12. 2026丰台一模 第16题（主观题）,2026,丰台,一模,16,16,2026|丰台|一模|16
605,13. 2025丰台一模 第18题第（3）问（主观题）,2025,丰台,一模,18,18,2025|丰台|一模|18
611,14. 2025丰台期末 第16题（主观题）,2025,丰台,期末,16,16,2025|丰台|期末|16
617,15. 2024丰台二模 第20题（主观题）,2024,丰台,二模,20,20,2024|丰台|二模|20
623,16. 2026门头沟一模 第16题（主观题）,2026,门头沟,一模,16,16,2026|门头沟|一模|16
629,17. 2026顺义一模 第16题（主观题）,2026,顺义,一模,16,16,2026|顺义|一模|16
635,18. 2026房山一模 第16题第（2）问（主观题）,2026,房山,一模,16,16,2026|房山|一模|16
641,19. 2026通州期末 第16题（主观题）,2026,通州,期末,16,16,2026|通州|期末|16
647,20. 2025石景山一模 第16题（主观题）,2025,石景山,一模,16,16,2025|石景山|一模|16
653,21. 2025门头沟一模 第16题（主观题）,2025,门头沟,一模,16,16,2025|门头沟|一模|16
659,22. 2025顺义一模 第16题（主观题）,2025,顺义,一模,16,16,2025|顺义|一模|16
665,23. 2025顺义一模 第21题（主观题）,2025,顺义,一模,21,21,2025|顺义|一模|21
671,24. 2025昌平二模 第16题（主观题）,2025,昌平,二模,16,16,2025|昌平|二模|16
677,25. 2025朝阳二模 第3题（选择题）,2025,朝阳,二模,3,3,2025|朝阳|二模|3
683,26. 2024朝阳二模 第2题（选择题）,2024,朝阳,二模,2,2,2024|朝阳|二模|2
689,27. 2025丰台二模 第4题（选择题）,2025,丰台,二模,4,4,2025|丰台|二模|4
695,28. 2024顺义二模 第1题（选择题）,2024,顺义,二模,1,1,2024|顺义|二模|1
701,29. 2026海淀二模 第16题（主观题）,2026,海淀,二模,16,16,2026|海淀|二模|16
707,30. 2026石景山二模 第17（3）题（主观题）,2026,石景山,二模,17(3),17,2026|石景山|二模|17
713,31. 2026西城二模 第3题（选择题）,2026,西城,二模,3,3,2026|西城|二模|3
720,1. 2025石景山一模 第16题（主观题）,2025,石景山,一模,16,16,2025|石景山|一模|16
726,2. 2025顺义一模 第16题（主观题）,2025,顺义,一模,16,16,2025|顺义|一模|16
732,3. 2026海淀二模 第4题（选择题）,2026,海淀,二模,4,4,2026|海淀|二模|4
739,1. 2026海淀期末 第17题（主观题）,2026,海淀,期末,17,17,2026|海淀|期末|17
745,2. 2025海淀期末 第16题（主观题）,2025,海淀,期末,16,16,2025|海淀|期末|16
751,3. 2024海淀一模 第16题（主观题）,2024,海淀,一模,16,16,2024|海淀|一模|16
757,4. 2025西城二模 第16题第（3）问（主观题）,2025,西城,二模,16,16,2025|西城|二模|16
763,5. 2025东城二模 第16题（主观题）,2025,东城,二模,16,16,2025|东城|二模|16
769,6. 2026门头沟一模 第16题（主观题）,2026,门头沟,一模,16,16,2026|门头沟|一模|16
775,7. 2024朝阳一模 第4题（选择题）,2024,朝阳,一模,4,4,2024|朝阳|一模|4
782,1. 2024朝阳二模 第16题第（2）问（主观题）,2024,朝阳,二模,16,16,2024|朝阳|二模|16
788,2. 2025丰台一模 第18题第（3）问（主观题）,2025,丰台,一模,18,18,2025|丰台|一模|18
794,3. 2025丰台二模 第16题第（1）问（主观题）,2025,丰台,二模,16,16,2025|丰台|二模|16
800,4. 2026通州期末 第16题（主观题）,2026,通州,期末,16,16,2026|通州|期末|16
806,5. 2026朝阳期中 第4题（选择题）,2026,朝阳,期中,4,4,2026|朝阳|期中|4
812,6. 2025朝阳二模 第3题（选择题）,2025,朝阳,二模,3,3,2025|朝阳|二模|3
819,1. 2025海淀一模 第22题（主观题）,2025,海淀,一模,22,22,2025|海淀|一模|22
825,2. 2025海淀二模 第16题（主观题）,2025,海淀,二模,16,16,2025|海淀|二模|16
831,3. 2024海淀二模 第17题第（1）问（主观题）,2024,海淀,二模,17,17,2024|海淀|二模|17
837,4. 2026西城一模 第16题（主观题）,2026,西城,一模,16,16,2026|西城|一模|16
843,5. 2024西城二模 第18题第（4）问（主观题）,2024,西城,二模,18,18,2024|西城|二模|18
849,6. 2026东城期末 第16题（主观题）,2026,东城,期末,16,16,2026|东城|期末|16
855,7. 2026东城期末 第21题（主观题）,2026,东城,期末,21,21,2026|东城|期末|21
861,8. 2024东城二模 第16题（主观题）,2024,东城,二模,16,16,2024|东城|二模|16
867,9. 2026朝阳期末 第21题（主观题）,2026,朝阳,期末,21,21,2026|朝阳|期末|21
873,10. 2025朝阳二模 第16题（主观题）,2025,朝阳,二模,16,16,2025|朝阳|二模|16
879,11. 2025朝阳二模 第22题（主观题）,2025,朝阳,二模,22,22,2025|朝阳|二模|22
885,12. 2026丰台期末 第16题（主观题）,2026,丰台,期末,16,16,2026|丰台|期末|16
891,13. 2025丰台期末 第16题（主观题）,2025,丰台,期末,16,16,2025|丰台|期末|16
897,14. 2024丰台一模 第18题第（1）问（主观题）,2024,丰台,一模,18,18,2024|丰台|一模|18
903,15. 2024丰台二模 第21题（主观题）,2024,丰台,二模,21,21,2024|丰台|二模|21
910,1. 2024海淀一模 第17题第（2）问（主观题）,2024,海淀,一模,17,17,2024|海淀|一模|17
916,2. 2024海淀期中 第18题（主观题）,2024,海淀,期中,18,18,2024|海淀|期中|18
922,3. 2024西城一模 第17题（主观题）,2024,西城,一模,17,17,2024|西城|一模|17
928,4. 2026东城一模 第19题第（4）问（主观题）,2026,东城,一模,19,19,2026|东城|一模|19
934,5. 2026东城期末 第21题（主观题）,2026,东城,期末,21,21,2026|东城|期末|21
940,6. 2024东城一模 第21题（主观题）,2024,东城,一模,21,21,2024|东城|一模|21
946,7. 2024东城一模 第18题第（3）问（主观题）,2024,东城,一模,18,18,2024|东城|一模|18
952,8. 2026朝阳一模 第16题（主观题）,2026,朝阳,一模,16,16,2026|朝阳|一模|16
958,9. 2024朝阳一模 第18题第（2）问（主观题）,2024,朝阳,一模,18,18,2024|朝阳|一模|18
964,10. 2026丰台一模 第16题（主观题）,2026,丰台,一模,16,16,2026|丰台|一模|16
970,11. 2026丰台一模 第21题（主观题）,2026,丰台,一模,21,21,2026|丰台|一模|21
976,12. 2026顺义一模 第16题（主观题）,2026,顺义,一模,16,16,2026|顺义|一模|16
982,13. 2026石景山一模 第17题（主观题）,2026,石景山,一模,17,17,2026|石景山|一模|17
988,14. 2026房山一模 第20题（主观题）,2026,房山,一模,20,20,2026|房山|一模|20
994,15. 2026石景山一模 第21题（主观题）,2026,石景山,一模,21,21,2026|石景山|一模|21
1000,16. 2026门头沟一模 第21题（主观题）,2026,门头沟,一模,21,21,2026|门头沟|一模|21
1006,17. 2026石景山一模 第17题第（1）问（主观题）,2026,石景山,一模,17,17,2026|石景山|一模|17
1012,18. 2026房山一模 第18题第（1）问（主观题）,2026,房山,一模,18,18,2026|房山|一模|18
1018,19. 2026通州期末 第21题（主观题）,2026,通州,期末,21,21,2026|通州|期末|21
1024,20. 2026朝阳二模 第21题（主观题）,2026,朝阳,二模,21,21,2026|朝阳|二模|21
1030,21. 2026丰台二模 第16题（主观题）,2026,丰台,二模,16,16,2026|丰台|二模|16
1036,22. 2026丰台二模 第22题（主观题）,2026,丰台,二模,22,22,2026|丰台|二模|22
1042,23. 2026房山二模 第16题（主观题）,2026,房山,二模,16,16,2026|房山|二模|16
1048,24. 2026石景山二模 第20题（主观题）,2026,石景山,二模,20,20,2026|石景山|二模|20
1054,25. 2026朝阳二模 第4题（选择题）,2026,朝阳,二模,4,4,2026|朝阳|二模|4
1060,26. 2026西城二模 第4题（选择题）,2026,西城,二模,4,4,2026|西城|二模|4
1066,27. 2026石景山二模 第1题（选择题）,2026,石景山,二模,1,1,2026|石景山|二模|1
1073,1. 2026海淀一模 第16题（主观题）,2026,海淀,一模,16,16,2026|海淀|一模|16
1079,2. 2025海淀一模 第22题（主观题）,2025,海淀,一模,22,22,2025|海淀|一模|22
1085,3. 2025海淀二模 第16题（主观题）,2025,海淀,二模,16,16,2025|海淀|二模|16
1091,4. 2024海淀一模 第16题（主观题）,2024,海淀,一模,16,16,2024|海淀|一模|16
1097,5. 2026西城一模 第16题（主观题）,2026,西城,一模,16,16,2026|西城|一模|16
1103,6. 2026西城一模 第21题（主观题）,2026,西城,一模,21,21,2026|西城|一模|21
1109,7. 2026西城期末 第21题（主观题）,2026,西城,期末,21,21,2026|西城|期末|21
1115,8. 2025西城期末 第18题（主观题）,2025,西城,期末,18,18,2025|西城|期末|18
1121,9. 2024西城一模 第17题（主观题）,2024,西城,一模,17,17,2024|西城|一模|17
1127,10. 2025东城一模 第18题第（1）问（主观题）,2025,东城,一模,18,18,2025|东城|一模|18
1133,11. 2025东城二模 第21题（主观题）,2025,东城,二模,21,21,2025|东城|二模|21
1139,12. 2024东城一模 第18题第（3）问（主观题）,2024,东城,一模,18,18,2024|东城|一模|18
1145,13. 2024东城二模 第16题（主观题）,2024,东城,二模,16,16,2024|东城|二模|16
1151,14. 2025朝阳二模 第16题（主观题）,2025,朝阳,二模,16,16,2025|朝阳|二模|16
1157,15. 2024朝阳二模 第16题第（2）问（主观题）,2024,朝阳,二模,16,16,2024|朝阳|二模|16
1163,16. 2025丰台一模 第18题第（3）问（主观题）,2025,丰台,一模,18,18,2025|丰台|一模|18
1169,17. 2024丰台一模 第18题第（1）问（主观题）,2024,丰台,一模,18,18,2024|丰台|一模|18
1175,18. 2026门头沟一模 第16题（主观题）,2026,门头沟,一模,16,16,2026|门头沟|一模|16
1181,19. 2026延庆一模 第20题（主观题）,2026,延庆,一模,20,20,2026|延庆|一模|20
1187,20. 2026石景山一模 第21题（主观题）,2026,石景山,一模,21,21,2026|石景山|一模|21
1193,21. 2026石景山一模 第17题第（1）问（主观题）,2026,石景山,一模,17,17,2026|石景山|一模|17
1199,22. 2026通州期末 第16题（主观题）,2026,通州,期末,16,16,2026|通州|期末|16
1205,23. 2025石景山一模 第16题（主观题）,2025,石景山,一模,16,16,2025|石景山|一模|16
1211,24. 2025门头沟一模 第16题（主观题）,2025,门头沟,一模,16,16,2025|门头沟|一模|16
1217,25. 2025顺义一模 第16题（主观题）,2025,顺义,一模,16,16,2025|顺义|一模|16
1223,26. 2024石景山一模 第16题（主观题）,2024,石景山,一模,16,16,2024|石景山|一模|16
1229,27. 2025西城期末 第4题（选择题）,2025,西城,期末,4,4,2025|西城|期末|4
1235,28. 2026西城二模 第20题（主观题）,2026,西城,二模,20,20,2026|西城|二模|20
1242,1. 2025海淀二模 第16题（主观题）,2025,海淀,二模,16,16,2025|海淀|二模|16
1248,2. 2025海淀期末 第22题（主观题）,2025,海淀,期末,22,22,2025|海淀|期末|22
1254,3. 2025海淀期末 第17题第（2）问（主观题）,2025,海淀,期末,17,17,2025|海淀|期末|17
1260,4. 2026西城一模 第21题（主观题）,2026,西城,一模,21,21,2026|西城|一模|21
1266,5. 2025西城一模 第22题（主观题）,2025,西城,一模,22,22,2025|西城|一模|22
1272,6. 2026东城一模 第20题（主观题）,2026,东城,一模,20,20,2026|东城|一模|20
1278,7. 2026丰台期末 第16题（主观题）,2026,丰台,期末,16,16,2026|丰台|期末|16
1284,8. 2025丰台期末 第16题（主观题）,2025,丰台,期末,16,16,2025|丰台|期末|16
1290,9. 2026顺义一模 第16题（主观题）,2026,顺义,一模,16,16,2026|顺义|一模|16
1296,10. 2026延庆一模 第20题（主观题）,2026,延庆,一模,20,20,2026|延庆|一模|20
1302,11. 2026房山一模 第18题第（1）问（主观题）,2026,房山,一模,18,18,2026|房山|一模|18
1308,12. 2025延庆一模 第18题（主观题）,2025,延庆,一模,18,18,2025|延庆|一模|18
1314,13. 2025房山一模 第20题（主观题）,2025,房山,一模,20,20,2025|房山|一模|20
1320,14. 2024朝阳二模 第6题（选择题）,2024,朝阳,二模,6,6,2024|朝阳|二模|6
1326,15. 2026朝阳二模 第21题（主观题）,2026,朝阳,二模,21,21,2026|朝阳|二模|21
1332,16. 2026房山二模 第16题（主观题）,2026,房山,二模,16,16,2026|房山|二模|16
1339,1. 2025海淀期末 第17题第（2）问（主观题）,2025,海淀,期末,17,17,2025|海淀|期末|17
1345,2. 2024海淀一模 第16题（主观题）,2024,海淀,一模,16,16,2024|海淀|一模|16
1351,3. 2025西城一模 第22题（主观题）,2025,西城,一模,22,22,2025|西城|一模|22
1357,4. 2025西城期末 第18题（主观题）,2025,西城,期末,18,18,2025|西城|期末|18
1363,5. 2024西城一模 第17题（主观题）,2024,西城,一模,17,17,2024|西城|一模|17
1369,6. 2025东城二模 第16题（主观题）,2025,东城,二模,16,16,2025|东城|二模|16
1375,7. 2025丰台一模 第18题第（3）问（主观题）,2025,丰台,一模,18,18,2025|丰台|一模|18
1381,8. 2025房山一模 第20题（主观题）,2025,房山,一模,20,20,2025|房山|一模|20
1388,1. 2025海淀期末 第16题（主观题）,2025,海淀,期末,16,16,2025|海淀|期末|16
1394,2. 2025东城一模 第16题（主观题）,2025,东城,一模,16,16,2025|东城|一模|16
1400,3. 2024东城一模 第18题第（3）问（主观题）,2024,东城,一模,18,18,2024|东城|一模|18
1406,4. 2024东城二模 第16题（主观题）,2024,东城,二模,16,16,2024|东城|二模|16
1412,5. 2026朝阳期中 第18题（主观题）,2026,朝阳,期中,18,18,2026|朝阳|期中|18
1418,6. 2026朝阳期末 第16题（主观题）,2026,朝阳,期末,16,16,2026|朝阳|期末|16
1424,7. 2025朝阳期末 第16题（主观题）,2025,朝阳,期末,16,16,2025|朝阳|期末|16
1430,8. 2024朝阳期中 第17题（主观题）,2024,朝阳,期中,17,17,2024|朝阳|期中|17
1436,9. 2026丰台一模 第16题（主观题）,2026,丰台,一模,16,16,2026|丰台|一模|16
1442,10. 2025丰台二模 第16题第（1）问（主观题）,2025,丰台,二模,16,16,2025|丰台|二模|16
1448,11. 2026延庆一模 第16题（主观题）,2026,延庆,一模,16,16,2026|延庆|一模|16
1454,12. 2026门头沟一模 第16题（主观题）,2026,门头沟,一模,16,16,2026|门头沟|一模|16
1460,13. 2026通州期末 第16题（主观题）,2026,通州,期末,16,16,2026|通州|期末|16
1466,14. 2025顺义一模 第16题（主观题）,2025,顺义,一模,16,16,2025|顺义|一模|16
1472,15. 2024西城一模 第12题（选择题）,2024,西城,一模,12,12,2024|西城|一模|12
1478,16. 2026门头沟一模 第5题（选择题）,2026,门头沟,一模,5,5,2026|门头沟|一模|5
1484,17. 2026朝阳二模 第16题（主观题）,2026,朝阳,二模,16,16,2026|朝阳|二模|16
1490,18. 2026东城二模 第16题（主观题）,2026,东城,二模,16,16,2026|东城|二模|16
1496,19. 2026房山二模 第18（2）题（主观题）,2026,房山,二模,18(2),18,2026|房山|二模|18
1502,20. 2026顺义二模 第16题（主观题）,2026,顺义,二模,16,16,2026|顺义|二模|16
1508,21. 2026东城二模 第2题（选择题）,2026,东城,二模,2,2,2026|东城|二模|2
1515,1. 2026海淀期末 第16题（主观题）,2026,海淀,期末,16,16,2026|海淀|期末|16
1521,2. 2025海淀一模 第16题（主观题）,2025,海淀,一模,16,16,2025|海淀|一模|16
1527,3. 2025海淀期末 第17题第（2）问（主观题）,2025,海淀,期末,17,17,2025|海淀|期末|17
1533,4. 2024海淀二模 第16题（主观题）,2024,海淀,二模,16,16,2024|海淀|二模|16
1539,5. 2025西城期末 第18题（主观题）,2025,西城,期末,18,18,2025|西城|期末|18
1545,6. 2024西城一模 第17题（主观题）,2024,西城,一模,17,17,2024|西城|一模|17
1551,7. 2026东城一模 第16题（主观题）,2026,东城,一模,16,16,2026|东城|一模|16
1557,8. 2026东城期末 第16题（主观题）,2026,东城,期末,16,16,2026|东城|期末|16
1563,9. 2026东城期末 第21题（主观题）,2026,东城,期末,21,21,2026|东城|期末|21
1569,10. 2025东城二模 第16题（主观题）,2025,东城,二模,16,16,2025|东城|二模|16
1575,11. 2026朝阳期中 第18题（主观题）,2026,朝阳,期中,18,18,2026|朝阳|期中|18
1581,12. 2025朝阳二模 第22题（主观题）,2025,朝阳,二模,22,22,2025|朝阳|二模|22
1587,13. 2024朝阳一模 第18题第（2）问（主观题）,2024,朝阳,一模,18,18,2024|朝阳|一模|18
1593,14. 2024朝阳二模 第16题第（2）问（主观题）,2024,朝阳,二模,16,16,2024|朝阳|二模|16
1599,15. 2024朝阳期中 第17题（主观题）,2024,朝阳,期中,17,17,2024|朝阳|期中|17
1605,16. 2026丰台一模 第16题（主观题）,2026,丰台,一模,16,16,2026|丰台|一模|16
1611,17. 2026丰台一模 第21题（主观题）,2026,丰台,一模,21,21,2026|丰台|一模|21
1617,18. 2026丰台期末 第16题（主观题）,2026,丰台,期末,16,16,2026|丰台|期末|16
1623,19. 2025丰台一模 第18题第（3）问（主观题）,2025,丰台,一模,18,18,2025|丰台|一模|18
1629,20. 2024丰台二模 第20题（主观题）,2024,丰台,二模,20,20,2024|丰台|二模|20
1635,21. 2026延庆一模 第16题（主观题）,2026,延庆,一模,16,16,2026|延庆|一模|16
1641,22. 2026门头沟一模 第16题（主观题）,2026,门头沟,一模,16,16,2026|门头沟|一模|16
1647,23. 2026延庆一模 第20题（主观题）,2026,延庆,一模,20,20,2026|延庆|一模|20
1653,24. 2026石景山一模 第17题第（1）问（主观题）,2026,石景山,一模,17,17,2026|石景山|一模|17
1659,25. 2025门头沟一模 第16题（主观题）,2025,门头沟,一模,16,16,2025|门头沟|一模|16
1665,26. 2025延庆一模 第18题（主观题）,2025,延庆,一模,18,18,2025|延庆|一模|18
1671,27. 2025房山一模 第16题第（1）问（主观题）,2025,房山,一模,16,16,2025|房山|一模|16
1677,28. 2024海淀一模 第5题（选择题）,2024,海淀,一模,5,5,2024|海淀|一模|5
1683,29. 2025西城期末 第7题（选择题）,2025,西城,期末,7,7,2025|西城|期末|7
1689,30. 2025东城期末 第4题（选择题）,2025,东城,期末,4,4,2025|东城|期末|4
1695,31. 2025丰台一模 第2题（选择题）,2025,丰台,一模,2,2,2025|丰台|一模|2
1701,32. 2025丰台二模 第5题（选择题）,2025,丰台,二模,5,5,2025|丰台|二模|5
1707,33. 2026朝阳二模 第16题（主观题）,2026,朝阳,二模,16,16,2026|朝阳|二模|16
1713,34. 2026石景山二模 第17（3）题（主观题）,2026,石景山,二模,17(3),17,2026|石景山|二模|17
1719,35. 2026顺义二模 第16题（主观题）,2026,顺义,二模,16,16,2026|顺义|二模|16
1725,36. 2026东城二模 第4题（选择题）,2026,东城,二模,4,4,2026|东城|二模|4
1731,37. 2026石景山二模 第2题（选择题）,2026,石景山,二模,2,2,2026|石景山|二模|2
1738,1. 2026朝阳期中 第18题（主观题）,2026,朝阳,期中,18,18,2026|朝阳|期中|18
1744,2. 2026丰台一模 第16题（主观题）,2026,丰台,一模,16,16,2026|丰台|一模|16
1750,3. 2026房山二模 第21题（主观题）,2026,房山,二模,21,21,2026|房山|二模|21
1757,1. 2024海淀二模 第17题第（1）问（主观题）,2024,海淀,二模,17,17,2024|海淀|二模|17
1763,2. 2024海淀期中 第18题（主观题）,2024,海淀,期中,18,18,2024|海淀|期中|18
1769,3. 2026西城一模 第21题（主观题）,2026,西城,一模,21,21,2026|西城|一模|21
1775,4. 2025西城二模 第16题（主观题）,2025,西城,二模,16,16,2025|西城|二模|16
1781,5. 2025西城二模 第16题第（1）问（主观题）,2025,西城,二模,16,16,2025|西城|二模|16
