source_text,filename,line_no,hits,context,norm_key_guess
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\26649804f1de31f5_2026丰台一模细则.txt,26649804f1de31f5_2026丰台一模细则.txt,277,主要矛盾, 1.强化核心概念，按主体梳理知识。 / 聚焦“两个大局”与“主要矛盾”等的内在关联，通过对比讲解、案例拆解，明确二者的区别与联系。通过梳理不同实践主体，明确党、政府、企业、公民等的权利与义务、权利与责任，纠正认知偏差。 / 2.培养学生的逻辑思维，规范答题结构和答题语言。,2026|丰台|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3227fd51f2020c04_2025北京房山高三一模政治_教师版.txt,3227fd51f2020c04_2025北京房山高三一模政治_教师版.txt,28,矛盾的主要方面,B. 智能养老技术发展需从老年群体的特殊需要出发，让“科技更适老” / C. 智能养老设备在养老领域不断普及，已经成为矛盾的主要方面 / D. 老年人对智能养老设备“不适应”，表明矛盾的斗争性是绝对的,2020|房山|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3227fd51f2020c04_2025北京房山高三一模政治_教师版.txt,3227fd51f2020c04_2025北京房山高三一模政治_教师版.txt,231,主要矛盾,研突破体现了这一点，B正确。 / C：中国特色社会主义进入新时代的标志是党的十九大提出的社会主要矛盾转化，并非科研历史性成就的 / 取得，C 错误。,2020|房山|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3227fd51f2020c04_2025北京房山高三一模政治_教师版.txt,3227fd51f2020c04_2025北京房山高三一模政治_教师版.txt,249,矛盾的主要方面,C：材料反映了智能养老设备不断普及，但也存在操作复杂、隐私担忧等问题，强调矛盾双方的对立统 / 一，没有强调矛盾的主要方面，C 不符合题意。 / D：智能养老设备不断普及，但操作复杂、隐私担忧等问题导致部分老年人对智能养老设备“不适应”，,2020|房山|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3423b62eb032b5df_2024届各区一模试题分类汇编必修4.txt,3423b62eb032b5df_2024届各区一模试题分类汇编必修4.txt,53,两点论;重点论,科学普及与科技创新虽各有侧重，但也具有同一性：一方面科学普及有利于提升公众科学素质、促进人的全面发展，是实现科技创新的基础性工作；另一方面，科学普及与科技创新都是文化事业的重要组成部分，都是建设文化强国的重要举措。 / 要实现科学普及与科技创新“两翼齐飞”，应坚持以人民为中心的思想，具体问题具体分析，提升科普服务精准性；应树立全局观念、运用系统优化的方法，鼓励全社会共同参与，构建政府、社会、市场等协同推进的社会化科普发展格局；以问题为导向，引导科普资源向基层和欠发达地区倾斜，加强和优化基层科普公共服务；坚持“两点论”和“重点论”的统一，培养壮大科普人才队伍，改变“重科研、轻科普”的现状，营造热爱科学、崇尚创新的社会氛围。 / ,2024||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3423b62eb032b5df_2024届各区一模试题分类汇编必修4.txt,3423b62eb032b5df_2024届各区一模试题分类汇编必修4.txt,110,矛盾主要方面,③安家庄大桥的成功实践，验证了桥梁设计和施工方案的正确性 / ④安家庄大桥抓住“转体”这一矛盾主要方面，提高了交通效率 / A.①③ B.①④ C.②③ D.②④,2024||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3423b62eb032b5df_2024届各区一模试题分类汇编必修4.txt,3423b62eb032b5df_2024届各区一模试题分类汇编必修4.txt,132,矛盾主要方面,围棋外观简单、质朴，棋子黑白二色，棋盘经纬交织。棋子落到棋盘上，两色抗衡，相持转换，此消彼长，一着通盘皆活，一着满盘皆输，棋局瞬息万变。物情幻化，世事如棋。这给我们的启示是 / ①搞好局部，对决定胜负的矛盾主要方面作准确判断 / ②在矛盾双方的对立中把握统一，在统一中把握对立,2024||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\360d57a4b250de81_2025丰台期末细则.txt,360d57a4b250de81_2025丰台期末细则.txt,240,主要矛盾,2.使用逻辑辩证思维的语言，采意分档赋分。如果答案只有超前思维，不给分，要求用哲学发展的观点才给分，如果答辩证思维给分。 / 3.在论证“数”为何所用这个维度时，从“要看大数、看长远” 引出要抓主要矛盾、矛盾的主次方面，不是在回应“为何所用”，不给分。如果是在回应“数”当如何定，论证合理、逻辑自洽，可以给分。 / 16.（8分）从实践、一切从实际出发、联系观、发展观、矛盾观等角度作答。,2025|丰台|期末|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\46c444a91d491a4f_2025北京东城高三一模政治_教师版.txt,46c444a91d491a4f_2025北京东城高三一模政治_教师版.txt,288,主要矛盾,(1)“两重”在实施中坚持了辩证思维的整体性、动态性以及实践的观点。既强化 “硬投资”，又要搞好“软建 / 设”；既解决当前问题，又着眼长远目标。抓主要矛盾，聚焦新质生产力发展等核心领域，加快推进重大 / 战略实施和重点领域安全能力建设。,2025|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b2073bcc9e26f62_2024东城一模细则.txt,4b2073bcc9e26f62_2024东城一模细则.txt,214,主次矛盾;两点论,（2）功能圈 / 主次矛盾／两点论／整体部分等----结合材料意思---区域协调 / （3）产业圈,2073|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b25cddd4dc2992d_2024届各区一模试题分类汇编选必3.txt,4b25cddd4dc2992d_2024届各区一模试题分类汇编选必3.txt,57,主要矛盾,②图乙，可以用来描述国体和政体的关系 / ③图丙，如果Q是社会主要矛盾，S是生产力，P是生产关系 / ④图丁，如果Q是领土，S可以是领陆，P可以是领空,2024||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b25cddd4dc2992d_2024届各区一模试题分类汇编选必3.txt,4b25cddd4dc2992d_2024届各区一模试题分类汇编选必3.txt,225,主要矛盾,（2）结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分） / 京津冀三省市从协同发展的战略大局出发，抓住主要矛盾，科学精准地分析各自的功能定位和特色优势。在此基础上，整体把握区域差异，共商合作大计，着力推动优势互补，携手绘就中国式现代化先行区、示范区的新图景。在分析与综合的对立统一中，把握各自发展特质，服务协同发展的战略大局，书写新篇章。 / ,2024||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4bc0edec2a08a90e_高三政治_一模试题.txt,4bc0edec2a08a90e_高三政治_一模试题.txt,74,矛盾主要方面,我们的启示是 / ①搞好局部，对决定胜负的矛盾主要方面作准确判断 / ②在矛盾双方的对立中把握统一，在统一中把握对立,||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\585b15124610aff7_2026北京朝阳高三一模政治_教师版.txt,585b15124610aff7_2026北京朝阳高三一模政治_教师版.txt,33,主要矛盾,②科普让科学精神融入日常生活，让文化自信浸润中华大地 / ③只有抓住主要矛盾，才能实现民族文化与外来文化的交融 / ④坚持辩证否定，可以使传统文化在科技赋能下焕发新的光彩,2026|朝阳|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\7832041a93d37e1f_2026海淀期末细则.txt,7832041a93d37e1f_2026海淀期末细则.txt,2,重点论,1 / 2025-2026海淀期末政治评分标准⼀、选择题（共45分）题号12345678910答案BAACDCDADB题号1112131415答案BCCBD⼆、⾮选择题（共55分）16.（8分）可从⽭盾的观点、意识的能动作⽤、实践的观点等⻆度作答。分值标准细则5-6（1+1）×3观点清晰⽭盾观（⼀分为⼆/两重统⼀）“重点论”出不来只能1分知（意识/认识/价值观/价值判断价值选择等）只有分别从知、⾏两个⻆度分析才分别是1+1；如果⽤其他知识点如（联系观、发展观、适度原则等）仅替代1分⾏（实践/主观能动性/实现⼈⽣价值）7材料充分或个⼈体验价值观具有导向作⽤，（1分）正确价值观具有促进作⽤，应树⽴正确价值观。⾯对数字化世界，“数字原住⺠”应当提⾼对信息⼯具滥⽤的警惕，将其作为辅助⼯具⽽⾮解决问题的直接主体，（1分）培养⾃身思考能⼒的正确价值。8逻辑清晰能看出总-分-分，如果能看出各段之间有衔接最优 / 17.可从联系的观点、价值观、弘扬⺠族精神、发展中国特⾊社会主义⽂化等⻆度作答。,2041|海淀|期末|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\795b221243cdf7b6_高三统一测试思想政治试卷.txt,795b221243cdf7b6_高三统一测试思想政治试卷.txt,8,主要矛盾,1．百年前的觉醒年代，救亡图存是青春使命；艰苦奋斗、自力更生的创业建设时期，“到祖国最需要的地方去”是青春最鲜明的选择；上个世纪“八十年代的新一辈”，敢为人先、勇立潮头；新时代，“请党放心，强国有我”是青春最坚定的誓言。可见 / ① 不同时代社会主要矛盾不同，青年与国家和民族的命运始终紧密相连 / ② 青年专注于实现个人愿景，汇聚起来就是推动时代发展的根本动力,|||
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\795b221243cdf7b6_高三统一测试思想政治试卷.txt,795b221243cdf7b6_高三统一测试思想政治试卷.txt,50,矛盾的主要方面,① “手搓”升级是科技进步的缩影，反映了实践的社会历史性 / ② 独特的创意是矛盾的主要方面，决定着手搓创新能否转化为现实产品 / ③ 科技进步让市场主体能够不依赖社会分工而独自完成创新实践,|||
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.txt,7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.txt,78,两点论;重点论,① 凡益之道，与时偕行 事物是不断变化发展的 / ② 己所不欲，勿施于人 坚持两点论和重点论的统一 / ③ 有上则有下，有此则有彼 矛盾的同一性和斗争性在一定条件下相互转化,2026|通州|期末|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt,89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt,471,主要矛盾;矛盾的主要方面,的数量界限，防止胸中无“数”和犯错误。 / ④事物的性质是由主要矛盾的主要方面决定的，我们在工作生活中，都要懂得注意基本的统计、主要的百 / 分比，做到胸中有“数”。,2025|丰台|期末|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt,89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt,490,主要矛盾;矛盾的主要方面,有效信息③：我们有许多同志至今不懂得注意事物的数量方面，不懂得注意基本的统计、主要的百分比→ / 可从主要矛盾的主要方面角度，说明事物的性质是由主要矛盾的主要方面决定的，把握好主要的百分比， / 才能做到胸中有“数”。,2025|丰台|期末|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\8d19592ca0679f21_2026顺义一模.txt,8d19592ca0679f21_2026顺义一模.txt,31,矛盾主要方面,控ꎮ 对此ꎬ下列说法正确的是 / ① 运用矛盾分析法ꎬ抓住矛盾主要方面突破关键核心技术的制约 / ② 在整体性与独立性、动态性与静态性的对立统一中推动探月工程的实施,2026|顺义|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\8eda36bd87dba194_2025北京东城高三_上_期末政治_教师版.txt,8eda36bd87dba194_2025北京东城高三_上_期末政治_教师版.txt,35,主流,③不同笔画的个性寓于汉字结构的共性之中 / ④抓主流，以主笔为核心书写汉字方能为美 / A．①② B．①③ C．②④ D．③④,2025|东城|期末|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\94785525e6452e6f_2025北京延庆高三一模政治_教师版.txt,94785525e6452e6f_2025北京延庆高三一模政治_教师版.txt,24,主要矛盾,C. 根据学生的需要建立新的联系，促进创新人才的培养 / D. 抓住了课间休息这一主要矛盾，有助于学生健康成长 / 3. 2024 年 12 月，我国申报的“春节——中国人庆祝传统新年的社会实践”，列入联合国教科文组织人类,2025|延庆|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\98d1d762f302004f_一模政治-答案.txt,98d1d762f302004f_一模政治-答案.txt,24,主要矛盾,"（1）依靠科技，因地制宜发展农村“隐藏款土特产”，促进当地特色产业发展和经济结构优化，推动乡村产业振兴。国内南北多省份“隐藏款土特产”走俏，满足人民美好生活需要，促进当地就业，增加村民收入，推动区域协调发展。坚持扩大内需与深化供给侧结构性改革相结合，推进高水平对外开放。 / （2）京津冀三省市从协同发展的战略大局出发，抓住主要矛盾，科学精准地分析各自的功能定位和特色优势。在此基础上，整体把握区域差异，共商合作大计，着力推动优势互补，携手绘就中国式现代化先行区、示范区的新图景。在分析与综合的对立统一中，把握各自发展特质，服务协同发展的战略大局，书写新篇章。 / （3）政府用法治思维和法治方式履行职责, 打造引领首都新经济新业态发展的中坚力量，激发其创业创新热情。运用互联网人工智能等科技手段优化服务，用金融服务支持企业创新，不断提高行政服务水平。营造良好市场环境，监管规范，文明执法，提高治理效能，推进经济社会高质量发展。",2004||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\99e851c9338f0983_26东城一模细则.txt,99e851c9338f0983_26东城一模细则.txt,16,主流,国现实，体现优秀传统文创造性转化和创新性发展。 / 矛盾的主次方面辩证关系要求我们抓主流，文艺作品的思想性、艺术 / 性是矛盾的主要方面，情绪需求是次要方面，不能以次要方面代替事物本,|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\99e851c9338f0983_26东城一模细则.txt,99e851c9338f0983_26东城一模细则.txt,17,矛盾的主要方面,矛盾的主次方面辩证关系要求我们抓主流，文艺作品的思想性、艺术 / 性是矛盾的主要方面，情绪需求是次要方面，不能以次要方面代替事物本 / 质。,|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\9f3b486088840b52_2025北京丰台高三二模政治_教师版.txt,9f3b486088840b52_2025北京丰台高三二模政治_教师版.txt,64,主流,②公私二字体现智慧与道德具有内在一致性 / ③社会主流思想对个人观念有决定作用 / ④处理好公私关系是实现人生价值的前提,2025|丰台|二模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b692254ceb1b8174_2024海淀一模细则.txt,b692254ceb1b8174_2024海淀一模细则.txt,24,主要矛盾,第二问答案17（2） / 京津冀三省市从协同发展的战略大局出发，抓住主要矛盾，科学精准地分析各自的功能定位和特色优势。 / 在此基础上，整体把握区域差异，共商合作大计，着力推动优势互补，携手绘就中国式现代化先行区、示范区的新图景。在分析与综合的对立统一中，把握各自发展特质，服务协同发展的战略大局，书写新篇章。,2024|海淀|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b692254ceb1b8174_2024海淀一模细则.txt,b692254ceb1b8174_2024海淀一模细则.txt,30,主要矛盾, 材料层面：各自的功能定位和特色优势/分别分析了三地特色（1分） / 京津冀三省市从协同发展的战略大局出发，抓住主要矛盾，科学精准分析各自的功能定位和特色优势。 / 2、强调综合的重要性,2024|海淀|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\ba64c66630749a52_高三政治一模试卷讲评.txt,ba64c66630749a52_高三政治一模试卷讲评.txt,128,主流, 材料二 人形机器人又称类人机器人、仿生机器人等，通常具有头部、躯干、双臂双腿等，在结构和功能上尽可能接近人类，具备一定的运动能力和感知能力。从商用服务到智能制造，从陪伴老人到理货看店……人形机器人制造在“加速跑”。 / 与此同时，市场上主流的人形机器人价格甚至超50万元。人形机器人产业链高度复杂，人形机器人产品呈现出高度的定制化倾向，缺乏真正通用的零部件，导致成本居高不下。 / 在工厂环节，只有少部分先进工厂开始探索在某些工作流程中使用人形机器人，更多走进生产线可能在未来三到五年实现；而真正走进人们的生活，需要更高的精确度和安全性，所需时间会更长。,||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\ba64c66630749a52_高三政治一模试卷讲评.txt,ba64c66630749a52_高三政治一模试卷讲评.txt,133,主流, 材料二 人形机器人又称类人机器人、仿生机器人等，通常具有头部、躯干、双臂双腿等，在结构和功能上尽可能接近人类，具备一定的运动能力和感知能力。从商用服务到智能制造，从陪伴老人到理货看店……人形机器人制造在“加速跑”。 / 与此同时，市场上主流的人形机器人价格甚至超50万元。人形机器人产业链高度复杂，人形机器人产品呈现出高度的定制化倾向，缺乏真正通用的零部件，导致成本居高不下。 / 在工厂环节，只有少部分先进工厂开始探索在某些工作流程中使用人形机器人，更多走进生产线可能在未来三到五年实现；而真正走进人们的生活，需要更高的精确度和安全性，所需时间会更长。,||一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\bbcb45c7197fffbb_16.txt,bbcb45c7197fffbb_16.txt,35,矛盾的主要方面;主流, 优秀文艺还要坚持马克思主义指导，坚守中华文化立场，立足当代中国现实，体现优秀传统文化创造性转化和创新性发展。 / 矛盾的主次方面辩证关系要求我们抓主流，文艺作品的思想性、艺术性是矛盾的主要方面，情绪需求是次要方面，不能以次要方面代替事物本质。 / 三、参考标准,|||
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\be30611f2f07a137_EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.txt,be30611f2f07a137_EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.txt,98,主要矛盾;次要矛盾,深刻的社会变革，推进改革发展、调整利益关系往往牵一发而动全身。我们要善于通过历史看现 / 实、透过现象看本质，把握好全局和局部、当前和长远、宏观和微观、主要矛盾和次要矛盾、特殊 / 和一般的关系，不断提高战略思维、历史思维、辩证思维、系统思维、创新思维、法治思维、底线,|||
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c254bbee61da4abd_2025东城一模细则.txt,c254bbee61da4abd_2025东城一模细则.txt,70,主要矛盾,"第二层次：知识1 分+材料分析1 分 / 抓主要矛盾,聚焦新质生产力发展等核心领域,加快推进重大战略实施和重点领域安全能力 / 建设。",2025|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c254bbee61da4abd_2025东城一模细则.txt,c254bbee61da4abd_2025东城一模细则.txt,72,主要矛盾;两点论;重点论,建设。 / 抓主要矛盾可替换为坚持两点论重点论相统一。写运用矛盾分析法且材料分析准确只得本层 / 次1 分。,2025|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c254bbee61da4abd_2025东城一模细则.txt,c254bbee61da4abd_2025东城一模细则.txt,78,重点论,识。 / 2.分析材料问题：如不能明确指出材料中坚持重点论的体现。 / （三）教学启示,2025|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c254bbee61da4abd_2025东城一模细则.txt,c254bbee61da4abd_2025东城一模细则.txt,105,主要矛盾,（1）只看材料的只言片语，只要与材料相关的点，都能成为答案，比如学生会根据核心问 / 题写道主要矛盾，看到政府企业会写到市场经济体制，非公制等 / （2）学生认为内循环不足，给出的答案是如何扩大开放，答案变成了制度型开放、充分利,2025|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\cc91930411716013_2026北京延庆高三一模政治_教师版.txt,cc91930411716013_2026北京延庆高三一模政治_教师版.txt,32,主要矛盾,①具体问题具体分析是解决问题的关键，要因地制宜探索乡村发展模式 / ②事物的性质是由主要矛盾决定的，要抓住乡村基础设施建设这一关键 / ③正确处理整体与部分的关系，要统筹推进乡村振兴战略的实施,2026|延庆|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_202404朝阳高三政治一模试卷讲评.txt,d64506799887753e_202404朝阳高三政治一模试卷讲评.txt,217,两点论;重点论,科学普及与科技创新虽各有侧重，但也具有同一性：一方面科学普及有利于提升公众科学素质、促进人的全面发展，是实现科技创新的基础性工作；另一方面，科学普及与科技创新都是文化事业的重要组成部分，都是建设文化强国的重要举措。 / 要实现科学普及与科技创新“两翼齐飞”，应坚持以人民为中心的思想，具体问题具体分析，提升科普服务精准性；应树立全局观念、运用系统优化的方法，鼓励全社会共同参与，构建政府、社会、市场等协同推进的社会化科普发展格局；以问题为导向，引导科普资源向基层和欠发达地区倾斜，加强和优化基层科普公共服务；坚持“两点论”和“重点论”的统一，培养壮大科普人才队伍，改变“重科研、轻科普”的现状，营造热爱科学、崇尚创新的社会氛围。 / ,2024|朝阳|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_2024朝阳一模细则.txt,d64506799887753e_2024朝阳一模细则.txt,217,两点论;重点论,科学普及与科技创新虽各有侧重，但也具有同一性：一方面科学普及有利于提升公众科学素质、促进人的全面发展，是实现科技创新的基础性工作；另一方面，科学普及与科技创新都是文化事业的重要组成部分，都是建设文化强国的重要举措。 / 要实现科学普及与科技创新“两翼齐飞”，应坚持以人民为中心的思想，具体问题具体分析，提升科普服务精准性；应树立全局观念、运用系统优化的方法，鼓励全社会共同参与，构建政府、社会、市场等协同推进的社会化科普发展格局；以问题为导向，引导科普资源向基层和欠发达地区倾斜，加强和优化基层科普公共服务；坚持“两点论”和“重点论”的统一，培养壮大科普人才队伍，改变“重科研、轻科普”的现状，营造热爱科学、崇尚创新的社会氛围。 / ,2024|朝阳|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\de758e5e79500dd0_2026顺义一模细则.txt,de758e5e79500dd0_2026顺义一模细则.txt,39,主次矛盾;两点论;重点论,2. 辩证性——2分 / （哲学）主次矛盾和矛盾主次方面辩关系要坚持两点论和重点论相结合。矛盾对立统一，要全面的、一分为二的看问题。/整体和部分、系统优化/前进性和曲折性/量变质变 / （话题）中国共产党洞察时与势、辨析危与机，统筹中华民族伟大复兴战略全局和世界百年未有之大变局，带领全党全国各族人民迎难而上、沉着应对风险挑战，推动我国经济总量连续跨越新关口。,2026|顺义|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e051761a7fc68fef_2025北京朝阳高三一模政治_教师版.txt,e051761a7fc68fef_2025北京朝阳高三一模政治_教师版.txt,183,主流,店……人形机器人制造在“加速跑” 。 / 与此同时，市场上主流的人形机器人价格甚至超 50 万元。人形机器人产业链高度复杂，人形机器人 / 产品呈现出高度的定制化倾向，缺乏真正通用的零部件，导致成本居高不下。,2025|朝阳|一模|
