suite_id,year,district,stage,suite_path,paper_path,paper_format,paper_text_layer,rubric_present,rubric_count,rubric_formats,rubric_scan_flag,oversize_flag,status,extract_method,notes
S25,2025,东城,二模,2025模拟题/2025各区二模/2025东城二模,2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,.pdf,text,yes,1,.pdf,,,pending,direct_text,
S26,2025,丰台,二模,2025模拟题/2025各区二模/2025丰台二模,2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,.pdf,text,yes,8,.doc;.docx,,big>5MB,pending,direct_text,
S27,2025,昌平,二模,2025模拟题/2025各区二模/2025昌平二模,2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,.pdf,text,yes,1,.pptx,,,pending,direct_text,
S28,2025,朝阳,二模,2025模拟题/2025各区二模/2025朝阳二模,2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S29,2025,海淀,二模,2025模拟题/2025各区二模/2025海淀二模,2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,.pdf,scan,yes,3,.docx,,,pending,ocr_render,
S30,2025,西城,二模,2025模拟题/2025各区二模/2025西城二模,2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S31,2025,东城,期末,2025模拟题/2025各区期末/2025东城期末,2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,.pdf,text,yes,2,.pdf;.pptx,,big>7MB,pending,direct_text,
S32,2025,丰台,期末,2025模拟题/2025各区期末/2025丰台期末,2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,.pdf,text,yes,1,.pptx,,big>5MB,pending,direct_text,
S33,2025,朝阳,期末,2025模拟题/2025各区期末/2025朝阳期末,2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,.pdf,text,yes,1,.pdf,scan_pdf_present,,pending,direct_text,
S34,2025,海淀,期中,2025模拟题/2025各区期末/2025海淀期中,2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S35,2025,海淀,期末,2025模拟题/2025各区期末/2025海淀期末,2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,.docx,native,yes,1,.pptx,,big>8MB,pending,direct_text,
S36,2025,西城,期末,2025模拟题/2025各区期末/2025西城期末,2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,.pdf,text,yes,1,.pdf,,,pending,direct_text,
S37,2026,东城,一模,2026模拟题/2026各区一模/2026东城一模,2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,.pdf,text,yes,10,.pdf;.pptx,scan_pdf_present,OVERSIZE>45MB,pending,direct_text,
S38,2026,丰台,一模,2026模拟题/2026各区一模/2026丰台一模,2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,.pdf,scan,yes,1,.pptx,,OVERSIZE>22MB,pending,ocr_render,
S39,2026,延庆,一模,2026模拟题/2026各区一模/2026延庆一模,2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S40,2026,房山,一模,2026模拟题/2026各区一模/2026房山一模,2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,.pdf,scan,yes,1,.docx,,,pending,ocr_render,
S41,2026,朝阳,一模,2026模拟题/2026各区一模/2026朝阳一模,2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S42,2026,海淀,一模,2026模拟题/2026各区一模/2026海淀一模,2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,.pdf,scan,yes,1,.pdf,,,pending,ocr_render,
S43,2026,石景山,一模,2026模拟题/2026各区一模/2026石景山一模,2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,.pdf,text,yes,1,.doc,,,pending,direct_text,
S44,2026,西城,一模,2026模拟题/2026各区一模/2026西城一模,2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,.docx,native,yes,1,.docx,,,pending,direct_text,
S45,2026,通州,一模,2026模拟题/2026各区一模/2026通州一模,2026模拟题/2026各区一模/2026通州一模/试卷/2026北京通州高三一模政治.pdf,.pdf,scan,yes,1,.pdf,,,pending,ocr_render,
S46,2026,门头沟,一模,2026模拟题/2026各区一模/2026门头沟一模,2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S47,2026,顺义,一模,2026模拟题/2026各区一模/2026顺义一模,2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,.pdf,text,yes,1,.pptx,,,pending,direct_text,
S48,2026,东城,二模,2026模拟题/2026各区二模/2026东城二模,2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,.docx,native,yes,7,.pdf,,,pending,direct_text,
S49,2026,丰台,二模,2026模拟题/2026各区二模/2026丰台二模,2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf,.pdf,text,yes,1,.pptx,,big>14MB,pending,direct_text,
S50,2026,房山,二模,2026模拟题/2026各区二模/2026房山二模,2026模拟题/2026各区二模/2026房山二模/试卷/2026北京房山高三二模政治（教师版）.pdf,.pdf,scan,yes,2,.docx,,,pending,ocr_render,
S51,2026,朝阳,二模,2026模拟题/2026各区二模/2026朝阳二模,2026模拟题/2026各区二模/2026朝阳二模/试卷/2026北京朝阳高三二模政治（教师版）.docx,.docx,native,yes,1,.docx,,,pending,direct_text,
S52,2026,海淀,二模,2026模拟题/2026各区二模/2026海淀二模,2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,.docx,native,yes,1,.pdf,,OVERSIZE>86MB,pending,direct_text,
S53,2026,石景山,二模,2026模拟题/2026各区二模/2026石景山二模,2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,.docx,native,yes,1,.doc,,,pending,direct_text,
S54,2026,西城,二模,2026模拟题/2026各区二模/2026西城二模,2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,.docx,native,yes,1,.pdf,scan_pdf_present,big>5MB,pending,direct_text,
S55,2026,顺义,二模,2026模拟题/2026各区二模/2026顺义二模,2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,.pdf,scan,yes,1,.doc,,,pending,ocr_render,
S56,2026,东城,期末,2026模拟题/2026各区期末和期中/2026东城期末,2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,.pdf,text,yes,1,.pptx,,OVERSIZE>298MB,pending,direct_text,
S57,2026,丰台,期末,2026模拟题/2026各区期末和期中/2026丰台期末,2026模拟题/2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,.pdf,scan,yes,1,.pdf,,big>10MB,pending,ocr_render,
S58,2026,朝阳,期中,2026模拟题/2026各区期末和期中/2026朝阳期中,2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,.pdf,text,yes,2,.docx,,,pending,direct_text,
S59,2026,朝阳,期末,2026模拟题/2026各区期末和期中/2026朝阳期末,2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,.pdf,scan,yes,1,.pdf,scan_pdf_present,,pending,ocr_render,
S60,2026,海淀,期中,2026模拟题/2026各区期末和期中/2026海淀期中,2026模拟题/2026各区期末和期中/2026海淀期中/试卷/试卷.docx,.docx,native,yes,1,.pdf,,,pending,direct_text,
S61,2026,海淀,期末,2026模拟题/2026各区期末和期中/2026海淀期末,2026模拟题/2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,.pdf,scan,yes,1,.pdf,,,pending,ocr_render,
S62,2026,西城,期末,2026模拟题/2026各区期末和期中/2026西城期末,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026北京西城高三（上）期末政治（教师版）.pdf,.pdf,scan,yes,3,.pdf;.pptx,scan_pdf_present,big>10MB,resolved_mirror_source,ocr_render,"桌面试卷文件夹仍为空；同步镜像教师版已核第6页第17题原卷题面与设问；设问为法律知识无书名，按内容归综合含法律与生活"
S63,2026,通州,期末,2026模拟题/2026各区期末和期中/2026通州期末,2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,.pdf,text,yes,1,.pptx,,,pending,direct_text,
X01,2024,(各区),一模分类汇编,2024模拟题/202404各区一模试题分类（按模块）,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,.docx,native,no,0,,,,location_aid_only,direct_text,分类汇编(选必2)仅作定位线索，不作独立套卷、不重复计数
X02,2024,(各区),-,2024模拟题,2024模拟题/北京及2024各区《经济与社会》考题-wlf.pdf,.pdf,?,no,0,,,,excluded_wrong_module,-,经济与社会=必修二，非选必二，排除
