question_id,year,district,stage,question_no,subquestion,module_decision,question_packet_path,rubric_status,compilation_status,framework_candidate_status,notes
S63_Q19,2026,通州,期末,19,(1),综合(含法律与生活),03_source_packets/S63_Q19.md,locked,pending,pending,加装电梯相邻关系(采光通风)；目标(1)，(2)为逻辑与思维
S01_Q19,2024,东城,一模,19,none,法律与生活,03_source_packets/S01_Q19.md,locked,pending,pending,诉讼时效及其不适用情形；扫描OCR；含《法律与生活》书名；试卷未附答案
S07_Q19,2024,东城,二模,19,(1)(2),法律与生活,03_source_packets/S07_Q19.md,locked,pending,pending,买卖/仓储合同纠纷·撰写民事起诉状；扫描OCR；needs_review:设问无书名(同卷Q18政法)；试卷未附答案
S09_Q17,2024,丰台,二模,17,none,法律与生活,03_source_packets/S09_Q17.md,locked,pending,pending,民法典绿色原则与环境侵权；扫描OCR；含《法律与生活》书名；试卷未附答案
S29_Q18,2025,海淀,二模,18,none,法律与生活,03_source_packets/S29_Q18.md,locked,pending,pending,模拟法庭·商标在先权利争议；扫描OCR；needs_review:设问'运用法治知识'无书名(同卷Q17政法)；试卷未附答案
S38_Q20,2026,丰台,一模,20,none,法律与生活,03_source_packets/S38_Q20.md,locked,pending,pending,餐厅摔倒安全保障义务侵权；扫描OCR；试卷未附答案
S40_Q17,2026,房山,一模,17,(1)(2),综合(含法律与生活),03_source_packets/S40_Q17.md,locked,pending,pending,AI幻觉民事侵权责任；扫描OCR；综合题(1)民事法律关系/(2)法治知识；试卷未附答案
S42_Q18,2026,海淀,一模,18,(1)(2)(3),综合(含法律与生活),03_source_packets/S42_Q18.md,locked,pending,pending,消费维权剧本杀惩罚性赔偿；扫描OCR；(3)为法律与生活；图表未印逐年精确数值标签;趋势已核;不影响第(3)问；试卷未附答案
S45_Q20,2026,通州,一模,20,none,法律与生活,03_source_packets/S45_Q20.md,locked,pending,pending,广场舞组织者自甘风险侵权(民法典1176/1198)；扫描OCR；needs_review:表格填空无书名(同卷Q16政法)；随卷答案support_only
S50_Q18,2026,房山,二模,18,(1)(2),综合(含法律与生活),03_source_packets/S50_Q18.md,locked,pending,pending,OPC数字员工法律边界；扫描OCR；综合题(1)法律与生活/(2)逻辑与思维；教师版含评分细则
S55_Q18,2026,顺义,二模,18,(2),法律与生活,03_source_packets/S55_Q18.md,locked,pending,pending,"开源AI智能体侵犯民事权利；扫描OCR；目标第(2)问,Q18(1)为逻辑与思维；needs_review:设问'运用法治知识'无书名(同卷Q17政法)"
S57_NOTFOUND,2026,丰台,期末,-,-,no_xuanbier_legal_question,03_source_packets/S57_NOTFOUND.md,n/a,n/a,n/a,期末无选必二；扫描OCR；7主观题哲文/政法/经社/逻辑/当代国际/哲学；第18题'法治知识'为检察公益诉讼/未成年人保护(公法)非民法；needs_review
S59_Q18,2026,朝阳,期末,18,(1),法律与生活,03_source_packets/S59_Q18.md,locked,pending,pending,"直播带货假紫檀欺诈/退一赔三惩罚性赔偿；扫描OCR；含《法律与生活》书名；目标第(1)问,Q18(2)为逻辑与思维"
S61_Q18,2026,海淀,期末,18,(1),法律与生活,03_source_packets/S61_Q18.md,locked,pending,pending,"住房租赁格式条款效力认定；扫描OCR；含《法律与生活》书名；目标第(1)问,Q18(2)为法治知识(行政法规·公法)；本卷两道选必二题(18(1)与19)；inline答案p10"
S61_Q19,2026,海淀,期末,19,none,法律与生活,03_source_packets/S61_Q19.md,locked,pending,pending,"抢票软件不正当竞争(反不正当竞争法)；扫描OCR；含《法律与生活》书名(决定性依据)；needs_review:反不正当竞争偏经济法,待复核命题方是否作综合/经济法；本卷两道选必二题"
S62_Q17,2026,西城,期末,17,none,综合(含法律与生活),03_source_packets/S62_Q17.md,locked,pending,pending,不正当竞争+未成年人保护;细则变通为诚信/公平原则(民法典);paper_resolved_in_mirror_teacher_pdf;needs_review:原卷设问为法律知识无书名;按内容归综合含法律与生活
