question_id,suite_id,year_district_stage,target_qno,module_decision,rubric_source_path,rubric_format,evidence_type,rubric_extract_method,rubric_status,notes
S33_Q20,S33,2025/朝阳/期末,20表格①②③④,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/其他材料/朝阳高三期末2025.pptx,mixed(pdf+pptx),formal_rubric,ocr_render+pptx_text,locked,著作权/数据不正当竞争/旅游侵权；needs_review:设问无书名(答案'侵权责任过错责任');case3_result4_resolved_by_pptx
S34_Q21,S34,2025/海淀/期中,21(1),法律与生活,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,离婚夫妻共同债务清偿；needs_review:设问'法治知识'；Q21(2)当代国际；页眉实为2024.11
S35_Q21,S35,2025/海淀/期末,21,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx,pptx,formal_rubric,pptx_text,locked,竞业限制及其限制原因
S36_Q19,S36,2025/西城/期末,19,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,AI唤醒词反不正当竞争；needs_review:设问'法律知识'无书名
S37_Q18,S37,2026/东城/一模,18,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/18+选择7、13.pptx,pptx,formal_rubric,pptx_text,locked,司法守护向新力(知产/惩罚性赔偿/恶意诉讼)
S38_Q20,S38,2026/丰台/一模,20,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,pptx,formal_rubric,pptx_text,locked,餐厅摔倒安全保障义务侵权；扫描OCR；试卷未附答案
S39_Q18,S39,2026/延庆/一模,18(1),法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx,docx,formal_rubric,textutil,locked,AI仿冒主持人侵权/诉讼请求；Q18(2)为逻辑与思维
S40_Q17,S40,2026/房山/一模,17(1)(2),综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx,docx,formal_rubric,textutil,locked,AI幻觉民事侵权责任；扫描OCR；综合题(1)民事法律关系/(2)法治知识；试卷未附答案
S41_Q18,S41,2026/朝阳/一模,18,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,docx,formal_rubric,textutil,locked,司法守护向新力(与S37同源题干)；含【答案】【详解】
S42_Q18,S42,2026/海淀/一模,18(1)(2)(3),综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,消费维权剧本杀惩罚性赔偿；扫描OCR；(3)为法律与生活；图表未印逐年精确数值标签;趋势已核;不影响第(3)问；试卷未附答案
S43_Q18,S43,2026/石景山/一模,18表格①②③,综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,doc,formal_rubric,textutil,locked,"举证责任分配 刑事/行政/民事；案例三民事侵权属选必二；needs_review:跨模块,本组校正后纳入"
S44_Q17,S44,2026/西城/一模,17,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,docx,formal_rubric,textutil,locked,民法典物权编推动绿色发展；设问'运用法律相关知识'(豁免)；docx无答案
S45_Q20,S45,2026/通州/一模,20,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026通州一模/细则/26 通州一模评标.pdf,pdf,formal_rubric,fitz_text,locked,广场舞组织者自甘风险侵权(民法典1176/1198)；扫描OCR；needs_review:表格填空无书名(同卷Q16政法)；随卷答案support_only
S46_Q18,S46,2026/门头沟/一模,18(1),法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,docx,formal_rubric,textutil,locked,环境民事公益诉讼调解；Q18(2)为逻辑与思维；试卷未附答案
S47_Q18,S47,2026/顺义/一模,18,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,pptx,formal_rubric,pptx_text,locked,就业性别歧视+竞业限制；试卷未附答案
S48_Q19,S48,2026/东城/二模,19,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/细则/东城二模 19题阅卷细则.pdf,pdf,formal_rubric,fitz_text,locked,商业诋毁+合同违约+劳动者赔偿；同套细则:东城二模19题阅卷细则.pdf
S49_Q17,S49,2026/丰台/二模,17,综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/细则/2026丰台区二模主观题阅卷细则(1).pptx,pptx,formal_rubric,pptx_text,locked,饲养动物侵权 民法典1245+调解；设问'综合运用法治知识'；needs_review
S50_Q18,S50,2026/房山/二模,18(1)(2),综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026房山二模/细则/26房山评标.docx,docx,formal_rubric,textutil,locked,OPC数字员工法律边界；扫描OCR；综合题(1)法律与生活/(2)逻辑与思维；教师版含评分细则
S51_Q18,S51,2026/朝阳/二模,18,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026朝阳二模/细则/202605朝阳高三政治二模阅卷细则(1).docx,docx,formal_rubric,textutil,locked,高空抛坠物人格权/举证倒置/相邻关系；教师版内嵌阅卷细则
S52_Q18,S52,2026/海淀/二模,18(2),综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf,pdf,formal_rubric,ocr_render,locked,知识产权出质/作价出资/职务发明奖酬；目标(2)，Q18(1)为逻辑与思维
S53_Q19,S53,2026/石景山/二模,19,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/细则/石景山区高三政治第二次模拟考试答案评分细则(1).doc,doc,formal_rubric,textutil,locked,校园欺凌惩教并行(治安管理处罚法+民法典)
S54_Q18,S54,2026/西城/二模,18(1)(2)(3)(4),综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,pdf,formal_rubric,ocr_render,locked,生成式AI幻觉侵权；目标(1)凭《民法典》依据；needs_review；(4)为逻辑与思维
S55_Q18,S55,2026/顺义/二模,18(2),法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,doc,formal_rubric,textutil,locked,"开源AI智能体侵犯民事权利；扫描OCR；目标第(2)问,Q18(1)为逻辑与思维；needs_review:设问'运用法治知识'无书名(同卷Q17政法)"
S56_Q18,S56,2026/东城/期末,18(1),法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,pptx,formal_rubric,pptx_text,locked,无人机买卖合同违约+产品瑕疵侵权；目标(1)
S57_NOTFOUND,S57,//,n/a,no_xuanbier_legal_question,n/a,n/a,n/a,n/a,n/a,
S58_NOTFOUND,S58,//,n/a,no_xuanbier_legal_question,n/a,n/a,n/a,n/a,n/a,
S59_Q18,S59,2026/朝阳/期末,18(1),法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,pdf,formal_rubric,ocr_render,locked,"直播带货假紫檀欺诈/退一赔三惩罚性赔偿；扫描OCR；含《法律与生活》书名；目标第(1)问,Q18(2)为逻辑与思维"
S60_NOTFOUND,S60,//,n/a,no_xuanbier_legal_question,n/a,n/a,n/a,n/a,n/a,
S61_Q18,S61,2026/海淀/期末,18(1),法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,"住房租赁格式条款效力认定；扫描OCR；含《法律与生活》书名；目标第(1)问,Q18(2)为法治知识(行政法规·公法)；本卷两道选必二题(18(1)与19)；inline答案p10"
S61_Q19,S61,2026/海淀/期末,19,法律与生活,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,"抢票软件不正当竞争(反不正当竞争法)；扫描OCR；含《法律与生活》书名(决定性依据)；needs_review:反不正当竞争偏经济法,待复核命题方是否作综合/经济法；本卷两道选必二题"
S62_Q17,S62,2026/西城/期末,17,综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/细则.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/补充材料/西城高三期末评标.pptx ; /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/补充材料/高三思想政治参考答案.pdf,mixed(pdf+pptx),formal_rubric,ocr_render,locked,不正当竞争+未成年人保护;细则变通为诚信/公平原则(民法典);paper_resolved_in_mirror_teacher_pdf;needs_review:原卷设问为法律知识无书名;按内容归综合含法律与生活
S63_Q19,S63,2026/通州/期末,19(1),综合(含法律与生活),/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,pptx,formal_rubric,pptx_text,locked,加装电梯相邻关系(采光通风)；目标(1)，(2)为逻辑与思维
