source_root,suite_label,suite_path,year,district,exam_stage,paper_file,canonical_rubric,canonical_rubric_score,rubric_candidate_count,file_count,needs_review
2025各区模拟题,细则,2025各区二模/2025海淀二模/细则,2025,海淀,二模,,2025海淀二模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区二模/2025海淀二模/试卷,2025,海淀,二模,2025北京海淀高三二模政治.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区二模/2025西城二模/细则,2025,西城,二模,,2025西城二模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区二模/2025西城二模/试卷,2025,西城,二模,2025北京西城高三二模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,其他材料,2025各区期末/2025东城期末/其他材料,2025,东城,期末,,,,0,1,yes
2025各区模拟题,细则,2025各区期末/2025东城期末/细则,2025,东城,期末,,2025东城期末细则.pptx,37,1,1,no
2025各区模拟题,试卷,2025各区期末/2025东城期末/试卷,2025,东城,期末,2025北京东城高三（上）期末政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区期末/2025丰台期末/细则,2025,丰台,期末,,2025丰台期末细则.pptx,37,1,1,no
2025各区模拟题,试卷,2025各区期末/2025丰台期末/试卷,2025,丰台,期末,2025北京丰台高三（上）期末政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,其他材料,2025各区期末/2025朝阳期末/其他材料,2025,朝阳,期末,朝阳高三期末2025.pptx,,,0,1,yes
2025各区模拟题,细则,2025各区期末/2025朝阳期末/细则,2025,朝阳,期末,,2025朝阳期末细则.pdf,53,1,1,no
2025各区模拟题,试卷,2025各区期末/2025朝阳期末/试卷,2025,朝阳,期末,2025北京朝阳高三（上）期末政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区期末/2025海淀期中/细则,2025,海淀,期中,,2025海淀期中细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区期末/2025海淀期中/试卷,2025,海淀,期中,2024北京海淀高三（上）期中政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区期末/2025海淀期末/细则,2025,海淀,期末,,2025海淀期末细则.pptx,37,1,1,no
2025各区模拟题,试卷,2025各区期末/2025海淀期末/试卷,2025,海淀,期末,2025北京海淀高三（上）期末政治（教师版）.docx,,,0,1,yes
2025各区模拟题,细则,2025各区期末/2025西城期末/细则,2025,西城,期末,,2025西城期末细则.pdf,53,1,1,no
2025各区模拟题,试卷,2025各区期末/2025西城期末/试卷,2025,西城,期末,2025北京西城高三（上）期末政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,其他材料,2026各区一模/2026东城一模/其他材料,2026,东城,一模,,26东城一模细则.pdf,53,2,2,no
2026各区模拟题,2026东城一模细则,2026各区一模/2026东城一模/细则/2026东城一模细则,2026,东城,一模,,,,0,8,yes
2026各区模拟题,试卷,2026各区一模/2026东城一模/试卷,2026,东城,一模,2026北京东城高三一模政治（教师版）.pdf,,,0,2,yes
2026各区模拟题,细则,2026各区一模/2026丰台一模/细则,2026,丰台,一模,,2026丰台一模细则.pptx,37,1,1,no
2026各区模拟题,试卷,2026各区一模/2026丰台一模/试卷,2026,丰台,一模,,,,0,1,yes
2026各区模拟题,细则,2026各区一模/2026延庆一模/细则,2026,延庆,一模,,2026延庆一模细则.docx,53,1,1,no
2026各区模拟题,试卷,2026各区一模/2026延庆一模/试卷,2026,延庆,一模,2026北京延庆高三一模政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区一模/2026房山一模/细则,2026,房山,一模,,2026房山一模细则.docx,53,1,1,no
2026各区模拟题,试卷,2026各区一模/2026房山一模/试卷,2026,房山,一模,2026北京房山高三一模政治.pdf,,,0,1,yes
2026各区模拟题,其他材料,2026各区一模/2026朝阳一模/其他材料,2026,朝阳,一模,,chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx,38,1,1,no
2026各区模拟题,细则,2026各区一模/2026朝阳一模/细则,2026,朝阳,一模,,2026朝阳一模细则.docx,53,1,1,no
2026各区模拟题,试卷,2026各区一模/2026朝阳一模/试卷,2026,朝阳,一模,2026北京朝阳高三一模政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区一模/2026海淀一模/细则,2026,海淀,一模,,2026海淀一模细则.pdf,53,1,1,no
2026各区模拟题,试卷,2026各区一模/2026海淀一模/试卷,2026,海淀,一模,2026海淀一模 试卷扫描版_去水印.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区一模/2026石景山一模/细则,2026,石景山,一模,,2026石景山一模细则.doc,53,1,1,no
2026各区模拟题,试卷,2026各区一模/2026石景山一模/试卷,2026,石景山,一模,2026北京石景山高三一模政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区一模/2026西城一模/细则,2026,西城,一模,,2026西城一模细则.docx,53,1,1,no
2026各区模拟题,试卷,2026各区一模/2026西城一模/试卷,2026,西城,一模,2026北京西城高三一模政治.pdf,,,0,2,yes
2026各区模拟题,细则,2026各区一模/2026门头沟一模/细则,2026,门头沟,一模,,2026门头沟一模细则.docx,53,1,1,no
2026各区模拟题,试卷,2026各区一模/2026门头沟一模/试卷,2026,门头沟,一模,门头沟区高三政治一模试卷.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区一模/2026顺义一模/细则,2026,顺义,一模,,2026顺义一模细则.pptx,37,1,1,no
2026各区模拟题,试卷,2026各区一模/2026顺义一模/试卷,2026,顺义,一模,,,,0,1,yes
2026各区模拟题,细则,2026各区期末和期中/2026东城期末/细则,2026,东城,期中,,2026东城期末细则.pptx,37,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026东城期末/试卷,2026,东城,期中,2026北京东城高三（上）期末政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区期末和期中/2026丰台期末/细则,2026,丰台,期中,,2026丰台期末细则.pdf,53,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026丰台期末/试卷,2026,丰台,期中,2026北京丰台高三（上）期末政治.pdf,,,0,1,yes
2026各区模拟题,其他材料,2026各区期末和期中/2026朝阳期中/其他材料,2026,朝阳,期中,,2025.11朝阳期中政治评标.docx,53,1,1,no
2026各区模拟题,细则,2026各区期末和期中/2026朝阳期中/细则,2026,朝阳,期中,,2026朝阳期中细则.docx,53,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026朝阳期中/试卷,2026,朝阳,期中,2025北京朝阳高三（上）期中政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区期末和期中/2026朝阳期末/细则,2026,朝阳,期中,,2026朝阳期末细则.pdf,53,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026朝阳期末/试卷,2026,朝阳,期中,2026北京朝阳高三（上）期末政治.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区期末和期中/2026海淀期中/细则,2026,海淀,期中,,2026海淀期中细则.pdf,53,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026海淀期中/试卷,2026,海淀,期中,2025北京海淀高三（上）期中政治（教师版）.docx,,,0,1,yes
2026各区模拟题,细则,2026各区期末和期中/2026海淀期末/细则,2026,海淀,期中,,2026海淀期末细则.pdf,53,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026海淀期末/试卷,2026,海淀,期中,2026北京海淀高三（上）期末政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,试卷,2026各区期末和期中/2026石景山期末/试卷,2026,石景山,期中,2026北京石景山高三（上）期末政治.pdf,,,0,1,yes
2026各区模拟题,其他材料,2026各区期末和期中/2026西城期末/其他材料,2026,西城,期中,,西城高三期末评标.pptx,37,1,1,no
2026各区模拟题,细则,2026各区期末和期中/2026西城期末/细则,2026,西城,期中,,2026西城期末细则.pdf,53,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026西城期末/试卷,2026,西城,期中,2026北京西城高三（上）期末政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,细则,2026各区期末和期中/2026通州期末/细则,2026,通州,期中,,2026通州期末细则.pptx,37,1,1,no
2026各区模拟题,试卷,2026各区期末和期中/2026通州期末/试卷,2026,通州,期中,2026北京通州高三（上）期末政治（教师版）.pdf,,,0,1,yes
2026各区模拟题,其他材料,其他材料,2026,,,,,,0,2,yes
