h2,title,label,hits,bad_candidates,text
矛盾分析法,2. 2025延庆一模 第18题（主观题）,为什么能想到,分析、矛盾分析法、主要矛盾、矛盾,分析,【为什么能想到】 矛盾分析法的入口是“发展态势”和“制约问题”同时出现。低空经济一边高速增长，一边有“小、少、难、散”四类挑战；产业规模、基础设施、空域开放、监管能力、应用场景和产业链合作之间相互制约，其中空域开放难、管控能力弱又是牵动全局的重要制约。看到优势与短板并存、多个矛盾相互牵连，就要抓住主要矛盾和矛盾的主要方面，集中突破关键环节。
矛盾分析法,2. 2025延庆一模 第18题（主观题）,答案落点,分析、矛盾分析法、矛盾,分析,【答案落点】 应坚持矛盾分析法，既看到低空经济增长快、潜力大的有利条件，也看到产业规模小、保障少、空域开放难、应用场景散等制约因素；抓住空域管理、基础设施和监管能力等关键矛盾，针对主要短板集中施策，推动低空经济健康发展。
矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,为什么能想到,分析、矛盾分析法、矛盾,分析,【为什么能想到】 矛盾分析法要求同时看到事物的对立方面。材料先把虚拟数字人直播的两面写全：低成本、无间断、精准匹配带来行业活力，仿冒欺诈又带来治理风险。这种“有价值也有问题”的结构，说明不能只支持或只反对，而要分析积极作用与风险隐患怎样并存、怎样转化。
矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,答案落点,分析、矛盾分析法、矛盾,分析,【答案落点】 看待虚拟数字人直播要坚持矛盾分析法，既看到其降低成本、精准匹配、激发市场活力的积极作用，也正视仿冒欺诈、主体责任不清等风险隐患，在分析矛盾双方的基础上推动规范治理。
矛盾分析法,4. 2026西城二模 第18题第（4）问（主观题）,为什么能想到,科学思维、客观性、矛盾、否定,科学思维、客观性、否定,【为什么能想到】 这组材料不能只落在科学思维客观性下。材料把 AI 的能力和风险同时摆出来，提醒学生不能盲目迷信，也不能全盘否定。价值与风险同在、人与智能协同共生，这正是从矛盾双方看问题的入口。
矛盾分析法,4. 2026西城二模 第18题第（4）问（主观题）,答案落点,分析、矛盾分析法、矛盾、否定,分析、否定,【答案落点】 面对人机协同，应坚持矛盾分析法，既看到 AI 在信息处理、辅助创新中的积极作用，又看到幻觉、偏见和价值立场等风险，做到不盲目迷信、不全盘否定，在全面分析中提升数字素养和判断能力。
矛盾分析法,5. 2024丰台二模 第18题第（2）问（主观题）,为什么能想到,预见性、分析、综合、矛盾分析法、矛盾,预见性、分析、综合,【为什么能想到】 评析观点时不能只写“预测有预见性”。材料一边给出发展机会，一边列出制约条件，说明推动高质量发展要同时看优势和短板。看到机会与问题并存，就应触发矛盾分析法：既肯定准确预测的合理性，又指出预测不能替代补短板和综合施策。
矛盾分析法,5. 2024丰台二模 第18题第（2）问（主观题）,答案落点,分析、综合、矛盾分析法、矛盾,分析、综合,【答案落点】 推动冰雪经济高质量发展，应坚持矛盾分析法，既看到政策支持、市场增长和交流平台带来的发展机会，也看到场地、产业链、标准、人才、技术等短板；准确预测前景有意义，但还必须针对矛盾和问题综合施策。
认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,为什么能想到,分析、综合、感性具体、思维抽象、思维具体,分析、综合,【为什么能想到】 两个阶段的“关联”不能只背三步名称。调查了解阶段的任务是采集居民活动信息和具体数据，得到的是丰富、杂多、直接的生活材料，触发感性具体。分析研究阶段的任务是对调查资料进行分析研究，把零散数据中的本质联系、生活模式和政策意义抽出来，触发思维抽象。分析不是终点，材料最后指向对居民时间利用情况和生活模式的更深认识，说明还应将抽象规定重新综合成对对象的整体把握，触发思维具体。三者顺序不能颠倒，答案顺着“感性具体、思维抽象、思维具体”的认识发展链推进。
认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,答案落点,分析、综合、感性具体、思维抽象、思维具体,分析、综合,【答案落点】 调查了解阶段把居民时间利用中的各种具体活动和数据作为感性具体加以把握；分析研究阶段从杂多材料中抽取时间结构、生活模式等本质联系，形成思维抽象，并进一步综合成对居民生活状况的思维具体认识，体现两个阶段相互依赖、不可分割。
特征与三新,4. 2026延庆一模 第18题第（2）问（主观题）,为什么能想到,适度、思路新、方法新、结果新、三新,适度,【为什么能想到】 虚拟数字人直播不只涉及“扬弃旧问题”，也直接触发“三新”。思路上，它要求承认数字人直播是新业态；方法上，要用内容审核、责任追溯、适度监管和规则完善约束风险；结果上，要形成既有创新活力又有合规边界的电商新生态。材料中的“规范中创新”正是思路新、方法新、结果新的展开。
特征与三新,4. 2026延庆一模 第18题第（2）问（主观题）,答案落点,适度、创新思维、思路新、方法新、结果新,适度,【答案落点】 虚拟数字人直播应体现创新思维的思路新、方法新和结果新：思路新在于承认数字人直播等新型营销场景，方法新在于完善内容审核、责任追溯和适度监管，结果新在于推动技术升级和规则完善，形成既有创新活力又有合规边界的健康电商新业态。
特征与三新,5. 2026石景山一模 第17题第（2）问（主观题）,为什么能想到,分析、思路新、方法新、结果新、三新,分析,【为什么能想到】 “三新”的信号很清楚：思路新，是把中医药文化从静态保存转向现实生活、健康服务和国际传播；方法新，是用数字体验、课程活动、文创康养和多平台传播；结果新，是形成可体验、可服务、可传播的中医药文化新形态。这样分析，才能把材料中的创新落实到思路、方法、结果三层。
特征与三新,7. 2025石景山一模 第19题（主观题）,为什么能想到,科学思维、创新思维、思路新、方法新、结果新,科学思维,【为什么能想到】 设问使用“科学思维观念”的总帽，但材料中的创新信号很明显：获奖建议不是一般“建议很多”，而是把学生的亲身经历、生活观察和城市治理需求重新联结，产生新颖独特的方案。看到“灵感和创意”“奇思妙想”“城市发展建设相碰撞”，就应想到创新思维的思路新、方法新和结果新。
联想思维,5. 2026海淀二模 第18题第（1）问（主观题）,为什么能想到,整体性、分析与综合、分析、综合、联想、迁移、想象,整体性、分析与综合、分析、综合,【为什么能想到】 除了“分析与综合”，材料还有一个清楚的联想动作：团队不是只在现有月季品种内部改良，而是由已有品种联想到野生近缘种，把新的基因资源迁移进育种方案。已有品种、野生近缘种和新品种目标之间形成由此及彼的联系，触发联想、迁移和想象。最后再用田间试验检验花色、抗病、香气等整体性状，说明联想不能停在灵感上，还要回到实践检验。
联想思维,5. 2026海淀二模 第18题第（1）问（主观题）,答案落点,整体性、联想、迁移,整体性,【答案落点】 该团队通过联想把现有月季育种经验迁移到野生近缘种资源上，由已有品种想到新的基因来源，再把野生近缘种的抗病、香气等潜在优势同市场需求相连接，形成新品种培育方案；同时通过田间试验检验花色、抗病、香气等整体性状，使联想和迁移服务于可验证的育种实践。
发散思维与聚合思维,5. 2026海淀一模 第17题第（2）问（主观题）,为什么能想到,创新思维、发散思维、聚合思维、发散、聚合,创新思维,【为什么能想到】 围绕调研缺陷提出改进，需要先打开方向再收束方案。发散思维帮助学生先打开改进方向：样本是否充分、选项是否完整、资料是否多元、因果链是否清楚；聚合思维再把这些方向收束为能执行、能验证的两条建议。看到“提出两条具体可行建议”，就可以从发散与聚合进入创新思维。
超前思维,1. 2024西城一模 第19题第（5）问（主观题）,为什么能想到,分析、综合、矛盾分析法、矛盾、想象、超前思维、超前、推理,分析、综合,【为什么能想到】 这里不是问“未来产业是什么”，而是问“怎样研判方向”。材料一边强调未来产业处在孕育或产业化初期，一边强调技术路线、应用场景和产业化时间都高度不确定，一边又写中央和地方正在前瞻布局，核心动作就是面向未来作判断。研判方向不能凭热词押注，而要以实践中的问题为导向，先调查研究全球和中国的发展状况、因果关系和规律，再在分析基础上综合研判；未来产业还受内在矛盾、动力条件和外部条件制约，所以要用矛盾分析法看清推动和限制力量，并通过推理和想象由过去、现在推知未来趋势。这一组动作应落在超前思维的方法链下。
超前思维,1. 2024西城一模 第19题第（5）问（主观题）,答案落点,分析、综合、矛盾、想象、超前思维、超前、推理,分析、综合,【答案落点】 研判我国未来产业发展方向，应以实践中的问题为导向，注重调查研究，把握全球及中国产业发展的状况、因果关系和规律，在分析基础上综合研判方向；善用矛盾分析方法，研究内在矛盾、内在动力和外在条件；合理运用推理和想象，由过去和现在推知未来趋势，体现超前思维。
超前思维,5. 2026海淀期末 第20题第（2）问（主观题）,为什么能想到,分析、矛盾、想象、超前思维、超前、推理,分析,【为什么能想到】 用“超前思维的方法”提建议时，材料里的需求、成本和未来功能不是三个散点。居民阅读和服务需求说明先要调查研究，不能凭主观偏好布点；建设运营成本与需求之间的张力说明要运用矛盾分析，预判投入、维护、客流和服务供给的冲突；人口结构、阅读方式和公共文化服务变化说明要借助推理和想象预判未来使用场景。三步连起来，才是超前思维的可操作建议链。
超前思维,5. 2026海淀期末 第20题第（2）问（主观题）,答案落点,分析、想象、超前思维、超前、推理,分析,【答案落点】 城市书房建设应运用超前思维，先通过问卷、访谈、数据分析等调查研究把握真实阅读和服务需求；再预判运营成本、空间利用和居民需求之间的张力，设计可持续管理机制；还要借助推理和想象研判人口结构、数字阅读和公共文化服务变化，提前规划复合功能。
超前思维,9. 2024顺义二模 第16题第（2）问（主观题）,为什么能想到,分析、矛盾分析法、矛盾、超前思维、超前,分析,【为什么能想到】 “超前思维”的入口很明确，材料里的问题就是预判对象。大拆大建会带来更多固废，公众分类意识不足会影响后端治理，低值再生资源回收成本高、利润低会影响市场动力，技术支撑不足会限制资源化无害化，这些都是未来治理中可能继续放大的矛盾，触发超前思维的矛盾分析法。材料还要求系统化、科学化、长效化，说明不能只提短期清运，而要尊重城市建设规律，提前判断固废产生、回收、利用和治理成本的变化趋势，把资源化、清洁生产、经济效益和社会效益统一起来。
超前思维,9. 2024顺义二模 第16题第（2）问（主观题）,答案落点,分析、矛盾分析法、矛盾、超前思维、超前,分析,【答案落点】 推进“无废城市”建设，要针对大拆大建、公众分类不足、低值资源回收难和技术支撑不足等问题，在尊重城市建设发展规律的基础上运用超前思维的矛盾分析法，作出科学判断和预见，把固体废物资源化与清洁生产结合起来，统筹经济效益和社会效益，推动“无废城市”建设系统化、科学化、长效化。
