order,question_id,visible_title,question_type_group,has_complete_options,has_subjective_trap,has_subjective_action,has_subjective_tongleiti,has_choice_label_correct,has_choice_label_trap,meets_recheck_requirement,note
34,Q-2025西城二模-7,2025 西城二模第7题,选择题,是,,,,是,是,是,
35,Q-2024西城一模-11,2024 西城一模第11题,选择题,是,,,,是,是,是,
36,Q-2024西城一模-13,2024 西城一模第13题,选择题,是,,,,是,是,是,
37,Q-2026东城一模-6,2026 东城一模第6题,选择题,是,,,,是,是,是,
38,Q-2026东城期末-6,2026 东城期末第6题,选择题,是,,,,是,是,是,
39,Q-2026东城期末-7,2026 东城期末第7题,选择题,是,,,,是,是,是,
40,Q-2025东城期末-5,2025 东城期末第5题,选择题,是,,,,是,是,是,
41,Q-2025东城期末-13,2025 东城期末第13题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
42,Q-2025东城期末-14,2025 东城期末第14题,选择题,是,,,,是,是,是,
43,Q-2025东城期末-15,2025 东城期末第15题,选择题,是,,,,是,是,是,
44,Q-2026朝阳期中-11,2026 朝阳期中第11题,选择题,是,,,,是,是,是,
45,Q-2026朝阳期中-12,2026 朝阳期中第12题,选择题,是,,,,是,是,是,
46,Q-2026朝阳期中-13,2026 朝阳期中第13题,选择题,是,,,,是,是,是,
47,Q-2026朝阳期中-14,2026 朝阳期中第14题,选择题,是,,,,是,是,是,
48,Q-2026朝阳期中-15,2026 朝阳期中第15题,选择题,是,,,,是,是,是,
49,Q-2024朝阳一模-6,2024 朝阳一模第6题,选择题,是,,,,是,是,是,
50,Q-2024朝阳一模-7,2024 朝阳一模第7题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
51,Q-2024朝阳一模-9,2024 朝阳一模第9题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
52,Q-2024朝阳二模-6,2024 朝阳二模第6题,选择题,是,,,,是,是,是,
53,Q-2024朝阳二模-7,2024 朝阳二模第7题,选择题,是,,,,是,是,是,
54,Q-2024朝阳期中-7,2024 朝阳期中第7题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
55,Q-2024朝阳期中-8,2024 朝阳期中第8题,选择题,是,,,,是,是,是,
56,Q-2024朝阳期中-9,2024 朝阳期中第9题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
57,Q-2024朝阳期中-11,2024 朝阳期中第11题,选择题,是,,,,是,是,是,
58,Q-2026丰台一模-4,2026 丰台一模第4题,选择题,是,,,,是,是,是,
59,Q-2026丰台一模-7,2026 丰台一模第7题,选择题,是,,,,是,是,是,
60,Q-2026丰台一模-8,2026 丰台一模第8题,选择题,是,,,,是,是,是,
61,Q-2026丰台一模-9,2026 丰台一模第9题,选择题,是,,,,是,是,是,
62,Q-2025丰台期末-7,2025 丰台期末第7题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
63,Q-2025丰台期末-8,2025 丰台期末第8题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
64,Q-2025丰台期末-9,2025 丰台期末第9题,选择题,是,,,,是,是,是,
65,Q-2025丰台期末-10,2025 丰台期末第10题,选择题,是,,,,是,是,是,
66,Q-2026通州期末-10,2026 通州期末第10题,选择题,是,,,,是,是,是,
67,Q-2026顺义一模-3,2026 顺义一模第3题,选择题,是,,,,是,是,是,
68,Q-2026顺义一模-4,2026 顺义一模第4题,选择题,是,,,,是,是,是,
69,Q-2026顺义一模-5,2026 顺义一模第5题,选择题,是,,,,是,是,是,
70,Q-2026顺义一模-6,2026 顺义一模第6题,选择题,是,,,,是,是,是,
71,Q-2026通州期末-5,2026 通州期末第5题,选择题,是,,,,是,是,是,
72,Q-2026通州期末-8,2026 通州期末第8题,选择题,是,,,,是,是,是,
73,Q-2026通州期末-9,2026 通州期末第9题,选择题,是,,,,是,是,是,
74,Q-2026通州期末-11,2026 通州期末第11题,选择题,是,,,,是,是,是,
75,Q-2025顺义一模-5,2025 顺义一模第5题,选择题,是,,,,是,是,是,
76,Q-2025顺义一模-6,2025 顺义一模第6题,选择题,是,,,,是,是,是,
77,Q-2025顺义一模-7,2025 顺义一模第7题,选择题,是,,,,否,否,是,choice_label_inline_in_答案落点_style_polish_only
