diagnosis_id,layer,question_id,target,check_item,status,failure_reason,file_position,repair_suggestion,severity
DIAG_0011,B_question_run,CC0011_2024_丰台_二模_17,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:3,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0012,B_question_run,CC0019_2024_朝阳_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:4,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0013,B_question_run,CC0025_2024_朝阳_二模_17,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:5,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0014,B_question_run,CC0040_2024_海淀_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path；open_or_reference_must_not_core,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:6,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0015,B_question_run,CC0045_2024_海淀_二模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:7,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0016,B_question_run,CC0051_2024_海淀_期中_21_1,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:8,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0017,B_question_run,CC0054_2024_石景山_一模_17,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:9,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0018,B_question_run,CC0061_2024_西城_一模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:10,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0019,B_question_run,CC0063_2024_西城_二模_16,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:11,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0020,B_question_run,CC0077_2025_东城_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:12,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0021,B_question_run,CC0084_2025_东城_二模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:13,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0022,B_question_run,CC0092_2025_东城_期末_19_1,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:14,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0023,B_question_run,CC0103_2025_丰台_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:15,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0024,B_question_run,CC0119_2025_丰台_期末_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:16,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0025,B_question_run,CC0125_2025_延庆_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:17,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0026,B_question_run,CC0131_2025_房山_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:18,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0027,B_question_run,CC0137_2025_昌平_二模_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:19,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0028,B_question_run,CC0143_2025_朝阳_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:20,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0029,B_question_run,CC0150_2025_朝阳_二模_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:21,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0030,B_question_run,CC0157_2025_朝阳_期末_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:22,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0031,B_question_run,CC0162_2025_海淀_一模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path；open_or_reference_must_not_core,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:23,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0032,B_question_run,CC0180_2025_海淀_期末_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:24,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0033,B_question_run,CC0181_2025_海淀_期末_21,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:25,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0034,B_question_run,CC0189_2025_石景山_一模_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:26,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0035,B_question_run,CC0195_2025_西城_一模_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:27,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0036,B_question_run,CC0200_2025_西城_二模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:28,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0037,B_question_run,CC0206_2025_西城_期末_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:29,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0038,B_question_run,CC0213_2025_门头沟_一模_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:30,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0039,B_question_run,CC0214_2025_门头沟_一模_20_2,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:31,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0040,B_question_run,CC0223_2025_顺义_一模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:32,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0041,B_question_run,CC0229_2026_东城_一模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:33,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0042,B_question_run,CC0238_2026_东城_二模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:34,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0043,B_question_run,CC0244_2026_东城_期中_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:35,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0044,B_question_run,CC0245_2026_东城_期中_18_2,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:36,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0045,B_question_run,CC0251_2026_丰台_一模_20,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:37,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0046,B_question_run,CC0254_2026_丰台_二模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:38,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0047,B_question_run,CC0276_2026_房山_二模_17,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:39,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0048,B_question_run,CC0277_2026_房山_二模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:40,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0049,B_question_run,CC0283_2026_朝阳_一模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:41,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0050,B_question_run,CC0289_2026_朝阳_二模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:42,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0051,B_question_run,CC0311_2026_海淀_二模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path；open_or_reference_must_not_core,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:43,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0052,B_question_run,CC0317_2026_海淀_期中_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:44,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0053,B_question_run,CC0318_2026_海淀_期中_18_2,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:45,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0054,B_question_run,CC0319_2026_海淀_期中_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:46,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0055,B_question_run,CC0325_2026_石景山_一模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:47,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0056,B_question_run,CC0332_2026_石景山_二模_19,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:48,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0057,B_question_run,CC0340_2026_西城_一模_17,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:49,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0058,B_question_run,CC0353_2026_西城_期中_17,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path；open_or_reference_must_not_core,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:50,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
