question_id,year,district,exam_stage,question_no,framework_entrance,secondary_entrance,proposition_path,prompt,card_file,evidence_status,source_check_state,source_check_decision
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,E2 判决/裁判/责任理由题,E5_意义价值作用保护推动；题源副入口：制度意义,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,E2 判决/裁判/责任理由题,E5_意义价值作用保护推动；题源副入口：绿色交易意义,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,E2 判决/裁判/责任理由题,劳动纪律；解除劳动合同,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,请运用《法律与生活》相关知识阐释法院的裁判理由。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0181_2025_海淀_期末_21,2025,海淀,期末,21,E2 判决/裁判/责任理由题,无,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0200_2025_西城_二模_18,2025,西城,二模,18,E2 判决/裁判/责任理由题,多方过错 / 未成年人交易行为效力,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0206_2025_西城_期末_19,2025,西城,期末,19,E2 判决/裁判/责任理由题,不正当竞争；商标抢注/混淆,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,“唤醒词”亦受法律保护，请运用法律知识分析法院的判决。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0364_2026_通州_期中_19_1,2026,通州,期中,19,E2 判决/裁判/责任理由题,相邻关系；停止妨害,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,结合材料，运用《法律与生活》知识，分析判决结果并说明理由。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,formal_locked_with_id_alias,KEEP_CORE_WITH_ALIAS_NOTE
CC0143_2025_朝阳_一模_19,2025,朝阳,一模,19,E3 诉求/请求能否支持题,合同效力|撤销,诉求对象 -> 权利基础 -> 法律要件 -> 支持/不支持及理由。,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0305_2026_海淀_一模_18_3,2026,海淀,一模,18,E3 诉求/请求能否支持题,隐私权链 / 消费者欺诈链,诉求对象 -> 权利基础 -> 法律要件 -> 支持/不支持及理由。,围绕消费者诉求能否支持，分别判断隐私权侵害与消费者欺诈责任。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED_FORMAL_BUT_ASK_TEXT_PARTIAL,not_in_round03_source_check,covered_by_prior_locked_core
CC0373_2026_顺义_一模_18,2026,顺义,一模,18,E3 诉求/请求能否支持题,材料证明,诉求对象 -> 权利基础 -> 法律要件 -> 支持/不支持及理由。,结合材料，运用《法律与生活》知识，闫某和张某的诉求能否得到法院的支持，并说明理由。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,E4 评析/认识/观点题,无,观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,"结合材料,运用《法律与生活》知识,分析上述案例。",final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0238_2026_东城_二模_19,2026,东城,二模,19,E4 评析/认识/观点题,一主体一链,观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0244_2026_东城_期中_18,2026,东城,期中,18,E4 评析/认识/观点题,无,观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0254_2026_丰台_二模_18,2026,丰台,二模,18,E4 评析/认识/观点题,调解方案理由,观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,司法给予我们的不仅是定分止争，也是一份融通情理的温暖力量。结合材料，综合运用法治知识，阐明你对这一观点的认识。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,E4 评析/认识/观点题,婚姻家庭法律变迁；良法评析,观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,运用法治知识，对小海的观点进行评析。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,pass_recovered_locked,KEEP_CORE_LOW_FREQUENCY
CC0061_2024_西城_一模_18,2024,西城,一模,18,E4 评析/认识/观点题,家庭赡养制度意义,观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core
CC0332_2026_石景山_二模_19,2026,石景山,二模,19,E4 评析/认识/观点题,行为评价,观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,E5 意义/价值/作用/保护推动题,规则意义,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,E5 意义/价值/作用/保护推动题,合同诚信履行；经营者诚信经营,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，运用《法律与生活》知识，分析诚信原则对促进社会主义市场经济健康发展的积极作用。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0063_2024_西城_二模_16,2024,西城,二模,16,E5 意义/价值/作用/保护推动题,规则意义,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0103_2025_丰台_一模_19,2025,丰台,一模,19,E5 意义/价值/作用/保护推动题,规则意义,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0131_2025_房山_一模_19,2025,房山,一模,19,E5 意义/价值/作用/保护推动题,知识产权保护,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，谈谈“真创新”受到“真保护”的法治价值。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,E5 意义/价值/作用/保护推动题,无过错侵权责任；消费者保护,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,下表列出了《最高人民法院关于适用〈中华人民共和国民法典〉侵权责任编的解释（一）》部分条款。参考示例，完成下表。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0195_2025_西城_一模_20,2025,西城,一模,20,E5 意义/价值/作用/保护推动题,集体协商；劳动权益,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，综合运用经济和法律的知识，说明上述做法能促进社会公平与经济效率的平衡。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,formal_locked,KEEP_CORE
CC0283_2026_朝阳_一模_18,2026,朝阳,一模,18,E5 意义/价值/作用/保护推动题,多案例意义题；一案一手段,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，运用《法律与生活》知识，谈谈人民法院是如何依法保护知识产权以护航新质生产力发展的。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0340_2026_西城_一模_17,2026,西城,一模,17,E5 意义/价值/作用/保护推动题,无,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,E5 意义/价值/作用/保护推动题,规则意义,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core
CC0229_2026_东城_一模_18,2026,东城,一模,18,E5 意义/价值/作用/保护推动题,多案例意义题,法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core
CC0125_2025_延庆_一模_19,2025,延庆,一模,19,E6 调解/维权/纠纷解决/证据路径题,材料证明,纠纷事实 -> 权利受损或争议焦点 -> 路径/主体/证据 -> 救济方案。,运用《法律与生活》知识，说明你会如何进行调解并说 明理由。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,E6 调解/维权/纠纷解决/证据路径题,诉讼调解；相邻关系；不正当竞争/行政裁决,纠纷事实 -> 权利受损或争议焦点 -> 路径/主体/证据 -> 救济方案。,（1）运用《法律与生活》知识，分析上述案例是如何解决纠纷的。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,formal_locked,KEEP_CORE
CC0245_2026_东城_期中_18_2,2026,东城,期中,18,E6 调解/维权/纠纷解决/证据路径题,合同/侵权证据；纠纷解决,纠纷事实 -> 权利受损或争议焦点 -> 路径/主体/证据 -> 救济方案。,维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,E6 调解/维权/纠纷解决/证据路径题,共有部分；相邻权；安全责任,纠纷事实 -> 权利受损或争议焦点 -> 路径/主体/证据 -> 救济方案。,遇到的法律问题：____、____。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core
