"question_id","district","year","evidence_status","main_entry","framework_entrance","secondary_entrance","source_check_state","source_check_decision","canonical_source_id","guardrail","evidence_files"
"CC0223_2025_顺义_一模_19","顺义","2025","PASS","问纠纷如何解决","E6_调解维权纠纷解决证据路径","","formal_locked","KEEP_CORE","CC0223_2025_顺义_一模_19","Rewarded action is how disputes are solved: case 1 litigation mediation + common-area reasonable use + neighboring relation; case 2 market-regulator adjudication / administrative lawsuit / unfair competition. Value language must be derived from the two cases, not written as free-standing meaning extraction.","coverage_check_v12_2_council.csv; pending_source_check_20260522.csv"
"CC0238_2026_东城_二模_19","东城","2026","PASS","问评析 / 谈认识","E4_评析认识谈看法","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0244_2026_东城_期中_18","东城","2026","PASS","问法律认识","E4_评析认识谈看法","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0245_2026_东城_期中_18_2","东城","2026","PASS","问维权准备和路径","E6_调解维权纠纷解决证据路径","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0254_2026_丰台_二模_18","丰台","2026","PASS","问对法治温度/法德结合的认识","E4_评析认识谈看法","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0283_2026_朝阳_一模_18","朝阳","2026","PASS","问法院如何保护知识产权","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0289_2026_朝阳_二模_18","朝阳","2026","PASS","补问答并任选权利保护","E1_表格裁判要点补链","E6_调解维权纠纷解决证据路径","formal_locked","KEEP_CORE_MIXED","CC0289_2026_朝阳_二模_18","Primary delivery is completion of three Q&A blanks; the '任选其一' part then asks rights-protection by basis + action + remedy. Choosing question 1/2/3 itself is not scored; personal information and 必修三 slogans are not scored.","coverage_check_v12_2_council.csv; pending_source_check_20260522.csv"
"CC0325_2026_石景山_一模_18","石景山","2026","PASS","完成举证责任表","E1_表格裁判要点补链","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0340_2026_西城_一模_17","西城","2026","PASS","问规定如何推动绿色发展","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0364_2026_通州_期中_19_1","通州","2026","PASS","问判决结果及理由","E2_判决裁判责任理由","","formal_locked_with_id_alias","KEEP_CORE_WITH_ALIAS_NOTE","CC0364_2026_通州_期末_19_1","Procedure legality is rewarded in this case because the original answer includes legal proportion consent/procedure and the source card says procedure was locked. It is not a universal first sentence for all E2 questions. Do not import the separate 逻辑与思维 subquestion atoms R02..08 into the law framework.","coverage_check_v12_2_council.csv; pending_source_check_20260522.csv"
"CC0045_2024_海淀_二模_19","海淀","2024","PASS_RECOVERED","问判决社会价值","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0051_2024_海淀_期中_21_1","海淀","2024","PASS_RECOVERED","评析观点","E4_评析认识谈看法","","pass_recovered_locked","KEEP_CORE_LOW_FREQUENCY","CC0051_2024_海淀_期中_21_1","Use as recovered evidence for evaluation of a view under marriage-family law and good-law standards. Do not create a broad legal-change trunk, and do not turn it into 必修三 scientific legislation slogans.","coverage_check_v12_2_council.csv; pending_source_check_20260522.csv"
"CC0061_2024_西城_一模_18","西城","2024","PASS_RECOVERED","问对督促履行义务告知书的认识","E4_评析认识谈看法","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0092_2025_东城_期末_19_1","东城","2025","PASS_RECOVERED","识别法律问题","E6_调解维权纠纷解决证据路径","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0189_2025_石景山_一模_20","石景山","2025","PASS_RECOVERED","完成表格 / 法律护航创新","E1_表格裁判要点补链","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0229_2026_东城_一模_18","东城","2026","PASS_RECOVERED","问司法如何守护创新 / 知识产权制度意义","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0332_2026_石景山_二模_19","石景山","2026","PASS_RECOVERED","问惩教并行认识","E4_评析认识谈看法","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0305_2026_海淀_一模_18_3","海淀","2026","PASS_RECOVERED_FORMAL_BUT_ASK_TEXT_PARTIAL","问诉求能否支持","E3_诉求请求能否支持","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0373_2026_顺义_一模_18","顺义","2026","PASS_RECOVERED","问诉求能否支持并说明理由","E3_诉求请求能否支持","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
