suite_id,question_no,question_type,is_philosophy,evidence_level,status,target_node,brief
2026_房山_一模,16(2),subjective,yes,rubric-formal,included,辩证法/矛盾普遍性与特殊性,2026_房山_一模__Q16_2__矛盾普遍性与特殊性
2026_房山_一模,16(2),subjective,yes,rubric-formal,included,辩证法/联系普遍性,2026_房山_一模__Q16_2__联系普遍性
2026_房山_一模,20,subjective,yes,rubric-formal,included,认识论/实践与认识总,2026_房山_一模__Q20__实践与认识总
2026_房山_一模,20,subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_房山_一模__Q20__系统观念系统优化
2026_延庆_一模,16,subjective,yes,rubric-formal,included,历史唯物主义/人民群众,2026_延庆_一模__Q16__人民群众
2026_延庆_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_延庆_一模__Q16__矛盾就是对立统一
2026_延庆_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾特殊性 / 具体问题具体分析,2026_延庆_一模__Q16__矛盾特殊性具体问题具体分析
2026_延庆_一模,16,subjective,yes,rubric-formal,included,辩证法/辩证否定 守正创新,2026_延庆_一模__Q16__辩证否定守正创新
2026_延庆_一模,20,subjective,yes,rubric-formal,included,辩证法/发展的观点,2026_延庆_一模__Q20__发展的观点
2026_延庆_一模,20,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_延庆_一模__Q20__尊重客观规律与发挥主观能动性
2026_延庆_一模,20,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_延庆_一模__Q20__矛盾就是对立统一
2026_延庆_一模,20,subjective,yes,rubric-formal,included,唯物论/规律的客观性,2026_延庆_一模__Q20__规律的客观性
2026_门头沟_一模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点,2026_门头沟_一模__Q16__发展的观点
2026_门头沟_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_门头沟_一模__Q16__矛盾就是对立统一
2026_门头沟_一模,16,subjective,yes,rubric-formal,included,辩证法/联系普遍性,2026_门头沟_一模__Q16__联系普遍性
2026_门头沟_一模,16,subjective,yes,rubric-formal,included,辩证法/辩证否定 守正创新,2026_门头沟_一模__Q16__辩证否定守正创新
2026_门头沟_一模,21,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_门头沟_一模__Q21__尊重客观规律与发挥主观能动性
2026_门头沟_一模,21,subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_门头沟_一模__Q21__系统观念系统优化
2026_顺义_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值观导向作用,2026_顺义_一模__Q16__价值观导向作用
2026_顺义_一模,16,subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_顺义_一模__Q16__系统观念系统优化
2026_顺义_一模,16,subjective,yes,rubric-formal,included,辩证法/联系普遍性,2026_顺义_一模__Q16__联系普遍性
2026_顺义_一模,16,subjective,yes,rubric-formal,included,辩证法/量变与质变 适度原则,2026_顺义_一模__Q16__量变与质变适度原则
2026_顺义_一模,21,subjective,yes,rubric-formal,included,辩证法/两点论与重点论,2026_顺义_一模__Q21__两点论与重点论
2026_顺义_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/人民群众,2026_顺义_一模__Q21__人民群众
2026_顺义_一模,21,subjective,yes,rubric-formal,included,辩证法/内因外因,2026_顺义_一模__Q21__内因外因
2026_顺义_一模,21,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_顺义_一模__Q21__尊重客观规律与发挥主观能动性
2026_海淀_期末,16,subjective,yes,rubric-formal,included,辩证法/两点论与重点论,2026_海淀_期末__Q16__两点论与重点论
2026_海淀_期末,16,subjective,yes,rubric-formal,included,唯物论/主观能动性 / 意识的能动作用,2026_海淀_期末__Q16__主观能动性
2026_海淀_期末,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值观的导向作用,2026_海淀_期末__Q16__价值观的导向作用
2026_海淀_期末,16,subjective,yes,rubric-formal,included,认识论/实践是认识的基础,2026_海淀_期末__Q16__实践的观点
2026_海淀_期末,16,subjective,yes,rubric-formal,included,唯物论/主观能动性 / 意识的能动作用,2026_海淀_期末__Q16__意识的能动作用
2026_海淀_期末,16,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_海淀_期末__Q16__矛盾一分为二
2026_海淀_期末,17,subjective,yes,rubric-formal,included,价值观 / 人生观/价值观的导向作用,2026_海淀_期末__Q17__价值观的导向作用
2026_海淀_期末,17,subjective,yes,rubric-formal,included,辩证法/根据固有联系建立新的具体联系,2026_海淀_期末__Q17__联系的观点
2026_海淀_期中,,suite_boundary,no,,module-boundary-excluded,,无进入学生版条目；详见套卷报告或边界清单
2026_西城_期末,16(2),subjective,yes,rubric-formal,included,历史唯物主义/人民群众,2026_西城_期末__Q16-2__人民群众
2026_西城_期末,16(2),subjective,yes,rubric-formal,included,价值观 / 人生观/价值观的导向作用,2026_西城_期末__Q16-2__价值观的导向作用
2026_西城_期末,16(2),subjective,yes,rubric-formal,included,认识论/实践是认识的基础,2026_西城_期末__Q16-2__实践是检验认识真理性的唯一标准
2026_西城_期末,16(2),subjective,yes,rubric-formal,included,唯物论/物质决定意识,2026_西城_期末__Q16-2__物质决定意识
2026_西城_期末,16(2),subjective,yes,rubric-formal,included,辩证法/矛盾的普遍性和特殊性,2026_西城_期末__Q16-2__矛盾普遍性与特殊性
2026_西城_期末,21,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 发展的普遍性,2026_西城_期末__Q21__发展的观点
2026_西城_期末,21,subjective,yes,rubric-formal,included,唯物论/一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026_西城_期末__Q21__实事求是
2026_东城_期末,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值观的导向作用,2026_东城_期末__Q16__价值观的导向作用
2026_东城_期末,16,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_东城_期末__Q16__矛盾对立统一
2026_东城_期末,21,subjective,yes,rubric-formal,included,辩证法/系统观念 / 系统优化,2026_东城_期末__Q21__系统观念
2026_朝阳_期末,16,subjective,yes,rubric-formal,included,辩证法/辩证否定 / 守正创新,2026_朝阳_期末__Q16__辩证否定观
2026_朝阳_期末,21,subjective,yes,rubric-formal,included,辩证法/整体与部分,2026_朝阳_期末__Q21__整体与部分
2026_朝阳_期中,18,subjective,yes,rubric-formal,included,唯物论/主观能动性 / 意识的能动作用,2026_朝阳_期中__Q18__主观能动性
2026_朝阳_期中,18,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2026_朝阳_期中__Q18__价值判断与价值选择
2026_朝阳_期中,18,subjective,yes,rubric-formal,included,辩证法/矛盾的观点 / 矛盾的特殊性,2026_朝阳_期中__Q18__具体问题具体分析
2026_朝阳_期中,18,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_朝阳_期中__Q18__矛盾对立统一
2026_朝阳_期中,18,subjective,yes,rubric-formal,included,辩证法/辩证否定 / 守正创新,2026_朝阳_期中__Q18__辩证否定
2026_朝阳_期中,4,choice,yes,answer-key,objective-key-only,辩证法/联系的观点 / 联系的多样性,2026_朝阳_期中__Q4__联系多样性
2026_丰台_期末,16,subjective,yes,rubric-formal,included,辩证法/整体与部分,2026_丰台_期末__Q16__整体与部分联系
2026_丰台_期末,16,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_丰台_期末__Q16__矛盾对立统一
2026_丰台_期末,16,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_丰台_期末__Q16__规律与能动性
2026_丰台_期末,16,subjective,yes,rubric-formal,included,辩证法/量变与质变 / 适度原则,2026_丰台_期末__Q16__量变质变适度
2026_通州_期末,16,subjective,yes,rubric-formal,included,唯物论/一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026_通州_期末__Q16__一切从实际出发
2026_通州_期末,16,subjective,yes,rubric-formal,included,历史唯物主义/人民群众,2026_通州_期末__Q16__人民群众
2026_通州_期末,16,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 发展的普遍性,2026_通州_期末__Q16__发展的观点
2026_通州_期末,16,subjective,yes,rubric-formal,included,辩证法/联系的观点 / 普遍联系,2026_通州_期末__Q16__联系观点
2026_通州_期末,16,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_通州_期末__Q16__规律与能动性
2026_通州_期末,16,subjective,yes,rubric-formal,included,辩证法/辩证否定 / 守正创新,2026_通州_期末__Q16__辩证否定守正创新
2025_海淀_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_海淀_一模__Q16__价值判断与价值选择
2025_海淀_一模,16,subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_海淀_一模__Q16__实践与认识
2025_海淀_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_海淀_一模__Q16__矛盾分析法
2025_海淀_一模,22,subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_海淀_一模__Q22__辩证法-发展的观点
2025_海淀_一模,22,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_海淀_一模__Q22__辩证法-联系的观点
2025_西城_一模,16,subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_西城_一模__Q16__实践是认识的基础
2025_西城_一模,16,subjective,yes,rubric-formal,included,认识论/认识对实践的反作用,2025_西城_一模__Q16__认识对实践的反作用
2025_西城_一模,16,subjective,yes,rubric-formal,included,认识论/认识具有反复性、无限性和上升性,2025_西城_一模__Q16__认识的发展
2025_西城_一模,22,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 前进性与曲折性,2025_西城_一模__Q22__发展的前进性与曲折性
2025_西城_一模,22,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 量变与质变,2025_西城_一模__Q22__发展的观点-量变质变
2025_西城_一模,22,subjective,yes,rubric-formal,included,唯物论/规律的客观性与普遍性,2025_西城_一模__Q22__尊重客观规律
2025_东城_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值观的导向作用,2025_东城_一模__Q16__价值观的导向作用
2025_东城_一模,16,subjective,yes,rubric-formal,included,历史唯物主义/社会存在与社会意识,2025_东城_一模__Q16__文化是社会实践的产物
2025_东城_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_东城_一模__Q16__矛盾普遍性与特殊性
2025_东城_一模,16,subjective,yes,rubric-formal,included,辩证法/辩证否定观,2025_东城_一模__Q16__辩证否定与发展
2025_东城_一模,18(1),subjective,yes,rubric-formal,included,辩证法/矛盾分析法 / 主要矛盾与次要矛盾,2025_东城_一模__Q18-1__辩证法-主要矛盾
2025_东城_一模,18(1),subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_东城_一模__Q18-1__辩证法-发展的观点
2025_东城_一模,18(1),subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_东城_一模__Q18-1__辩证法-联系的整体性
2025_东城_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/经济基础与上层建筑,2025_东城_一模__Q21__经济基础与上层建筑
2025_东城_一模,6,choice,yes,rubric-formal,objective-key-only,认识论/认识的反复性,2025_东城_一模__Q6__认识受主客观因素影响
2025_朝阳_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值的创造与实现,2025_朝阳_一模__Q16__价值的创造与实现
2025_朝阳_一模,16,subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_朝阳_一模__Q16__实践是认识的基础
2025_朝阳_一模,16,subjective,yes,rubric-formal,included,历史唯物主义/社会存在与社会意识,2025_朝阳_一模__Q16__社会存在与社会意识
2025_朝阳_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/人民群众是历史的创造者,2025_朝阳_一模__Q21__人民群众是历史的创造者
2025_朝阳_一模,21,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_朝阳_一模__Q21__价值判断与价值选择
2025_朝阳_一模,21,subjective,yes,rubric-formal,included,价值观 / 人生观/价值的创造与实现,2025_朝阳_一模__Q21__价值的创造与实现
2025_朝阳_一模,4,choice,yes,rubric-formal,objective-key-only,辩证法/矛盾分析法 / 具体问题具体分析,2025_朝阳_一模__Q4__具体问题具体分析
2025_丰台_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_丰台_一模__Q16__价值判断与价值选择
2025_丰台_一模,18(3),subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_丰台_一模__Q18-3__价值观
2025_丰台_一模,18(3),subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_丰台_一模__Q18-3__发展的观点
2025_丰台_一模,18(3),subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_丰台_一模__Q18-3__矛盾的观点
2025_丰台_一模,18(3),subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_丰台_一模__Q18-3__联系的观点
2025_丰台_一模,2,choice,yes,rubric-formal,objective-key-only,辩证法/矛盾分析法,2025_丰台_一模__Q2__矛盾的对立统一
2025_丰台_一模,4,choice,yes,rubric-formal,objective-key-only,唯物论/规律的客观性与普遍性,2025_丰台_一模__Q4__尊重自然规律
2025_石景山_一模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_石景山_一模__Q16__发展的观点
2025_石景山_一模,16,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_石景山_一模__Q16__联系的观点
2025_石景山_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/社会发展的规律,2025_石景山_一模__Q21__社会发展普遍规律
2025_石景山_一模,3,choice,yes,rubric-formal,objective-key-only,认识论/实践与认识的关系,2025_石景山_一模__Q3__实践与认识
2025_石景山_一模,4,choice,yes,rubric-formal,objective-key-only,唯物论/物质决定意识,2025_石景山_一模__Q4__一切从实际出发
2025_房山_一模,16(1),subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_房山_一模__Q16-1__价值判断与价值选择
2025_房山_一模,16(1),subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_房山_一模__Q16-1__矛盾分析法
2025_房山_一模,20,subjective,yes,rubric-formal,included,价值观 / 人生观/价值的创造与实现,2025_房山_一模__Q20__人生价值的实现
2025_房山_一模,20,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 前进性与曲折性,2025_房山_一模__Q20__发展的观点-前进性与曲折性
2025_房山_一模,20,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 量变与质变,2025_房山_一模__Q20__发展的观点-量变质变
2025_房山_一模,3,choice,yes,rubric-formal,objective-key-only,辩证法/矛盾分析法 / 具体问题具体分析,2025_房山_一模__Q3__具体问题具体分析
2025_房山_一模,4,choice,yes,rubric-formal,objective-key-only,辩证法/矛盾分析法,2025_房山_一模__Q4__矛盾普遍性与特殊性
2025_延庆_一模,16,subjective,yes,rubric-formal,included,唯物论/物质决定意识,2025_延庆_一模__Q16__一切从实际出发
2025_延庆_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_延庆_一模__Q16__价值观
2025_延庆_一模,18,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 量变与质变,2025_延庆_一模__Q18__发展的观点-量变质变
2025_延庆_一模,18,subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_延庆_一模__Q18__矛盾分析法
2025_延庆_一模,4,choice,yes,rubric-formal,objective-key-only,唯物论/规律的客观性与普遍性,2025_延庆_一模__Q4__尊重客观规律
2025_门头沟_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_门头沟_一模__Q16__价值判断
2025_门头沟_一模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_门头沟_一模__Q16__发展的观点
2025_门头沟_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_门头沟_一模__Q16__对立统一
2025_门头沟_一模,16,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_门头沟_一模__Q16__联系的观点
2025_门头沟_一模,21(2),subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_门头沟_一模__Q21-2__价值判断与价值选择
2025_门头沟_一模,21(2),subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_门头沟_一模__Q21-2__实践与认识具体的历史的统一
2025_门头沟_一模,6,choice,yes,rubric-formal,objective-key-only,认识论/认识的反复性,2025_门头沟_一模__Q6__认识的主体差异性
2025_门头沟_一模,7,choice,yes,rubric-formal,objective-key-only,唯物论/主观能动性 / 意识的能动作用,2025_门头沟_一模__Q7__发挥主观能动性
2025_顺义_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_顺义_一模__Q16__价值观的导向作用
2025_顺义_一模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_顺义_一模__Q16__发展的观点
2025_顺义_一模,16,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_顺义_一模__Q16__联系的观点
2025_顺义_一模,16,subjective,yes,rubric-formal,included,辩证法/辩证否定观,2025_顺义_一模__Q16__辩证否定观
2025_顺义_一模,21,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2025_顺义_一模__Q21__价值判断与价值选择
2025_顺义_一模,21,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_顺义_一模__Q21__整体与部分
2025_顺义_一模,4,choice,yes,rubric-formal,objective-key-only,价值观 / 人生观/价值判断与价值选择,2025_顺义_一模__Q4__价值判断与价值选择
2025_海淀_二模,10,choice,yes,rubric-formal,objective-key-only,认识论/实践与认识的关系,2025_海淀_二模__Q10__实践与认识
2025_海淀_二模,11,choice,yes,rubric-formal,objective-key-only,认识论/实践,2025_海淀_二模__Q11__实践的社会历史性
2025_海淀_二模,16,subjective,yes,rubric-formal,included,唯物论/主观能动性 / 意识的能动作用,2025_海淀_二模__Q16__主观能动性
2025_海淀_二模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_海淀_二模__Q16__发展的观点
2025_海淀_二模,16,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_海淀_二模__Q16__联系的观点
2025_西城_二模,16(1),subjective,yes,rubric-formal,included,价值观 / 人生观/价值观的导向作用,2025_西城_二模__Q16_1__价值观的导向作用
2025_西城_二模,16(1),subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_西城_二模__Q16_1__具体问题具体分析
2025_西城_二模,16(1),subjective,yes,rubric-formal,included,唯物论/客观规律与主观能动性,2025_西城_二模__Q16_1__尊重客观规律与发挥主观能动性
2025_西城_二模,2,choice,yes,rubric-formal,objective-key-only,唯物论/主观能动性 / 意识的能动作用,2025_西城_二模__Q2__发挥主观能动性
2025_西城_二模,20,subjective,yes,rubric-formal,included,历史唯物主义/人民群众是历史的创造者,2025_西城_二模__Q20__人民群众是社会历史的主体
2025_西城_二模,4,choice,yes,rubric-formal,objective-key-only,认识论/真理,2025_西城_二模__Q4__真理与实践
2025_西城_二模,5,choice,yes,rubric-formal,objective-key-only,价值观 / 人生观/价值判断与价值选择,2025_西城_二模__Q5__价值观
2025_东城_二模,16,subjective,yes,rubric-formal,included,历史唯物主义/人民群众是历史的创造者,2025_东城_二模__Q16__人民群众
2025_东城_二模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值观的导向作用,2025_东城_二模__Q16__价值观导向作用
2025_东城_二模,16,subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_东城_二模__Q16__实践与认识
2025_东城_二模,16,subjective,yes,rubric-formal,included,唯物论/物质决定意识,2025_东城_二模__Q16__物质决定意识
2025_东城_二模,16,subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_东城_二模__Q16__矛盾分析法
2025_东城_二模,2,choice,yes,rubric-formal,objective-key-only,价值观 / 人生观/价值判断与价值选择,2025_东城_二模__Q2__价值观与爱国
2025_东城_二模,21,subjective,yes,rubric-formal,included,辩证法/矛盾分析法,2025_东城_二模__Q21__具体问题具体分析
2025_东城_二模,21,subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_东城_二模__Q21__发展的观点
2025_朝阳_二模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点,2025_朝阳_二模__Q16__发展的观点
2025_朝阳_二模,16,subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_朝阳_二模__Q16__实践与认识
2025_朝阳_二模,16,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_朝阳_二模__Q16__联系的观点
2025_朝阳_二模,2,choice,yes,rubric-formal,objective-key-only,辩证法/矛盾分析法,2025_朝阳_二模__Q2__矛盾的特殊性
2025_朝阳_二模,22,subjective,yes,rubric-formal,included,辩证法/联系的观点,2025_朝阳_二模__Q22__联系的观点_系统优化
2025_朝阳_二模,22,subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_朝阳_二模__Q22__顶层设计与实践探索
2025_朝阳_二模,3,choice,yes,rubric-formal,objective-key-only,辩证法/联系的观点,2025_朝阳_二模__Q3__联系的多样性
2025_丰台_二模,16(1),subjective,yes,rubric-formal,included,认识论/实践与认识的关系,2025_丰台_二模__Q16_1__实践与认识
2025_丰台_二模,21,subjective,yes,rubric-formal,included,唯物论/主观能动性 / 意识的能动作用,2025_丰台_二模__Q21__主观能动性_思想引领
2025_丰台_二模,21,subjective,yes,rubric-formal,included,唯物论/客观规律与主观能动性,2025_丰台_二模__Q21__尊重客观规律与发挥主观能动性
