p_index	style	heading_level	h1	h2	h3	h4	text
27			一、科学思维	追求认识的客观性	3. 2025丰台一模 第18题第（1）问（主观题）		【答案落点】  我国从人工智能技术发展阶段、教育数字化变革需求、基础理论突破目标和关键技术应用任务等现实依据出发，发布发展规划，明确基本原则、重点任务和“三步走”阶段目标；又把 AI 重塑教育纳入国家战略布局，使人工智能发展部署建立在技术实际、教育实践需要和未来应用场景的客观判断之上，体现科学思维追求认识客观性。
28			一、科学思维	追求认识的客观性	3. 2025丰台一模 第18题第（1）问（主观题）		【同题说明】  本题5分，细则中“客观性+预见性+可检验性”三特征名称共2分须同时点出，再各配材料1分；三特征须都答，本条只训练其一，须三条合答方得满分。
29	Heading3	3	一、科学思维	追求认识的客观性	4. 2024海淀二模 第17题第（1）问（主观题）		4. 2024海淀二模 第17题第（1）问（主观题）
30			一、科学思维	追求认识的客观性	4. 2024海淀二模 第17题第（1）问（主观题）		【材料触发点】  时间利用调查主要采集居民在特定时间内的活动信息，反映个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等时间投入，目标是全面、真实、准确了解我国居民时间利用情况。
31			一、科学思维	追求认识的客观性	4. 2024海淀二模 第17题第（1）问（主观题）		【设问】  （1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）
32			一、科学思维	追求认识的客观性	4. 2024海淀二模 第17题第（1）问（主观题）		【为什么能想到】  科学思维首先要看认识是否尊重客观实际。材料反复强调“全面、真实、准确了解”，调查对象又落到个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等真实生活内容，说明这次调查不是凭经验猜测居民生活，也不是为了证明预设结论，而是通过真实数据和真实活动把居民时间利用状况呈现出来。看到“真实数据对应真实生活”，就应对应追求认识客观性。
33			一、科学思维	追求认识的客观性	4. 2024海淀二模 第17题第（1）问（主观题）		【答案落点】  此次调查以全面、真实、准确了解居民时间利用情况为目标，通过采集居民在特定时间内的活动信息，反映个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等时间投入，为改善民生福祉、科学制定社会民生政策提供详实、准确的统计信息支撑，体现科学思维追求认识客观性。
34	Heading3	3	一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		5. 2026海淀一模 第17题（建议部分）（主观题）
35			一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		【材料触发点】  调查问卷中“身份”选项存在划分标准不一，关于无障碍设施主要问题的选言判断遗漏其他有选择价值的情况；改进建议必须回到无障碍环境建设中的真实问题和真实需求。
36			一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		【图示信息】  题图信息显示，本题问卷的“身份”选项混用了年龄、身体状况、职业、关系等标准；“无障碍设施主要问题”选项没有保留“其他”出口。
37			一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		【术语提示】  “选言判断”就是列出几种可选情况；“不相容选言”要求选项互斥且尽量穷尽，不能把可能选项漏掉。
38			一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		【设问】  运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）
39			一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		【为什么能想到】  提建议时不能泛泛说“调研要科学”。材料显示原问卷的选项设计没有充分覆盖真实情况，答题时要抓住“先了解真实存在的问题和需求，再据此设计选项”这一思路。要让建议可行，第一步就是从真实问题、真实对象和真实数据出发，把调查对象及其使用场景弄清楚，这正是科学思维客观性的触发点。
40			一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		"【答案落点】  改进调研应坚持科学思维追求认识客观性，先从实际出发了解无障碍设施使用中的真实问题和需求，再据此重新设计问卷选项，补充""其他""等有选择价值的情况；还可结合问卷法、访谈法、观察法、文献法等获得客观资料，使改进建议建立在被调查对象的真实情况和事实依据之上。"
41			一、科学思维	追求认识的客观性	5. 2026海淀一模 第17题（建议部分）（主观题）		【同题说明】  本题建议部分4分，共2条建议（每条“建议1分＋知识1分”），知识角度可选科学思维（客观性／可检验性）、辩证思维（分析综合／矛盾分析法）、创新思维（发散聚合）等；两条建议各选一种不同角度，本条只训练其一（另：前半问为形式逻辑考点，本条只训练建议部分）。
42	Heading3	3	一、科学思维	追求认识的客观性	6. 2025石景山一模 第19题（主观题）		6. 2025石景山一模 第19题（主观题）
43			一、科学思维	追求认识的客观性	6. 2025石景山一模 第19题（主观题）		【材料触发点】  获奖建议不是从口号出发，而是在公共参与实践中发现真实问题、提出方案，并最终接受社会治理实践和效果检验；文献、问卷、访谈等资料收集可用于归纳推理，但客观性更应落在“从实践中来、接受实践检验”。
44			一、科学思维	追求认识的客观性	6. 2025石景山一模 第19题（主观题）		【设问】  提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）
45			一、科学思维	追求认识的客观性	6. 2025石景山一模 第19题（主观题）		【为什么能想到】  “科学建议”不是凭热情喊口号。材料把建议的起点放在真实社会问题和多种资料收集上，说明学生不是先有结论再找例子，而是让认识接受事实约束，再提出公共建议。看到文献、问卷、访谈、实验数据共同支撑建议，就应想到科学思维追求认识客观性。
46			一、科学思维	追求认识的客观性	6. 2025石景山一模 第19题（主观题）		【答案落点】  获奖同学坚持科学思维追求认识客观性，从真实社会问题和公共生活需要出发，通过文献、问卷、访谈和实验数据等方式把问题弄清楚，再形成公共建议；本条重点写“建议从事实和实践中来”，不要把可检验性也混写成另一套独立满分答案。
47			一、科学思维	追求认识的客观性	6. 2025石景山一模 第19题（主观题）		【同题说明】  本题5分，细则三点：①客观性与可检验性合计2分（二者共用同一采分点、合并只得2分、不叠加）②归纳推理可靠程度2分③创新思维1分。本条只训练其一，作答须注意客观性与可检验性共用2分。
48	Heading3	3	一、科学思维	追求认识的客观性	7. 2024丰台一模 第19题第（2）问（主观题）		7. 2024丰台一模 第19题第（2）问（主观题）
49			一、科学思维	追求认识的客观性	7. 2024丰台一模 第19题第（2）问（主观题）		【材料触发点】  模拟政协提案围绕商品包装垃圾分类标识展开，既要查找法律条文、城市垃圾分类标准和常见商品外包装印刷标识情况，又要通过具体研究方法继续获得真实资料。
50			一、科学思维	追求认识的客观性	7. 2024丰台一模 第19题第（2）问（主观题）		【设问】  在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。（6分）
51			一、科学思维	追求认识的客观性	7. 2024丰台一模 第19题第（2）问（主观题）		【为什么能想到】  题目让补研究方法，核心不是罗列方法名，而是解释这些方法怎样帮助提案接近真实问题。法律条文、城市标准、219 件商品样本和常见外包装标识情况都是客观资料；如果没有继续收集资料，提案就只能停留在“标识要清楚”的主观愿望上。学生看到这些具体调查对象，就应想到科学思维要从实际出发、如实把握对象。
52			一、科学思维	追求认识的客观性	7. 2024丰台一模 第19题第（2）问（主观题）		【答案落点】  可采用问卷调查、访谈或抽样调查等具体研究方法，有计划、系统地收集与垃圾分类标识相关的数据或资料；也可对不同类别商品外包装进行样本记录和比较，分析商品内包装、外包装以及具体分类类别的标注情况。这样能让模拟政协提案依据真实资料判断标识问题，而不是凭主观感觉提出建议，体现科学思维追求认识客观性。
53			一、科学思维	追求认识的客观性	7. 2024丰台一模 第19题第（2）问（主观题）		【答题提醒】  本题要先写出具体研究方法，如问卷调查法、访谈法、抽样调查法；科学思维只用于说明这些方法为什么合理，不要把超前思维、发散思维、联想思维直接当作方法名。
54	Heading3	3	一、科学思维	追求认识的客观性	8. 2025门头沟一模 第21题第（1）问（主观题）		8. 2025门头沟一模 第21题第（1）问（主观题）
55			一、科学思维	追求认识的客观性	8. 2025门头沟一模 第21题第（1）问（主观题）		【材料触发点】  门头沟转型不是凭空选择“智谷”口号，而是面对千年煤城历史、煤矿关停现实、生态涵养功能、山地资源、产业基础和绿色转型要求等具体区情。
56			一、科学思维	追求认识的客观性	8. 2025门头沟一模 第21题第（1）问（主观题）		"【设问】  （1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）"
57			一、科学思维	追求认识的客观性	8. 2025门头沟一模 第21题第（1）问（主观题）		【为什么能想到】  转型智慧首先不是“换一个新名词”，而是从区情出发。千年煤城、资源约束、生态功能、山地资源和产业基础共同限定了门头沟能走什么路，说明转型判断要以客观实际为依据；看到旧基础、现实约束和新方向同时出现，就应先触发科学思维客观性。
58			一、科学思维	追求认识的客观性	8. 2025门头沟一模 第21题第（1）问（主观题）		【答案落点】  门头沟坚持科学思维追求认识客观性，立足千年煤城历史、煤矿关停现实、生态涵养要求、山地资源、产业基础和首都功能定位认识区情，先把区域发展条件和约束弄清楚，再在真实客观条件中寻找“京西智谷”、绿色产业和山地文旅等转型路径，使产业选择服从区域实际、生态要求和绿色发展方向。
59			一、科学思维	追求认识的客观性	8. 2025门头沟一模 第21题第（1）问（主观题）		【同题说明】  本题9分，分三组：辩证思维（辩证否定／整体性／动态性／分析综合，四选一）、科学思维（客观性／预见性，二选一）、创新思维（联想＋超前等，须选二合用）；各组择路径，本条只训练其一，单条不等于满分答案。
60			一、科学思维	追求认识的客观性	8. 2025门头沟一模 第21题第（1）问（主观题）		【答题提醒】  原题是9分宽口径“科学思维”题，客观性/预见性在评分要求中属于可选或分层角度；本条只训练对应角度，不能把两条都当成同一题的独立满分答案。
61	Heading3	3	一、科学思维	追求认识的客观性	9. 2025西城一模 第17题（主观题）		9. 2025西城一模 第17题（主观题）
62			一、科学思维	追求认识的客观性	9. 2025西城一模 第17题（主观题）		【材料触发点】  温榆生态心不是套用普通公园模板，而是根据清河、温榆河交汇处的水流、深潭浅滩、鱼虫水鸟栖息和粮田保留等自然条件设计建设方式。
63			一、科学思维	追求认识的客观性	9. 2025西城一模 第17题（主观题）		【设问】  结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）
64			一、科学思维	追求认识的客观性	9. 2025西城一模 第17题（主观题）		【为什么能想到】  看到“生态”二字后，还要继续判断方案是不是服从客观条件。生态心建设的起点是当地水系、生物和土地条件，建设者没有把普通公园模板硬套到这里，也没有把人的游览便利放在第一位，而是让方案服从清河、温榆河交汇处的自然肌理和生物栖息需要。材料动作是“从客观生态条件出发确定建设方式”，所以触发科学思维客观性。
65			一、科学思维	追求认识的客观性	9. 2025西城一模 第17题（主观题）		【答案落点】  温榆生态心从清河与温榆河交汇、水流形态、深潭浅滩、生物栖息、河心岛和粮田保留等客观条件出发规划建设，把当地自然肌理和生态恢复需要作为方案依据；建设中减少游乐设施、园径、路灯等人为干预，使方案服从真实生态实际，而不是套用普通公园模板、只追求人为景观效果，体现科学思维追求认识客观性。
66			一、科学思维	追求认识的客观性	9. 2025西城一模 第17题（主观题）		【同题说明】  本题7分，细则要求客观性／整体性／三新三维度（各约3分、至少一点深入才6—7分）；本条只训练其一，须三维度合答方得满分。
67	Heading3	3	一、科学思维	追求认识的客观性	10. 2026西城二模 第18题第（4）问（主观题）		10. 2026西城二模 第18题第（4）问（主观题）
68			一、科学思维	追求认识的客观性	10. 2026西城二模 第18题第（4）问（主观题）		【材料触发点】  AI 幻觉来自训练数据和算法设计等技术因素，生成内容可能包含偏见、错误和隐蔽价值立场；人机协同时，学生不能把机器输出直接当作事实本身。
69			一、科学思维	追求认识的客观性	10. 2026西城二模 第18题第（4）问（主观题）		【设问】  （4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）
70			一、科学思维	追求认识的客观性	10. 2026西城二模 第18题第（4）问（主观题）		【为什么能想到】  人机协同时，材料首先提醒学生不要把 AI 输出当成事实本身。AI 幻觉、训练数据偏差、算法错误和隐蔽价值立场，都说明机器生成内容可能偏离客观对象；提升思维品质不是换一个更会说话的工具，而是让判断重新接受事实、证据和多渠道验证的约束。看到“机器输出可能失真，人的认识必须回到事实核验”，就应对应科学思维追求认识客观性。
71			一、科学思维	追求认识的客观性	10. 2026西城二模 第18题第（4）问（主观题）		【答案落点】  面对 AI 生成内容，应坚持科学思维追求认识客观性，从实际出发，尊重客观事实与证据，对重要信息进行多渠道交叉验证，注重推理论证的严谨性和实践检验的必要性；还要主动识别训练数据偏差、算法错误、幻觉内容和隐蔽价值立场，保持人的独立判断，不把机器输出直接等同于客观事实，才能避免被虚假信息误导，提升人机协同中的思维品质。
72			一、科学思维	追求认识的客观性	10. 2026西城二模 第18题第（4）问（主观题）		【同题说明】  本题7分，细则要求客观性／辩证思维（全面、发展）／三新三维度（各约3分、至少一点深入才6—7分）；本条只训练其一，须三维度合答方得满分。
73	Heading3	3	一、科学思维	追求认识的客观性	11. 2026海淀二模 第18题第（1）问（主观题）		11. 2026海淀二模 第18题第（1）问（主观题）
74			一、科学思维	追求认识的客观性	11. 2026海淀二模 第18题第（1）问（主观题）		【材料触发点】  月季育种团队先走访花农、批发商和电商，系统收集市场对月季的需求偏好，再把调研结果转化为“要好看”“要好种”“耐储运”三条可操作的育种指标。
75			一、科学思维	追求认识的客观性	11. 2026海淀二模 第18题第（1）问（主观题）		【设问】  （1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）
76			一、科学思维	追求认识的客观性	11. 2026海淀二模 第18题第（1）问（主观题）		【为什么能想到】  合理性先来自“依据谁的需求”。团队不是凭科研人员偏好确定育种目标，而是让花农、批发商、电商这些真实市场主体提出要求；如果不了解消费者审美、农户种植意愿和批发商进货要求，科研目标就可能偏离市场实际。看到多主体需求调查转化为育种指标，就应触发科学思维客观性。
77			一、科学思维	追求认识的客观性	11. 2026海淀二模 第18题第（1）问（主观题）		【答案落点】  育种团队坚持科学思维追求认识客观性，先走访花农、批发商和电商，系统收集市场对月季的需求偏好，再把生产端、流通端、消费端的客观要求转化为“要好看”“要好种”“耐储运”等可操作指标；科研方向不是研究者单方面设想，而是在多主体真实需求和市场反馈中形成，使育种目标符合生产、流通和消费实际。
78			一、科学思维	追求认识的客观性	11. 2026海淀二模 第18题第（1）问（主观题）		【同题说明】  本题6分（设问“运用《逻辑与思维》知识说明上述做法的合理性”），官方答案把分析与综合＋整体性＋联想思维＋科学思维客观性／可检验性熔于一段综合论证；本条只训练其一，须多角度合答方得满分。
79	Heading3	3	一、科学思维	追求认识的客观性	12. 2026丰台期末 第20题（主观题）		12. 2026丰台期末 第20题（主观题）
80			一、科学思维	追求认识的客观性	12. 2026丰台期末 第20题（主观题）		【材料触发点】  青海防沙治沙先采集耐寒耐旱优质种源，掌握原生物种休眠、抗冻等生存策略，为治沙提供核心种质支撑；再依据不同地区条件开展精准防治，推动“沙进人退”转向“绿进沙退”。
81			一、科学思维	追求认识的客观性	12. 2026丰台期末 第20题（主观题）		【设问】  结合材料，运用《逻辑与思维》知识，分析青海的防沙治沙之路蕴含的科学思维。（8分）
82			一、科学思维	追求认识的客观性	12. 2026丰台期末 第20题（主观题）		【答题提醒】  本题中的“科学思维”是宽口径表达，可从科学、辩证、创新三类思维方法中择取与材料最贴合的角度作答。
83			一、科学思维	追求认识的客观性	12. 2026丰台期末 第20题（主观题）		【为什么能想到】  科学思维追求认识客观性，关键看方案是不是从真实对象和客观规律出发。青海不是简单喊“治沙”，而是先采集耐寒耐旱优质种源，研究原生物种休眠、抗冻等生存策略，再依据不同地区自然条件精准防治；这些动作说明治理先回到沙地生态、物种特性和地区差异，再形成方案。
84			一、科学思维	追求认识的客观性	12. 2026丰台期末 第20题（主观题）		【答案落点】  青海防沙治沙坚持从实际出发，先掌握沙地生态条件、原生物种休眠抗冻等生存策略和不同地区治沙条件，为防沙治沙提供种质与科学依据；再因地制宜开展精准防治，使治理方案建立在真实生态条件、物种规律和区域差异基础上，体现科学思维追求认识客观性。
85			一、科学思维	追求认识的客观性	12. 2026丰台期末 第20题（主观题）		【同题说明】  本题8分（“科学思维”为宽口径统称），分三大方向：科学思维2分、辩证思维2分（整体性／分析综合／矛盾分析法共用此2分池、择一或组合不叠加）、创新思维4分（发散聚合／联想／超前任选2角度各2分）；本条只训练其一，须按组分配合答方得满分。
86	Heading3	3	一、科学思维	追求认识的客观性	13. 2024各区一模分类汇编·模拟政协题（拓展训练题）		13. 2024各区一模分类汇编·模拟政协题（拓展训练题）
87			一、科学思维	追求认识的客观性	13. 2024各区一模分类汇编·模拟政协题（拓展训练题）		【材料触发点】  同学们发现公众对垃圾分类处于一知半解、怕麻烦的问题后，没有停留在主观想象，而是在老师帮助下查找垃圾分类法律条文、城市分类标准和商品包装印刷情况，调查219件商品，收集覆盖12个省级行政单位的626个样本数据。
88			一、科学思维	追求认识的客观性	13. 2024各区一模分类汇编·模拟政协题（拓展训练题）		【设问】  结合材料，运用《逻辑与思维》知识，说明模拟提案的完成过程是如何体现科学思维的。（7分）
89			一、科学思维	追求认识的客观性	13. 2024各区一模分类汇编·模拟政协题（拓展训练题）		【为什么能想到】  作答提示第一层直接落在“科学思维追求认识的客观性，从实际出发，如实反映认识事物”。材料里的“查找法律条文、调查商品、收集样本数据”说明提案不是拍脑袋，而是先回到真实问题和客观资料，再形成解决方向。
90			一、科学思维	追求认识的客观性	13. 2024各区一模分类汇编·模拟政协题（拓展训练题）		【答案落点】  科学思维追求认识的客观性。同学们从公众垃圾分类中的真实问题出发，查找法律条文和分类标准，调查商品包装情况并收集样本数据，在客观事实和真实资料基础上形成模拟提案，体现了从实际出发、如实反映认识对象。
91			一、科学思维	追求认识的客观性	13. 2024各区一模分类汇编·模拟政协题（拓展训练题）		【同题说明】  本题6分，须补出两种“具体研究方法”（各1分）并各用科学思维说明理由（各2分）；细则明确“写发散思维、联想思维、超前思维作为方法名不得分”。本条仅示范一种说理路径，须两种具体方法各自结合科学思维角度作答方得满分。
92	Heading3	3	一、科学思维	追求认识的客观性	14. 2025海淀期末 第17题第（1）问（主观题）		14. 2025海淀期末 第17题第（1）问（主观题）
93			一、科学思维	追求认识的客观性	14. 2025海淀期末 第17题第（1）问（主观题）		【材料触发点】  “永动机”设计图声称毛巾吸水后能不断滴水带动叶轮发电，似乎不需要持续外部能量就能自动运转；但毛细作用高度有限，且该设想违背能量守恒等客观规律。
94			一、科学思维	追求认识的客观性	14. 2025海淀期末 第17题第（1）问（主观题）		【设问】  （1）运用科学思维知识，分析这个“永动机”设计图的问题所在。
95			一、科学思维	追求认识的客观性	14. 2025海淀期末 第17题第（1）问（主观题）		【为什么能想到】  题目指定科学思维，评分口径锁定“科学思维具有客观性（可检验性）”。看到“设计图想象”与物理规律冲突，要回到客观规律和实践检验，不写成单纯创意不足。
96			一、科学思维	追求认识的客观性	14. 2025海淀期末 第17题第（1）问（主观题）		【答案落点】  科学思维追求认识客观性，应从实际出发、遵循客观规律。该设计试图利用毛巾吸水获得连续动力，但毛细作用吸水高度有限，不可能越过支架产生所构想动力；它违背物理学基本规律，不是可行的科学设计。
97	Heading2	2	一、科学思维	结果具有预见性			结果具有预见性
98	Heading3	3	一、科学思维	结果具有预见性	1. 2026顺义一模 第19题第（2）问（主观题）		1. 2026顺义一模 第19题第（2）问（主观题）
99			一、科学思维	结果具有预见性	1. 2026顺义一模 第19题第（2）问（主观题）		【材料触发点】  材料把研发放进老龄化加速、护理人员短缺、居家养老规模扩大的趋势链中，企业由当前人口结构和养老服务压力推断未来智能照护的应用空间。
100			一、科学思维	结果具有预见性	1. 2026顺义一模 第19题第（2）问（主观题）		【设问】  （2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）
101			一、科学思维	结果具有预见性	1. 2026顺义一模 第19题第（2）问（主观题）		【为什么能想到】  预见性不是空想未来，而是依据事物发展规律作合理判断。题面把人口老龄化、护理人员短缺、居家养老扩张和智能技术应用连成趋势链，再把研发方向放进这个趋势里，说明企业不是看到一个当下订单才做产品，而是由现实人口结构和养老服务压力推知未来需求。材料动作是“由现在看未来”，所以这一层应写预见性。
102			一、科学思维	结果具有预见性	1. 2026顺义一模 第19题第（2）问（主观题）		【答案落点】  企业根据人口老龄化加速、护理人员短缺和居家养老需求扩大的发展趋势，预判未来养老服务会更加需要智能照护和陪伴支持，把研发方向提前锁定在养老应用场景，使产品开发顺应养老服务方式变化和技术应用趋势，体现科学思维能够依据规律和趋势作出预见。
103			一、科学思维	结果具有预见性	1. 2026顺义一模 第19题第（2）问（主观题）		【同题说明】  本题6分（“如何体现科学思维特征”），三特征各2分：客观性（蹲点观察、立足实际）＋预见性（依趋势预判方向）＋可检验性（多轮测试迭代检验）须全部答出；本条只训练其一，单条只对应2分，不等于满分答案。
104	Heading3	3	一、科学思维	结果具有预见性	2. 2025丰台一模 第18题第（1）问（主观题）		2. 2025丰台一模 第18题第（1）问（主观题）
105			一、科学思维	结果具有预见性	2. 2025丰台一模 第18题第（1）问（主观题）		【材料触发点】  我国人工智能规划提出“三步走”战略目标，明确到 2025 年基础理论实现重大突破、到 2030 年理论、技术与应用总体达到世界领先水平，并从国家层面对 AI 重塑中国教育进行战略布局。
106			一、科学思维	结果具有预见性	2. 2025丰台一模 第18题第（1）问（主观题）		【设问】  （1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）
107			一、科学思维	结果具有预见性	2. 2025丰台一模 第18题第（1）问（主观题）		【为什么能想到】  预见性看的是能否由现实趋势推知未来方向。材料把人工智能技术和应用的发展、分阶段目标、AI 教育战略布局连成时间表，说明政策不是临时应对，而是依据人工智能发展趋势作出前瞻判断；三步走目标把“现在达到什么水平、下一阶段突破什么、最终达到什么水平”连成趋势判断链。
108			一、科学思维	结果具有预见性	2. 2025丰台一模 第18题第（1）问（主观题）		【答案落点】  我国依据人工智能技术和应用发展趋势，科学预判未来发展方向，不把人工智能只看成当下工具，而是把它放入长期科技竞争和教育变革中谋划；通过提出分阶段目标、提前布局 AI 教育，使发展规划能够顺应未来技术变革和教育实践需要，体现科学思维结果具有预见性。
109			一、科学思维	结果具有预见性	2. 2025丰台一模 第18题第（1）问（主观题）		【同题说明】  本题5分，细则中“客观性+预见性+可检验性”三特征名称共2分须同时点出，再各配材料1分；三特征须都答，本条只训练其一，须三条合答方得满分。
110	Heading3	3	一、科学思维	结果具有预见性	3. 2025门头沟一模 第21题第（1）问（主观题）		3. 2025门头沟一模 第21题第（1）问（主观题）
111			一、科学思维	结果具有预见性	3. 2025门头沟一模 第21题第（1）问（主观题）		【材料触发点】  门头沟在煤矿关停后没有停留在资源衰退判断上，而是布局人工智能、超高清数字视听、心血管医疗器械、山地文旅等新动能，面向绿色高质量发展转型。
112			一、科学思维	结果具有预见性	3. 2025门头沟一模 第21题第（1）问（主观题）		"【设问】  （1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）"
113			一、科学思维	结果具有预见性	3. 2025门头沟一模 第21题第（1）问（主观题）		【为什么能想到】  预见性来自对发展趋势的判断。门头沟没有停在“煤矿关停以后怎么办”的眼前问题上，而是把生态涵养、数字产业、人工智能和文旅融合放进未来发展方向中；这说明它不是被动补救资源衰退，而是由现实条件推知未来产业走势，提前培育新动能。
