旧条目#,旧优先级,旧方法,旧题目,旧问题摘要,当前命中条目,处置结论
13,—,追求认识的客观性,13. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,旧审核未列实质问题,#13 追求认识的客观性 13. 2024各区一模分类汇编·模拟政协题（拓展训练题）,当前同方法条目保留
14,低,追求认识的客观性,14. 2025海淀期末 第17题第（1）问（主观题）,设问/题号/分值：⚠️ 设问未标分值；该卷细则缺失，采分结构未能核验。,#14 追求认识的客观性 14. 2025海淀期末 第17题第（1）问（主观题）,当前同方法条目保留
15,—,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,旧审核未列实质问题,#15 结果具有预见性 1. 2026顺义一模 第19题第（2）问（主观题）,当前同方法条目保留
16,—,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,旧审核未列实质问题,#16 结果具有预见性 2. 2025丰台一模 第18题第（1）问（主观题）,当前同方法条目保留
17,—,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,旧审核未列实质问题,#17 结果具有预见性 3. 2025门头沟一模 第21题第（1）问（主观题）,当前同方法条目保留
18,中,结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,分类·同题组·角度：⚠️ 与#102高度重复：2024丰台二模18(2)同一采分点，#18(预见性)与#102(超前思维)材料触发点/答案落点几乎雷同，建议合并或互注“同一采分点的两种表述”。,#18 结果具有预见性 4. 2024丰台二模 第18题第（2）问（主观题）,当前同方法条目已复核/修订
19,—,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,旧审核未列实质问题,#19 结果具有可检验性 1. 2026顺义一模 第19题第（2）问（主观题）,当前同方法条目保留
20,高,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,阐释质量：差　可检验性层为空泛套话、与材料脱节，可原样套到任何政策题。,#20 结果具有可检验性 2. 2025丰台一模 第18题第（1）问（主观题）,当前同方法条目已复核/修订
21,中,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,分类·同题组·角度：⚠️ 同题采分合并：与#6(客观性)在细则中合为同一2分点，宜加注。,#21 结果具有可检验性 3. 2025石景山一模 第19题（主观题）,当前同方法条目已复核/修订
22,中,结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,分类·同题组·角度：⚠️ 延伸条目宜标注：2026海淀二模18(1)“可检验性”非细则得分点，属延伸训练，建议明确标“延伸/非细则必答”。,#22 结果具有可检验性 4. 2026海淀二模 第18题第（1）问（主观题）,当前同方法条目已复核/修订
23,中,结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,设问/题号/分值：⚠️ 题号“第（2）问”同#5问题（海淀一模建议部分）。；阐释质量：中　推理停在“有距离→需检验”，与#43触发信号重叠，方法边界未分。,#5 追求认识的客观性 5. 2026海淀一模 第17题（建议部分）（主观题）；#23 结果具有可检验性 5. 2026海淀一模 第17题（建议部分）（主观题）；#43 分析与综合 7. 2026海淀一模 第17题（建议部分）（主观题）；#89 发散思维与聚合思维 5. 2026海淀一模 第17题（建议部分）（主观题）,旧条目已换位/重构，当前题源仍在文档中
24,中,整体性,1. 2025海淀二模 第20题（主观题）,分类·同题组·角度：⚠️ 同题组缺说明：2025海淀二模20题细则为3组(1+1+1)结构；本条(整体性)与#37(分析综合)同属第1组、择一得分；缺“本条只训练单一角度、勿当满分答案”提示。,#24 整体性 1. 2025海淀二模 第20题（主观题）,当前同方法条目已复核/修订
25,中,整体性,2. 2025东城一模 第18题第（1）问（主观题）,设问/题号/分值：⚠️ 设问漏标分值“（4分）”。；分类·同题组·角度：⚠️ 答案落点未覆盖细则第二层(抓主要矛盾/两点论重点论，约2分)。,#25 整体性 2. 2025东城一模 第18题第（1）问（主观题）,当前同方法条目已复核/修订
26,—,整体性,3. 2026东城一模 第19题第（4）问（主观题）,旧审核未列实质问题,#26 整体性 3. 2026东城一模 第19题第（4）问（主观题）,当前同方法条目保留
27,中,整体性,4. 2026房山一模 第18题第（1）问（主观题）,分类·同题组·角度：⚠️ 同题漏角度：2026房山一模18(1)6分含整体性/矛盾分析法/动态性三路径(各2分)，本条仅收整体性，漏4分两路径。,#27 整体性 4. 2026房山一模 第18题第（1）问（主观题）,当前同方法条目已复核/修订
28,—,整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,旧审核未列实质问题,#28 整体性 5. 2026门头沟一模 第18题第（2）问（主观题）,当前同方法条目保留
29,中,整体性,6. 2025西城一模 第17题（主观题）,阐释质量：中　先给结论再补材料依据，推理顺序倒置(倒推)。,#29 整体性 6. 2025西城一模 第17题（主观题）,当前同方法条目已复核/修订
30,高,整体性,7. 2026西城二模 第18题第（4）问（主观题）,分类·同题组·角度：⚠️ 方法名实不符：标“整体性”，但答案落点用的是矛盾“两分法/全面”语言(“既看作用也警惕风险”)，与整体性(多要素相互联系成整体)实质不符；细则用语为“全面、发展的观点”。；阐释质量：差　落点是矛盾两分法套路，与所标“整体性”方法不符。,#10 追求认识的客观性 10. 2026西城二模 第18题第（4）问（主观题）；#48 矛盾分析法 7. 2026西城二模 第18题第（4）问（主观题）；#75 特点与三新 7. 2026西城二模 第18题第（4）问（主观题）,旧方法错配已换位；当前改由相符方法承接
31,中,整体性,8. 2026通州一模 第17题第（2）问（主观题）,阐释质量：中　仅凭“列了多个要素”就跳到整体性，缺“相互依存”论证，收束语套话。,#30 整体性 8. 2026通州一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
32,—,整体性,9. 2026丰台期末 第20题（主观题）,旧审核未列实质问题,#31 整体性 9. 2026丰台期末 第20题（主观题）,当前同方法条目保留
33,中,动态性,1. 2025海淀二模 第20题（主观题）,分类·同题组·角度：⚠️ 同题组缺说明：与#55(量变质变)同属细则第2组、择一得分。,#32 动态性 1. 2025海淀二模 第20题（主观题）,当前同方法条目已复核/修订
34,中,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,分类·同题组·角度：⚠️ 白话提示张冠李戴：本条(动态性)“白话提示”写“山一程、水一程…思乡”，与本题(生生之宇宙观)无关，疑误植他题提示，建议更正。,#33 动态性 2. 2024朝阳二模 第19题第（1）问（主观题）,当前同方法条目已复核/修订
35,中,动态性,3. 2026通州一模 第17题第（2）问（主观题）,阐释质量：中　方法混淆，“不能静止肯定否定”滑向两分法表达。,#34 动态性 3. 2026通州一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
36,中,动态性,4. 2026西城期末 第21题（综合题讲评复练题）,分类·同题组·角度：⚠️ 复练题宜区隔：2026西城期末21细则无“动态性”明文(已自注复练题)，建议与正式考点条目明确区分，防被当正式考点。,#35 动态性 4. 2026西城期末 第21题（综合迁移题）,当前同方法条目已复核/修订
37,中,分析与综合,1. 2025海淀二模 第20题（主观题）,分类·同题组·角度：⚠️ 同题组缺说明：与#24(整体性)同属细则第1组、择一得分。,#38 分析与综合 1. 2025海淀二模 第20题（主观题）,当前同方法条目已复核/修订
38,中,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,分类·同题组·角度：⚠️ 同题漏角度：2024石景山一模19(3)“任选一种辩证思维方法”，本条仅收分析与综合，漏“辩证否定观”(亦为合法答案)。,#39 分析与综合 2. 2024石景山一模 第19题第（3）问（主观题）,当前同方法条目已复核/修订
39,中,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,阐释质量：中　“分析”信号过于概括，未交代三地各自特质，分析流于形式。,#40 分析与综合 3. 2024海淀一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
40,高,分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,分类·同题组·角度：❌ 分类错误：2025丰台二模19(1)核心考“充分条件假言判断”(形式逻辑)，细则无“分析与综合”；宜移入姊妹篇/逻辑规则线或改注。,,旧条目已移出本册正文
41,—,分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,旧审核未列实质问题,#41 分析与综合 5. 2026海淀二模 第18题第（1）问（主观题）,当前同方法条目保留
42,—,分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,旧审核未列实质问题,#42 分析与综合 6. 2026石景山二模 第17题第（2）问（主观题）,当前同方法条目保留
43,低,分析与综合,7. 2026海淀一模 第17题第（2）问（主观题）,设问/题号/分值：⚠️ 题号“第（2）问”同#5问题（海淀一模建议部分）。,#5 追求认识的客观性 5. 2026海淀一模 第17题（建议部分）（主观题）；#23 结果具有可检验性 5. 2026海淀一模 第17题（建议部分）（主观题）；#43 分析与综合 7. 2026海淀一模 第17题（建议部分）（主观题）；#89 发散思维与聚合思维 5. 2026海淀一模 第17题（建议部分）（主观题）,旧条目已换位/重构，当前题源仍在文档中
44,中,分析与综合,8. 2026通州一模 第17题第（2）问（主观题）,阐释质量：中　与#23/#31触发信号雷同，方法边界混乱。,#44 分析与综合 8. 2026通州一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
45,—,分析与综合,9. 2026丰台期末 第20题（主观题）,旧审核未列实质问题,#45 分析与综合 9. 2026丰台期末 第20题（主观题）,当前同方法条目保留
46,中,分析与综合,10. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,阐释质量：中　以“看参考答案第二层”作触发依据，属逻辑跳跃(教看答案而非看材料)。,#46 分析与综合 10. 2024各区一模分类汇编·模拟政协题（拓展训练题）,当前同方法条目已复核/修订
47,—,分析与综合,11. 2026石景山期末 第18题第（2）问（主观题）,旧审核未列实质问题,,硬排除旧题源已移出当前正文
48,中,矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,分类·同题组·角度：⚠️ 分类偏窄：2026朝阳期中20题为辩证思维综合(矛盾分析+分析综合+量变质变+动态性)，仅标“矛盾分析法”，易致学生漏答其他角度。,#49 矛盾分析法 1. 2026朝阳期中(2025-11) 第20题（主观题）,当前同方法条目已复核/修订
49,—,矛盾分析法,2. 2025延庆一模 第18题（主观题）,旧审核未列实质问题,#50 矛盾分析法 2. 2025延庆一模 第18题（主观题）,当前同方法条目保留
50,—,矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,旧审核未列实质问题,#51 矛盾分析法 3. 2026延庆一模 第18题第（2）问（主观题）,当前同方法条目保留
51,—,矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,旧审核未列实质问题,#52 矛盾分析法 4. 2024丰台二模 第18题第（2）问（主观题）,当前同方法条目保留
52,中,矛盾分析法,5. 2026通州一模 第17题第（2）问（主观题）,阐释质量：中　仅凭“有积极有挑战”识别矛盾分析法；落点为对偶万能套语。,#53 矛盾分析法 5. 2026通州一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
53,中,矛盾分析法,6. 2025丰台期末评标讲评 “界”复练题（讲评复练迁移题）,阐释质量：中　开放迁移题，落点“守底线中推动联系发展”高度通用。,#54 矛盾分析法 6. 2025丰台期末“界”迁移训练题（拓展训练题）,当前同方法条目已复核/修订
54,—,矛盾分析法,7. 2026丰台期末 第20题（主观题）,旧审核未列实质问题,#55 矛盾分析法 7. 2026丰台期末 第20题（主观题）,当前同方法条目保留
55,中,量变与质变,1. 2025海淀二模 第20题（主观题）,分类·同题组·角度：⚠️ 同题组缺说明：与#33(动态性)同属细则第2组、择一得分。,#57 量变与质变 1. 2025海淀二模 第20题（主观题）,当前同方法条目已复核/修订
56,—,量变与质变,2. 2025延庆一模 第18题（主观题）,旧审核未列实质问题,#58 量变与质变 2. 2025延庆一模 第18题（主观题）,当前同方法条目保留
57,—,适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,旧审核未列实质问题,#60 适度原则 1. 2026延庆一模 第18题第（2）问（主观题）,当前同方法条目保留
58,高,适度原则,2. 2026通州一模 第17题第（2）问（主观题）,阐释质量：差　通州AI题：万能套话，答案结构可与#63对调，未体现“适度原则”特性。,#61 适度原则 2. 2026通州一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
59,—,辩证否定,1. 2025海淀二模 第20题（主观题）,旧审核未列实质问题,#62 辩证否定 1. 2025海淀二模 第20题（主观题）,当前同方法条目保留
60,—,辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,旧审核未列实质问题,#63 辩证否定 2. 2024东城一模 第18题第（3）问（主观题）,当前同方法条目保留
61,—,辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,旧审核未列实质问题,#64 辩证否定 3. 2026房山二模 第18题第（2）问（主观题）,当前同方法条目保留
62,低,辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,设问/题号/分值：⚠️ 设问漏标小问编号“（1）”及分值“（9分）”（同题组其余条目均已标注）。,#65 辩证否定 4. 2025门头沟一模 第21题第（1）问（主观题）,当前同方法条目保留
63,高,辩证否定,5. 2026通州一模 第17题第（2）问（主观题）,阐释质量：差　通州AI题：标准辩证否定句型，无本题材料填充，换任何利弊题可套。,#66 辩证否定 5. 2026通州一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
64,—,认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,旧审核未列实质问题,#68 认识发展历程 1. 2024海淀二模 第17题第（2）问（主观题）,当前同方法条目保留
65,—,特点与三新,1. 2025昌平二模 第19题（主观题）,旧审核未列实质问题,#69 特点与三新 1. 2025昌平二模 第19题（主观题）,当前同方法条目保留
66,—,特点与三新,2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,旧审核未列实质问题,#70 特点与三新 2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,当前同方法条目保留
67,—,特点与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,旧审核未列实质问题,#71 特点与三新 3. 2026门头沟一模 第18题第（2）问（主观题）,当前同方法条目保留
68,中,特点与三新,4. 2026延庆一模 第18题第（2）问（主观题）,阐释质量：中　三新触发未从材料提取；套话可套任何“新技术+监管”题。,#72 特点与三新 4. 2026延庆一模 第18题第（2）问（主观题）,当前同方法条目已复核/修订
69,中,特点与三新,5. 2026石景山一模 第17题第（2）问（主观题）,阐释质量：中　一次列举联想/发散/超前三法，未与材料具体对应，建议泛化。,#73 特点与三新 5. 2026石景山一模 第17题第（2）问（主观题）,当前同方法条目已复核/修订
70,—,特点与三新,6. 2026丰台二模 第21题（主观题）,旧审核未列实质问题,#74 特点与三新 6. 2026丰台二模 第21题（主观题）,当前同方法条目保留
71,高,特点与三新,7. 2026西城二模 第18题第（4）问（主观题）,阐释质量：差　创新/逆向思维定义拼凑复述，除“AI”外无本题材料痕迹。,#75 特点与三新 7. 2026西城二模 第18题第（4）问（主观题）,当前同方法条目已复核/修订
72,—,特点与三新,8. 2025西城一模 第17题（主观题）,旧审核未列实质问题,#76 特点与三新 8. 2025西城一模 第17题（主观题）,当前同方法条目保留
73,中,特点与三新,9. 2025石景山一模 第19题（主观题）,阐释质量：中　落点只是重复题意换说法，未揭示思维方法层面机制。,#77 特点与三新 9. 2025石景山一模 第19题（主观题）,当前同方法条目已复核/修订
74,—,联想思维,1. 2025海淀期末 第18题（主观题）,旧审核未列实质问题,#78 联想思维 1. 2025海淀期末 第18题（主观题）,当前同方法条目保留
75,—,联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,旧审核未列实质问题,#79 联想思维 2. 2026石景山一模 第17题第（2）问（主观题）,当前同方法条目保留
76,—,联想思维,3. 2026朝阳一模 第17题第（1）问后半（主观题）,旧审核未列实质问题,#80 联想思维 3. 2026朝阳一模 第17题第（1）问后半（主观题）,当前同方法条目保留
77,—,联想思维,4. 2026海淀二模 第18题第（1）问（主观题）,旧审核未列实质问题,#81 联想思维 4. 2026海淀二模 第18题第（1）问（主观题）,当前同方法条目保留
78,中,联想思维,5. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,阐释质量：中　与#83(发散聚合)内容高度重叠，两法区分理由未说清。,#82 联想思维 5. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,当前同方法条目已复核/修订
79,中,联想思维,6. 2025门头沟一模 第21题第（1）问（主观题）,阐释质量：中　联想与发散混用无区分；迁移对象模糊，通用套话。,#83 联想思维 6. 2025门头沟一模 第21题第（1）问（主观题）,当前同方法条目已复核/修订
80,中,发散思维与聚合思维,1. 2026东城一模 第19题第（4）问（主观题）,分类·同题组·角度：⚠️ 同题漏角度：2026东城一模19(4)细则另含“超前思维”角度，本条(发散聚合)未覆盖。,#85 发散思维与聚合思维 1. 2026东城一模 第19题第（4）问（主观题）,当前同方法条目已复核/修订
81,—,发散思维与聚合思维,2. 2025东城期末 第18题第（2）问（主观题）,旧审核未列实质问题,#86 发散思维与聚合思维 2. 2025东城期末 第18题第（2）问（主观题）,当前同方法条目保留
82,—,发散思维与聚合思维,3. 2026丰台二模 第21题（主观题）,旧审核未列实质问题,#87 发散思维与聚合思维 3. 2026丰台二模 第21题（主观题）,当前同方法条目保留
83,低,发散思维与聚合思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,设问/题号/分值：⚠️ 设问漏标小问编号“（2）”。,#88 发散思维与聚合思维 4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,当前同方法条目保留
84,中,发散思维与聚合思维,5. 2026海淀一模 第17题（建议部分）（主观题）,阐释质量：中　触发动作未从材料提取；聚合落点空洞(未说明聚焦到什么核心)。,#89 发散思维与聚合思维 5. 2026海淀一模 第17题（建议部分）（主观题）,当前同方法条目已复核/修订
85,高,发散思维与聚合思维,6. 2024丰台一模 第19题第（2）问（主观题）,分类·同题组·角度：⚠️(高) 分类误导：设问要求“科学思维知识”，细则明写“写超前/发散/联想思维不得分，须写具体方法”；本条归入“创新思维>发散聚合”易误导学生直接写发散思维(0分)。建议改以#7为主归类并加警示注。；阐释质量：中　理由部分为发散聚合定义复述，未结合垃圾分类标识具体情境。,#7 追求认识的客观性 7. 2024丰台一模 第19题第（2）问（主观题）,旧条目已换位/重构，当前题源仍在文档中
86,—,发散思维与聚合思维,7. 2026丰台期末 第20题（主观题）,旧审核未列实质问题,#90 发散思维与聚合思维 7. 2026丰台期末 第20题（主观题）,当前同方法条目保留
87,—,发散思维与聚合思维,8. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,旧审核未列实质问题,#91 发散思维与聚合思维 8. 2024各区一模分类汇编·模拟政协题（拓展训练题）,当前同方法条目保留
88,—,逆向思维,1. 2025房山一模 第16题第（3）问（主观题）,旧审核未列实质问题,#93 逆向思维 1. 2025房山一模 第16题第（3）问（主观题）,当前同方法条目保留
89,—,逆向思维,2. 2025昌平二模 第19题（主观题）,旧审核未列实质问题,#94 逆向思维 2. 2025昌平二模 第19题（主观题）,当前同方法条目保留
90,—,逆向思维,3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,旧审核未列实质问题,#95 逆向思维 3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,当前同方法条目保留
91,高,超前思维,1. 2024西城一模 第19题第（5）问（主观题）,设问/题号/分值：⚠️ 设问漏标小问编号“（5）”。；阐释质量：差　把“矛盾分析法”错嵌入超前思维答点(知识点错位)；触发为万能套话。,#97 超前思维 1. 2024西城一模 第19题第（5）问（主观题）,当前同方法条目已复核/修订
92,中,超前思维,2. 2024东城一模 第18题第（3）问（主观题）,阐释质量：中　超前思维落点仅贴标签，未展开具体“预判了什么”。,#98 超前思维 2. 2024东城一模 第18题第（3）问（主观题）,当前同方法条目已复核/修订
93,中,超前思维,3. 2026顺义二模 第21题（主观题）,设问/题号/分值：⚠️ 设问漏标分值“（10分）”。；分类·同题组·角度：⚠️ 2026顺义二模21为综合开放题，超前思维仅为可选角度之一，宜加注。,#99 超前思维 3. 2026顺义二模 第21题（主观题）,当前同方法条目已复核/修订
94,中,超前思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,阐释质量：中　“了解优势→预测趋势→转变理念”可套任何城市转型题。,#100 超前思维 4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,当前同方法条目已复核/修订
95,中,超前思维,5. 2026海淀期末 第20题第（2）问（主观题）,设问/题号/分值：⚠️ 设问漏标分值“（6分）”。；分类·同题组·角度：⚠️ 同大题第(1)问为形式逻辑(4分)，本条未作姊妹篇标注/互注。,#101 超前思维 5. 2026海淀期末 第20题第（2）问（主观题）,当前同方法条目已复核/修订
96,低,超前思维,6. 2025东城期末 第18题第（2）问（主观题）,设问/题号/分值：⚠️ 设问漏标小问编号“（2）”及分值“（4分）”（同题#81已标全）。,#86 发散思维与聚合思维 2. 2025东城期末 第18题第（2）问（主观题）,旧条目已换位/重构，当前题源仍在文档中
97,高,超前思维,7. 2025海淀期末 第18题（主观题）,分类·同题组·角度：❌ 角度无官方依据：2025海淀期末18题官方参考答案仅列“逆向思维+联想思维”，“超前思维”不在答案内。建议删改或注明“官方答案未列此点”。；阐释质量：差　超前思维落点空洞贴标签，且官方答案未列此角度(见分类列)。,#78 联想思维 1. 2025海淀期末 第18题（主观题）,旧无依据角度未保留；当前保留官方/可核角度
98,—,超前思维,8. 2024朝阳期中 第19题（主观题）,旧审核未列实质问题,#102 超前思维 6. 2024朝阳期中 第19题（主观题）,当前同方法条目保留
99,中,超前思维,9. 2024顺义二模 第16题第（2）问（主观题）,设问/题号/分值：⚠️ 设问漏标小问编号“（2）”。；阐释质量：中　把“矛盾分析法”归入超前思维答点，知识点边界错位。,#103 超前思维 7. 2024顺义二模 第16题第（2）问（主观题）,当前同方法条目已复核/修订
100,—,超前思维,10. 2026石景山一模 第17题第（2）问（主观题）,旧审核未列实质问题,#104 超前思维 8. 2026石景山一模 第17题第（2）问（主观题）,当前同方法条目保留
101,—,超前思维,11. 2025门头沟一模 第21题第（1）问（主观题）,旧审核未列实质问题,#105 超前思维 9. 2025门头沟一模 第21题第（1）问（主观题）,当前同方法条目保留
102,中,超前思维,12. 2024丰台二模 第18题第（2）问（主观题）,分类·同题组·角度：⚠️ 与#18高度重复：同一采分点(2024丰台二模18(2))。,#106 超前思维 10. 2024丰台二模 第18题第（2）问（主观题）,当前同方法条目已复核/修订
103,中,超前思维,13. 2026丰台期末 第20题（主观题）,阐释质量：中　触发未说明“为何超前而非系统思维”，落点通用。,#107 超前思维 11. 2026丰台期末 第20题（主观题）,当前同方法条目已复核/修订
104,—,超前思维,14. 2026东城二模 第18题（主观题）,旧审核未列实质问题,#108 超前思维 12. 2026东城二模 第18题（主观题）,当前同方法条目保留
105,—,超前思维,15. 2026西城一模 第16题（综合题讲评复练题）,旧审核未列实质问题,#109 超前思维 13. 2026西城一模 第16题（综合迁移题）,当前同方法条目保留
106,高,超前思维,16. 2024各区一模分类汇编·房山未来产业题（讲评复练迁移题）,阐释质量：差　关键词罗列无推理，超前思维通用框架堆砌，与本题材料脱节。,#110 超前思维 14. 2024各区一模分类汇编·房山未来产业题（拓展训练题）,当前同方法条目已复核/修订
