当前条目#,一级章节,思维方法,题目,结构检查,结构备注,同题说明检查,正文清洁检查,清洁备注,旧审核优先级,旧审核问题摘要,当前处置,当前核对说明,准确性结论,全面性结论,备注
11,一、科学思维,追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
12,一、科学思维,追求认识的客观性,12. 2026丰台期末 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,中,阐释质量：中　仅以材料标签词替换通用表述，信息密度偏低。,已按旧审核处理,答案落点已补材料关键词,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
13,一、科学思维,追求认识的客观性,13. 2024各区一模分类汇编·模拟政协题（拓展训练题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中；分类汇编仅为题源名称,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题源核心匹配
14,一、科学思维,追求认识的客观性,14. 2025海淀期末 第17题第（1）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,低,设问/题号/分值：⚠️ 设问未标分值；该卷细则缺失，采分结构未能核验。,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过,旧表匹配：方法+题名精确匹配
15,一、科学思维,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
16,一、科学思维,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
17,一、科学思维,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
18,一、科学思维,结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 与#102高度重复：2024丰台二模18(2)同一采分点，#18(预见性)与#102(超前思维)材料触发点/答案落点几乎雷同，建议合并或互注“同一采分点的两种表述”。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
19,一、科学思维,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
20,一、科学思维,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,高,阐释质量：差　可检验性层为空泛套话、与材料脱节，可原样套到任何政策题。,已按旧审核处理,答案落点已补材料关键词,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
21,一、科学思维,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 同题采分合并：与#6(客观性)在细则中合为同一2分点，宜加注。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
22,一、科学思维,结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,中,分类·同题组·角度：⚠️ 延伸条目宜标注：2026海淀二模18(1)“可检验性”非细则得分点，属延伸训练，建议明确标“延伸/非细则必答”。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
23,一、科学思维,结果具有可检验性,5. 2026海淀一模 第17题（建议部分）（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
24,二、辩证思维,整体性,1. 2025海淀二模 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 同题组缺说明：2025海淀二模20题细则为3组(1+1+1)结构；本条(整体性)与#37(分析综合)同属第1组、择一得分；缺“本条只训练单一角度、勿当满分答案”提示。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
25,二、辩证思维,整体性,2. 2025东城一模 第18题第（1）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,中,设问/题号/分值：⚠️ 设问漏标分值“（4分）”。；分类·同题组·角度：⚠️ 答案落点未覆盖细则第二层(抓主要矛盾/两点论重点论，约2分)。,已按旧审核处理,设问已含分值,通过,通过,旧表匹配：方法+题名精确匹配
26,二、辩证思维,整体性,3. 2026东城一模 第19题第（4）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
27,二、辩证思维,整体性,4. 2026房山一模 第18题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 同题漏角度：2026房山一模18(1)6分含整体性/矛盾分析法/动态性三路径(各2分)，本条仅收整体性，漏4分两路径。,已按旧审核处理,已加同题说明；已用同题说明标明需合答/另有角度,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
28,二、辩证思维,整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
29,二、辩证思维,整体性,6. 2025西城一模 第17题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　先给结论再补材料依据，推理顺序倒置(倒推)。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
30,二、辩证思维,整体性,8. 2026通州一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　仅凭“列了多个要素”就跳到整体性，缺“相互依存”论证，收束语套话。,已按旧审核处理,答案落点已补材料关键词,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
31,二、辩证思维,整体性,9. 2026丰台期末 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
32,二、辩证思维,动态性,1. 2025海淀二模 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 同题组缺说明：与#55(量变质变)同属细则第2组、择一得分。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
33,二、辩证思维,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,中,分类·同题组·角度：⚠️ 白话提示张冠李戴：本条(动态性)“白话提示”写“山一程、水一程…思乡”，与本题(生生之宇宙观)无关，疑误植他题提示，建议更正。,已按旧审核处理,误植提示已改,通过,通过,旧表匹配：方法+题名精确匹配
34,二、辩证思维,动态性,3. 2026通州一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　方法混淆，“不能静止肯定否定”滑向两分法表达。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
35,二、辩证思维,动态性,4. 2026西城期末 第21题（综合迁移题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,中,分类·同题组·角度：⚠️ 复练题宜区隔：2026西城期末21细则无“动态性”明文(已自注复练题)，建议与正式考点条目明确区分，防被当正式考点。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过,旧表匹配：方法+题源核心匹配
36,二、辩证思维,动态性,补充：2026房山一模 第18题第（1）问（动态性路径）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
37,二、辩证思维,动态性,补充：2026朝阳期中(2025-11) 第20题（动态性路径）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
38,二、辩证思维,分析与综合,1. 2025海淀二模 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 同题组缺说明：与#24(整体性)同属细则第1组、择一得分。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
39,二、辩证思维,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,中,分类·同题组·角度：⚠️ 同题漏角度：2024石景山一模19(3)“任选一种辩证思维方法”，本条仅收分析与综合，漏“辩证否定观”(亦为合法答案)。,已按旧审核处理,已加同题说明；已用同题说明标明需合答/另有角度,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
40,二、辩证思维,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,中,阐释质量：中　“分析”信号过于概括，未交代三地各自特质，分析流于形式。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过,旧表匹配：方法+题名精确匹配
41,二、辩证思维,分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
42,二、辩证思维,分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过,旧表匹配：方法+题名精确匹配
43,二、辩证思维,分析与综合,7. 2026海淀一模 第17题（建议部分）（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
44,二、辩证思维,分析与综合,8. 2026通州一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　与#23/#31触发信号雷同，方法边界混乱。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
45,二、辩证思维,分析与综合,9. 2026丰台期末 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
46,二、辩证思维,分析与综合,10. 2024各区一模分类汇编·模拟政协题（拓展训练题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中；分类汇编仅为题源名称,中,阐释质量：中　以“看参考答案第二层”作触发依据，属逻辑跳跃(教看答案而非看材料)。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题源核心匹配
47,二、辩证思维,分析与综合,补充：2026朝阳期中(2025-11) 第20题（分析与综合路径）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
48,二、辩证思维,矛盾分析法,7. 2026西城二模 第18题第（4）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
49,二、辩证思维,矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 分类偏窄：2026朝阳期中20题为辩证思维综合(矛盾分析+分析综合+量变质变+动态性)，仅标“矛盾分析法”，易致学生漏答其他角度。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
50,二、辩证思维,矛盾分析法,2. 2025延庆一模 第18题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
51,二、辩证思维,矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
52,二、辩证思维,矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
53,二、辩证思维,矛盾分析法,5. 2026通州一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　仅凭“有积极有挑战”识别矛盾分析法；落点为对偶万能套语。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
54,二、辩证思维,矛盾分析法,6. 2025丰台期末“界”迁移训练题（拓展训练题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,中,阐释质量：中　开放迁移题，落点“守底线中推动联系发展”高度通用。,已按旧审核处理,答案落点已补材料关键词,通过,通过,旧表匹配：方法+题源核心匹配
55,二、辩证思维,矛盾分析法,7. 2026丰台期末 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
56,二、辩证思维,矛盾分析法,补充：2026房山一模 第18题第（1）问（矛盾分析法路径）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
57,二、辩证思维,量变与质变,1. 2025海淀二模 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 同题组缺说明：与#33(动态性)同属细则第2组、择一得分。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
58,二、辩证思维,量变与质变,2. 2025延庆一模 第18题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
59,二、辩证思维,量变与质变,补充：2026朝阳期中(2025-11) 第20题（量变质变路径）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
60,二、辩证思维,适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
61,二、辩证思维,适度原则,2. 2026通州一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,高,阐释质量：差　通州AI题：万能套话，答案结构可与#63对调，未体现“适度原则”特性。,已按旧审核处理,答案落点已补材料关键词,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
62,二、辩证思维,辩证否定,1. 2025海淀二模 第20题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
63,二、辩证思维,辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
64,二、辩证思维,辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过,旧表匹配：方法+题名精确匹配
65,二、辩证思维,辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,低,设问/题号/分值：⚠️ 设问漏标小问编号“（1）”及分值“（9分）”（同题组其余条目均已标注）。,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
66,二、辩证思维,辩证否定,5. 2026通州一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,高,阐释质量：差　通州AI题：标准辩证否定句型，无本题材料填充，换任何利弊题可套。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
67,二、辩证思维,辩证否定,补充：2024石景山一模 第19题第（3）问（辩证否定路径）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
68,二、辩证思维,认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过,旧表匹配：方法+题名精确匹配
69,三、创新思维,特点与三新,1. 2025昌平二模 第19题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
70,三、创新思维,特点与三新,2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
71,三、创新思维,特点与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
72,三、创新思维,特点与三新,4. 2026延庆一模 第18题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,中,阐释质量：中　三新触发未从材料提取；套话可套任何“新技术+监管”题。,已按旧审核处理,答案落点已补材料关键词,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
73,三、创新思维,特点与三新,5. 2026石景山一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　一次列举联想/发散/超前三法，未与材料具体对应，建议泛化。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
74,三、创新思维,特点与三新,6. 2026丰台二模 第21题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
75,三、创新思维,特点与三新,7. 2026西城二模 第18题第（4）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,高,阐释质量：差　创新/逆向思维定义拼凑复述，除“AI”外无本题材料痕迹。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
76,三、创新思维,特点与三新,8. 2025西城一模 第17题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
77,三、创新思维,特点与三新,9. 2025石景山一模 第19题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　落点只是重复题意换说法，未揭示思维方法层面机制。,已复核保留,旧表提示已纳入当前逐条检查，未触发结构/正文硬错误,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
78,三、创新思维,联想思维,1. 2025海淀期末 第18题（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
79,三、创新思维,联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
80,三、创新思维,联想思维,3. 2026朝阳一模 第17题第（1）问后半（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过,旧表匹配：方法+题名精确匹配
