bucket,second_level,core_point,frequency,entry_count,reason
中国,地位,中国作为联合国创始会员国和安理会常任理事国，是国际政治经济格局中的重要力量〔中国国际地位综合表达角度〕,1,1,中国在国际体系中的身份、实力和影响力
中国,责任,坚持正确义利观，在发展合作中共享机遇,2,2,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,改善发展中国家民生并助力持续发展,3,3,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,民心相通与文明互鉴,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,智慧,四大全球倡议相互促进、有机统一，系统推动构建人类命运共同体,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球发展倡议：以发展促繁荣,3,3,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球安全倡议：以安全保稳定,2,2,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球文明倡议：以文明增互信,2,2,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球治理倡议：以治理求公正,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,从中国主张到国际共识，从合作理念到共同行动,1,1,中国主张、中国方案、全球倡议和理念供给
中国,责任,南南合作与全球南方共同发展,2,2,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,地位,中国积极参与国际组织，在联合国、金砖国家、二十国集团、博鳌亚洲论坛等国际组织中的作用日益显著，已成为全球治理体系的重要参与者、贡献者和改革者,1,1,中国在国际体系中的身份、实力和影响力
中国,责任,中国推进绿色低碳转型并参与全球气候治理,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,严格落实《巴黎协定》要求，每五年向联合国提交国家自主贡献目标，维护全球气候治理多边进程,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,中国是负责任大国并勇于担当,5,5,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,政策,坚持独立自主、自力更生，增强发展主动权,1,1,中国外交政策、国家安全和对外关系准则
中国,责任,聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,智慧,理念蕴含普遍价值，能够形成共识、促成合作和发展、应对全人类共同问题和共同挑战,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,推动构建中拉命运共同体,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,共同落实全球发展倡议,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性,1,1,中国主张、中国方案、全球倡议和理念供给
中国,责任,展现大国责任担当,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
联合国,《联合国宪章》与国际体系,维护《联合国宪章》宗旨和原则,3,3,围绕宪章原则、联合国核心体系和国际法秩序
联合国,联合国地位作用与多边舞台,联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织，并在维护和平、推动发展、促进人类文明进步中发挥重要作用,2,2,围绕联合国自身地位作用和多边平台功能
联合国,中国与联合国相互需要,联合国对中国对外开放和现代化事业作出独特贡献，成为中国开展多边合作的主要舞台,2,2,围绕中国和联合国双向关系
联合国,联合国发展议程与全球治理贡献,落实联合国2030年可持续发展议程,1,1,围绕联合国发展议程和全球性问题治理
联合国,《联合国宪章》与国际体系,中国作为联合国创始会员国和安理会常任理事国〔以联合国为核心的国际体系参与角度〕,1,1,围绕宪章原则、联合国核心体系和国际法秩序
联合国,联合国发展议程与全球治理贡献,为解决全球性问题提供中国智慧和中国方案，助力联合国在全球治理中发挥更大作用,1,1,围绕联合国发展议程和全球性问题治理
联合国,《联合国宪章》与国际体系,坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序,1,1,围绕宪章原则、联合国核心体系和国际法秩序
