label,qid,parent,child,thinking_type,small_method,material_action,trigger_logic,answer_sentence,prompt,prompt_status,evidence_level,source_packet,cov_question_id,cov_year,cov_district,cov_stage,cov_suite_name,cov_question_no,cov_book_part,cov_question_type,cov_evidence_level,cov_source_packet,cov_status,cov_decision_reason,audit_status,reason,entry_id,question_id,status,rubric_source
,,,,辩证思维,分析与综合/整体性/动态性,探月工程先聚焦关键核心技术，再逐步突破轨道控制、自主起降等细分技术，最终实现全链条自主可控。,先拆关键和细分技术触发分析，以全链条自主可控统领各技术环节触发综合和整体性，二十多年持续攻关触发动态推进。,探月工程以整体把握全链条难题为统领，分析并突破各项细分技术，在动态推进中实现自主可控，体现分析与综合相结合。,,,B-choice-signal,,Q0032,2026,顺义,一模,2026顺义一模,3,thinking,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0032-2026顺义一模-q3,source_locked_pending_external_review,分析与综合/整体性动态性选择题：正确②③，排除主要方面与适度原则硬套,excluded_from_thinking_body,not_thinking_main_question,MT0011,Q0032,source_locked_pending_external_review,gpt_sources/8d19592ca0679f21_2026顺义一模.md:46-54; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:20-30
,,,,认识发展历程,感觉/知觉/表象到本质和规律,师生在展品前触摸历史温度、聆听无声之教，从古家具和陶瓷等具体展品中理解传统文化。,展品带来感觉、知觉和表象，这些感性材料进一步上升为对历史文化本质和规律的认识。,师生通过对具体展品的感觉、知觉和表象，进一步认识中华优秀传统文化的本质和规律。,,,B-choice-signal,,Q0034,2026,顺义,一模,2026顺义一模,5,thinking,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0034-2026顺义一模-q5,source_locked_pending_external_review,感觉知觉表象到本质规律选择题：D项锁定，B项发散思维误挂,excluded_from_thinking_body,not_thinking_main_question,MT0012,Q0034,source_locked_pending_external_review,gpt_sources/8d19592ca0679f21_2026顺义一模.md:64-84; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:20-30
,,,,人机协作边界,价值判断/情感体验/复杂沟通边界,四象限模型用于界定AI与人类的知识、信息掌握边界，并把情感体验、价值判断、复杂沟通、协商调解放入第四象限。,当任务涉及价值选择、情感经验和复杂人际互动时，不能只按信息检索或数据优化处理，应识别人类判断优势和AI边界。,人机协作要把标准化信息处理与人的价值判断、情感体验和复杂沟通区分开来，第四象限更适合人类主导。,,,B-choice-signal,,Q0036,2026,顺义,一模,2026顺义一模,7,thinking,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0036-2026顺义一模-q7,source_locked_pending_external_review,人机协作边界选择题：D项锁定，第四象限对应情感价值判断和复杂人际沟通,excluded_from_thinking_body,not_thinking_main_question,MT0013,Q0036,source_locked_pending_external_review,gpt_sources/8d19592ca0679f21_2026顺义一模.md:87-109; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:31-40
,,,,辩证思维 choice signal,辩证否定/传统文化科技赋能,非遗变脸、机械武术、机器人乐队、科普实验等共同进入春节科普活动，形成科普+文化、科普+非遗融合场景。,传统文化不是原样静态保存，而是在科技赋能和科普场景中保留积极内容并获得新表达，触发辩证否定的 choice signal。,春节科普活动让科学精神融入生活，也让传统文化在科技赋能下实现创造性转化，体现辩证否定的选择题信号。,,,B-choice-signal,,Q0037,2026,朝阳,一模,2026朝阳一模,3,thinking,choice_question,B-choice-signal,02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0037-2026朝阳一模-q3,source_locked_pending_external_review,科普+文化/非遗融合选择题：正确②④，科技赋能传统文化焕新与辩证否定 choice signal,excluded_from_thinking_body,not_thinking_main_question,MT0014,Q0037,source_locked_pending_external_review,"gpt_sources/585b15124610aff7_2026北京朝阳高三一模政治_教师版.md:47-54,320-325"
,,,,创新思维/辩证思维 choice signal,发散思维与聚合思维/水城新联系,坝河治理由排洪河道转为集防洪、生态、休闲、文化、经济于一体的复合空间，并从水是水、岸是岸转向水城共融。,多功能拓展体现发散打开治理可能，围绕水城共融形成统一方案体现聚合收束，建立水与城的新联系。,坝河治理在防洪、生态、休闲、文化、经济等多方向打开思路，又聚合成水城共融的复合空间，体现发散与聚合思维。,,,B-choice-signal,,Q0039,2026,朝阳,一模,2026朝阳一模,6,thinking,choice_question,B-choice-signal,02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0039-2026朝阳一模-q6,source_locked_pending_external_review,坝河治理发散聚合/水城新联系选择题；正式答案D，旧索引冲突已记录,excluded_from_thinking_body,not_thinking_main_question,MT0015,Q0039,source_locked_pending_external_review,"gpt_sources/585b15124610aff7_2026北京朝阳高三一模政治_教师版.md:73-79,320-325"
,,,,科学思维 choice signal,证据互证/可信度增强,科学家重建月球背面原始岩浆化学组成并计算温度，又用卫星遥感数据验证样品分析结果。,样品分析、计算推断和遥感数据之间互相印证，体现科学思维依靠证据链提高结论可信度。,月壤样品分析与卫星遥感数据相互印证，增强了关于月球背面月幔温度结论的可信程度。,,,B-choice-signal,,Q0040,2026,朝阳,一模,2026朝阳一模,7,thinking,choice_question,B-choice-signal,02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0040-2026朝阳一模-q7,source_locked_pending_external_review,月壤样品分析与卫星遥感互证选择题：科学思维可信度，排除形象化特征和超前思维误挂,excluded_from_thinking_body,not_thinking_main_question,MT0016,Q0040,source_locked_pending_external_review,"gpt_sources/585b15124610aff7_2026北京朝阳高三一模政治_教师版.md:80-87,320-325"
2025门头沟一模 Q21(1),Q0041,科学思维,科学总帽下的复合触发,科学思维总帽下复合思维,辩证否定/整体动态/联想发散超前/客观性预见性,门头沟从千年煤城向京西智谷转型，破除煤炭路径依赖，保留工业基础优势，联结山地资源、文旅农林商和人工智能等新动能，并立足资源约束布局绿色高质量发展。,从旧煤炭经济转向新质生产力触发辩证否定；把山地资源、文旅农林商和人工智能多向联结触发创新思维；从资源约束和产业趋势出发提前布局触发科学思维的客观性和预见性。,门头沟区立足资源约束和发展趋势，扬弃煤炭经济、联结山地文旅与人工智能等新动能，体现辩证思维、创新思维和科学思维协同推动转型。,运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,source_lock_question_block,A-formal,02_codex_lane/GAP005_2025_MENTOUGOU_YIMO_Q21_1_SOURCE_LOCK.md#q0041-2025门头沟一模-q211,Q0041,2025,门头沟,一模,2025门头沟一模,21(1),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_MENTOUGOU_YIMO_Q21_1_SOURCE_LOCK.md#q0041-2025门头沟一模-q211,source_locked_pending_external_review,科学思维设问下，正式细则给出辩证思维、创新思维、科学思维三组得分点；用于复合思维扩容,included_thinking_main,source_lock_question_block,,,,
2025房山一模 Q16(3),Q0043,创新思维,逆向思维,创新思维,发散思维/借用方法/逆向思维/三新,琉璃河遗址有青铜罍铭文、两重城垣和三千年建城史等考古资源，需要从静态遗址转化为可体验、可传播、能吸引年轻人的公共文化场景。,让遗址热起来要把同一文化资源打开成多种体验方案，触发发散思维；借用沉浸式研学、角色扮演和互动解谜触发借用方法与联想思维；把静态文物转成AI动态视频触发逆向和转换性思考。,让琉璃河遗址热起来，可以用发散思维设计沉浸式研学、角色扮演和互动解谜等多样体验，也可以运用逆向思维把静态文物转化为AI动态视频等新表达。,结合材料，运用创新思维知识，就“如何让琉璃河遗址‘热’起来”提两条建议。,source_lock_question_block,A-formal,02_codex_lane/GAP005_2025_FANGSHAN_YIMO_Q16_2_Q16_3_SOURCE_LOCK.md#q0043-2025房山一模-q163,Q0043,2025,房山,一模,2025房山一模,16(3),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_FANGSHAN_YIMO_Q16_2_Q16_3_SOURCE_LOCK.md#q0043-2025房山一模-q163,source_locked_pending_external_review,创新思维建议题：正式细则给任一个思维+合理建议、创新思维三个特征角度得分口径,included_thinking_main,source_lock_question_block,,,,
2025东城期末 Q18(2),Q0044,创新思维,超前思维,创新思维,三新/发散与聚合/联想思维/超前思维,登月服把飞天飘带、火箭尾焰和现代登月装备外观联系起来，同时围绕月面行走、攀爬、驾车、科考、防热、防尘、防眩光等任务需求设计功能细节。,历史传统、火箭形象和服装造型建立新联系，触发联想思维；月面任务需求多方向展开，触发发散思维；围绕完成登月任务核心问题收束方案，触发聚合思维；提前预判月面环境和航天员需求，触发超前思维。,登月服设计把飞天飘带、火箭尾焰和现代装备联系起来，体现联想思维；又围绕月面行走、防热防尘、防眩光等任务需求多向展开并聚焦登月任务核心问题，体现发散与聚合思维；提前预判月面环境和航天员需求，体现超前思维。,结合材料，运用《逻辑与思维》知识，说明登月服设计是如何体现创新思维的。,source_lock_question_block,A-formal,02_codex_lane/GAP005_2025_DONGCHENG_QIMO_Q18_2_SOURCE_LOCK.md#q0044-2025东城期末-q182,Q0044,2025,东城,期末,2025东城期末,18(2),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_DONGCHENG_QIMO_Q18_2_SOURCE_LOCK.md#q0044-2025东城期末-q182,source_locked_pending_external_review,登月服创新思维题：正式细则给三新、聚合/发散、联想、超前思维得分口径,included_thinking_main,source_lock_question_block,,,,
2025昌平二模 Q19,Q0045,创新思维,逆向思维,创新思维,逆向思维/发散与聚合/联想思维/迁移和想象/三新,《大梦·红楼》把传统经典改造成全场域行进式近景沉浸体验项目，设置三大沉浸展区、4条观众动线和20个经典情节还原；观众没有固定座位，可以选择路径、跟随角色自由行走并近距离互动。,观众从坐着看转为行走互动，触发逆向思维；多展区、多动线、多情节开发传统经典，触发发散思维；围绕红楼梦体验项目组织多线内容，触发聚合思维；传统经典迁移到沉浸式场景，触发联想思维、迁移和想象；消费场景、观演方法和文化传播效果更新，触发三新。,沉浸式演艺把观众由固定座位观看转为自由行走互动，体现逆向思维；又从多展区、多动线、多情节开发《红楼梦》并聚合成统一体验场域，体现发散与聚合思维；把传统经典迁移到沉浸式场景，体现联想思维和思路新、方法新、结果新。,结合材料，分析沉浸式演艺是如何体现创新思维的。,source_lock_question_block,A-formal,02_codex_lane/GAP005_2025_CHANGPING_ERMO_Q19_SOURCE_LOCK.md#q0045-2025昌平二模-q19,Q0045,2025,昌平,二模,2025昌平二模,19,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_CHANGPING_ERMO_Q19_SOURCE_LOCK.md#q0045-2025昌平二模-q19,source_locked_pending_external_review,沉浸式演艺创新思维题：正式细则给逆向思维、发散与聚合、迁移和想象/联想、三新得分口径,included_thinking_main,source_lock_question_block,,,,
2025西城一模 Q17,Q0046,科学思维,科学总帽下的复合触发,科学思维总帽下复合思维,客观性/辩证思维/创新思维/逆向思维,温榆生态心根据清河、温榆河交汇处水流、鱼、昆虫、水鸟等客观条件，取消常规游乐设施、园径和路灯，营建河心岛、深潭浅滩，部分粮田留给鸟兽，并封闭核心区让自然演替主导生态恢复。,从当地自然条件出发触发科学思维客观性；把水流、鱼虫鸟兽、粮田和封闭核心区作为整体生态系统规划，触发辩证思维的联系、发展、全面观点；不按一般公园建设逻辑，反向减少人工设施，让自然演替主导，触发创新思维和逆向思维。,温榆生态心从当地水系、生物和荒野条件出发，遵循自然规律，整体规划河心岛、深潭浅滩、粮田和封闭核心区，并用不同于普通公园的建设思路让自然演替主导生态恢复，体现科学思维的客观性、辩证思维和创新思维。,结合材料，说明“温榆生态心”建设中蕴含的科学思维。,source_lock_question_block,A-formal,02_codex_lane/GAP005_2025_XICHENG_YIMO_Q17_SOURCE_LOCK.md#q0046-2025西城一模-q17,Q0046,2025,西城,一模,2025西城一模,17,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_XICHENG_YIMO_Q17_SOURCE_LOCK.md#q0046-2025西城一模-q17,source_locked_pending_external_review,温榆生态心科学思维题：正式细则要求客观性、辩证思维、创新思维三个维度,included_thinking_main,source_lock_question_block,,,,
2025石景山一模 Q19,Q0047,科学思维,客观性、预见性、可检验性,科学思维,客观性/可检验性/归纳推理可靠程度/创新思维,学生建议从社会生活问题出发，经过文献查阅、问卷调研、访谈、实验数据等多种方法形成建议，有些建议已经转化为惠及民生的措施，同时从亲身经历中捕捉灵感和创意，形成新颖独特方案。,实践中产生并接受实践检验，触发科学思维的客观性和可检验性；文献、问卷、访谈、实验数据等多方法扩大证据面，触发归纳推理可靠程度；亲身经历、奇思妙想和城市建设碰撞，触发创新思维。,获奖建议从真实社会问题出发并接受实践检验，体现科学思维的客观性和可检验性；又通过文献、问卷、访谈和实验数据寻找因果联系，提高归纳推理可靠程度；还把亲身经历和城市建设相联结，提出新颖独特建议，体现创新思维能力。,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。,source_lock_question_block,A-formal,02_codex_lane/GAP005_2025_SHIJINGSHAN_YIMO_Q19_SOURCE_LOCK.md#q0047-2025石景山一模-q19,Q0047,2025,石景山,一模,2025石景山一模,19,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_SHIJINGSHAN_YIMO_Q19_SOURCE_LOCK.md#q0047-2025石景山一模-q19,source_locked_pending_external_review,科学建议题：正式细则给科学思维客观性/可检验性、归纳推理可靠程度、创新思维三点,included_thinking_main,source_lock_question_block,,,,
2025丰台一模 Q18(1),Q0048,科学思维,客观性、预见性、可检验性,科学思维,客观性/预见性/可检验性,我国发布第一个人工智能规划，明确基本原则和三步走目标，从实际出发分析发展趋势；到2025年基础理论突破、2030年总体世界领先，随后从国家层面对AI教育进行战略布局，并在实践中检验发展成果、完善政策部署。,从人工智能发展实际出发布局，触发科学思维客观性；预判发展趋势、提前部署和分段规划，触发科学思维预见性；在实践中检验成果并完善政策，触发科学思维可检验性。,我国从人工智能发展实际出发，准确预判发展趋势，提前部署、分段规划，并在实践中检验成果、完善政策部署，体现科学思维追求认识客观性、结果预见性和可检验性。,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,source_lock_question_block,A-formal,02_codex_lane/GAP005_2025_FENGTAI_YIMO_Q18_1_SOURCE_LOCK.md#q0048-2025丰台一模-q181,Q0048,2025,丰台,一模,2025丰台一模,18(1),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_FENGTAI_YIMO_Q18_1_SOURCE_LOCK.md#q0048-2025丰台一模-q181,source_locked_pending_external_review,新一代人工智能规划题：正式细则锁定科学思维客观性、预见性、可检验性三性,included_thinking_main,source_lock_question_block,,,,
