check_id,severity,status,evidence,comment
P0_11_q2026fengtai18_2_locked_chain,P0,PASS,"Line 251: '甲：必要条件假言推理的肯定后件式；乙：三段论大项不当扩大'; line 254: '甲为必要条件假言推理的肯定后件式，且前提真实，推理成立；乙的大项在前提中不周延，却在结论中周延，犯大项不当扩大'","L4 locked reasoning/action chain preserved verbatim: 甲=必要条件假言推理肯定后件式 with true premises, 乙=三段论大项不当扩大."
P0_12_q2025haidian20_angle_pool_preserved,P0,PASS,"Line 71: '从"整体性、动态性、分析与综合、质量互变、辩证否定"里选最贴材料的两个角度写深'; line 72: '可优先选"整体性 + 动态性"或"分析与综合 + 质量互变"等组合，核心是两角度写透；不要把所有角度堆成必答清单'; line 73: '不能写成三点全必答'","Angle-pool/选二写深 treatment preserved; no '三点全必答' or '3点乘2分' framing."
P0_13_jiayanl_sufficient_vs_necessary_split,P0,PASS,"Q-2024朝阳一模-20-1 line 152: '充分条件假言推理(否定后件式)' with 前真后必真规则; Q-2024朝阳一模-20-2 line 163: '必要条件假言推理' with 只有...才...口诀 and 肯定后件可以肯定前件; Q-2026通州期末-19-2 line 263: '推理①为充分条件假言判断的肯定前件式；推理②为必要条件假言判断的肯定前件式' with separate 充分/必要 valid/invalid forms","Sufficient and necessary conditional valid forms are clearly separated and rules are not混用."
P0_14_q2024chaoyang2mo_19_no_audit_wording,P0,PASS,"grep '细则\d+' / '细则编号' / 'rubric:' / '@L\d+' / 'Slide\d+' / 'pptx' / 'docx' / 'rtf' on lines 275-306 = 0 hits; '①动态性' style fill-in-blank ID gone; replaced with 前半处/后半处 phrasing at lines 281-282","Q-2024朝阳二模-19-1 and 19-2 contain no source ids, file ids, rubric ids, or audit-flavored phrasings."
P1_15_thinking_schema_preserved,P1,WARN,"12 思维 mainline entries + 1 边界陷阱 entry: all carry 材料信号→可写思维/方法→为什么能想到→答题动作→答案落点→易错陷阱→同类题索引; cross 思维-primary entry Q-2026顺义一模-19-2 主讲线 (lines 343-347) carries only 题型/材料信号/答题动作/易错陷阱 and lacks 同类题索引","12+1 standalone 思维 entries fully respect schema. Cross-mount thinking-primary entry Q-2026顺义一模-19-2 follows the reduced cross schema (no 为什么能想到/答案落点) consistent with other cross entries' thinking mount, BUT 同类题索引 is missing — see F1."
P1_16_reasoning_schema_preserved,P1,PASS,"11 推理 entries: each carries 题型→逻辑形式→规则口诀→有效式或错误式→解题动作→答案落点→易错陷阱→同类题索引; 4 cross entries with 推理 primary (Q-2024朝阳二模-19-1/19-2; Q-2024朝阳期中-9; Q-2026顺义一模-19-1) carry the cross-reduced schema 题型/逻辑形式/规则口诀/有效式或错误式/解题动作/易错陷阱","Reasoning entries fully respect schema. Cross 推理-primary mounts use the reduced cross schema consistently (no 答案落点); same-type index appears at end of secondary mount section."
P1_17_choice_answer_letters_explicit,P1,PASS,"All 8 选择题 entries have explicit answer letters/combinations: Q-2024朝阳一模-7=正确选项 C（②③）@L22; Q-2024朝阳一模-9=正确选项 D（③④）@L32; Q-2025丰台期末-8=选 D@L61; Q-2025丰台期末-7=选 C@L144; Q-2024朝阳期中-7=选 B/排序为②①③@L179; Q-2025东城期末-13=正确选项 B@L223; Q-2025顺义一模-7=选 A@L245; Q-2024朝阳期中-9=正确选项 B@L314","Every choice question shows the letter; combinations like ②③ / ②①③ / ③④ are written where applicable."
P1_18_chinese_quotes_clean,P1,PASS,"grep for '“[^“”]*“' (双开双引号) and '”[^“”]*”' (双关双引号) = 0 hits across body","Curly quotation pairs are clean enough for student use; no obvious broken quote pairs detected."
P1_19_cross_dual_mount_preserved,P1,PASS,"All 5 cross entries carry both 主讲线 and 辅助线 in body (Q-2024朝阳二模-19-1@L275-290; Q-2024朝阳二模-19-2@L292-306; Q-2024朝阳期中-9@L308-323; Q-2026顺义一模-19-1@L325-339; Q-2026顺义一模-19-2@L341-353); control_matrix records primary_mount and secondary_mount for all 5 cross rows; Q-2026顺义一模-19-2 correctly inverted to primary=思维, secondary=推理","Dual mount preserved in matrix and readable draft sections; no cross row collapsed to a single mount."
P2_20a_q2026shunyi19_2_missing_same_type_index,P2,WARN,"Body lines 341-353: no '同类题索引' line; control_matrix entry 29 same_type_ids='Q-2024朝阳期中-7；Q-2026顺义一模-19-1'","Same-type index missing in body for Q-2026顺义一模-19-2 even though matrix lists two same-type IDs; recorded as F1 finding."
P2_20b_internal_jargon_residue_xianwei_guazai,P2,WARN,"Line 303: '题型：辩证思维 · 动态性(同题第(1)问的思维挂载延续)。'","Internal term '思维挂载' leaked into student draft body; rest of cross sections use '主讲线/辅助线' wording. Recorded as F2 finding."
P2_20c_double_period_punctuation,P2,WARN,"Line 297: '规则口诀：“当且仅当各联言支都真，联言判断才真；一假即假。”。' ends with '”。' after sentence-ending '。' inside quotes","Trailing extra full stop after closing quote on Q-2024朝阳二模-19-2 主讲线 规则口诀 line; cosmetic but noticeable. Recorded as F3 finding."
P2_20d_fill_in_blank_term_inconsistency,P2,WARN,"Q-2024朝阳二模-19-1 line 281-282 use '前半处/后半处'; line 283 易错陷阱 reverts to '第一空/第二空'","Mixed fill-in-blank terminology within same section; cosmetic. Recorded as F4 finding."
P2_20e_q2025shunyi7_substantive_correction_unverified_at_lane_b,P2,WARN,"Phase08 prototype said 'A...小项"青年工人"在结论中变全称扩大,确为小项不当扩大谬误'; Phase09 line 243 says 'A 项的推理实际问题是大项不当扩大'; Codex A verification reports q2025_shunyi_7_corrected_to_da_xiang: PASS","Substantive answer-interpretation change between Phase08 and Phase09. Codex A verified against 036顺义参考答案; Lane B audit cannot independently re-verify without re-reading the original rubric. Logged as residual risk for Governor/Confucius gate."
P2_20f_backcheck_csv_appears_in_md_misleading_for_5_entries,P2,WARN,"phase09_question_id_backcheck.csv marks appears_in_student_md='no' for Q-2024朝阳期中-9, Q-2025丰台期末-7, Q-2025丰台期末-8, Q-2025西城二模-16-2, Q-2026丰台一模-18-2; visible_title format '2024 朝阳期中第9题（选择题）' is used in body instead of raw 'Q-...'","All 5 entries DO have body sections under Chinese readable visible_titles; the literal Q-... string just doesn't reappear in any other section's same-type list. Backcheck CSV is technically accurate but misleading; suggest add a column or note. Recorded as F5 finding."
P2_20g_meta_talk_titletype_in_cross_aux_mount,P2,WARN,"Line 350: '题型：推理结构辅助线' is meta-description rather than concrete reasoning题型 name (assistant cross 题型 should normally read e.g. '三段论' or '演绎推理')","Q-2026顺义一模-19-2 辅助线 题型 line uses meta-talk; matches Phase08 pattern but reads weakly to a student. Recorded as F6 finding."
P2_20h_visible_title_lost_question_id_for_student_traceability,P3,WARN,"Visible_titles in student draft use Chinese readable format (e.g., '2024 朝阳一模第7题（选择题）'); raw question_id 'Q-2024朝阳一模-7' only appears via same-type index lists","No question_id-traceable header in body for entry control rows; relies on control_matrix.csv for traceability. Acceptable for student稿 but may complicate future audit回查."
