key,card_id,entry_count,seed_count,risk_flags,sample_samegroup
2026西城期末Q20,2026_西城_期末_Q20,12,5,entries_gt_seed:12>5,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：共商共建共享的全球治理观；推动国际秩序和全球治理体系更加公正合理；践行真正的多边主义；推动构建人类命运共同体 | · 中国：贡献中国智慧、中国方案、中国力量；中国推进绿色低碳转型并参与全球气候治理；严格落实《巴黎协定》要求，每五年向联合国提交国家自主贡献目标，维护全球气候治理多边进程；中国是负责任大国并勇于担当；坚持正确义利观 | · 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序
2026顺义一模Q20,2026_顺义_一模_Q20,12,3,entries_gt_seed:12>3,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础 | · 经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；在平等互利基础上开展合作，实现互利共赢 | · 中国：中国坚持独立自主的和平外交政策；贡献中国智慧、中国方案、中国力量；中国推动构建人类命运共同体；坚持正确义利观；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢；改善发展中国家民生并助力持续发展；南南合作与全球南方共同发展
2026顺义二模Q20,2026_顺义_二模_Q20,12,8,entries_gt_seed:12>8,【同题组】  （本题8分） | · 经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局；互利共赢的开放战略 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；共商共建共享的全球治理观；推动国际秩序和全球治理体系更加公正合理 | · 中国：中国坚持独立自主的和平外交政策；贡献中国智慧、中国方案、中国力量；中国推动构建人类命运共同体；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；坚持正确义利观；改善发展中国家民生并助力持续发展
2025延庆一模Q20(2),2025_延庆_一模_Q20_2,11,5,entries_gt_seed:11>5;samegroup_term_not_in_raw:国际关系民主化,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础；维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；维护全球产业链供应链稳定畅通 | · 政治多极化：推动构建人类命运共同体；践行真正的多边主义；推动国际关系民主化；世界多极化是当今国际形势的突出特点 | · 中国：中国推动构建人类命运共同体；展现大国责任担当
2026丰台期末Q20,2026_丰台_期末_Q20,11,6,entries_gt_seed:11>6,【同题组】  （本题8分） | · 经济全球化：维护全球产业链供应链稳定畅通，服务共同现代化；维护多边贸易体制；维护开放合作的国际经济环境 | · 政治多极化：推动构建人类命运共同体；坚持主权平等与安全保障 | · 中国：推动构建中拉命运共同体；共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌 | · 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序
2026石景山一模Q20,2026_石景山_一模_Q20,11,2,entries_gt_seed:11>2,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础 | · 经济全球化：推进贸易和投资自由化便利化；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；推进普惠包容的经济全球化；建设开放型世界经济；维护多边贸易体制 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；在平等互利基础上开展合作，实现互利共赢；共商共建共享的全球治理观 | · 中国：中国推动构建人类命运共同体
2025东城期末Q20,2025_东城_期末_Q20,10,5,entries_gt_seed:10>5;samegroup_term_not_in_raw:国际关系民主化,【同题组】 | · 理论：维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：促进全球资源优化配置和国际贸易发展；推进贸易和投资自由化便利化；为世界新能源产业注入活力，增强经济全球化动力；维护多边贸易体制；反对贸易保护主义，警惕单边措施破坏多边贸易秩序；顺应经济全球化趋势，反对贸易保护主义 | · 政治多极化：在平等互利基础上开展合作，实现互利共赢；推动国际关系民主化、和平解决国际争端 | · 中国：中国推进绿色低碳转型并参与全球气候治理
2026门头沟一模Q20,2026_门头沟_一模_Q20,10,6,entries_gt_seed:10>6,【同题组】 | · 经济全球化：共享经济全球化成果，促进世界经济共同繁荣；推进贸易和投资自由化便利化；顺应经济全球化趋势，主动融入并推动深化；推动建设开放型世界经济，深化国际分工与合作；发展更高层次开放型经济；中国扩大高水平对外开放与制度型开放；互利共赢的开放战略；利用两个市场两种资源优化全球资源配置；内外联通畅通国内国际双循环，提升国际循环质量；维护全球产业链供应链稳定畅通
2024朝阳二模Q20,2024_朝阳_二模_Q20,9,6,entries_gt_seed:9>6,【同题组】 | · 时代背景：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；共商共建共享的全球治理观；坚持开放合作、共享共赢、包容互鉴、共商共建；推动构建人类命运共同体；践行真正的多边主义；坚持共同但有区别的责任，要求发达国家为完善全球气候治理承担更多责任；跨国公司等全球企业，尤其是工业领域企业，应致力于技术创新，加快绿色低碳转型，努力降低碳排放
2024朝阳期中Q20(3),2024_朝阳_期中_Q20_3,9,4,entries_gt_seed:9>4,【同题组】 | · 经济全球化：共享经济全球化成果，促进世界经济共同繁荣；促进全球资源优化配置和国际贸易发展；推进贸易和投资自由化便利化；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；提高开放型经济水平；发展更高层次开放型经济；利用两个市场两种资源优化全球资源配置；数字贸易与数字经济跨境流通 | · 政治多极化：共商共建共享的全球治理观
2024西城二模Q19,2024_西城_二模_Q19,9,4,entries_gt_seed:9>4,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；推动国际秩序和全球治理体系更加公正合理；推动构建人类命运共同体；践行真正的多边主义；推动国际关系民主化；超越集团政治、实力至上和少数国家垄断价值定义的治理逻辑 | · 中国：中国推动构建人类命运共同体
2026延庆一模Q19(2),2026_延庆_一模_Q19_2,9,5,entries_gt_seed:9>5,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础；维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：顺应经济全球化趋势，主动融入并推动深化 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；共商共建共享的全球治理观；推动构建人类命运共同体 | · 中国：中国推动构建人类命运共同体；坚持正确义利观
2024海淀二模Q18(1),2024_海淀_二模_Q18_1,8,3,entries_gt_seed:8>3,【同题组】  （本题8分） | · 时代背景：和平与发展仍是时代主题；霸权主义和强权政治、单边主义是和平与发展的现实挑战 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：世界多极化是当今国际形势的突出特点；共商共建共享的全球治理观；推动构建人类命运共同体；推动国际关系民主化；国际组织
2025东城一模Q20,2025_东城_一模_Q20,8,4,entries_gt_seed:8>4;samegroup_term_not_in_raw:习近平外交思想,【同题组】 | · 理论：国家间共同利益是国家合作的基础 | · 经济全球化：推进贸易和投资自由化便利化；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 | · 政治多极化：推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序；推动国际关系民主化 | · 中国：中国推动构建人类命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢；习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）
2025东城二模Q20,2025_东城_二模_Q20,8,5,entries_gt_seed:8>5,【同题组】  （本题8分） | · 时代背景：和平与发展仍是时代主题；百年变局与外部风险挑战 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：推动构建人类命运共同体；推动国际关系民主化、和平解决国际争端；世界多极化是当今国际形势的突出特点 | · 中国：贡献中国智慧、中国方案、中国力量；中国推动构建人类命运共同体
2025丰台期末Q20,2025_丰台_期末_Q20,8,6,entries_gt_seed:8>6,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；在平等互利基础上开展合作，实现互利共赢；共商共建共享的全球治理观；促进共同发展、维护持久和平，共同推进现代化；推动国际关系民主化 | · 中国：中国推动构建人类命运共同体
2025海淀期中Q21(2),2025_海淀_期中_Q21_2,8,7,entries_gt_seed:8>7,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：维护国家利益是主权国家对外活动的出发点和落脚点 | · 政治多极化：世界多极化是当今国际形势的突出特点 | · 中国：新中国外交始终服务国家性质并坚持党对外交统一集中领导；中国坚持独立自主的和平外交政策；和平共处五项原则是我国对外关系基本准则；中国综合国力、国际地位和话语权提升；习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）
2025西城二模Q19(2),2025_西城_二模_Q19_2,8,6,entries_gt_seed:8>6,【同题组】 | · 经济全球化：对最不发达国家实行零关税，推动普惠包容的经济全球化；推进贸易和投资自由化便利化；推进普惠包容的经济全球化；建设开放型世界经济 | · 政治多极化：促进共同发展、维护持久和平，共同推进现代化 | · 中国：坚持正确义利观；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢；展现大国责任担当
2026东城一模Q19(3),2026_东城_一模_Q19_3,8,5,entries_gt_seed:8>5,【同题组】  （本题8分） | · 经济全球化：处理好自力更生和对外开放的关系，参与经济全球化和国际分工；建设开放型世界经济，扩大开放合作；发展更高层次开放型经济；中国扩大高水平对外开放与制度型开放；积极参与全球经济治理和经贸规则完善；参与国际标准制定，提升国际规则话语权；统筹开放与安全，维护产业链供应链安全稳定；以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础
2026丰台一模Q19,2026_丰台_一模_Q19,8,7,entries_gt_seed:8>7,【同题组】 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：共商共建共享的全球治理观；践行真正的多边主义 | · 中国：中国推动构建人类命运共同体；坚持正确义利观；中国是负责任大国并勇于担当 | · 联合国：维护《联合国宪章》宗旨和原则；落实联合国2030年可持续发展议程
2026房山一模Q19,2026_房山_一模_Q19,8,4,entries_gt_seed:8>4,【同题组】 | · 经济全球化：推进贸易和投资自由化便利化；推动建设开放型世界经济，深化国际分工与合作；中国扩大高水平对外开放与制度型开放；利用两个市场两种资源优化全球资源配置；内外联通畅通国内国际双循环，提升国际循环质量；加强技术创新、提高产品质量，增强竞争力；维护全球产业链供应链稳定畅通 | · 中国：贡献中国智慧、中国方案、中国力量
2026石景山二模Q18,2026_石景山_二模_Q18,8,3,entries_gt_seed:8>3,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础；当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：顺应经济全球化趋势，主动融入并推动深化；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；利用两个市场两种资源优化全球资源配置 | · 政治多极化：推动构建人类命运共同体
2024东城二模Q20,2024_东城_二模_Q20,7,4,entries_gt_seed:7>4;samegroup_term_not_in_raw:国际关系民主化,【同题组】  （本题7分） | · 政治多极化：推动国际关系民主化、和平解决国际争端 | · 中国：中国推动构建人类命运共同体；全球发展倡议：以发展促繁荣；全球安全倡议：以安全保稳定；全球文明倡议：以文明增互信；民心相通与文明互鉴 | · 联合国：维护《联合国宪章》宗旨和原则
2024丰台二模Q19,2024_丰台_二模_Q19,7,4,entries_gt_seed:7>4,【同题组】  （本题6分） | · 政治多极化：在平等互利基础上开展合作，实现互利共赢；共商共建共享的全球治理观；推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序；推动构建人类命运共同体 | · 中国：贡献中国智慧、中国方案、中国力量；南南合作与全球南方共同发展；中国是负责任大国并勇于担当
2024海淀一模Q18(1),2024_海淀_一模_Q18_1,7,2,entries_gt_seed:7>2,【同题组】  （本题6分） | · 经济全球化：促进全球资源优化配置和国际贸易发展；推进贸易和投资自由化便利化；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；提高开放型经济水平；发展更高层次开放型经济；利用两个市场两种资源优化全球资源配置；内外联通畅通国内国际双循环，提升国际循环质量
2024西城一模Q19(6),2024_西城_一模_Q19_6,7,4,entries_gt_seed:7>4,【同题组】 | · 理论：当前国际竞争的实质是以经济和科技实力为基础的综合国力较量 | · 经济全球化：利用两个市场两种资源优化全球资源配置；加强技术创新、提高产品质量，增强竞争力；积极参与全球经济治理和经贸规则完善；参与国际标准制定，提升国际规则话语权；我国的未来产业有非常广阔的国际市场，为未来产业“走出去”提供了可能；以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础
2025房山一模Q18(2),2025_房山_一模_Q18_2,7,2,entries_gt_seed:7>2,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：当前国际竞争的实质是以经济和科技实力为基础的综合国力较量 | · 经济全球化：提高开放型经济水平；以科学技术的发展推动建设创新型、开放型世界经济 | · 政治多极化：推动构建人类命运共同体 | · 中国：坚持正确义利观 | · 联合国：维护《联合国宪章》宗旨和原则
2025昌平二模Q21,2025_昌平_二模_Q21,7,6,entries_gt_seed:7>6,【同题组】  （本题8分） | · 经济全球化：推进贸易和投资自由化便利化；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局；提高开放型经济水平；利用两个市场两种资源优化全球资源配置；积极参与全球经济治理和经贸规则完善；参与国际标准制定，提升国际规则话语权
2026海淀一模Q20,2026_海淀_一模_Q20,7,5,entries_gt_seed:7>5,【同题组】  （本题8分） | · 经济全球化：中国扩大高水平对外开放与制度型开放；利用两个市场两种资源优化全球资源配置；加强技术创新、提高产品质量，增强竞争力；积极参与全球经济治理和经贸规则完善；参与国际标准制定，提升国际规则话语权；促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型 | · 政治多极化：推动国际秩序和全球治理体系更加公正合理
2026顺义一模Q21,2026_顺义_一模_Q21,7,1,entries_gt_seed:7>1,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 政治多极化：在平等互利基础上开展合作，实现互利共赢；推动构建人类命运共同体；促进共同发展、维护持久和平，共同推进现代化；践行真正的多边主义 | · 中国：贡献中国智慧、中国方案、中国力量；中国推动构建人类命运共同体
2024西城二模Q17,2024_西城_二模_Q17,6,1,entries_gt_seed:6>1,【同题组】 | · 理论：维护国家利益是主权国家对外活动的出发点和落脚点；当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；科教兴国战略与人才强国战略（人才与国际竞争力） | · 经济全球化：顺应经济全球化趋势，主动融入并推动深化 | · 政治多极化：世界多极化是当今国际形势的突出特点 | · 中国：贡献中国智慧、中国方案、中国力量
2025海淀期中Q16(2),2025_海淀_期中_Q16_2,6,1,entries_gt_seed:6>1,"【同题组】 | · 经济全球化：顺应经济全球化趋势，主动融入并推动深化；利用两个市场两种资源优化全球资源配置；加强技术创新、提高产品质量，增强竞争力；参与全球经济治理和规则制定，为企业出海营造国际环境；企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业""出海""营造良好的国际环境；维护全球产业链供应链稳定畅通"
2025西城一模Q18,2025_西城_一模_Q18,6,1,entries_gt_seed:6>1,【同题组】 | · 经济全球化：推进贸易和投资自由化便利化；提高开放型经济水平；利用两个市场两种资源优化全球资源配置；内外联通畅通国内国际双循环，提升国际循环质量；加强技术创新、提高产品质量，增强竞争力 | · 政治多极化：在平等互利基础上开展合作，实现互利共赢
2026西城二模Q19(1),2026_西城_二模_Q19_1,6,4,entries_gt_seed:6>4,【同题组】  （本题6分） | · 时代背景：和平与发展仍是时代主题 | · 政治多极化：共商共建共享的全球治理观；推动国际秩序和全球治理体系更加公正合理；推动构建人类命运共同体；推动国际关系民主化 | · 中国：展现大国责任担当
2024顺义思政二模Q19(2),2024_顺义_二模_Q19_2,4,3,entries_gt_seed:4>3,【同题组】  （本题8分） | · 理论：当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；维护国家利益是主权国家对外活动的出发点和落脚点 | · 政治多极化：世界多极化与全球南方联合自强 | · 中国：中国推动构建人类命运共同体
2025丰台一模Q20,2025_丰台_一模_Q20,4,2,entries_gt_seed:4>2;samegroup_term_not_in_raw:高水平对外开放,【同题组】 | · 经济全球化：推进贸易和投资自由化便利化；提高开放型经济水平；中国扩大高水平对外开放与制度型开放；内外联通畅通国内国际双循环，提升国际循环质量
2025西城一模Q21,2025_西城_一模_Q21,4,3,entries_gt_seed:4>3,【同题组】  （本题8分） | · 经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 | · 政治多极化：推动构建人类命运共同体 | · 中国：贡献中国智慧、中国方案、中国力量；理念蕴含普遍价值，能够形成共识、促成合作和发展、应对全人类共同问题和共同挑战
2026海淀二模Q20(2),2026_海淀_二模_Q20_2,4,1,entries_gt_seed:4>1,【同题组】 | · 时代背景：和平与发展仍是时代主题 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：共商共建共享的全球治理观；践行真正的多边主义
2026门头沟一模Q21,2026_门头沟_一模_Q21,4,3,entries_gt_seed:4>3,【同题组】  （本题10分） | · 经济全球化：互利共赢的开放战略 | · 政治多极化：推动构建人类命运共同体 | · 中国：中国是负责任大国并勇于担当；展现大国责任担当
2024东城一模Q20,2024_东城_一模_Q20,3,2,entries_gt_seed:3>2,【同题组】 | · 经济全球化：顺应经济全球化趋势，主动融入并推动深化；中国扩大高水平对外开放与制度型开放；利用两个市场两种资源优化全球资源配置
2025东城一模Q21,2025_东城_一模_Q21,2,1,entries_gt_seed:2>1,【同题组】  （本题10分） | · 理论：当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；科教兴国战略与人才强国战略（人才与国际竞争力）
2026通州期末Q21,2026_通州_期末_Q21,2,1,entries_gt_seed:2>1,【同题组】 | · 经济全球化：中国扩大高水平对外开放与制度型开放 | · 中国：坚持独立自主、自力更生，增强发展主动权
