question_id,changed_field,before_packet_text,after_prototype_text,change_type,answer_changed,status_changed,question_deleted,question_added,pairing_changed
Q-2026东城一模-19-4,整体结构,"细则046 同时要求体现系统观念 + 创新思维;A-formal确认。","转化为""系统观念 + 创新思维并行采分""教学语言;材料""0→1原始突破+把1拉长系统跃升""完整保留。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2026朝阳期中-20,整体结构,"细则003 矛盾分析法 + 整体性思维 + 动态性思维;A-formal确认。","转化为""辩证思维 = 矛盾对立统一(机遇与挑战) + 整体性统筹全局 + 动态性主动应变""教学语言;同类题 Q-2026顺义一模-3 仅作 ID 引用。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2026朝阳期中-21-2,整体结构,"细则003 联想 / 发散 / 聚合 / 逆向四种创新思维;A-formal确认。","转化为""联想拓展价值(冷资源→热经济)+ 发散与聚合整合业态(历史 + 数字 + 社群)+ 逆向创造差异(传统物理空间→柔性业态)""教学动作。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024朝阳一模-20-1,整体结构 + 规则口诀短句化,"细则31 推理类型 1 分 + 理由 ""前真后必真,后假则前假"" 2 分;A-formal确认。","转化为""先指出推理类型(充分条件假言推理),再用前真后必真后假则前假作为推理理由""教学语言;1+2 分赋分隐入语言。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024朝阳一模-20-2,整体结构,"细则31 必要条件假言推理示例 ""只有A区域古代气候温暖,A区域古代才有可能生长竹子"" + 时间限定锁定;A-formal确认。","转化为""识别必要条件→只有...才...→保留古代/当时→避漏写""教学动作;时间词漏写扣 1 分锁定不变。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024朝阳期中-7,整体结构,"020细则.rtf答案表(Q7=B);来源例题 020_..._试卷.pdf::Q7。","转化为""中项'北京中轴线'周延,推理有效,正确选项 B"";不引用 020 / .rtf / .pdf 路径。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024西城一模-19-2,整体结构,"细则025 下定义结构标准答案 ""举国体制 + 是 + 利用国家力量动员规模性资源实现国家目标(种差) + 一种任务组织方式和体制机制安排(邻近属)"";A-formal确认。","转化为""被定义项 + 联结词 + 种差 + 邻近属""教学语言;具体内容完整保留。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024西城一模-19-3,整体结构,"细则025 ""相容,或属种""(1分);A-formal确认。","转化为""属种(亦称包含/相容)关系"";1 分赋分隐入语言。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024西城一模-19-5,整体结构,"细则025 六点 + 附补""强调实践 + 1分,超前思维,内外矛盾"";A-formal确认。","转化为""以实践为导向调研→把握状况因果规律→善用矛盾分析(内外矛盾)→运用推理与想象由过去现在推未来→超前思维""链。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025东城期末-13,整体结构,"012试卷::故选B(Q13);来源例题 012_..._试卷.pdf。","转化为""正确选项 B,理由①与③均犯中项不周延""教学语言;不引用 012 路径。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025西城二模-16-2,整体结构,"risk_note ""A/B conflict resolved by sub-question split; 16(2) is reasoning""。","转写为""子问拆分后 16(2) 归推理""教学语言;不暴露 A/B/lane 字眼。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025顺义一模-7,整体结构,"036顺义参考答案::Q7=A;rubric_confirmed。","转化为""正确选项 A,理由 A 选项对小项不当扩大的描述本身存在错误""教学语言;不引用 036 路径。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2026丰台一模-18-2,解题动作(answer_action),"Phase07 patch freeze 锁定:""先识别甲为必要条件假言推理的肯定后件式，并结合前提真实判定甲推理正确；再识别乙为三段论大项在前提中不周延却在结论中周延，属于大项不当扩大，判定乙推理错误。"";answer_locator ""answer_confirmed_甲正确乙错误_from_043_slide35_36_rubric""。","解题动作一字不改保留;answer_locator 仅在审计行保留;不进入正文。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2026通州期末-19-2,整体结构,"细则006 充分条件假言 + 必要条件假言两种推理结构正误判断;A-formal确认。","转化为""推理①肯前式合规有效;推理②若仅由肯前推后则结构错误,推理无效""教学语言。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024朝阳二模-19-1,双挂载组织 + 表述减重复,"thinking 与 reasoning 两份 CSV 各自直陈;risk_note 锁定 1+2 空对应""动态性 / 类比推理""(无变通);A-formal确认。","统一""主挂载推理(类比推理 + 联言判断辅助) + 次挂载思维(辩证思维·动态性)""双段;两个填空答案锁定不变;不删任一挂载。",wording_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024朝阳二模-19-2,双挂载组织 + 联言保真表述,"细则022 联言判断本身 2 分 + 保真条件 3 分:全真才真/一假即假;A-formal确认。","转化为""联言判断本身 + 保真条件全真才真/一假即假""教学动作;思维次挂载延续 19(1)动态性。",wording_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024朝阳期中-9,双挂载组织,"thinking 可写思维方法 ""思维抽象;思维具体"" + reasoning primary_reasoning_type ""归纳;推理"" + rule_slogan ""归纳推理_共变法""。","主挂载推理(归纳·共变法) + 次挂载思维(思维抽象 / 思维具体)统一组织;同类题中 Q-2024西城一模-11 仅作 ID 引用,不展开 B=①③ 修正配对。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2026顺义一模-19-1,双挂载组织,"thinking 与 reasoning 各自直陈;rule_slogan ""三段论(前提真实性+结构正确性)""。","主挂载推理(三段论两条件) + 次挂载思维(科学思维客观性);同题 19(2)互为参照,禁止单挂。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2026顺义一模-19-2,双挂载组织,"reasoning primary_reasoning_type 字段为""三段论;判断;推理"";rule_slogan 实际是""科学思维三特征""。","不重新归类(保留 phase07 输入特征);展示为""主挂载:推理结构与科学思维三特征联结;次挂载:科学思维""双挂载;同题 19(1)互为参照,禁止单挂。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
