section,item_id,name,看到什么,必须同时满足什么条件,正确答法,不能进入/禁止误判,正式支撑题,恢复支撑题,开放参考题,待回源题,边界提醒
B_材料分诊,B4,平台用工事实劳动关系,材料出现合作协议、平台派单、签到、奖惩、结算、业务组成,必须同时能看出人格从属性、经济从属性、组织从属性中的主要事实,不看协议名称，按三从属性认定事实劳动关系，再写劳动权益和典型意义,禁止命中普通合同题、消费者题、知识产权题,CC0025_2024_朝阳_二模_17,,CC0162_2025_海淀_一模_18,CC0195_2025_西城_一模_20,只有“平台”二字不够，必须有管理控制和报酬结算
B_材料分诊,B5,合同成立/履行/违约,材料出现报价内容具体明确、中标通知、承诺到达、拒不履行或格式条款效力,必须能完整判断合同是否成立/有效/履行，不是所有协议都算合同主轴,要约/承诺 -> 合同成立或效力 -> 全面履行/诚信原则 -> 违约责任,禁止把平台用工合作协议、好意同乘、普通诉讼都塞进合同,CC0054_2024_石景山_一模_17;CC0200_2025_西城_二模_18,,,CC0317_2026_海淀_期中_18,合同题先判成立/效力，再谈责任；别一上来写诚信
B_材料分诊,B6,消费者欺诈/惩罚性赔偿,材料出现消费者、经营者虚假宣传/隐瞒/隐蔽搭售/无法清楚知悉或有效拒绝,必须有消费者关系和欺诈或权利受损事实；三倍赔偿必须有欺诈条件,知情权/自主选择权/公平交易权 -> 欺诈或虚假宣传 -> 撤销/退赔/惩罚性赔偿,禁止命中平台用工三从属性；禁止只写诚信经营,CC0143_2025_朝阳_一模_19,CC0305_2026_海淀_一模_18_3,,CC0019_2024_朝阳_一模_19;CC0180_2025_海淀_期末_20,三倍赔偿别乱套，必须是消费者+经营者欺诈
B_材料分诊,B7,知假买假/食品安全边界,材料出现购买不合格食品、首单合理维权、后续扩大购买牟利,必须能区分正常消费维权和滥用权利边界,首单保护消费者权益；后续超出生活消费需要的知假买假不当然支持,不能把所有食品安全题都机械写三倍赔偿到底,CC0063_2024_西城_二模_16,,,,这是消费者保护和诚信边界题
B_材料分诊,B8,知识产权/技术秘密/不正当竞争,材料出现作品、图片、商标、专利、技术秘密、离职人员带技术、未经许可使用、混淆、抢注、商业诋毁,必须先判权利对象，再判侵害方式；创新价值只能在规则之后写,权利对象 -> 未经许可/不正当手段/混淆抢注 -> 责任 -> 创新和公平竞争价值,禁止只有“创新”就写知识产权；禁止把生态技术应用题当知产侵权,CC0103_2025_丰台_一模_19;CC0131_2025_房山_一模_19;CC0137_2025_昌平_二模_20,,CC0040_2024_海淀_一模_19;CC0353_2026_西城_期中_17,CC0283_2026_朝阳_一模_18;CC0319_2026_海淀_期中_19,知产题不怕写价值，但价值必须从权利保护和责任机制推出
B_材料分诊,B9,人格权/隐私/名誉/个人信息/人身权,材料出现隐私、聊天记录、摄像头、肖像名誉、身体健康、高空抛物坠物,必须能说出具体权利名和侵害方式,权利名 -> 侵害行为 -> 责任方式/保护路径；高空抛坠物注意举证规则,禁止泛写人格尊严；禁止把摄像头题写成治安管理,CC0289_2026_朝阳_二模_18,CC0305_2026_海淀_一模_18_3,,CC0084_2025_东城_二模_19,先叫准权利名，再谈保护
B_材料分诊,B10,相邻关系/物权边界,材料出现通行、通风、采光、加装电梯、业主规约、恢复原状,必须是相邻不动产权利或物权使用边界，不是普通邻里道德,有利生产/方便生活/团结互助/公平合理 -> 材料事实 -> 停止侵害/恢复原状/协商,禁止写成社区治理套话或必修三基层自治,CC0340_2026_西城_一模_17;CC0289_2026_朝阳_二模_18,,,CC0364_2026_通州_期中_19_1,相邻题要落在具体妨碍，不要只喊和谐邻里
B_材料分诊,B11,家庭继承/养老赡养,材料出现遗赠扶养协议、老人养老、子女赡养、告知书督促履行,必须有家庭身份关系或扶养/赡养/继承法律事实,协议效力/赡养义务 -> 材料事实 -> 老年权益保护和家庭文明价值,禁止只写传统美德；禁止把遗产争议写成普通合同,CC0061_2024_西城_一模_18,CC0045_2024_海淀_二模_19,,CC0051_2024_海淀_期中_21_1,家庭题不是道德作文，先有法定义务或协议效力
B_材料分诊,B12,劳动竞业/平等就业,材料出现竞业限制、商业秘密、高管/员工离职、普通员工就业、招聘限性别,必须区分企业商业秘密保护与劳动者就业权；竞业限制不得过度,合法适度保护商业秘密/知识产权，同时保障劳动者平等就业和自主择业,禁止把竞业限制直接写成不正当竞争；禁止忽略劳动者权益,CC0181_2025_海淀_期末_21,CC0373_2026_顺义_一模_18,,CC0119_2025_丰台_期末_19,竞业题核心是平衡，不是单向保护企业
B_材料分诊,B13,未成年人校园欺凌惩教并行,材料出现校园欺凌、未成年人违法、行政处罚、监护教育,必须有未成年人违法和保护教育并重事实,法律责任 -> 教育矫治 -> 未成年人保护和社会秩序,禁止只写严惩；禁止只写教育感化,,CC0332_2026_石景山_二模_19,,,惩和教要并行，不是二选一
C_禁止误判表,C1,有合同字样但不是合同题,材料出现协议、合作、约定,必须能判断合同成立/效力/履行；若实质是劳动管理或无偿帮忙，不走合同主轴,先看真实关系，再决定是否合同,把平台用工合作协议、好意同乘、遗赠扶养全部塞进合同,CC0025_2024_朝阳_二模_17;CC0002_2024_丰台_一模_17,,,,协议名不是法律关系本身
C_禁止误判表,C2,有平台字样但不是劳动题,材料出现平台、网络、App,必须有派单、签到、奖惩、结算、业务组成等劳动从属性事实,有三从属性才写劳动；否则按消费者/侵权/知产等真实事实分诊,把机票代销平台消费者欺诈写成平台用工,CC0143_2025_朝阳_一模_19,,,,平台不是劳动关系自动按钮
C_禁止误判表,C3,有法院字样但不是必修三题,材料出现法院、判决、司法,设问若要求《法律与生活》或具体私法规则，先写具体权利义务责任,私法规则优先，价值放后面,一见法院就写公正司法、司法为民,CC0002_2024_丰台_一模_17;CC0143_2025_朝阳_一模_19;CC0254_2026_丰台_二模_18,,,,法院只是载体，得分通常在私法规则
C_禁止误判表,C4,有企业字样但不是经济生活,材料出现企业、经营、市场,筛是否问经营措施还是法律责任/权利保护,问法律责任就写权利义务、侵权违约、不正当竞争,写企业经营战略、市场调节、宏观调控,CC0103_2025_丰台_一模_19;CC0131_2025_房山_一模_19,,,,企业材料也可以是法律题
C_禁止误判表,C5,有创新字样但不能只写保护创新,材料出现创新、科技、新质生产力,必须有知识产权、技术秘密、惩罚性赔偿、恶意诉讼等法律事实,先规则后创新价值,只写激发创新活力，不写权利对象和侵害方式,CC0103_2025_丰台_一模_19;CC0131_2025_房山_一模_19;CC0137_2025_昌平_二模_20,,,,创新价值是结尾，不是主干
C_禁止误判表,C6,有消费者字样但不能乱写三倍赔偿,材料出现消费者、购买、服务,必须有经营者欺诈或法律规定的惩罚性赔偿条件,先判断权利和欺诈，再决定退赔/惩罚性赔偿,所有消费纠纷都写三倍赔偿,CC0143_2025_朝阳_一模_19;CC0063_2024_西城_二模_16,CC0305_2026_海淀_一模_18_3,,,三倍赔偿是条件句，不是万能句
C_禁止误判表,C7,有法治字样但不能裸写全面依法治国,设问有法治价值、法治意义、依法保护,必须有具体规则保护谁、规范谁、救济谁,规则-材料-价值三段写,开头结尾全是全面依法治国套话,CC0011_2024_丰台_二模_17;CC0131_2025_房山_一模_19;CC0340_2026_西城_一模_17,,,,法治价值要从具体民事规则长出来
