node_id,类型,框架点,核心题支撑,核心题数量,OPEN_OR_REFERENCE,缺源/边界题,备注
M05,材料触发,知识产权/商业秘密/不正当竞争,2025丰台一模__Q19;2025房山一模__Q19;2025西城期末__Q19;2026东城一模__Q18;2026朝阳一模__Q18;2025石景山一模__Q20;2025昌平二模__Q20,7,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M06,材料触发,人格权/隐私/名誉/AI著作权,2025东城二模__Q19;2025顺义一模__Q19;2025昌平二模__Q20;2025朝阳二模__Q20,4,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M07,材料触发,民事行为能力/未成年人保护,2025东城二模__Q19,1,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M08,材料触发,物权/相邻关系/绿色原则,2025朝阳二模__Q20;2026西城一模__Q17;2025顺义一模__Q19,3,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M09,材料触发,继承/遗赠扶养/赡养,2024海淀二模__Q19;2024西城一模__Q18;2025东城一模__Q19,3,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M10,材料触发,纠纷解决机制/调解/仲裁/诉讼/举证,2025顺义一模__Q19;2024朝阳二模__Q17;2026石景山一模__Q18;2025东城一模__Q19;2026朝阳一模__Q18,5,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M11,材料触发,数据/数字经济立法/法治在新业态中的作用,2025东城一模__Q17,1,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F01,反向筛,法院 ≠ 公正司法,2024朝阳二模__Q17;2024海淀二模__Q19;2024西城一模__Q18;2025东城一模__Q17;2025东城一模__Q19;2025东城二模__Q19;2025丰台一模__Q19;2025房山一模__Q19;2025昌平二模__Q20;2025朝阳一模__Q19;2025朝阳二模__Q20;2025海淀期中__Q21;2025石景山一模__Q20;2025西城期末__Q19;2025顺义一模__Q19;2026东城一模__Q18;2026朝阳一模__Q18;2026石景山一模__Q18;2026西城一模__Q17,19,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F02,反向筛,平台 ≠ 自动认定劳动关系,2024朝阳二模__Q17,1,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F03,反向筛,消费者纠纷 ≠ 一律退一赔三,2025朝阳一模__Q19,1,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F04,反向筛,知识产权侵权 ≠ 一律不正当竞争,2025丰台一模__Q19;2025房山一模__Q19;2025西城期末__Q19,3,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F05,反向筛,意义 ≠ 裸价值口号,2025房山一模__Q19;2024海淀二模__Q19,2,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F06,反向筛,继承 ≠ 子女均分,2024海淀二模__Q19;2025东城一模__Q19,2,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F07,反向筛,相邻关系 ≠ 物权之争,2025朝阳二模__Q20;2026西城一模__Q17;2025顺义一模__Q19,3,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F08,反向筛,案例 ≠ 法考题,2024朝阳二模__Q17;2024海淀二模__Q19;2024西城一模__Q18;2025东城一模__Q17;2025东城一模__Q19;2025东城二模__Q19;2025丰台一模__Q19;2025房山一模__Q19;2025昌平二模__Q20;2025朝阳一模__Q19;2025朝阳二模__Q20;2025海淀期中__Q21;2025石景山一模__Q20;2025西城期末__Q19;2025顺义一模__Q19;2026东城一模__Q18;2026朝阳一模__Q18;2026石景山一模__Q18;2026西城一模__Q17,19,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F09,反向筛,法律 ≠ 必修三政治与法治,2024朝阳二模__Q17;2024海淀二模__Q19;2024西城一模__Q18;2025东城一模__Q17;2025东城一模__Q19;2025东城二模__Q19;2025丰台一模__Q19;2025房山一模__Q19;2025昌平二模__Q20;2025朝阳一模__Q19;2025朝阳二模__Q20;2025海淀期中__Q21;2025石景山一模__Q20;2025西城期末__Q19;2025顺义一模__Q19;2026东城一模__Q18;2026朝阳一模__Q18;2026石景山一模__Q18;2026西城一模__Q17,19,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
F10,反向筛,平台经济 ≠ 经济与社会,2025东城一模__Q17;2025朝阳一模__Q19,2,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
