question_id,suite,qno,subq,decision,reason,category,evidence_level,paper_file,rubric_file,card_file
2025东城一模__Q19,2025东城一模,19,0,core_candidate,explicit law cue + formal rubric,"合同, 婚姻/继承/监护, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,source_lock_cards/2025东城一模__Q19__sub0.md
2025东城二模__Q19,2025东城二模,19,0,core_candidate,explicit law cue + formal rubric,"合同, 消费者, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,source_lock_cards/2025东城二模__Q19__sub0.md
2025东城期末__Q19,2025东城期末,19,1,core_candidate,explicit law cue + formal rubric,"物权/相邻关系/绿色原则, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,source_lock_cards/2025东城期末__Q19__sub1.md
2025丰台一模__Q19,2025丰台一模,19,0,core_candidate,explicit law cue + formal rubric,"合同, 知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,source_lock_cards/2025丰台一模__Q19__sub0.md
2025丰台期末__Q19,2025丰台期末,19,0,deferred,no rubric found,"合同, 劳动/平台用工, 纠纷解决, 法律意义/规则",missing,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,,source_lock_cards/2025丰台期末__Q19__sub0.md
2025延庆一模__Q19,2025延庆一模,19,0,deferred,no rubric found,"消费者, 劳动/平台用工, 纠纷解决, 法律意义/规则",missing,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,,source_lock_cards/2025延庆一模__Q19__sub0.md
2025房山一模__Q19,2025房山一模,19,0,core_candidate,explicit law cue + formal rubric,"知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,source_lock_cards/2025房山一模__Q19__sub0.md
2025昌平二模__Q20,2025昌平二模,20,2,core_candidate,explicit law cue + formal rubric,"劳动/平台用工, 知识产权/不正当竞争, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,source_lock_cards/2025昌平二模__Q20__sub2.md
2025昌平二模__Q21,2025昌平二模,21,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,,
2025朝阳一模__Q19,2025朝阳一模,19,0,core_candidate,explicit law cue + lecture-explicit scoring,"消费者, 劳动/平台用工, 纠纷解决, 法律意义/规则",lecture_explicit_scoring,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结19题 合同欺诈  阐释论证.doc,source_lock_cards/2025朝阳一模__Q19__sub0.md
2025朝阳二模__Q18,2025朝阳二模,18,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,,
2025朝阳二模__Q20,2025朝阳二模,20,1,core_candidate,explicit law cue + formal rubric,"物权/相邻关系/绿色原则, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,source_lock_cards/2025朝阳二模__Q20__sub1.md
2025朝阳期末__Q20,2025朝阳期末,20,0,reference_candidate,reference-only answer; no formal rubric,"知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",reference_only,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/其他材料/朝阳高三期末2025.pptx,source_lock_cards/2025朝阳期末__Q20__sub0.md
2025海淀一模__Q18,2025海淀一模,18,0,deferred,no rubric found,"合同, 劳动/平台用工, 纠纷解决, 法律意义/规则",missing,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,,source_lock_cards/2025海淀一模__Q18__sub0.md
2025海淀期中__Q16,2025海淀期中,16,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,,
2025海淀期中__Q21,2025海淀期中,21,1,core_candidate,explicit law cue + formal rubric,"婚姻/继承/监护, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,source_lock_cards/2025海淀期中__Q21__sub1.md
2025海淀期末__Q21,2025海淀期末,21,0,deferred,no rubric found,"合同, 劳动/平台用工, 纠纷解决, 法律意义/规则",missing,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,,source_lock_cards/2025海淀期末__Q21__sub0.md
2025石景山一模__Q20,2025石景山一模,20,0,core_candidate,explicit law cue + formal rubric,"合同, 消费者, 劳动/平台用工, 知识产权/不正当竞争, 侵权/多主体/好意同乘",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,source_lock_cards/2025石景山一模__Q20__sub0.md
2025西城二模__Q19,2025西城二模,19,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,,
2025西城期末__Q19,2025西城期末,19,0,core_candidate,explicit law cue + formal rubric,"知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,source_lock_cards/2025西城期末__Q19__sub0.md
2025门头沟一模__Q20,2025门头沟一模,20,0,deferred,no rubric found,"合同, 劳动/平台用工, 知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",missing,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,,source_lock_cards/2025门头沟一模__Q20__sub0.md
2025顺义一模__Q19,2025顺义一模,19,1,deferred,no rubric found,"侵权/多主体/好意同乘, 纠纷解决, 法律意义/规则",missing,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,,source_lock_cards/2025顺义一模__Q19__sub1.md
2025顺义一模__Q19,2025顺义一模,19,2,core_candidate,explicit law cue + formal rubric,"侵权/多主体/好意同乘, 纠纷解决",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,source_lock_cards/2025顺义一模__Q19__sub2.md
2025顺义一模__Q21,2025顺义一模,21,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,,
2026东城一模__Q18,2026东城一模,18,0,core_candidate,explicit law cue + formal rubric,"知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/补充材料/26东城一模细则.pdf,source_lock_cards/2026东城一模__Q18__sub0.md
2026东城期末__Q17,2026东城期末,17,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,,
2026东城期末__Q19,2026东城期末,19,0,core_candidate,explicit law cue + formal rubric,法律意义/规则,formal,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,source_lock_cards/2026东城期末__Q19__sub0.md
2026朝阳一模__Q18,2026朝阳一模,18,0,core_candidate,explicit law cue + formal rubric,"知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,source_lock_cards/2026朝阳一模__Q18__sub0.md
2026朝阳期中__Q19,2026朝阳期中,19,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,,
2026海淀期末__Q18,2026海淀期末,18,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,,
2026石景山一模__Q18,2026石景山一模,18,0,core_candidate,explicit law cue + formal rubric,"消费者, 劳动/平台用工, 知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",formal,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,source_lock_cards/2026石景山一模__Q18__sub0.md
2026西城一模__Q17,2026西城一模,17,0,core_candidate,explicit law cue + formal rubric,"物权/相邻关系/绿色原则, 法律意义/规则",formal,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,source_lock_cards/2026西城一模__Q17__sub0.md
