audit_id,line,entry_type,section,source,year,district,stage,question,question_nature,evidence_grade_initial,grade_reason,bundle_path,bundle_state,trigger_hit_count_in_bundle,trigger_hit_terms_in_bundle,review_status,material,trigger,logic,suite_name,question_no_norm,covered_by_v6_question_number,present_by_suite_question_in_v7,quality_gate
V3-FW-0072,392,label4,联系的普遍性 / 联系的观点（总）,2025北京朝阳高三（上）期末 第22题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第22题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,found,1,系统观念,rubric-source-review,细则要求坚持系统观念，为整体性推进党和国家各项事业提供科学思想方法。,整体与部分 / 系统观念,谱写马克思主义中国化时代化新篇章，不是某个领域单点更新，而是服务党和国家事业整体推进。评分细则把“系统观念”设为给分点，说明材料要求从整体性、结构性和协同性上把握理论创新的作用。,2025朝阳期末,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0079,420,label4,联系的普遍性 / 联系的观点（总）,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,2,联系的观点;系统优化,rubric-source-review,桑基鱼塘把桑、蚕、鱼、塘、生态景观、产业融合、乡村振兴和文化研学组织成一个相互支撑的系统。,联系的观点 / 整体与部分 / 系统优化,阅卷细则明确写到“事物是普遍联系的”“桑基鱼塘各要素构成了相互联系的系统”，并在评分口径中列出“联系的观点、立足整体、系统优化”。材料的关键不在单个鱼塘，而在多要素循环共生、功能协同，因此应补入联系与系统栏目。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0087,455,label4,发展的观点 / 发展的普遍性,2025北京朝阳高三（上）期末 第22题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第22题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,found,1,发展的观点,rubric-source-review,“实践没有止境，理论创新也没有止境”，习近平新时代中国特色社会主义思想必须长期坚持并不断丰富发展。,发展的观点,材料直接把理论创新写成不断推进的历史过程，说明马克思主义中国化时代化不是一次完成，而是随着时代课题和实践要求持续发展。评分细则中的“坚持用发展的观点看待理论创新”正由此触发。,2025朝阳期末,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0091,471,label4,发展的观点 / 发展的普遍性,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,1,发展的观点,rubric-source-review,桑基鱼塘穿越千年，随时代发展不断创新，从传统农业系统延展到生态景观、产业融合、乡村振兴和文化研学。,发展的观点,题目问“两千多岁的桑基鱼塘为何仍未老”，本身就是发展过程题。阅卷细则把“基于辩证法说明桑基鱼塘的发展过程”列为哲学层面，明确可用发展的观点。材料要求看到传统系统不是静止保存，而是在新时代不断生成新功能和新价值。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0096,493,label4,发展的观点 / 发展的普遍性,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,1,适度原则,angle-list-review,毛泽东强调任何质量都表现为一定的数量，没有数量也就没有质量；要注意基本统计、主要百分比和决定事物质量的数量界限。,量变与质变 / 适度原则,材料直接把“质量”和“数量界限”并置，要求学生看到数量变化对事物性质的影响。基本统计和百分比是量的把握，数量界限对应“度”，不懂“数”就容易越过界限而犯错，因此稳定触发量变质变及适度原则。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0107,541,label4,发展的观点 / 发展的普遍性,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,1,辩证否定,rubric-source-review,桑基鱼塘保留传统生态农业系统的科学内核，同时通过产业融合、生态景观、文化研学等新形式服务乡村振兴。,辩证否定 / 守正创新,阅卷细则在辩证法层面列出“辩证否定等”。桑基鱼塘“未老”的原因不是原封不动，而是在保留生态循环和农业智慧的基础上更新功能形态，实现传统农业资源的创造性利用，因此可稳定补入辩证否定栏目。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0130,636,label4,矛盾就是对立统一,2024北京丰台高三二模 第20题（丰台政治二模阅卷评标.docx）,2024,丰台,二模,第20题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024丰台二模.md,found,0,,angle-list-review,统筹发展和安全要求在不同时期处理革命与生产、国防与建设、改革发展稳定、国家安全与发展全局之间的关系。,矛盾就是对立统一 / 全面观点,评标说明第20题可从辩证法角度作答，水平4要求多个角度阐释完整。材料中的发展与安全不是二选一：安全为发展提供条件，发展又为安全提供基础；片面强调任何一端都会影响国家兴衰，因此应补入矛盾对立统一和全面观点。,2024丰台二模,20,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0134,656,label4,矛盾就是对立统一,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,1,矛盾的特殊性,rubric-source-review,评分标准要求分析矛盾的特殊性，精准分析工作中的“数”。,矛盾的特殊性 / 具体问题具体分析,不同工作、不同治理场景中的“数”并不相同，不能用一个固定数字机械套用。材料强调基本统计、主要百分比、计划方案，说明要根据具体问题确定具体数量界限和方案，因此触发具体问题具体分析。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0135,660,label4,矛盾就是对立统一,2025北京朝阳高三（上）期末 第22题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第22题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,found,1,具体问题具体分析,rubric-source-review,评分细则要求坚持问题导向，不断提出真正解决问题的新理念新思路新办法；坚持具体问题具体分析，回答重大时代课题。,矛盾的特殊性 / 具体问题具体分析,马克思主义中国化时代化不是抽象重复一般原理，而是面对国内外形势新变化、实践新要求和党治国理政的重大时代课题作出具体回答。材料以“新变化、新要求、重大时代课题”为触发点，导向具体问题具体分析。,2025朝阳期末,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0139,676,label4,矛盾就是对立统一,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,1,具体问题具体分析,rubric-source-review,桑基鱼塘因地制宜形成，并在新时代根据当地生态、产业和文化资源进行保护利用。,具体问题具体分析,细则在“事物发展有其规律”后括注“坚持一切从实际出发/具体问题具体分析”，讲评逻辑也把“因地制宜”列为情境抓手。桑基鱼塘的价值必须放回具体自然条件、生产方式和乡村振兴场景中理解，因此应补入具体问题具体分析栏目。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0140,680,label4,矛盾就是对立统一,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,2024,西城,二模,第18题第（4）问,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024西城二模.md,found,1,矛盾的特殊性,rubric-source-review,我国传统村落从豫西地坑院到湘西吊脚楼、客家围屋、开平碉楼，形态多样，风俗习惯和方言乡音各具特色。,矛盾的特殊性 / 具体问题具体分析,答案细则明确列出“矛盾特殊性”。推动乡村文化振兴不能用同一个景观模板改造所有村落，而要看到不同村落在空间形态、历史记忆、民俗传统和现实冲击上的差异，因村制宜地保护、转化和发展。,2024西城二模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0148,728,label4,矛盾就是对立统一,2024北京朝阳高三一模 第16题（2024朝阳一模政治评标.pptx）,2024,朝阳,一模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024朝阳一模.md,found,0,,rubric-source-review,“接受人民监督”主要依靠人民群众和民主制度，从党外施加影响；“勇于自我革命”强调党自身全面从严治党、自我净化、自我完善、自我革新、自我提高。,内外因 / 矛盾分析法,评标细则把“外因”和“内因”作为可给分角度。两者都服务党跳出历史周期率，但作用来源不同：人民监督是外部推动，自我革命是内部动力。材料要求区分二者又说明其联系，因此应把内外因作为矛盾分析中的显性挂点。,2024朝阳一模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0150,739,label4,实践与认识（总）,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,1,实践与认识,rubric-source-review,评分标准把“数从哪里来”对应到实践，并指出“数”不是凭空而来，而是通过实践、调查研究获得。,实践与认识,材料先追问“数从哪里来”，再把答案落到实践和实际调查，说明对情况和问题的数量认识必须来自实践。随后又要求用“数”做计划、定方案，形成实践与认识双向作用的链条。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0151,743,label4,实践与认识（总）,2025北京朝阳高三（上）期末 第22题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第22题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,found,0,,rubric-source-review,材料写“实践没有止境，理论创新也没有止境”，评分细则要求坚持实践观点，推进实践基础上的理论创新，以新的理论指导新的实践。,实践与认识,理论创新的起点是国内外形势新变化和实践新要求，形成的新理论又要指导新的实践。材料完整呈现“实践提出问题—理论创新回应—理论再指导实践”的链条，因此稳定触发实践与认识关系。,2025朝阳期末,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0159,777,label4,实践是认识的基础,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,0,,angle-list-review,“胸中有‘数’”中的“数”要通过实践获得，只有关注实际进行调查研究，才能获得对“数”的正确认识。,实践是认识的基础,“数”作为对情况和问题的认识，不是头脑中自生的，而是在调查研究和治理实践中形成。材料把“数从哪里来”直接落到实践，构成实践是认识来源的稳定触发。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0176,849,label4,认识发展原理,2024北京丰台高三二模 第20题（丰台政治二模阅卷评标.docx）,2024,丰台,二模,第20题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024丰台二模.md,found,0,,angle-list-review,我们党在不同历史时期都高度重视统筹发展和安全，革命、建设、改革和新时代的实践反复证明，能否统筹好发展和安全关系国家兴衰、历史走向。,认识发展原理 / 实践推动认识深化,评标说明可从认识论角度作答。材料不是抽象给出一个结论，而是用不同历史时期的实践经验说明党对发展安全关系的认识不断深化；“历史反复证明”提示认识来源于实践检验，并随治国理政实践推进而发展。,2024丰台二模,20,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0178,859,label4,认识对实践的反作用,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,1,认识对实践的反作用,angle-list-review,在工作生活中做计划、定方案，在国家治理中看大数、看长远，都离不开“胸中有数”的工作方法。,认识对实践的反作用,掌握“数”不是为了停留在认识层面，而是为了减少决策和指导中的盲目性与随意性。材料把数量认识和计划方案、国家治理连接起来，说明正确认识能反过来指导实践。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0179,863,label4,认识对实践的反作用,2025北京朝阳高三（上）期末 第22题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第22题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,found,0,,rubric-source-review,评分细则要求推进实践基础上的理论创新，以新的理论指导新的实践。,认识对实践的反作用,习近平新时代中国特色社会主义思想作为重大理论创新，不只是解释时代课题，还要指导党和国家事业发展。材料明确从“理论创新”转向“指导新的实践”，因此稳定触发认识对实践的反作用。,2025朝阳期末,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0189,912,label4,改革,2025北京石景山高三一模 第21题（石景山 高三政治评分细则.doc）,2025,石景山,一模,第21题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025石景山一模.md,found,1,改革的实质,rubric-source-review,进一步全面深化改革进入攻坚期和深水区，党坚持“不立不破、先立后破”，破除旧观念旧体制，确立新理念新机制，推动制度更加成熟定型。,改革的实质 / 社会基本矛盾运动,评分细则把改革实质、全面深化改革总目标和社会发展规律列为可用模块。进一步全面深化改革不是抽象口号，而是通过调整不适应生产力发展的生产关系、完善不适应经济基础的上层建筑，把制度优势转化为治理效能，因此应正式补入改革栏目。,2025石景山一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0190,916,label4,改革,2024北京东城高三一模 第18题第（1）问（2024东城一模政治评标1.pptx）,2024,东城,一模,第18题第（1）问,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,1,改革,angle-list-review,北京出台科研项目经费“包干制”、技术攻关“揭榜挂帅”等政策，推动科技体制改革并服务新质生产力发展。,改革 / 生产关系适应生产力 / 上层建筑反作用,评标 PPT 明确指出科技体制改革推动形成与新质生产力相适应的生产关系，以体制机制创新带动科技创新。材料表明改革的落点在于解决生产力发展对制度机制提出的新要求，因此改革栏目不能继续空置。,2024东城一模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0193,930,label4,人民群众,2025北京丰台高三（上）期末 第17题（丰台期末细则.pptx）,2025,丰台,期末,第17题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,2,人民群众是历史的创造者;群众观点,rubric-source-review,“人民城市人民建，人民城市为人民”，评分细则在理论层面给出“人民群众是历史的创造者/群众观点”等角度；材料写居民参与社区微更新、市民众创空间、民间湖长参与生态保护和监督。,人民群众是历史的创造者 / 群众观点,材料不是只写政府建设城市，而是反复强调人民参与规划、建设和治理。城市发展依靠人民、服务人民，评分细则也把人民主体地位设为给分点，因此稳定触发人民群众观点。,2025丰台期末,17,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0195,938,label4,人民群众,2025北京朝阳高三（上）期末 第22题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第22题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,found,2,人民群众;人民立场,rubric-source-review,评分细则要求坚持人民至上，站稳人民立场、把握人民愿望、尊重人民创造、集中人民智慧。,人民群众 / 人民立场,马克思主义中国化时代化要回答党和国家事业发展的重大课题，而这些课题最终指向人民利益和人民实践。细则把人民立场、人民愿望、人民创造和人民智慧连成一组，说明理论创新必须以人民群众为主体和根基。,2025朝阳期末,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0199,954,label4,人民群众,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,2,人民群众;群众观点,rubric-source-review,桑基鱼塘来自群众生产实践，又通过乡村振兴、文化研学、生态保护等方式服务人民福祉，满足人民对美好生活的追求。,人民群众 / 群众观点,阅卷总结明确写到“人民是历史的创造者，是社会的主体”，评分口径列出“人民主体地位、群众观点”。桑基鱼塘千年未老，不只是因为技术系统有效，更因为它产生于人民实践、服务人民生活并在人民需要中延续发展，因此应补入人民群众栏目。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0200,958,label4,人民群众,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,2024,西城,二模,第18题第（4）问,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024西城二模.md,found,1,人民群众的历史作用,rubric-source-review,推动乡村文化振兴要提升审美水平和人文素养，让欣赏美、追求美、塑造美成为乡村文明新风尚；传统村落保护与活化要面向乡村居民真实生活和文明建设。,人民群众的历史作用 / 群众观点,答案细则把“人民群众的历史作用”列为第18（4）问可用角度。材料中的乡村美育、公共文化空间和文化产业不是为景观本身服务，而是要激发乡村主体参与、改善群众文化生活、形成文明新风尚，因此稳定触发人民群众观点。,2024西城二模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
