suite_name,year_root,stage,full_path,file_count,paper_like_files,rubric_like_files
2026延庆一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模,4,2,2
2026房山一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模,4,2,2
2026朝阳一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模,5,4,3
2026海淀一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模,4,3,1
2026石景山一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模,4,2,2
2026西城一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模,6,4,2
2026通州一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026通州一模,2,1,1
2026门头沟一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模,4,3,2
2026顺义一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模,4,1,2
2026东城二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模,8,1,7
2026丰台二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模,3,2,2
2026房山二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模,3,1,2
2026朝阳二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026朝阳二模,2,2,1
2026海淀二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026海淀二模,2,2,1
2026石景山二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026石景山二模,2,2,1
2026西城二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026西城二模,2,1,1
2026顺义二模,2026各区模拟题,2026各区二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模,2,0,1
2026东城期末,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末,4,2,1
2026丰台期末,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026丰台期末,4,2,2
2026朝阳期中,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期中,6,5,4
2026朝阳期末,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期末,4,2,2
2026海淀期中,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026海淀期中,4,2,2
2026海淀期末,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026海淀期末,4,3,1
2026石景山期末,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026石景山期末,2,2,0
2026西城期末,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末,6,2,4
2026通州期末,2026各区模拟题,2026各区期末和期中,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末,4,3,2
