entry_id,source_id,year,district_or_exam_scope,exam_type,question_no,sub_question_no,question_type,module,unit_or_topic,material_trigger,scoring_term,term_function,why_this_term,answer_landing,evidence_level,evidence_source_type,needs_visual_check,needs_codex_compare,old_final_quality_reference_used,status
SY1mo2026_Q20_02,2026顺义一模,2026,顺义,一模,20,none,主观题_阐述逻辑,选必一,时代背景_时代主题,科技小院在和平发展大背景下推广触发时代主题,和平与发展是时代主题/世界大势,scoring_anchor_P0_optional,时代主题是南南合作典范的时代背景层,国际政治3分组任写,P0_verified_scoring_rule,pptx_slide9_2026顺义一模评分细则,no,yes,no,closed_P0
SY1mo2026_Q20_03,2026顺义一模,2026,顺义,一模,20,none,主观题_阐述逻辑,选必一,政治多极化_人类命运共同体,科技小院合作模式与人类命运共同体核心理念契合,构建人类命运共同体（习近平外交思想核心理念）,scoring_anchor_P0_optional,人类命运共同体是南南合作典范的外交理论支撑,国际政治3分组任写,P0_verified_scoring_rule,pptx_slide9_2026顺义一模评分细则,no,yes,no,closed_P0
SY1mo2026_Q20_04,2026顺义一模,2026,顺义,一模,20,none,主观题_阐述逻辑,选必一,中国_外交政策义利观,科技小院义利兼顾体现外交政策宗旨和合作共赢理念,独立自主的和平外交政策/外交政策宗旨/正确义利观/合作共赢/新型国际关系,scoring_anchor_P0_optional,外交政策和义利观解释中国参与南南合作的价值导向,国际政治3分组任写,P0_verified_scoring_rule,pptx_slide9_2026顺义一模评分细则,no,yes,no,closed_P0
SY1mo2026_Q20_05,2026顺义一模,2026,顺义,一模,20,none,主观题_阐述逻辑,选必一,经济全球化_方向,科技小院缩小发展鸿沟让全球化惠及落后地区,推动经济全球化朝着普惠、平衡、共赢方向发展（南南合作典范）,scoring_anchor_P0_optional,经济全球化方向是南南合作典范的经济逻辑层,国际经济3分独立项,P0_verified_scoring_rule,pptx_slide9_2026顺义一模评分细则,no,yes,no,closed_P0
HY2mo2025_Q21_01,2025海淀二模,2025,海淀,二模,21,none,主观题_阐释论断,选必一,联合国_地位作用,材料呈现联合国核心作用，设问阐释中国与联合国相互需要,联合国是最具普遍性代表性权威性的政府间国际组织/集体安全机制核心/实践多边主义最佳场所,scoring_anchor_P1_P0_supplement,联合国地位是中国需要联合国的根本依据,中国需要联合国第1点2分任意两条之一,P1_with_P0_supplement,docx_参考答案_含评标实录补充,no,yes,no,closed_P1_P0_supplement
HY2mo2025_Q21_02,2025海淀二模,2025,海淀,二模,21,none,主观题_阐释论断,选必一,联合国_三大支柱,材料呈现联合国维和发展人权三大支柱作用,联合国三大支柱：维护世界和平、推动共同发展、促进人类文明进步,scoring_anchor_P1_P0_supplement,三大支柱是联合国职能的核心表达,中国需要联合国第1点2分任意两条之一,P1_with_P0_supplement,docx_参考答案_含评标实录补充,no,yes,no,closed_P1_P0_supplement
HY2mo2025_Q21_03,2025海淀二模,2025,海淀,二模,21,none,主观题_阐释论断,选必一,联合国_主要舞台,材料涉及联合国平台在中国外交中的重要作用,联合国成为中国开展多边合作的主要舞台,scoring_anchor_P1_P0_supplement,多边合作主要舞台是联合国对中国独特贡献的核心表述,中国需要联合国第2点1分,P1_with_P0_supplement,docx_参考答案_含评标实录补充,no,yes,no,closed_P1_P0_supplement
HY2mo2025_Q21_04,2025海淀二模,2025,海淀,二模,21,none,主观题_阐释论断,选必一,中国_国际地位,设问联合国也需要中国视角，首先须说明中国的国际地位,中国是联合国创始会员国/安理会常任理事国/最大发展中国家/国际政治经济格局重要力量,scoring_anchor_P1_P0_supplement,中国地位是联合国需要中国的基础层,联合国需要中国第1点1分,P1_with_P0_supplement,docx_参考答案_含评标实录补充,no,yes,no,closed_P1_P0_supplement
HY2mo2025_Q21_05,2025海淀二模,2025,海淀,二模,21,none,主观题_阐释论断,选必一,联合国_中国维护体系,材料呈现中国在联合国维和人道主义等领域实际贡献,坚定维护以联合国为核心的国际体系/维护《联合国宪章》宗旨和原则,scoring_anchor_P1_P0_supplement,维护联合国体系是中国对联合国的主要贡献之一,联合国需要中国第2点1分,P1_with_P0_supplement,docx_参考答案_含评标实录补充,no,yes,no,closed_P1_P0_supplement
HY2mo2025_Q21_06,2025海淀二模,2025,海淀,二模,21,none,主观题_阐释论断,选必一,中国_智慧方案,材料强调中国为全球治理提供中国方案,贡献中国智慧和中国方案/推动完善全球治理/构建新型国际关系/全人类共同价值/推动构建人类命运共同体,scoring_anchor_P1_P0_supplement,中国智慧方案是联合国需要中国的价值贡献层,联合国需要中国第3点1分,P1_with_P0_supplement,docx_参考答案_含评标实录补充,no,yes,no,closed_P1_P0_supplement
