source_id,year,district_or_exam_scope,exam_type,file_type,raw_category,candidate_evidence_level,verified_evidence_level,contains_xuanbiyi,contains_subjective_question,question_numbers_detected,has_scoring_detail,has_reference_answer,has_teaching_or_lecture,has_pdf_visual_risk,has_ppt_visual_risk,has_image_or_table,needs_ocr,status,blocker
2026东城期末_细则,2026,东城,期末,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2026丰台期末_试卷,2026,丰台,期末,pdf,exam_paper,P3_paper_only,P3_paper_only,unknown,yes,unknown,no,no,no,no,no,no,no,needs_content_check,未检查是否含选必一题
2026丰台期末_细则,2026,丰台,期末,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2026朝阳期末_试卷,2026,朝阳,期末,pdf,exam_paper,P3_paper_only,P3_paper_only,unknown,yes,unknown,no,no,no,no,no,no,no,needs_content_check,未检查是否含选必一题
2026朝阳期末_细则,2026,朝阳,期末,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2026海淀期中_试卷,2026,海淀,期中,docx,exam_paper,P3_paper_only,P3_paper_only,unknown,yes,unknown,no,no,no,no,no,no,no,needs_content_check,未检查是否含选必一题
2026海淀期中_讲评,2026,海淀,期中,pdf,teaching_lecture,P2_candidate,unknown_needs_content_check,unknown,unknown,unknown,unknown,no,yes,yes,no,yes,no,needs_content_check,仅有讲评无独立细则
2026海淀期末_试卷,2026,海淀,期末,pdf,exam_paper,excluded_no_xuanbiyi,excluded_no_xuanbiyi,no_user_confirmed,yes,none,no,no,no,no,no,no,no,excluded,用户确认无选必一内容
2026海淀期末_细则,2026,海淀,期末,pdf,scoring_rubric,excluded_no_xuanbiyi,excluded_no_xuanbiyi,no_user_confirmed,yes,none,no,no,no,yes,no,no,no,excluded,用户确认无选必一内容
2026朝阳一模_试卷,2026,朝阳,一模,pdf,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,Q20,no,no,no,no,no,no,no,verified,阅卷细则见细则.docx
2026朝阳一模_细则,2026,朝阳,一模,docx,scoring_rubric,P0_candidate,P0_verified_scoring_rule,yes_confirmed,yes,Q20,yes,no,no,no,no,no,no,verified,entry在entries/2026_朝阳一模_Q20.md
2026顺义一模_试卷,2026,顺义,一模,pdf,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,Q20,no,no,no,no,no,no,no,verified,entry在entries/2026_顺义一模_Q20.md
2026顺义一模_细则,2026,顺义,一模,pptx,scoring_rubric,P0_candidate,P0_verified_scoring_rule,yes_confirmed,yes,Q20,yes,no,no,no,no,no,no,verified,entry在entries/2026_顺义一模_Q20.md
2026海淀一模_试卷,2026,海淀,一模,pdf,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,Q20,no,no,no,no,no,no,no,verified,entry在entries/2026_海淀一模_Q20.md
2026海淀一模_细则,2026,海淀,一模,pdf,scoring_rubric,P0_candidate,P0_verified_scoring_rule,yes_confirmed,yes,Q20,yes,no,no,yes,no,no,no,verified,entry在entries/2026_海淀一模_Q20.md
2026东城一模_试卷,2026,东城,一模,pdf,exam_paper,P3_paper_only,P3_paper_only,unknown,yes,unknown,no,no,no,no,no,no,no,needs_content_check,含分题细则PPTX需逐题检查
2026东城一模_细则主,2026,东城,一模,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2026东城一模_分题细则_Q16,2026,东城,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,Q16,unknown,no,no,no,no,no,no,needs_content_check,文件名16.pptx内容未提取
2026东城一模_分题细则_Q17,2026,东城,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,Q17,unknown,no,no,no,no,no,no,needs_content_check,文件名17.pptx内容未提取
2026东城一模_分题细则_Q18,2026,东城,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,Q18,unknown,no,no,no,no,no,no,needs_content_check,文件名18+选择7_13.pptx
2026东城一模_分题细则_Q19,2026,东城,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,Q19,unknown,no,no,no,no,no,no,needs_content_check,多个文件19(1-4).pptx
2026东城一模_分题细则_Q20,2026,东城,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,Q20,unknown,no,no,no,no,no,no,needs_content_check,文件名20.pptx内容未提取
2026丰台一模_试卷,2026,丰台,一模,pdf,exam_paper,P3_paper_only,P3_paper_only,unknown,yes,unknown,no,no,no,no,no,no,no,needs_content_check,未检查选必一题号
2026丰台一模_细则,2026,丰台,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2026延庆一模_细则,2026,延庆,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain_outer_district,外区模块边界需检查
2026房山一模_细则,2026,房山,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain_outer_district,外区模块边界需检查
2026西城一模_细则,2026,西城,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2026石景山一模_细则,2026,石景山,一模,doc,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,石景山一模≠石景山期末仍需检查
2026门头沟一模_细则,2026,门头沟,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain_outer_district,外区模块边界需检查
2026石景山期末,2026,石景山,期末,pdf,reference_answer_only,excluded_no_scoring_rule,excluded_no_scoring_rule,unknown,yes,none,no,yes,no,yes,no,no,no,excluded,用户政策：无评分细则全模块排除
2025海淀期中_试卷,2025,海淀,期中,pdf,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,"Q16(2),Q21(2)",no,no,no,no,no,no,no,verified,参考答案文字可读
2025海淀期中_细则,2025,海淀,期中,docx,reference_answer,P1_candidate,P1_reference_answer,yes_confirmed,yes,"Q16(2),Q21(2)",no,yes,no,no,no,yes_probable,no,verified_partial,用户确认另有图片表格形式正式细则未找到
2025海淀期末_试卷,2025,海淀,期末,docx,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,Q22,no,no,no,no,no,no,no,verified,愚公移山综合短文题
2025海淀期末_细则,2025,海淀,期末,pptx,teaching_lecture,P2_candidate,P2_teaching_or_lecture,yes_confirmed,yes,Q22,yes,no,yes,no,no,no,no,verified,海淀区小学教师在线研修PPT含slide61_62 Q22评分细则及选必一可选知识
2025朝阳一模_细则,2025,朝阳,一模,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2025朝阳一模_阅卷总结,2025,朝阳,一模,doc,marking_summary,P0_candidate,unknown_needs_content_check,unknown,yes,"Q17.1,Q18,Q19",unknown,no,no,no,no,no,no,needs_content_check,3个阅卷总结doc文件
2025东城一模_细则,2025,东城,一模,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2025丰台一模_细则,2025,丰台,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,content_not_yet_extracted
2025延庆一模_细则,2025,延庆,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain_outer_district,外区需检查
2025房山一模_细则,2025,房山,一模,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,uncertain_outer_district,外区需检查
2025海淀一模_细则,2025,海淀,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2025石景山一模_细则,2025,石景山,一模,doc,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,content_not_yet_extracted
2025西城一模_细则,2025,西城,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2025门头沟一模_细则,2025,门头沟,一模,doc,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain_outer_district,外区需检查
2025顺义一模_细则,2025,顺义,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,content_not_yet_extracted
2025东城二模_细则,2025,东城,二模,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2025丰台二模_分题细则,2025,丰台,二模,doc+docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,"Q16.1,Q16.2,Q17,Q18,Q19.1,Q19.2,Q20,Q21",unknown,no,no,no,no,no,no,needs_content_check,8个分题细则文件
2025昌平二模_细则,2025,昌平,二模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain_outer_district,外区需检查
2025朝阳二模_细则,2025,朝阳,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2025朝阳二模_扫描,2025,朝阳,二模,pdf,unknown,unknown_needs_visual_check,unknown_needs_visual_check,unknown,unknown,unknown,unknown,no,no,yes,no,yes,yes,blocked,扫描件需OCR
2025海淀二模_细则,2025,海淀,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,Q21,unknown,no,no,no,no,no,no,needs_content_check,Q21有entry待验证
2025海淀二模_评标实录,2025,海淀,二模,docx,marking_mouthpiece,P0_candidate,unknown_needs_content_check,unknown,yes,Q21,unknown,no,no,no,no,no,no,needs_content_check,评标实录是否为P0需确认
2025海淀二模_讲评,2025,海淀,二模,pdf,teaching_lecture,P2_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,yes,yes,no,no,no,needs_content_check,讲评PDF不一定是P0
2025西城二模_细则,2025,西城,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2025东城期末_细则,2025,东城,期末,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2025东城期末_补充,2025,东城,期末,pptx,teaching_lecture,P2_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,yes,no,no,no,no,needs_content_check,补充PPTX是否含P0内容未验证
2025丰台期末_细则,2025,丰台,期末,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2025朝阳期末_细则,2025,朝阳,期末,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2025朝阳期末_讲评,2025,朝阳,期末,pptx,teaching_lecture,P2_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,yes,no,no,no,no,needs_content_check,讲评是否含P0信息未验证
2025西城期末_细则,2025,西城,期末,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2024东城一模_试卷,2024,东城,一模,pdf,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,"Q16,Q20",no,no,no,no,no,no,no,verified,参考答案PDF存在
2024东城一模_细则,2024,东城,一模,pptx,teaching_analysis,P2_candidate,P2_teaching_or_lecture,yes_confirmed,yes,"Q16,Q20",yes,no,yes,no,no,no,no,verified,标题为试题分析但含16题阅卷细则和Q20评分信息
2024东城一模_参考答案,2024,东城,一模,pdf,reference_answer,P1_candidate,P1_reference_answer,yes_probable,yes,"Q16,Q20",no,yes,no,yes,no,no,no,needs_content_check,参考答案PDF内容未全提取
2024朝阳一模_细则,2024,朝阳,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024朝阳一模_细则补充,2024,朝阳,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024朝阳一模_讲评,2024,朝阳,一模,pptx,teaching_lecture,P2_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,yes,no,no,no,no,needs_content_check,讲评是否含P0信息未验证
2024朝阳二模_细则,2024,朝阳,二模,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2024朝阳二模_细则补充,2024,朝阳,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024朝阳期中_细则,2024,朝阳,期中,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024朝阳期中_评标,2024,朝阳,期中,docx,marking_mouthpiece,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,文件名含评标需验证是否P0
2024朝阳期中_细则rtf,2024,朝阳,期中,rtf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,RTF格式内容未提取
2024海淀一模_细则,2024,海淀,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024海淀期中_细则,2024,海淀,期中,pdf,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,yes,no,no,no,needs_content_check,content_not_yet_extracted
2024东城二模_分题细则,2024,东城,二模,pptx+docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,"Q16,Q17,Q18,Q19,Q21",unknown,no,no,no,no,no,no,needs_content_check,阅卷总结+评分细则多文件
2024丰台一模_细则,2024,丰台,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,content_not_yet_extracted
2024丰台二模_细则,2024,丰台,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,content_not_yet_extracted
2024海淀二模_细则,2024,海淀,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024石景山一模_细则,2024,石景山,一模,pptx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,content_not_yet_extracted
2024西城一模_细则,2024,西城,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024西城一模_阅卷细则调整,2024,西城,一模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,调整版阅卷细则是否与主版不同
2024西城二模_细则,2024,西城,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,needs_content_check,content_not_yet_extracted
2024顺义二模_细则,2024,顺义,二模,docx,scoring_rubric,P0_candidate,unknown_needs_content_check,unknown,yes,unknown,unknown,no,no,no,no,no,no,uncertain,外区需检查
2024各区一模汇编选必1,2024,各区汇编,一模汇编,docx,compiled_exam,P3_paper_only,P3_paper_only,yes_confirmed,yes,multiple,no,no,no,no,no,no,no,verified,含2024届各区一模选必一汇编可辅助定位题目
