chapter,node,title,type,source_h2,source_h3,mount_reason
三、辩证思维,分析与综合,2025海淀二模 第20题（主观题）,主观题,辩证思维,分析与综合,分析与综合
三、辩证思维,量变与质变,2026朝阳期中 第20题（主观题）,主观题,辩证思维,量变与质变,量变与质变
三、辩证思维,量变与质变,2025海淀二模 第20题（主观题）,主观题,辩证思维,量变与质变,量变与质变
三、辩证思维,量变与质变,2025海淀期末 第5题（选择题）,选择题,辩证思维,量变与质变,量变与质变
三、辩证思维,辩证否定,2025海淀二模 第20题（主观题）,主观题,辩证思维,辩证否定,辩证否定
三、辩证思维,认识发展历程：感性具体到思维抽象再到思维具体,2026通州期末 第11题（选择题）,选择题,辩证思维,认识发展历程：感性具体→思维抽象→思维具体,认识发展历程
三、辩证思维,认识发展历程：感性具体到思维抽象再到思维具体,2024海淀二模 第17题第（2）问（主观题）,主观题,辩证思维,认识发展历程：感性具体→思维抽象→思维具体,认识发展历程
四、创新思维,创新思维的三性：思路具有多向性、步骤具有跨越性、结果具有独特性,2024朝阳一模 第7题（选择题）,选择题,创新思维,三性：多向性、跨越性、独特性,创新思维三性
四、创新思维,创新思维的三新：思路新、方法新、结果新,2025东城期末 第18题第（2）问（主观题）,主观题,创新思维,三新：思路新、方法新、结果新,创新思维三新
四、创新思维,创新思维的三新：思路新、方法新、结果新,2026朝阳期中 第21题第（2）问（主观题）,主观题,创新思维,三新：思路新、方法新、结果新,创新思维三新
四、创新思维,创新思维的三新：思路新、方法新、结果新,2026东城一模 第19题第（4）问（主观题）,主观题,创新思维,三新：思路新、方法新、结果新,创新思维三新
四、创新思维,创新思维的三新：思路新、方法新、结果新,2025西城二模 第16题第（3）问（主观题）,主观题,创新思维,三新：思路新、方法新、结果新,创新思维三新
四、创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,2024朝阳期中 第19题（主观题）,主观题,创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,联想思维
四、创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,2026朝阳期中 第21题第（2）问（主观题）,主观题,创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,联想思维
四、创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,2025东城期末 第18题第（2）问（主观题）,主观题,创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,联想思维
四、创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,2026朝阳期中 第13题（选择题）,选择题,创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,联想思维
四、创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,2024西城一模 第13题（选择题）,选择题,创新思维,联想思维：跨越的联结性、非逻辑制约的畅想性,联想思维
四、创新思维,联想思维方法：迁移、想象,2026顺义一模 第6题（选择题）,选择题,创新思维,联想思维的方法：迁移、想象,联想思维方法
四、创新思维,联想思维方法：迁移、想象,2024西城一模 第19题第（5）问（主观题）,主观题,创新思维,联想思维的方法：迁移、想象,联想思维方法
四、创新思维,联想思维方法：迁移、想象,2025海淀期末 第18题（主观题）,主观题,创新思维,联想思维的方法：迁移、想象,联想思维方法
四、创新思维,联想思维方法：迁移、想象,2025海淀期末 第2题（选择题）,选择题,创新思维,联想思维的方法：迁移、想象,联想思维方法
四、创新思维,发散思维与聚合思维,2024朝阳期中 第19题（主观题）,主观题,创新思维,发散思维与聚合思维,发散思维与聚合思维
四、创新思维,发散思维与聚合思维,2026朝阳期中 第21题第（2）问（主观题）,主观题,创新思维,发散思维与聚合思维,发散思维与聚合思维
四、创新思维,发散思维与聚合思维,2025东城期末 第18题第（2）问（主观题）,主观题,创新思维,发散思维与聚合思维,发散思维与聚合思维
四、创新思维,发散思维与聚合思维,2026东城一模 第19题第（4）问（主观题）,主观题,创新思维,发散思维与聚合思维,发散思维与聚合思维
四、创新思维,发散思维与聚合思维,2025海淀期末 第18题（主观题）,主观题,创新思维,发散思维与聚合思维,发散思维与聚合思维
四、创新思维,逆向思维,2025海淀期末 第18题（主观题）,主观题,创新思维,逆向思维,逆向思维
四、创新思维,逆向思维,2024朝阳期中 第19题（主观题）,主观题,创新思维,逆向思维,逆向思维
四、创新思维,逆向思维,2026朝阳期中 第21题第（2）问（主观题）,主观题,创新思维,逆向思维,逆向思维
四、创新思维,超前思维：探索性、预测性、不确定性,2024西城一模 第19题第（5）问（主观题）,主观题,创新思维,超前思维：探索性、预测性、不确定性,超前思维
四、创新思维,超前思维：探索性、预测性、不确定性,2025海淀二模 第12题（选择题）,选择题,创新思维,超前思维：探索性、预测性、不确定性,超前思维
四、创新思维,超前思维：探索性、预测性、不确定性,2024朝阳期中 第19题（主观题）,主观题,创新思维,超前思维：探索性、预测性、不确定性,超前思维
四、创新思维,超前思维：探索性、预测性、不确定性,2026朝阳期中 第21题第（2）问（主观题）,主观题,创新思维,超前思维：探索性、预测性、不确定性,超前思维
四、创新思维,超前思维：探索性、预测性、不确定性,2025东城期末 第18题第（2）问（主观题）,主观题,创新思维,超前思维：探索性、预测性、不确定性,超前思维
四、创新思维,超前思维：探索性、预测性、不确定性,2026东城一模 第19题第（4）问（主观题）,主观题,创新思维,超前思维：探索性、预测性、不确定性,超前思维
四、创新思维,超前思维方法：矛盾分析法、推理和想象、调查研究、立足实践,2024西城一模 第19题第（5）问（主观题）,主观题,创新思维,超前思维：探索性、预测性、不确定性,超前思维方法
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2024西城一模 第19题第（2）问（主观题）,主观题,推理题型树,概念：下定义结构（被定义项+联结词+种差+邻近属）,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2024西城一模 第19题第（3）问（主观题）,主观题,推理题型树,概念：外延关系（属种·相容）,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2025西城二模 第6题（选择题）,选择题,推理题型树,概念：外延关系（属种）,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2025顺义一模 第17题第（1）问（主观题）,主观题,推理题型树,判断：复合判断：相容选言判断,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2025丰台期末 第18题第（1）问（主观题）,主观题,推理题型树,判断：复合判断：联言判断,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2025东城期末 第14题（选择题）,选择题,推理题型树,判断：性质判断·主谓项周延,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2024朝阳二模 第19题（主观题）,主观题,推理题型树,判断：联言判断（真值条件）,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2026朝阳期中 第15题（选择题）,选择题,推理题型树,判断：联言判断（真值条件）,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2025顺义一模 第6题（选择题）,选择题,推理题型树,性质判断主项识别（①正解）,从推理树反抽为抽象思维样例；不保留推理题型树结构
一、思维的基本形态,抽象思维：基本单元是概念；概念性、推导性、严谨性,2025丰台期末 第9题（选择题）,选择题,推理题型树,联言判断推论受限（A）,从推理树反抽为抽象思维样例；不保留推理题型树结构
