entry_no,heading,qid_or_title,fake_prompt,meta_answer_instruction,node_specific,trigger_sufficient,answer_sentence_sufficient,action
16,16. 2026海淀一模 Q17(2)（主观题）,2026海淀一模 Q17(2)（主观题）,True,True,False,True,False,rewrite_from_source
17,17. 2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2)（主观题）,True,True,True,True,False,rewrite_from_source
18,18. 2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2)（主观题）,True,True,True,True,False,rewrite_from_source
19,19. 2024海淀一模 Q17(2)（主观题）,2024海淀一模 Q17(2)（主观题）,True,True,True,True,False,rewrite_from_source
20,20. 2024石景山一模 Q19(3)（主观题）,2024石景山一模 Q19(3)（主观题）,True,True,True,True,False,rewrite_from_source
21,21. 2024丰台二模 Q18(2)（主观题）,2024丰台二模 Q18(2)（主观题）,True,True,True,True,False,rewrite_from_source
22,22. 2024海淀二模 Q17(1)（主观题）,2024海淀二模 Q17(1)（主观题）,True,True,True,True,False,rewrite_from_source
23,23. 2025东城一模 Q18(1)（主观题）,2025东城一模 Q18(1)（主观题）,True,True,True,True,False,rewrite_from_source
24,24. 2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1)（主观题）,True,True,True,True,False,rewrite_from_source
25,25. 2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2)（主观题）,True,True,True,True,False,rewrite_from_source
26,26. 2025海淀二模 Q20（主观题）,2025海淀二模 Q20（主观题）,True,True,True,True,False,rewrite_from_source
27,27. 2026东城一模 Q19(1)（主观题）,2026东城一模 Q19(1)（主观题）,True,True,True,True,False,rewrite_from_source
28,28. 2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4)（主观题）,True,True,True,True,False,rewrite_from_source
29,29. 2026房山一模 Q18(1)（主观题）,2026房山一模 Q18(1)（主观题）,True,True,True,True,False,rewrite_from_source
30,30. 2026朝阳期中 Q20（主观题）,2026朝阳期中 Q20（主观题）,True,True,True,True,False,rewrite_from_source
31,31. 2026丰台期末 Q20（主观题）,2026丰台期末 Q20（主观题）,True,True,True,True,False,rewrite_from_source
32,32. 2024朝阳二模 Q19(1)（主观题）,2024朝阳二模 Q19(1)（主观题）,True,True,True,False,False,rewrite_from_source
33,33. 2025东城一模 Q18(1)（主观题）,2025东城一模 Q18(1)（主观题）,True,True,True,True,False,rewrite_from_source
34,34. 2025延庆一模 Q18（主观题）,2025延庆一模 Q18（主观题）,True,True,True,True,False,rewrite_from_source
35,35. 2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1)（主观题）,True,True,True,True,False,rewrite_from_source
36,36. 2025海淀二模 Q20（主观题）,2025海淀二模 Q20（主观题）,True,True,True,True,False,rewrite_from_source
37,37. 2026房山一模 Q18(1)（主观题）,2026房山一模 Q18(1)（主观题）,True,True,True,True,False,rewrite_from_source
38,38. 2026朝阳期中 Q20（主观题）,2026朝阳期中 Q20（主观题）,True,True,True,True,False,rewrite_from_source
39,39. 2024东城一模 Q18(3)（主观题）,2024东城一模 Q18(3)（主观题）,True,True,True,True,False,rewrite_from_source
40,40. 2024石景山一模 Q19(3)（主观题）,2024石景山一模 Q19(3)（主观题）,True,True,True,True,False,rewrite_from_source
41,41. 2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5)（主观题）,True,True,True,True,False,rewrite_from_source
42,42. 2024顺义二模 Q16(2)（主观题）,2024顺义二模 Q16(2)（主观题）,True,True,True,True,False,rewrite_from_source
43,43. 2025延庆一模 Q18（主观题）,2025延庆一模 Q18（主观题）,True,True,True,True,False,rewrite_from_source
44,44. 2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1)（主观题）,True,True,True,True,False,rewrite_from_source
45,45. 2025海淀二模 Q20（主观题）,2025海淀二模 Q20（主观题）,True,True,True,True,False,rewrite_from_source
46,46. 2026延庆一模 Q18(2)（主观题）,2026延庆一模 Q18(2)（主观题）,True,True,False,True,False,rewrite_from_source
47,47. 2026朝阳期中 Q20（主观题）,2026朝阳期中 Q20（主观题）,True,True,True,True,False,rewrite_from_source
48,48. 2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2)（主观题）,True,True,True,True,False,rewrite_from_source
49,49. 2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19（主观题）,True,True,True,True,False,rewrite_from_source
50,50. 2024海淀二模 Q17(1)（主观题）,2024海淀二模 Q17(1)（主观题）,True,True,True,True,False,rewrite_from_source
51,51. 2025房山一模 Q16(3)（主观题）,2025房山一模 Q16(3)（主观题）,True,True,True,True,False,rewrite_from_source
52,52. 2025石景山一模 Q19（主观题）,2025石景山一模 Q19（主观题）,True,True,True,True,False,rewrite_from_source
53,53. 2025昌平二模 Q19（主观题）,2025昌平二模 Q19（主观题）,True,True,True,True,False,rewrite_from_source
54,54. 2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4)（主观题）,True,True,True,True,False,rewrite_from_source
55,55. 2026延庆一模 Q18(2)（主观题）,2026延庆一模 Q18(2)（主观题）,True,True,False,True,False,rewrite_from_source
56,56. 2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2)（主观题）,True,True,True,True,False,rewrite_from_source
57,57. 2026门头沟一模 Q18(2)（主观题）,2026门头沟一模 Q18(2)（主观题）,True,True,False,True,False,rewrite_from_source
58,58. 2026丰台期末 Q20（主观题）,2026丰台期末 Q20（主观题）,True,True,True,True,False,rewrite_from_source
59,59. 2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2)（主观题）,True,True,True,True,False,rewrite_from_source
60,60. 2024海淀一模 Q17(2)（主观题）,2024海淀一模 Q17(2)（主观题）,True,True,True,True,False,rewrite_from_source
61,61. 2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19（主观题）,True,True,True,True,False,rewrite_from_source
62,62. 2025房山一模 Q16(3)（主观题）,2025房山一模 Q16(3)（主观题）,True,True,True,True,False,rewrite_from_source
63,63. 2025石景山一模 Q19（主观题）,2025石景山一模 Q19（主观题）,True,True,True,True,False,rewrite_from_source
64,64. 2025昌平二模 Q19（主观题）,2025昌平二模 Q19（主观题）,True,True,True,True,False,rewrite_from_source
65,65. 2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2)（主观题）,True,True,True,True,False,rewrite_from_source
66,66. 2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4)（主观题）,True,True,True,True,False,rewrite_from_source
67,67. 2026海淀一模 Q17(2)（主观题）,2026海淀一模 Q17(2)（主观题）,True,True,False,True,False,rewrite_from_source
68,68. 2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2)（主观题）,True,True,True,True,False,rewrite_from_source
69,69. 2026门头沟一模 Q18(2)（主观题）,2026门头沟一模 Q18(2)（主观题）,True,True,False,True,False,rewrite_from_source
70,70. 2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2)（主观题）,True,True,True,True,False,rewrite_from_source
71,71. 2026丰台期末 Q20（主观题）,2026丰台期末 Q20（主观题）,True,True,True,True,False,rewrite_from_source
72,72. 2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5)（主观题）,True,True,True,True,False,rewrite_from_source
73,73. 2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19（主观题）,True,True,True,True,False,rewrite_from_source
74,74. 2025房山一模 Q16(3)（主观题）,2025房山一模 Q16(3)（主观题）,True,True,True,True,False,rewrite_from_source
75,75. 2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1)（主观题）,True,True,True,True,False,rewrite_from_source
76,76. 2025昌平二模 Q19（主观题）,2025昌平二模 Q19（主观题）,True,True,True,True,False,rewrite_from_source
77,77. 2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2)（主观题）,True,True,True,True,False,rewrite_from_source
78,78. 2025海淀期末 Q18（主观题）,2025海淀期末 Q18（主观题）,True,True,True,True,False,rewrite_from_source
79,79. 2026朝阳一模 Q17(1)（主观题）,2026朝阳一模 Q17(1)（主观题）,True,True,True,True,False,rewrite_from_source
80,80. 2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2)（主观题）,True,True,True,True,False,rewrite_from_source
81,81. 2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2)（主观题）,True,True,True,True,False,rewrite_from_source
82,82. 2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2)（主观题）,True,True,True,True,False,rewrite_from_source
83,83. 2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2)（主观题）,True,True,True,True,False,rewrite_from_source
84,84. 2024东城一模 Q18(3)（主观题）,2024东城一模 Q18(3)（主观题）,True,True,True,True,False,rewrite_from_source
85,85. 2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5)（主观题）,True,True,True,True,False,rewrite_from_source
86,86. 2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19（主观题）,True,True,True,True,False,rewrite_from_source
87,87. 2024丰台二模 Q18(2)（主观题）,2024丰台二模 Q18(2)（主观题）,True,True,True,True,False,rewrite_from_source
88,88. 2024顺义二模 Q16(2)（主观题）,2024顺义二模 Q16(2)（主观题）,True,True,True,True,False,rewrite_from_source
89,89. 2025东城一模 Q18(1)（主观题）,2025东城一模 Q18(1)（主观题）,True,True,True,True,False,rewrite_from_source
90,90. 2025丰台一模 Q18(1)（主观题）,2025丰台一模 Q18(1)（主观题）,True,True,False,True,False,rewrite_from_source
91,91. 2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2)（主观题）,True,True,True,True,False,rewrite_from_source
92,92. 2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4)（主观题）,True,True,True,True,False,rewrite_from_source
93,93. 2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2)（主观题）,True,True,True,True,False,rewrite_from_source
94,94. 2026顺义一模 Q19(2)（主观题）,2026顺义一模 Q19(2)（主观题）,True,True,True,True,False,rewrite_from_source
95,95. 2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2)（主观题）,True,True,True,True,False,rewrite_from_source
96,96. 2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2)（主观题）,True,True,True,True,False,rewrite_from_source
97,97. 2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19（主观题）,True,True,True,True,False,rewrite_from_source
98,98. 2025昌平二模 Q19（主观题）,2025昌平二模 Q19（主观题）,True,True,True,True,False,rewrite_from_source
99,99. 2025海淀期末 Q18（主观题）,2025海淀期末 Q18（主观题）,True,True,True,True,False,rewrite_from_source
100,100. 2026朝阳一模 Q17(1)（主观题）,2026朝阳一模 Q17(1)（主观题）,True,True,True,True,False,rewrite_from_source
101,101. 2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2)（主观题）,True,True,True,True,False,rewrite_from_source
102,102. 2024朝阳一模 Q4（选择题）,2024朝阳一模 Q4（选择题）,False,True,True,True,False,choice_trap_rebuild
103,103. 2024石景山一模 Q6（选择题）,2024石景山一模 Q6（选择题）,False,True,True,True,False,choice_trap_rebuild
104,104. 2025东城一模 Q14（选择题）,2025东城一模 Q14（选择题）,False,True,True,True,False,choice_trap_rebuild
105,105. 2025朝阳一模 Q3（选择题）,2025朝阳一模 Q3（选择题）,False,True,True,True,False,choice_trap_rebuild
106,106. 2025朝阳一模 Q7（选择题）,2025朝阳一模 Q7（选择题）,False,True,True,False,False,choice_trap_rebuild
107,107. 2025海淀一模 Q6（选择题）,2025海淀一模 Q6（选择题）,False,True,True,False,False,choice_trap_rebuild
108,108. 2025石景山一模 Q7（选择题）,2025石景山一模 Q7（选择题）,False,True,True,True,False,choice_trap_rebuild
109,109. 2025东城二模 Q13（选择题）,2025东城二模 Q13（选择题）,False,True,True,False,False,choice_trap_rebuild
110,110. 2025昌平二模 Q12（选择题）,2025昌平二模 Q12（选择题）,False,True,True,True,False,choice_trap_rebuild
111,111. 2025朝阳二模 Q7（选择题）,2025朝阳二模 Q7（选择题）,False,True,True,True,False,choice_trap_rebuild
112,112. 2025东城期末 Q5（选择题）,2025东城期末 Q5（选择题）,False,True,True,False,False,choice_trap_rebuild
113,113. 2025朝阳期末 Q7（选择题）,2025朝阳期末 Q7（选择题）,False,True,True,False,False,choice_trap_rebuild
114,114. 2025海淀期末 Q2（选择题）,2025海淀期末 Q2（选择题）,False,True,True,False,False,choice_trap_rebuild
115,115. 2025西城期末 Q7（选择题）,2025西城期末 Q7（选择题）,False,True,True,False,False,choice_trap_rebuild
116,116. 2025丰台期末 Q8（选择题）,2025丰台期末 Q8（选择题）,False,True,True,False,False,choice_trap_rebuild
117,117. 2026东城一模 Q6（选择题）,2026东城一模 Q6（选择题）,False,True,True,False,False,choice_trap_rebuild
118,118. 2026延庆一模 Q5（选择题）,2026延庆一模 Q5（选择题）,False,True,False,True,False,choice_trap_rebuild
119,119. 2026朝阳一模 Q3（选择题）,2026朝阳一模 Q3（选择题）,False,True,True,True,False,choice_trap_rebuild
120,120. 2026朝阳一模 Q6（选择题）,2026朝阳一模 Q6（选择题）,False,True,True,True,False,choice_trap_rebuild
121,121. 2026朝阳一模 Q7（选择题）,2026朝阳一模 Q7（选择题）,False,True,True,True,False,choice_trap_rebuild
122,122. 2026石景山一模 Q2（选择题）,2026石景山一模 Q2（选择题）,False,True,True,True,False,choice_trap_rebuild
123,123. 2026门头沟一模 Q7（选择题）,2026门头沟一模 Q7（选择题）,False,True,True,False,False,choice_trap_rebuild
124,124. 2026顺义一模 Q3（选择题）,2026顺义一模 Q3（选择题）,False,True,True,True,False,choice_trap_rebuild
125,125. 2026顺义一模 Q6（选择题）,2026顺义一模 Q6（选择题）,False,True,True,True,False,choice_trap_rebuild
126,126. 2026顺义一模 Q7（选择题）,2026顺义一模 Q7（选择题）,False,True,True,True,False,choice_trap_rebuild
127,127. 2026朝阳期中 Q13（选择题）,2026朝阳期中 Q13（选择题）,False,True,True,False,False,choice_trap_rebuild
128,128. 2026通州期末 Q5（选择题）,2026通州期末 Q5（选择题）,False,True,True,True,False,choice_trap_rebuild
129,129. 2026通州期末 Q9（选择题）,2026通州期末 Q9（选择题）,False,True,True,True,False,choice_trap_rebuild
130,130. 2026通州期末 Q11（选择题）,2026通州期末 Q11（选择题）,False,True,True,True,False,choice_trap_rebuild
131,1. 2025顺义一模 Q7（推理题）,2025顺义一模 Q7（推理题）,False,False,True,False,False,reasoning_type_rebuild
132,2. 2025延庆一模 Q5-6（推理题）,2025延庆一模 Q5-6（推理题）,False,False,True,False,False,reasoning_type_rebuild
133,3. 2024朝阳期中 Q5（推理题）,2024朝阳期中 Q5（推理题）,False,False,True,True,False,reasoning_type_rebuild
134,4. 2025朝阳期末 Q20（推理题）,2025朝阳期末 Q20（推理题）,False,False,True,False,False,reasoning_type_rebuild
135,5. 2024丰台二模 Q19(1)（推理题）,2024丰台二模 Q19(1)（推理题）,False,False,True,False,False,reasoning_type_rebuild
136,6. 2025西城期末 Q20(2)（推理题）,2025西城期末 Q20(2)（推理题）,False,False,True,True,False,reasoning_type_rebuild
137,7. 2026丰台二模 Q19(1)（推理题）,2026丰台二模 Q19(1)（推理题）,False,False,True,False,False,reasoning_type_rebuild
138,8. 2024西城一模 Q19(3)（推理题）,2024西城一模 Q19(3)（推理题）,False,False,True,False,False,reasoning_type_rebuild
139,9. 2025西城期末（推理题）,2025西城期末（推理题）,False,False,True,True,False,reasoning_type_rebuild
140,10. 2025延庆一模 Q5（推理题）,2025延庆一模 Q5（推理题）,False,False,True,True,False,reasoning_type_rebuild
141,11. 2025东城期末 Q13（推理题）,2025东城期末 Q13（推理题）,False,False,True,True,False,reasoning_type_rebuild
142,12. 2024朝阳一模 Q20(1)（推理题）,2024朝阳一模 Q20(1)（推理题）,False,False,True,True,False,reasoning_type_rebuild
143,13. 2026顺义一模 Q相关（推理题）,2026顺义一模 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
144,14. 2025朝阳期末 Q相关（推理题）,2025朝阳期末 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
145,15. 2026海淀期中 Q相关（推理题）,2026海淀期中 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
146,16. 2024朝阳一模 Q20（推理题）,2024朝阳一模 Q20（推理题）,False,False,True,True,False,reasoning_type_rebuild
147,17. 2025顺义一模 Q17（推理题）,2025顺义一模 Q17（推理题）,False,False,True,True,False,reasoning_type_rebuild
148,18. 2025丰台期末 Q18（推理题）,2025丰台期末 Q18（推理题）,False,False,True,True,False,reasoning_type_rebuild
149,19. 2024顺义二模 Q12（推理题）,2024顺义二模 Q12（推理题）,False,False,True,False,False,reasoning_type_rebuild
150,20. 2024朝阳期中 Q相关（推理题）,2024朝阳期中 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
151,21. 2025顺义一模 Q17（推理题）,2025顺义一模 Q17（推理题）,False,False,True,True,False,reasoning_type_rebuild
152,22. 2025海淀期末 Q9（推理题）,2025海淀期末 Q9（推理题）,False,False,True,True,False,reasoning_type_rebuild
153,23. 2025房山一模 Q6（推理题）,2025房山一模 Q6（推理题）,False,False,True,True,False,reasoning_type_rebuild
154,24. 2026朝阳期末 Q6（推理题）,2026朝阳期末 Q6（推理题）,False,False,True,True,False,reasoning_type_rebuild
155,25. 2024朝阳二模 Q19/20（推理题）,2024朝阳二模 Q19/20（推理题）,False,False,True,True,False,reasoning_type_rebuild
156,26. 2025丰台期末 Q18（推理题）,2025丰台期末 Q18（推理题）,False,False,True,True,False,reasoning_type_rebuild
157,27. 2025朝阳一模 Q3/Q4（推理题）,2025朝阳一模 Q3/Q4（推理题）,False,False,True,True,False,reasoning_type_rebuild
158,28. 2026东城期末（推理题）,2026东城期末（推理题）,False,False,True,True,False,reasoning_type_rebuild
159,29. 2024东城二模 Q相关（推理题）,2024东城二模 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
160,30. 2024东城一模（推理题）,2024东城一模（推理题）,False,False,True,True,False,reasoning_type_rebuild
161,31. 2024海淀一模 Q18/19（推理题）,2024海淀一模 Q18/19（推理题）,False,False,True,False,False,reasoning_type_rebuild
162,32. 2024朝阳期中 Q18（推理题）,2024朝阳期中 Q18（推理题）,False,False,True,True,False,reasoning_type_rebuild
163,33. 2025朝阳二模 Q17/16（推理题）,2025朝阳二模 Q17/16（推理题）,False,False,True,True,False,reasoning_type_rebuild
164,34. 2024朝阳期中 Q相关（推理题）,2024朝阳期中 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
165,35. 2024朝阳期中 Q18（推理题）,2024朝阳期中 Q18（推理题）,False,False,True,True,False,reasoning_type_rebuild
166,36. 2024朝阳二模 Q19（推理题）,2024朝阳二模 Q19（推理题）,False,False,True,True,False,reasoning_type_rebuild
167,37. 2026东城期末 Q1/Q2/Q3（推理题）,2026东城期末 Q1/Q2/Q3（推理题）,False,False,True,True,False,reasoning_type_rebuild
168,38. 2026顺义一模 Q相关（推理题）,2026顺义一模 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
169,39. 2024丰台一模 Q相关（推理题）,2024丰台一模 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
170,40. 2025朝阳期末 Q相关（推理题）,2025朝阳期末 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
171,41. 2026东城一模 Q7（推理题）,2026东城一模 Q7（推理题）,False,False,True,False,False,reasoning_type_rebuild
172,42. 2025丰台二模 Q14（推理题）,2025丰台二模 Q14（推理题）,False,False,True,True,False,reasoning_type_rebuild
173,43. 2025房山一模（推理题）,2025房山一模（推理题）,False,False,True,True,False,reasoning_type_rebuild
174,44. 2024海淀二模 Q7（推理题）,2024海淀二模 Q7（推理题）,False,False,True,True,False,reasoning_type_rebuild
175,45. 2026丰台一模 Q1/Q2/Q3（推理题）,2026丰台一模 Q1/Q2/Q3（推理题）,False,False,True,False,False,reasoning_type_rebuild
176,46. 2025海淀一模（推理题）,2025海淀一模（推理题）,False,False,True,False,False,reasoning_type_rebuild
177,47. 2024朝阳一模 Q相关（推理题）,2024朝阳一模 Q相关（推理题）,False,False,True,False,False,reasoning_type_rebuild
178,48. 2024朝阳一模 Q6（推理题）,2024朝阳一模 Q6（推理题）,False,False,True,True,False,reasoning_type_rebuild
179,49. 2026海淀一模 Q17（推理题）,2026海淀一模 Q17（推理题）,False,False,True,False,False,reasoning_type_rebuild
180,50. 2026朝阳期末 Q6（推理题）,2026朝阳期末 Q6（推理题）,False,False,True,True,False,reasoning_type_rebuild
181,51. 2025东城期末 Q15（推理题）,2025东城期末 Q15（推理题）,False,False,True,True,False,reasoning_type_rebuild
