question_id,year,district,exam_stage,question_no,framework_run_status,evidence_level,mat_atoms,rubric_atoms,score,flags,ask_excerpt,trigger,rubric_keywords
CC0289_2026_朝阳_二模_18,2026,朝阳,二模,18,PASS,formal,6,8,12.3,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，《法律与生活》，补充完整。,合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,法律与生活 法律与生活 民法典；相邻关系；人格权；生命权；身体权；健康权；举证责任 民法典；民事主体；所有权；相邻关系；人格权；生命权；身体权；健康权 相邻关系；人格权；生命权；身体权；健康权；隐私权；停止侵害；消除危险 相邻关系；隐私权；侵权责任；停止侵害；赔礼道歉；赔偿损失；和解
CC0125_2025_延庆_一模_19,2025,延庆,一模,19,PASS,formal,10,5,12.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用《法律与生活》知识，说明你会如何进行调解并说 明理由。,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实,调解 诚信原则；调解 合同；调解 调解
CC0283_2026_朝阳_一模_18,2026,朝阳,一模,18,PASS,formal,9,5,11.95,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对 创新的干扰。,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,知识产权；法律与生活 知识产权 民法典；惩罚性赔偿 专利权 知识产权
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,PASS,formal,6,24,11.9,权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值,"结合材料,运用《法律与生活》知识,分析上述案例。",劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,法律与生活 民法典；相邻关系；隐私权；侵权责任 隐私权；侵权责任 民法典 隐私权 民法典；相邻关系 侵权责任；赔礼道歉
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,PASS,formal,8,6,11.8,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,侵权
CC0238_2026_东城_二模_19,2026,东城,二模,19,PASS,formal,8,6,11.8,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；意义/价值收束任务,诚信原则；不正当竞争 合同
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,PASS_RECOVERED,formal,22,7,11.5,裁判理由/法院判决；评析行为/观点判断；纠纷解决/程序路径；制度意义/社会经济价值；婚姻家庭/继承,运用法治知识，对小海的观点进行评析。,相邻/民法原则事实；意义/价值收束任务,民法典 民法典；夫妻共同债务 民法典；夫妻共同财产
CC0277_2026_房山_二模_18,2026,房山,二模,18,PASS,formal,6,11,11.3,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；制度意义/社会经济价值；消费者权益/经营者责任,,劳动/用工事实；合同/责任事实；消费/IP/竞争事实,名誉权；反不正当竞争法 著作权 名誉权；反不正当竞争法 著作权 名誉权；著作权
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,PASS,formal,12,3,11.1,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,原告；被告；举证责任 民事诉讼；举证责任
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,PASS,formal,9,6,10.85,裁判理由/法院判决；合同/诚信履约；纠纷解决/程序路径；制度意义/社会经济价值,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,合同 诚信原则；公平原则
CC0373_2026_顺义_一模_18,2026,顺义,一模,18,PASS_RECOVERED,formal,3,7,10.45,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；婚姻家庭/继承,结合材料，运用《法律与生活》知识，闫某和张某的诉求能否得到法院的支持，并说明理由。,性别就业歧视；竞业限制协议；配偶投资竞争公司；共同财产利益一致性,劳动者平等就业权 劳动法平等就业；劳动者合法权益 就业歧视；公平平等原则 竞业限制协议 劳动合同法竞业限制 竞业限制；夫妻共同财产 劳动者权利义务；劳动关系
CC0245_2026_东城_期中_18_2,2026,东城,期中,18,PASS,formal,15,4,10.4,裁判理由/法院判决；权利保护/侵权责任；合同/诚信履约；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,合同/责任事实；程序/证据事实；意义/价值收束任务,违约责任；侵权责任；起诉；被告 上诉
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,PASS_RECOVERED,formal,18,4,10.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,民法典；违约责任；反不正当竞争法 违约金；被告
CC0206_2025_西城_期末_19,2025,西城,期末,19,PASS,formal,10,1,10.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用法律知识分析法院的判决。,合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,反不正当竞争法
CC0061_2024_西城_一模_18,2024,西城,一模,18,PASS_RECOVERED,formal,12,3,9.9,裁判理由/法院判决；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；婚姻家庭/继承,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,上诉 赡养
CC0063_2024_西城_二模_16,2024,西城,二模,16,PASS,formal,8,1,9.7,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,民事主体；经营者；惩罚性赔偿；知情权
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,PASS,formal,10,1,9.0,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；制度意义/社会经济价值,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,民法典；民事主体；知识产权；侵权责任；法律与生活
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,PASS,formal,4,6,9.0,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；制度意义/社会经济价值；消费者权益/经营者责任,,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,侵权 侵权 侵权
CC0103_2025_丰台_一模_19,2025,丰台,一模,19,PASS,formal,4,1,8.7,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,知识产权；原告；被告
CC0200_2025_西城_二模_18,2025,西城,二模,18,PASS,formal,7,1,8.65,裁判理由/法院判决；评析行为/观点判断；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,劳动/用工事实；合同/责任事实；相邻/民法原则事实；意义/价值收束任务,民法典；民事法律行为；民事行为能力；监护；监护人
CC0340_2026_西城_一模_17,2026,西城,一模,17,PASS,formal,7,1,8.65,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,民法典；物权；侵权责任
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,PASS,formal,4,5,8.5,裁判理由/法院判决；评析行为/观点判断；合同/诚信履约；劳动/就业权益；消费者权益/经营者责任,,劳动/用工事实；合同/责任事实；消费/IP/竞争事实,欺诈；劳动合同法；劳动合同 劳动者；知情权 劳动合同
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,PASS_RECOVERED,formal,9,1,8.15,裁判理由/法院判决；评析行为/观点判断；合同/诚信履约；纠纷解决/程序路径；制度意义/社会经济价值；婚姻家庭/继承,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,合同/责任事实；意义/价值收束任务,扶养；赡养；遗产；遗赠
CC0305_2026_海淀_一模_18_3,2026,海淀,一模,18,PASS_RECOVERED,formal,3,3,7.65,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；知识产权/创新保护；纠纷解决/程序路径；消费者权益/经营者责任,设问待 OCR 回补；评分细则显示要求判断是否支持原告诉讼请求，并说明隐私权、消费者知情权、虚假宣传/欺诈、侵权责任和惩罚性赔偿等法律依据。,包间私密活动；公开监控/聊天信息；虚假宣传治疗功效；诱导消费,民事权益保护；消费者权益保护 民法典隐私权；侵权责任 消费者权益保护法；诚信原则；惩罚性赔偿
CC0319_2026_海淀_期中_19,2026,海淀,期中,19,PASS,formal,3,1,7.05,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；制度意义/社会经济价值；消费者权益/经营者责任,,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；意义/价值收束任务,反不正当竞争法；经营者；侵权责任
CC0332_2026_石景山_二模_19,2026,石景山,二模,19,PASS_RECOVERED,formal,6,1,7.0,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；制度意义/社会经济价值；婚姻家庭/继承,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,相邻/民法原则事实；意义/价值收束任务,民法典；人格权；生命权；身体权；健康权
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,PASS,formal,6,1,6.6,评析行为/观点判断；合同/诚信履约；制度意义/社会经济价值；消费者权益/经营者责任,,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,民法典；民事主体；经营者
CC0317_2026_海淀_期中_18,2026,海淀,期中,18,PASS,formal,7,1,6.45,评析行为/观点判断；合同/诚信履约；制度意义/社会经济价值,,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,格式条款
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,PASS_RECOVERED,formal,6,1,5.6,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护,,合同/责任事实；相邻/民法原则事实,民法典
CC0276_2026_房山_二模_17,2026,房山,二模,17,PASS_RECOVERED,formal,6,1,5.6,知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值,,劳动/用工事实；程序/证据事实；意义/价值收束任务,
CC0195_2025_西城_一模_20,2025,西城,一模,20,PASS,formal,3,1,5.45,合同/诚信履约；劳动/就业权益；制度意义/社会经济价值,,劳动/用工事实；合同/责任事实；意义/价值收束任务,劳动法；劳动合同；劳动者；用人单位；劳动报酬
CC0162_2025_海淀_一模_18,2025,海淀,一模,18,OPEN_OR_REFERENCE,reference_only,8,4,5.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用《法律与生活》知识，谈谈对本案判决的认识。,劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,合同；公平原则 合同；诚信原则 合同
CC0040_2024_海淀_一模_19,2024,海淀,一模,19,OPEN_OR_REFERENCE,reference_only,9,1,4.35,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用《法律与生活》知识，谈谈对本案判决的认识。,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,民事主体；著作权
CC0318_2026_海淀_期中_18_2,2026,海淀,期中,18,PASS_RECOVERED,formal,4,1,4.3,合同/诚信履约；制度意义/社会经济价值,,合同/责任事实；意义/价值收束任务,格式条款
CC0311_2026_海淀_二模_18,2026,海淀,二模,18,OPEN_OR_REFERENCE,reference_only,12,5,3.7,知识产权/创新保护；劳动/就业权益；制度意义/社会经济价值,,劳动/用工事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,知识产权 知识产权 知识产权 知识产权
CC0380_2026_顺义_二模_18_2,2026,顺义,二模,18,OPEN_OR_REFERENCE,formal,3,4,2.75,评析行为/观点判断；权利保护/侵权责任；知识产权/创新保护；纠纷解决/程序路径；消费者权益/经营者责任,设问待从试卷 OCR 回补；评标答案显示要求从必修3《政治与法治》和选必2《法律与生活》角度分析开源智能体法律风险与治理。,开源智能体；财产权；隐私权；个人信息利益；多元纠纷解决；民事责任,财产权；隐私权；个人信息保护 民法典；隐私权；个人信息合法正当必要原则 多元纠纷解决；诉讼/仲裁/调解 侵权责任承担方式
CC0353_2026_西城_期中_17,2026,西城,期中,17,OPEN_OR_REFERENCE,reference_only,2,1,1.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,合同/责任事实；消费/IP/竞争事实；意义/价值收束任务,反不正当竞争法；赔偿损失
