"file","line","bucket","core","count"
"student_final","3182","政治多极化","共同但有区别的责任；发达国家应认真兑现承诺，为完善全球气候治理承担更多责任","1"
"student_final","3207","政治多极化","跨国公司等全球企业，尤其是工业领域企业，应致力于技术创新，加快绿色低碳转型，努力降低碳排放","1"
"student_final","3234","政治多极化","世界多极化与全球南方联合自强","4"
"student_final","3318","政治多极化","国际组织","1"
"student_final","3343","政治多极化","超越集团政治的“小圈子”规则；超越实力至上的逻辑；超越少数西方国家定义的“普世价值”","1"
"student_final","3368","政治多极化","反对单边主义、霸权主义和强权政治","1"
"student_final","3393","政治多极化","在平等互利基础上开展合作；互利共赢","1"
"student_final","3435","中国","坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局","2"
"student_final","3479","中国","贡献中国智慧、中国方案、中国力量","8"
"student_final","3635","中国","坚持正确义利观","5"
"student_final","3734","中国","中国综合国力、国际地位和话语权提升","5"
"student_final","3831","中国","习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）","3"
"student_final","3892","中国","新中国外交始终服务于我国人民民主专政的国家性质；坚持党对外交统一集中领导","2"
"student_final","3934","中国","中国坚持独立自主和平外交与和平共处五项原则","6"
"student_final","4052","中国","与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢","1"
"student_final","4077","中国","中国推动构建人类命运共同体","12"
"student_final","4315","中国","中国作为联合国创始会员国 / 安理会常任理事国；世界上最大的发展中国家 / 国际政治经济格局中的重要力量","1"
"student_final","4340","中国","坚持正确义利观，在发展合作中共享机遇","1"
"student_final","4365","中国","改善发展中国家民生并助力持续发展","2"
"student_final","4409","中国","民心相通与文明互鉴","2"
"student_final","4453","中国","全球发展倡议：以发展促繁荣","2"
"student_final","4497","中国","全球安全倡议：以安全保稳定","2"
"student_final","4541","中国","全球文明倡议：以文明增互信","2"
"student_final","4585","中国","全球治理倡议：以治理求公正","1"
"student_final","4610","中国","从中国主张到国际共识，从合作理念到共同行动","1"
"student_final","4635","中国","南南合作与全球南方共同发展","2"
"student_final","4679","中国","中国积极参与国际组织，在联合国、金砖国家、二十国集团、博鳌亚洲论坛等国际组织中的作用日益显著，已成为全球治理体系的重要参与者、贡献者和改革者","1"
"student_final","4706","中国","中国推进绿色低碳转型并参与全球气候治理","5"
"student_final","4809","中国","中国是负责任大国并勇于担当","5"
"student_final","4910","中国","坚持独立自主、自力更生，增强发展主动权","2"
"student_final","4954","中国","贯彻维护世界和平、促进共同发展的宗旨；促进世界的和平与发展为基本目标","1"
"student_final","4979","中国","促进技术共享和民生改善；为全球可持续发展贡献力量","2"
"student_final","5023","中国","倡导文明平等互鉴；弘扬全人类共同价值；尊重世界文明多样性","1"
"student_final","5050","中国","聚焦发展中国家紧迫需求；灵活实施；快速响应基层社区需求；规模小更易统筹、可推广，形成品牌和共同发展目标","1"
"student_final","5075","中国","理念蕴含普遍价值，能够形成共识、促成合作和发展、应对全人类共同问题和共同挑战","1"
"student_final","5113","联合国","维护《联合国宪章》宗旨和原则","5"
"student_final","5212","联合国","维护以联合国为核心的国际体系","2"
"student_final","5256","联合国","落实联合国2030年可持续发展议程","2"
"student_final","5313","附：总说句 / 兜底加分表达","【兜底】中国特色大国外交主动作为，是顺应世界发展大势、服务国家发展大局的必然选择","1"
