delta_status,suite_guess,role,suffix,cache_status,cache_chars,source_path
present_in_previous_extract,2024石景山一模,other,.pptx,text-extracted,12457,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx
present_in_previous_extract,2024石景山一模,answer,.docx,text-extracted,9185,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx
present_in_previous_extract,2024西城一模,answer,.docx,text-extracted,1760,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx
present_in_previous_extract,2024西城一模,rubric,.docx,text-extracted,3145,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx
present_in_previous_extract,2024西城一模,paper,.docx,text-extracted,7314,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx
present_in_previous_extract,2023东城二模,answer,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,1663,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx
present_in_previous_extract,2024东城二模,rubric,.pptx,text-extracted,1459,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,809,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,1141,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,1118,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,1952,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,1542,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,578,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,728,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx
present_in_previous_extract,2024东城二模,rubric,.docx,text-extracted,1262,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx
present_in_previous_extract,2024东城二模,rubric,.pptx,text-extracted,1878,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx
present_in_previous_extract,2023东城二模,paper,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf
present_in_previous_extract,2024丰台二模,rubric,.docx,text-extracted,3784,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx
present_in_previous_extract,2024丰台二模,paper,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf
present_in_previous_extract,2024朝阳二模,answer,.docx,text-extracted,1791,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx
present_in_previous_extract,2024朝阳二模,rubric,.pdf,text-extracted,5871,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf
present_in_previous_extract,2024朝阳二模,paper,.pdf,text-extracted,8895,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf
present_in_previous_extract,2024海淀二模,answer,.docx,text-extracted,1718,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\其他材料\高三二模：政治答案(2).docx
present_in_previous_extract,2024海淀二模,rubric,.docx,text-extracted,2684,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx
present_in_previous_extract,2024海淀二模,paper,.docx,text-extracted,8074,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三二模：政治试题（以PDF为准）(1).docx
present_in_previous_extract,2024海淀二模,paper,.pdf,text-extracted,7662,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三政治：二模试题（海）(1).pdf
present_in_previous_extract,2024东城二模,rubric,.pdf,text-extracted,359,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pdf
present_in_previous_extract,2024东城二模,rubric,.pptx,text-extracted,374,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pptx
present_in_previous_extract,2024西城二模,answer,.docx,text-extracted,1989,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\高三模拟测试思想政治答案.docx
present_in_previous_extract,2024西城二模,rubric,.docx,text-extracted,3637,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\细则\2024西城二模细则.docx
present_in_previous_extract,2024西城二模,paper,.docx,text-extracted,7323,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx
present_in_previous_extract,2024顺义二模,rubric,.docx,text-extracted,2145,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx
present_in_previous_extract,2024顺义二模,paper,.docx,text-extracted,7986,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx
present_in_previous_extract,2024朝阳期中,rubric,.docx,text-extracted,14683,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标2.docx
present_in_previous_extract,2024朝阳期中,rubric,.docx,text-extracted,5026,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标docx.docx
present_in_previous_extract,2024朝阳期中,paper,.pdf,text-extracted,7923,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题(1).pdf
present_in_previous_extract,2024朝阳期中,paper,.pdf,text-extracted,7923,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题.pdf
present_in_previous_extract,2024海淀期中,rubric,.pdf,text-extracted,14297,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf
present_in_previous_extract,2024海淀期中,paper,.pdf,text-extracted,470,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\试卷\海淀区2024～2025学年第一学期期中练习政治试题.pdf
present_in_previous_extract,2024一模,paper,.docx,text-extracted,3831,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修1.docx
present_in_previous_extract,2024一模,paper,.docx,text-extracted,10239,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修2 .docx
present_in_previous_extract,2024一模,paper,.docx,text-extracted,12309,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修3.docx
present_in_previous_extract,2024一模,paper,.docx,text-extracted,11281,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修4.docx
present_in_previous_extract,2024一模,paper,.docx,text-extracted,11806,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx
present_in_previous_extract,2024一模,paper,.docx,text-extracted,12578,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx
present_in_previous_extract,2024一模,paper,.doc,text-extracted,9693,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必3.doc
present_in_previous_extract,2025东城一模,rubric,.pdf,text-extracted,5623,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf
present_in_previous_extract,2025东城一模,answer,.pdf,text-extracted,7822,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf
present_in_previous_extract,2025丰台一模,rubric,.docx,text-extracted,6053,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx
present_in_previous_extract,2025丰台一模,answer,.pdf,text-extracted,8547,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf
present_in_previous_extract,2025延庆一模,rubric,.docx,text-extracted,2621,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx
present_in_previous_extract,2025延庆一模,answer,.pdf,text-extracted,9399,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf
present_in_previous_extract,2025房山一模,rubric,.pdf,text-extracted,3400,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\细则\2025房山一模细则.pdf
present_in_previous_extract,2025房山一模,answer,.pdf,text-extracted,15900,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf
present_in_previous_extract,2025朝阳一模,rubric,.doc,text-extracted,1522,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc
present_in_previous_extract,2025朝阳一模,rubric,.doc,text-extracted,3075,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc
present_in_previous_extract,2025朝阳一模,rubric,.doc,text-extracted,2758,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结19题 合同欺诈  阐释论证.doc
present_in_previous_extract,2025朝阳一模,rubric,.pptx,text-extracted,12633,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx
present_in_previous_extract,2025朝阳一模,rubric,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\细则\2025朝阳一模细则.pdf
present_in_previous_extract,2025朝阳一模,answer,.pdf,text-extracted,9673,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf
present_in_previous_extract,2025海淀一模,paper,.pdf,text-extracted,2709,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf
present_in_previous_extract,2025海淀一模,rubric,.docx,text-extracted,1755,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx
present_in_previous_extract,2025海淀一模,answer,.pdf,text-extracted,9016,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf
present_in_previous_extract,2025石景山一模,rubric,.doc,text-extracted,2827,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc
present_in_previous_extract,2025石景山一模,answer,.pdf,text-extracted,10216,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf
present_in_previous_extract,2025西城一模,rubric,.docx,text-extracted,4269,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx
present_in_previous_extract,2025西城一模,answer,.pdf,text-extracted,9612,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf
present_in_previous_extract,2025门头沟一模,rubric,.doc,text-extracted,3441,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\细则\2025门头沟一模细则.doc
present_in_previous_extract,2025门头沟一模,answer,.pdf,text-extracted,10024,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf
present_in_previous_extract,2025顺义一模,rubric,.docx,text-extracted,3898,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\细则\2025顺义一模细则.docx
present_in_previous_extract,2025顺义一模,answer,.pdf,text-extracted,18486,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\试卷\2025北京顺义高三一模政治（教师版）.pdf
present_in_previous_extract,2025东城二模,rubric,.pdf,text-extracted,5398,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf
present_in_previous_extract,2025东城二模,answer,.pdf,text-extracted,7964,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\试卷\2025北京东城高三二模政治（教师版）.pdf
present_in_previous_extract,2025丰台二模,rubric,.doc,text-extracted,5525,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\16.(1).doc
present_in_previous_extract,2025丰台二模,rubric,.docx,text-extracted,873,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\16.(2).docx
present_in_previous_extract,2025丰台二模,rubric,.docx,text-extracted,2026,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\17题.docx
present_in_previous_extract,2025丰台二模,rubric,.docx,text-extracted,7586,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\18题 .docx
present_in_previous_extract,2025丰台二模,rubric,.docx,text-extracted,1391,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\19.(1).docx
present_in_previous_extract,2025丰台二模,rubric,.docx,text-extracted,2410,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\19.(2).docx
present_in_previous_extract,2025丰台二模,rubric,.docx,text-extracted,2515,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\20题.docx
present_in_previous_extract,2025丰台二模,rubric,.docx,text-extracted,1306,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\21题.docx
present_in_previous_extract,2025丰台二模,answer,.pdf,text-extracted,9314,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\试卷\2025北京丰台高三二模政治（教师版）.pdf
present_in_previous_extract,2025昌平二模,rubric,.pptx,text-extracted,7786,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模\细则\2025昌平二模细则.pptx
present_in_previous_extract,2025昌平二模,answer,.pdf,text-extracted,9421,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模\试卷\2025北京昌平高三二模政治（教师版）.pdf
present_in_previous_extract,2025朝阳二模,paper,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\其他材料\扫描全能王 2025-05-13 21.42.pdf
present_in_previous_extract,2025朝阳二模,rubric,.docx,text-extracted,8011,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\细则\2025朝阳二模细则.docx
present_in_previous_extract,2025朝阳二模,answer,.pdf,text-extracted,9536,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\试卷\2025北京朝阳高三二模政治（教师版）.pdf
present_in_previous_extract,2025海淀二模,rubric,.pdf,text-extracted,11705,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\其他材料\2025届二模考试讲评0510.pdf
present_in_previous_extract,2025海淀二模,rubric,.docx,text-extracted,2129,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\其他材料\2025年海淀二模评标实录.docx
present_in_previous_extract,2025海淀二模,rubric,.docx,text-extracted,2509,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\细则\2025海淀二模细则.docx
present_in_previous_extract,2025海淀二模,paper,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\试卷\2025北京海淀高三二模政治.pdf
present_in_previous_extract,2025西城二模,rubric,.docx,text-extracted,4463,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\细则\2025西城二模细则.docx
present_in_previous_extract,2025西城二模,answer,.pdf,text-extracted,9481,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\试卷\2025北京西城高三二模政治（教师版）.pdf
present_in_previous_extract,2025东城期末,rubric,.pdf,text-extracted,3201,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\其他材料\2025。1东城讲评 修改.pdf
present_in_previous_extract,2025东城期末,rubric,.pptx,text-extracted,3707,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\细则\2025东城期末细则.pptx
present_in_previous_extract,2025东城期末,answer,.pdf,text-extracted,21307,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\试卷\2025北京东城高三（上）期末政治（教师版）.pdf
present_in_previous_extract,2025丰台期末,rubric,.pptx,text-extracted,9690,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx
present_in_previous_extract,2025丰台期末,answer,.pdf,text-extracted,17199,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf
present_in_previous_extract,2025朝阳期末,other,.pptx,text-extracted,12757,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\其他材料\朝阳高三期末2025.pptx
present_in_previous_extract,2025朝阳期末,rubric,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\细则\2025朝阳期末细则.pdf
present_in_previous_extract,2025朝阳期末,answer,.pdf,text-extracted,9565,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\试卷\2025北京朝阳高三（上）期末政治（教师版）.pdf
present_in_previous_extract,2025海淀期中,rubric,.docx,text-extracted,1463,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\细则\2025海淀期中细则.docx
present_in_previous_extract,2024海淀期中,answer,.pdf,text-extracted,9551,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\试卷\2024北京海淀高三（上）期中政治（教师版）.pdf
present_in_previous_extract,2025海淀期末,rubric,.pptx,text-extracted,12421,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\细则\2025海淀期末细则.pptx
present_in_previous_extract,2025海淀期末,answer,.docx,text-extracted,10021,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\试卷\2025北京海淀高三（上）期末政治（教师版）.docx
present_in_previous_extract,2025西城期末,rubric,.pdf,text-extracted,3952,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\细则\2025西城期末细则.pdf
present_in_previous_extract,2025西城期末,answer,.pdf,text-extracted,7990,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\试卷\2025北京西城高三（上）期末政治（教师版）.pdf
present_in_previous_extract,2026东城一模,paper,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026东城一模 原卷扫描版.pdf
present_in_previous_extract,2026东城一模,answer,.pdf,text-extracted,7954,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf
present_in_previous_extract,2026东城一模,rubric,.pdf,text-extracted,5432,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\26东城一模细则.pdf
present_in_previous_extract,2026东城一模,rubric,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模细则.pdf
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1744,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\16.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1190,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\17.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1177,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\18+选择7、13.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,122,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（1）.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1217,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（2）.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1128,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（3）.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1050,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（4）.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,842,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\20.pptx
present_in_previous_extract,2026东城一模,rubric,.pdf,text-extracted,5432,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\其他材料\26东城一模细则.pdf
present_in_previous_extract,2026东城一模,rubric,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\其他材料\东城一模细则.pdf
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1744,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\16.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1190,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\17.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1177,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\18+选择7、13.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,122,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（1）.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1217,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（2）.pptx
present_in_previous_extract,2026东城一模,rubric,.pptx,text-extracted,1128,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（3）.pptx
