year,suite,files_total,main_q_nums,choice_q_nums,uncertain_q_nums,rubric_files_count,rubric_files_sample,status
2025,2025朝阳一模,5,19,11,11,4,2025各区一模__2025朝阳一模__细则__细则.pdf.txt;2025各区一模__2025朝阳一模__细则__补充材料__20250329高3阅卷总结17_1题_具身智能_任会波组_阐释论证.doc.txt;2025各区一模__2025朝阳一模__细则__补充材料__20250329高3阅卷总结18题_社区治理_汤桃玲组_探究建构.doc.txt,has_xuanbier_main
2025,2025朝阳二模,3,,,,1,2025各区二模__2025朝阳二模__细则__细则.docx.txt,no_xuanbier
2025,2025朝阳期末,3,20,,,1,2025各区期末__2025朝阳期末__细则__细则.pdf.txt,has_xuanbier_main
2025,2025海淀一模,3,,,,1,2025各区一模__2025海淀一模__细则__细则.docx.txt,no_xuanbier
2025,2025海淀二模,4,,,,2,2025各区二模__2025海淀二模__细则__细则.docx.txt;2025各区二模__2025海淀二模__细则__补充材料__2025年海淀二模评标实录.docx.txt,no_xuanbier
2025,2025海淀期中,2,,10,10,1,2025各区期末__2025海淀期中__细则__细则.docx.txt,has_xuanbier_choice_only
2025,2025海淀期末,2,"20,21,22","2,8,9,10,11,12,14,15",2,1,2025各区期末__2025海淀期末__细则__细则.pptx.txt,has_xuanbier_main
2025,2025石景山一模,2,"20,21",,,1,2025各区一模__2025石景山一模__细则__细则.doc.txt,has_xuanbier_main
2025,2025西城一模,2,,9,,1,2025各区一模__2025西城一模__细则__细则.docx.txt,has_xuanbier_choice_only
2025,2025西城二模,2,,,,1,2025各区二模__2025西城二模__细则__细则.docx.txt,no_xuanbier
2025,2025西城期末,2,,1,,1,2025各区期末__2025西城期末__细则__细则.pdf.txt,has_xuanbier_choice_only
2025,2025门头沟一模,2,"16,20","3,12,13",16,1,2025各区一模__2025门头沟一模__细则__细则.doc.txt,has_xuanbier_main
2025,2025顺义一模,2,,,,1,2025各区一模__2025顺义一模__细则__细则.docx.txt,no_xuanbier
2026,2026东城一模,12,,,,10,2026各区一模__2026东城一模__细则__分题细则__东城一模评标细则_勿传___16.pptx.txt;2026各区一模__2026东城一模__细则__分题细则__东城一模评标细则_勿传___17.pptx.txt;2026各区一模__2026东城一模__细则__分题细则__东城一模评标细则_勿传___18+选择7_13.pptx.txt,no_xuanbier
2026,2026东城期末,2,18,"10,11",,1,2026各区期末和期中__2026东城期末__细则__细则.pptx.txt,has_xuanbier_main
2026,2026丰台一模,2,20,,,1,2026各区一模__2026丰台一模__细则__细则.pptx.txt,has_xuanbier_main
2026,2026丰台期末,2,18,,18,1,2026各区期末和期中__2026丰台期末__细则__细则.pdf.txt,has_xuanbier_main
2026,2026延庆一模,2,,,,1,2026各区一模__2026延庆一模__细则__细则.docx.txt,no_xuanbier
2026,2026房山一模,2,,8,,1,2026各区一模__2026房山一模__细则__细则.docx.txt,has_xuanbier_choice_only
2026,2026朝阳一模,2,18,10,,1,2026各区一模__2026朝阳一模__细则__细则.docx.txt,has_xuanbier_main
2026,2026朝阳期中,3,,,,2,2026各区期末和期中__2026朝阳期中__细则__细则.docx.txt;2026各区期末和期中__2026朝阳期中__细则__补充材料__细则.docx.txt,no_xuanbier
2026,2026朝阳期末,2,17,,,1,2026各区期末和期中__2026朝阳期末__细则__细则.pdf.txt,has_xuanbier_main
2026,2026海淀一模,2,,3,,1,2026各区一模__2026海淀一模__细则__细则.pdf.txt,has_xuanbier_choice_only
2026,2026海淀期中,2,,,,0,,no_xuanbier
2026,2026海淀期末,2,,,,1,2026各区期末和期中__2026海淀期末__细则__细则.pdf.txt,no_xuanbier
2026,2026石景山一模,2,18,,,1,2026各区一模__2026石景山一模__细则__细则.doc.txt,has_xuanbier_main
2026,2026石景山期末,0,,,,0,,no_xuanbier
2026,2026西城一模,3,17,,,1,2026各区一模__2026西城一模__细则__细则.docx.txt,has_xuanbier_main
2026,2026西城期末,3,,,,3,2026各区期末和期中__2026西城期末__细则__细则.pdf.txt;2026各区期末和期中__2026西城期末__细则__补充材料__西城高三期末评标.pptx.txt;2026各区期末和期中__2026西城期末__细则__补充材料__高三思想政治参考答案.pdf.txt,no_xuanbier
2026,2026通州期末,2,,"12,13",,1,2026各区期末和期中__2026通州期末__细则__细则.pptx.txt,has_xuanbier_choice_only
2026,2026门头沟一模,2,,,,1,2026各区一模__2026门头沟一模__细则__细则.docx.txt,no_xuanbier
2026,2026顺义一模,2,,,,1,2026各区一模__2026顺义一模__细则__细则.pptx.txt,no_xuanbier
