paragraph,module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,card_path,材料触发点,设问,为什么能想到,答案落点,同题组,prompt_check,answer_check,think_check,samegroup_check,qa_flags
161,时代背景,机遇,和平与发展仍是时代主题,11,2026石景山二模Q18,,2026_石景山_二模_Q18,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_二模_Q18.md,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。问法追问成立根据，材料事实要上升为理论支点。 抓住这条线，就能把材料转换为：中国与东盟经贸合作提质升级，顺应经济全球化趋势、符合和平与发展的时代主题，推动区域共同发展。,中国与东盟经贸合作提质升级，顺应经济全球化趋势、符合和平与发展的时代主题，推动区域共同发展。,,EXACT,PARTIAL,PRESENT,OK,
170,时代背景,机遇,和平与发展仍是时代主题,12,2026延庆一模Q19(2),"——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026_延庆_一模_Q19_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_延庆_一模_Q19_2.md,题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求；设问问理论逻辑，必须先给出合作成立的理论解释。,结合材料二，运用《当代国际政治与经济》知识，说明中国“推动重塑全球能源治理格局”的理论逻辑和价值意蕴。,"题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求；设问问理论逻辑，必须先给出合作成立的理论解释。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。问法追问成立根据，材料事实要上升为理论支点。 抓住这条线，就能把材料转换为：中国顺应和平、发展、合作、共赢的历史潮流，以""一带一路""为平台推动全球能源治理，符合国际交往与合作的基本逻辑。","中国顺应和平、发展、合作、共赢的历史潮流，以""一带一路""为平台推动全球能源治理，符合国际交往与合作的基本逻辑。",,PARTIAL,PARTIAL,PRESENT,OK,
180,时代背景,机遇,和平与发展仍是时代主题,13,2026朝阳一模Q20,,2026_朝阳_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_一模_Q20.md,"设问问""为什么能""，要回答中国向世界释放正能量的能力来源。材料给出中国科技创新、自主研发芯片、新能源汽车产量等事实——触发的是国际竞争实质论与中国创新驱动战略对综合国力的支撑，而不是把""全球产业链供应链稳定""当作要积累的核心答题点。",结合材料，运用《当代国际政治与经济》知识，阐述中国为什么能为全球发展注入稳定性和正能量。,"设问问""为什么能""，要回答中国向世界释放正能量的能力来源。材料给出中国科技创新、自主研发芯片、新能源汽车产量等事实——触发的是国际竞争实质论与中国创新驱动战略对综合国力的支撑，而不是把""全球产业链供应链稳定""当作要积累的核心答题点。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。问法追问成立根据，材料事实要上升为理论支点。 抓住这条线，就能把材料转换为：中国坚定不移扩大高水平对外开放、推动贸易投资自由化便利化，顺应了和平与发展这一时代主题，为全球发展注入稳定性。",中国坚定不移扩大高水平对外开放、推动贸易投资自由化便利化，顺应了和平与发展这一时代主题，为全球发展注入稳定性。,,EXACT,NO_MATCH,PRESENT,OK,
190,时代背景,机遇,和平与发展仍是时代主题,14,2025东城二模Q20,,2025_东城_二模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_二模_Q20.md,题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。写作类设问先立观点，再用材料线索支撑观点。 抓住这条线，就能把材料转换为：当前国际局势变乱交织，而和平与发展仍是时代主题，需各国携手应对挑战、共谋发展。,当前国际局势变乱交织，而和平与发展仍是时代主题，需各国携手应对挑战、共谋发展。,,EXACT,NO_MATCH,PRESENT,OK,
200,时代背景,机遇,和平与发展仍是时代主题,15,2026石景山一模Q20,,2026_石景山_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_一模_Q20.md,"题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容，问中国倡议如何助推亚太合作；亚太各国能在这些方向上联动合作，前提是它们具有相互交织的共同利益。",运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。,"题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容，问中国倡议如何助推亚太合作 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。问法追问行动路径，材料里的做法要转成政策原则和治理逻辑。 抓住这条线，就能把材料转换为：中国倡议顺应和平、发展、合作、共赢的潮流，致力于亚太和平合作与共同发展。",中国倡议顺应和平、发展、合作、共赢的潮流，致力于亚太和平合作与共同发展。,,EXACT,NO_MATCH,PRESENT,OK,
210,时代背景,机遇,和平与发展仍是时代主题,16,2026海淀二模Q20(2),,2026_海淀_二模_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_二模_Q20_2.md,全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来。,结合材料，运用《当代国际政治与经济》知识，围绕全球发展倡议从合作理念到丰富实践这一主题，撰写一篇短评。,全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。写作类设问先立观点，再用材料线索支撑观点。 抓住这条线，就能把材料转换为：和平与发展仍是当今时代主题，面对全球发展新挑战，同球共济、团结合作才是正确选择，全球发展倡议顺应了这一潮流。,和平与发展仍是当今时代主题，面对全球发展新挑战，同球共济、团结合作才是正确选择，全球发展倡议顺应了这一潮流。,,EXACT,NO_MATCH,PRESENT,OK,
219,时代背景,机遇,和平与发展仍是时代主题,17,2025房山一模Q18(2),,2025_房山_一模_Q18_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_房山_一模_Q18_2.md,开源战略题要求阐释技术革新如何成为全球合作新模式，DeepSeek开源让全球开发者自由使用和改进，部分国家企业低成本开发本地化AI模型，说明科技开放可以推动开放型世界经济和经济全球化发展。,“中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。,开源战略题要求阐释技术革新如何成为全球合作新模式，DeepSeek开源让全球开发者自由使用和改进，部分国家企业低成本开发本地化AI模型，说明科技开放可以推动开放型世界经济和经济全球化发展。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。开放式问法先定性，再把材料事实转成理论判断。 抓住这条线，就能把材料转换为：顺应和平与发展的国际潮流，中国以开源战略加强国际交流合作，积极参与全球治理，推动全球合作新模式。,顺应和平与发展的国际潮流，中国以开源战略加强国际交流合作，积极参与全球治理，推动全球合作新模式。,,EXACT,NO_MATCH,PRESENT,OK,
230,时代背景,机遇,和平与发展仍是时代主题,18,2026顺义一模Q21,,2026_顺义_一模_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q21.md,“审势、乘势、驭势”综合题的作答要求单列国政经角度：和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，坚持多边主义，坚持互利共赢，倡导人类命运共同体，为世界和平与发展提供中国智慧和中国方案。,结合材料，综合运用所学，谈谈以中国式现代化全面推进中华民族伟大复兴，应如何运用“审势、乘势、驭势”的智慧。,“审势、乘势、驭势”综合题的作答要求单列国政经角度：和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，坚持多边主义，坚持互利共赢，倡导人类命运共同体，为世界和平与发展提供中国智慧和中国方案。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。问法追问行动路径，材料里的做法要转成政策原则和治理逻辑。 抓住这条线，就能把材料转换为：和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，应顺应时代潮流乘势而上。,和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，应顺应时代潮流乘势而上。,,PARTIAL,PARTIAL,PRESENT,OK,
242,时代背景,挑战,百年变局与外部风险挑战,1,2025东城二模Q20,,2025_东城_二模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_二模_Q20.md,题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,"题面开头一口气列出经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义、气候变化等多类问题；这是典型的""变乱交织""信号。小论文要求论证""同球共济""为何提出，首层必须先把外部风险挑战交代到位，再讨论应对。先说明当今国际局势变乱交织、人类面临多重风险挑战，再把这些挑战接为""同球共济""必要性的来源，最后承接中国主张。",当今国际局势变乱交织，局部动荡不断，人类面临经济复苏乏力、贸易保护主义、冲突动荡和非传统安全威胁等诸多问题和挑战，因此更需要弘扬“同球共济”精神。,（本题8分）,EXACT,NO_MATCH,PRESENT,OK,
252,时代背景,挑战,百年变局与外部风险挑战,2,2024朝阳一模Q21,,2024_朝阳_一模_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_一模_Q21.md,题目先要求分析“变局”中的经济形势，题目评价重点提示我国发展的外部环境日趋严峻、风险挑战增多，因此要先说明外部风险压力。,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。,"题目评价重点集中在我国外部环境日趋严峻、风险挑战增多；这是典型的“变局”中分析经济形势的信号。设问指向先分析""变局""中的经济形势再谈开新局，分析形势就要把外部环境的严峻性立住。先说明我国外部环境日趋严峻、风险挑战增多，再把外部压力接为统筹发展与安全的必要性，最后承接以新安全格局保障新发展格局的开新局思路。",我国发展的外部环境日趋严峻、风险挑战增多，使中国经济开新局必须统筹发展与安全。,,PARTIAL,PARTIAL,PRESENT,OK,
262,时代背景,挑战,气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,1,2024朝阳二模Q20,,2024_朝阳_二模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_二模_Q20.md,表格题先要求形成研讨共识，研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁，因此必须先说明气候治理的全球公共问题属性。,结合研讨背景，运用《当代国际政治与经济》知识，完成下表。,"研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁；这些威胁是跨国、跨域、跨代的，单一国家无法独立解决。表格题要先填""基本原则""再填""共识""，原则部分必须先说明气候治理的全球公共属性，否则后面的共识缺少依据。先把气候变化定性为全人类共同风险和挑战、已成为全球治理重要议题，再把粮食/生态/能源等威胁接为风险表现，最后承接共同责任落点。",气候变化给全人类带来巨大风险和挑战，已成为全球治理的重要议题，各国应把应对气候变化作为共同责任推进。,,EXACT,PARTIAL,PRESENT,OK,
273,理论,合作,国家间共同利益是国家合作的基础,1,2025东城一模Q20,,2025_东城_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_一模_Q20.md,此次出访中，中国同秘鲁签署自贸协定升级议定书和共建“一带一路”合作规划，并在11天内达成60多项合作文件，说明相关国家围绕贸易合作、区域合作和发展议题存在共同利益。,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。,题面给出自贸协定升级议定书、共建“一带一路”合作规划以及11天60多项合作文件等具体落点，呈现的是高密度、跨议题的双边务实合作。问元首外交的“精彩”之处，要求解释这些密集合作为什么能落地，而不是把签约成果罗列一遍。先把贸易、区域和发展议题统摄到双方共同利益上，再写国家间共同利益是国家合作的基础，最后接到此次出访拓展务实合作的具体表现。,此次元首外交围绕自贸协定升级、共建“一带一路”合作规划和多项合作文件拓展务实合作，体现国家间共同利益是合作的基础。,,EXACT,NO_MATCH,PRESENT,OK,
