paragraph,module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,card_path,材料触发点,设问,为什么能想到,答案落点,同题组,prompt_check,answer_check,think_check,samegroup_check,qa_flags
222,时代背景,机遇,和平与发展仍是时代主题,19,2026顺义一模Q21,,2026_顺义_一模_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q21.md,“审势、乘势、驭势”综合题的作答要求单列国政经角度：和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，坚持多边主义，坚持互利共赢，倡导人类命运共同体，为世界和平与发展提供中国智慧和中国方案。,结合材料，综合运用所学，谈谈以中国式现代化全面推进中华民族伟大复兴，应如何运用“审势、乘势、驭势”的智慧。,,和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，应顺应时代潮流乘势而上。,,PARTIAL,PARTIAL,EMPTY,OK,MISSING_WHY
329,理论,合作,国家间共同利益是国家合作的基础,8,2026顺义一模Q20,,2026_顺义_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q20.md,"设问问南南合作""典范""的深层逻辑。要回答""为什么是典范""，必须把科技小院与发展中国家共享农业技术、降低成本、培养人才接回经济全球化方向的""普惠、平衡、共赢""——这是材料里明确列入国际经济层的答题核心。",结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。,,国家间共同利益是合作的基础，中国与南方国家在农业发展上利益交汇，科技小院正是基于共同利益的合作典范。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
338,理论,合作,国家间共同利益是国家合作的基础,9,2024朝阳二模Q20,,2024_朝阳_二模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_二模_Q20.md,表格题先要求形成研讨共识，研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁，因此必须先说明气候治理的全球公共问题属性。,结合研讨背景，运用《当代国际政治与经济》知识，完成下表。,,各方达成共识：气候治理是人类共同责任，各国基于共同利益携手建立公平合理、合作共赢的全球气候治理体系。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
345,理论,合作,国家间共同利益是国家合作的基础,11,2026海淀二模Q20(2),,2026_海淀_二模_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_二模_Q20_2.md,全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来。,结合材料，运用《当代国际政治与经济》知识，围绕全球发展倡议从合作理念到丰富实践这一主题，撰写一篇短评。,,全球发展倡议契合全人类共同利益，共同利益是国家合作的基础，近百个国家同中方签署合作文件、携手共谋发展。,,EXACT,NO_MATCH,EMPTY,OK,BAD_SEQUENCE_EXPECT_10;MISSING_WHY
353,理论,合作,国家间共同利益是国家合作的基础,12,2024西城二模Q19,中国答案的国际关系新思路,2024_西城_二模_Q19,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q19.md,题面把恃强凌弱、零和博弈、结盟对抗作为旧国际关系的问题，需要把中国答案放回当今世界主题之下，说明它顺应而非违背和平与发展的时代潮流。,结合材料，阐述中国答案所体现的处理国际关系的新思路。,,全人类是命运与共的大家庭，国与国之间利益交汇、命运交织、休戚与共，共同利益是处理国际关系合作共赢的基础。,,EXACT,PARTIAL,EMPTY,ITEM_NOT_CORE,MISSING_WHY;SAMEGROUP_ITEM_NOT_CORE
361,理论,合作,国家间共同利益是国家合作的基础,13,2025延庆一模Q20(2),"外交部发言人回应""脱钩断链""",2025_延庆_一模_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_延庆_一模_Q20_2.md,"材料二中个别国家鼓噪""脱钩断链""和供应链""去风险""，与近70个国家和地区企业到链博会寻找""链""通中外方案形成对照；要论证供应链合作的正当性，必须用时代主题判定""合作""才是符合潮流的方向，""脱钩""违背潮流。",假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,,维护全球产供链韧性和稳定符合国际社会的共同利益，共同利益是国家合作的基础，各国应深化产供链合作共识。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
371,理论,合作,国家间共同利益是国家合作的基础,14,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目指向分析中国特色大国外交更有作为的必要性，材料呈现“构建周边命运共同体—妥善管控矛盾分歧—让人民远离冲突和战争—共建安宁家园—培育战略互信”的关系链，要求从时代主题和中国外交的共同体目标说明主动作为的理由。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,,国家间共同利益是国家合作的基础，中国更有作为正是顺应各国共谋发展的共同利益，为世界发展大局贡献力量。,,EXACT,NO_MATCH,EMPTY,ITEM_NOT_CORE,MISSING_WHY;SAMEGROUP_ITEM_NOT_CORE
420,理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,5,2025东城一模Q21,,2025_东城_一模_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_一模_Q21.md,教育强国题的材料二写到“当今世界变乱交织，大国博弈更加激烈复杂”，作答要求把“教育的战略支撑地位”“人才与国际竞争力的关系”“综合国力和国际竞争力”列为可作答角度。,结合材料，综合运用所学，谈谈你对“教育是强国建设、民族复兴之基”的理解。,,教育具有战略支撑地位，能够促进人才培养、提升劳动者技术水平和创新能力，增强我国综合国力和国际竞争力，支撑强国建设和民族复兴。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
426,理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,6,2026石景山二模Q18,,2026_石景山_二模_Q18,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_二模_Q18.md,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,,国家实力是影响国际关系的决定性因素，中国与东盟深化经贸合作可增强综合国力，在国际竞争中赢得主动。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
435,理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,7,2025房山一模Q18(2),,2025_房山_一模_Q18_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_房山_一模_Q18_2.md,开源战略题要求阐释技术革新如何成为全球合作新模式，DeepSeek开源让全球开发者自由使用和改进，部分国家企业低成本开发本地化AI模型，说明科技开放可以推动开放型世界经济和经济全球化发展。,“中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。,,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，中国以开源战略提升科技实力、推动技术革新。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
453,理论,竞争,科教兴国战略与人才强国战略（人才与国际竞争力）,2,2024西城二模Q17,,2024_西城_二模_Q17,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q17.md,题目把我国发展新质生产力放在“新一轮科技革命在全球范围内风起云涌”的背景下，问我国作为世界上最大的发展中国家应当扮演什么角色；作答要求把“当前国际竞争实质”列为可作答角度。,新一轮科技革命在全球范围内风起云涌。结合材料，综合运用所学，谈谈在当今时代，我国作为世界上最大的发展中国家应当扮演的角色。,,我国应实施科教兴国战略，强化现代化建设人才支撑，培养创新人才以增强国际竞争力，引领新一轮科技革命。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
462,理论,竞争,科教兴国战略与人才强国战略（人才与国际竞争力）,3,2026朝阳期中Q17,,2026_朝阳_期中_Q17,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期中_Q17.md,题目让学生说明人工智能发展中需要处理好的重要关系，题面一方面强调芯片、算法、大模型等核心环节自主可控，另一方面说明自主可控不是闭门造车，因此要把自主创新和开放合作放在同一层处理。,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。,,处理好自力更生与对外开放关系，坚持核心技术自主可控、把握创新主动权，以创新增强核心竞争力。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
482,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,2,2025东城期末Q20,——评价欧盟对中国新能源汽车征收临时反补贴税,2025_东城_期末_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_期末_Q20.md,"题面写中方坚决反对欧方临时反补贴税并多次提出建设性解决方案；设问需要说明认识短文，谈到中国态度必须把""维护本国利益""明确写出。",运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。,,面对欧盟对中国新能源汽车的不当贸易限制，中方坚定维护本国利益和中国企业的正当权益，通过磋商方式解决争议，避免争端进一步升级。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
491,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,3,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目追问“捍卫国家利益”为什么构成大国外交更有作为的理由，材料呈现“维护国家主权、安全、发展利益”的关系链，触发国家利益理论作为中国特色大国外交主动作为的重要依据。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,题面把“捍卫国家利益”与“主权、安全、发展利益”三层并排展开，指向外交主动作为的根据来自国家利益本身，而不是单纯的姿态选择。分析“为什么要更有作为”，重在解释主动作为的内在依据，必须先从国家利益层面给出理论支点，再衔接外交动作。先点明国家利益是国际关系的决定性因素，再写维护国家利益是主权国家对外活动的出发点和落脚点，最后接到中国坚定维护主权、安全、发展利益、因此大国外交要更有作为。,国家利益是国际关系的决定性因素，维护国家利益是主权国家对外活动的出发点和落脚点。中国必须坚定维护国家主权、安全、发展利益，因此中国特色大国外交要更有作为。,（本题8分）,EXACT,PARTIAL,PRESENT,ITEM_NOT_CORE,SAMEGROUP_ITEM_NOT_CORE
502,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,4,2024西城二模Q17,,2024_西城_二模_Q17,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q17.md,题目把我国发展新质生产力放在“新一轮科技革命在全球范围内风起云涌”的背景下，问我国作为世界上最大的发展中国家应当扮演什么角色；作答要求把“当前国际竞争实质”列为可作答角度。,新一轮科技革命在全球范围内风起云涌。结合材料，综合运用所学，谈谈在当今时代，我国作为世界上最大的发展中国家应当扮演的角色。,,维护国家利益是主权国家对外活动的出发点和落脚点，我国应坚定维护国家安全与核心利益，在科技竞争中掌握主动。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
511,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,5,2025朝阳期末Q21,,2025_朝阳_期末_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_朝阳_期末_Q21.md,题面把世界动荡冲突、单边霸凌、脱钩断链和意识形态分歧作为外部风险，问中国特色大国外交如何营造外部环境；总体外部环境的根本前提是把答案先放回和平与发展的时代主题，再把促进世界和平与发展和维护和平稳定的国际环境作为方向。,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,,维护国家利益是主权国家对外活动的出发点和落脚点，大国外交要坚定维护我国主权安全发展利益。,,EXACT,NO_MATCH,EMPTY,ITEM_NOT_CORE,MISSING_WHY;SAMEGROUP_ITEM_NOT_CORE
520,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,6,2024顺义思政二模Q19(2),,2024_顺义_二模_Q19_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_顺义_二模_Q19_2.md,题目把新质生产力放在世界新一轮科技革命和产业变革中考查，问中国积极推动发展的原因；涉及国际竞争中的科技和产业制高点，触发“国际竞争实质”这一能力来源分析。,结合材料，综合运用《政治与法治》和《当代国际政治与经济》知识，说明我国积极推动新质生产力发展的原因。（8分）,,当前国际竞争实质是综合国力较量，发展新质生产力增强国家实力，有利于维护国家利益、增强国际话语权。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
528,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,7,2026朝阳期中Q17,,2026_朝阳_期中_Q17,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期中_Q17.md,题目让学生说明人工智能发展中需要处理好的重要关系，题面一方面强调芯片、算法、大模型等核心环节自主可控，另一方面说明自主可控不是闭门造车，因此要把自主创新和开放合作放在同一层处理。,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。,,处理好中国发展与世界发展关系，维护本国利益、谋求本国发展，满足我国人民日益增长的美好生活需要。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
537,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,8,2024西城一模Q19(6),,2024_西城_一模_Q19_6,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_一模_Q19_6.md,题目同时追问未来产业的挑战，前沿科技竞争具有国家战略属性，答题要把技术、人才、资源竞争上升到综合国力较量和风险防范。,结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。,,"我国攻克""卡脖子""难题、筑牢产业安全基础，是维护国家发展利益和安全利益、把国家利益作为对外活动出发点的体现。",,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
544,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,9,2026石景山二模Q18,,2026_石景山_二模_Q18,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_二模_Q18.md,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,,国家利益是影响国际关系的决定性因素，中国与东盟经贸合作基于双方共同利益，符合各自维护国家利益的需要。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
