idx,entry_para_idx,h1,h2,h3,entry_title,材料触发点,设问,为什么能想到,答案落点,同题组,identical_trigger_why
10,154,时代背景,机遇,核心答题点：和平与发展仍是时代主题,11. 2026石景山二模Q18,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,设问要求把材料事实上升为教材判断。中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上，材料事实已经超出单个国家内部发展，指向生产、贸易、投资或规则在全球范围内联动；因此要把它提升为经济全球化的方向、机制或治理问题。,中国与东盟经贸合作提质升级，顺应经济全球化趋势、符合和平与发展的时代主题，推动区域共同发展。,,False
11,163,时代背景,机遇,核心答题点：和平与发展仍是时代主题,"12. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求；设问问理论逻辑，必须先给出合作成立的理论解释。,结合材料二，运用《当代国际政治与经济》知识，说明中国“推动重塑全球能源治理格局”的理论逻辑和价值意蕴。,设问追问的是原因和逻辑。题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求，材料提供的是能触发“和平与发展仍是时代主题”的关系线索，而不是孤立事实；作答要把这组关系转化为教材术语，再接上本题具体事实和作用结果。,"中国顺应和平、发展、合作、共赢的历史潮流，以""一带一路""为平台推动全球能源治理，符合国际交往与合作的基本逻辑。",,False
12,173,时代背景,机遇,核心答题点：和平与发展仍是时代主题,13. 2026朝阳一模Q20,"设问问""为什么能""，要回答中国向世界释放正能量的能力来源。材料给出中国科技创新、自主研发芯片、新能源汽车产量等事实——触发的是国际竞争实质论与中国创新驱动战略对综合国力的支撑，而不是把""全球产业链供应链稳定""当作要积累的核心答题点。",结合材料，运用《当代国际政治与经济》知识，阐述中国为什么能为全球发展注入稳定性和正能量。,"设问追问的是原因和逻辑。设问问""为什么能""，要回答中国向世界释放正能量的能力来源，材料提供的是能触发“和平与发展仍是时代主题”的关系线索，而不是孤立事实；作答要把这组关系转化为教材术语，再接上本题具体事实和作用结果。",中国坚定不移扩大高水平对外开放、推动贸易投资自由化便利化，顺应了和平与发展这一时代主题，为全球发展注入稳定性。,,False
13,183,时代背景,机遇,核心答题点：和平与发展仍是时代主题,14. 2025东城二模Q20,题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,设问要求把材料关系转化为教材术语。题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时……，材料提供的是能触发“和平与发展仍是时代主题”的关系线索，而不是孤立事实；作答要把这组关系转化为教材术语，再接上本题具体事实和作用结果。,当前国际局势变乱交织，而和平与发展仍是时代主题，需各国携手应对挑战、共谋发展。,,False
14,193,时代背景,机遇,核心答题点：和平与发展仍是时代主题,15. 2026石景山一模Q20,"题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容，问中国倡议如何助推亚太合作；亚太各国能在这些方向上联动合作，前提是它们具有相互交织的共同利益。",运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。,"设问追问的是做法和机制。题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容……，材料提供的是能触发“和平与发展仍是时代主题”的关系线索，而不是孤立事实；作答要把这组关系转化为教材术语，再接上本题具体事实和作用结果。",中国倡议顺应和平、发展、合作、共赢的潮流，致力于亚太和平合作与共同发展。,,False
15,203,时代背景,机遇,核心答题点：和平与发展仍是时代主题,16. 2026海淀二模Q20(2),全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来。,结合材料，运用《当代国际政治与经济》知识，围绕全球发展倡议从合作理念到丰富实践这一主题，撰写一篇短评。,设问要求把材料关系转化为教材术语。全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来，材料提供的是能触发“和平与发展仍是时代主题”的关系线索，而不是孤立事实；作答要把这组关系转化为教材术语，再接上本题具体事实和作用结果。,和平与发展仍是当今时代主题，面对全球发展新挑战，同球共济、团结合作才是正确选择，全球发展倡议顺应了这一潮流。,,False
16,212,时代背景,机遇,核心答题点：和平与发展仍是时代主题,17. 2025房山一模Q18(2),开源战略题要求阐释技术革新如何成为全球合作新模式，DeepSeek开源让全球开发者自由使用和改进，部分国家企业低成本开发本地化AI模型，说明科技开放可以推动开放型世界经济和经济全球化发展。,“中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。,设问要求把材料事实上升为教材判断。开源战略题要求阐释技术革新如何成为全球合作新模式，DeepSeek开源让全球开发者自由使用和改进，部分国家企业低成本开发本地化AI模型，说明科技……，材料提供的是能触发“和平与发展仍是时代主题”的关系线索，而不是孤立事实；作答要把这组关系转化为教材术语，再接上本题具体事实和作用结果。,顺应和平与发展的国际潮流，中国以开源战略加强国际交流合作，积极参与全球治理，推动全球合作新模式。,,False
17,223,时代背景,机遇,核心答题点：和平与发展仍是时代主题,18. 2026顺义一模Q21,“审势、乘势、驭势”综合题的作答要求单列国政经角度：和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，坚持多边主义，坚持互利共赢，倡导人类命运共同体，为世界和平与发展提供中国智慧和中国方案。,结合材料，综合运用所学，谈谈以中国式现代化全面推进中华民族伟大复兴，应如何运用“审势、乘势、驭势”的智慧。,设问追问的是做法和机制。“审势、乘势、驭势”综合题的作答要求单列国政经角度：和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，坚持多边主义，坚持互利共赢……，材料提供的是能触发“和平与发展仍是时代主题”的关系线索，而不是孤立事实；作答要把这组关系转化为教材术语，再接上本题具体事实和作用结果。,和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，应顺应时代潮流乘势而上。,,False
18,235,时代背景,挑战,核心答题点：百年变局与外部风险挑战,1. 2025东城二模Q20,题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,"题面开头一口气列出经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义、气候变化等多类问题；这是典型的""变乱交织""信号。小论文要求论证""同球共济""为何提出，首层必须先把外部风险挑战交代到位，再讨论应对。先说明当今国际局势变乱交织、人类面临多重风险挑战，再把这些挑战接为""同球共济""必要性的来源，最后承接中国主张。",当今国际局势变乱交织，局部动荡不断，人类面临经济复苏乏力、贸易保护主义、冲突动荡和非传统安全威胁等诸多问题和挑战，因此更需要弘扬“同球共济”精神。,（本题8分）,False
19,245,时代背景,挑战,核心答题点：百年变局与外部风险挑战,2. 2024朝阳一模Q21,题目先要求分析“变局”中的经济形势，题目评价重点提示我国发展的外部环境日趋严峻、风险挑战增多，因此要先说明外部风险压力。,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。,"题目评价重点集中在我国外部环境日趋严峻、风险挑战增多；这是典型的“变局”中分析经济形势的信号。设问指向先分析""变局""中的经济形势再谈开新局，分析形势就要把外部环境的严峻性立住。先说明我国外部环境日趋严峻、风险挑战增多，再把外部压力接为统筹发展与安全的必要性，最后承接以新安全格局保障新发展格局的开新局思路。",我国发展的外部环境日趋严峻、风险挑战增多，使中国经济开新局必须统筹发展与安全。,,False
20,255,时代背景,挑战,核心答题点：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,1. 2024朝阳二模Q20,表格题先要求形成研讨共识，研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁，因此必须先说明气候治理的全球公共问题属性。,结合研讨背景，运用《当代国际政治与经济》知识，完成下表。,"研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁；这些威胁是跨国、跨域、跨代的，单一国家无法独立解决。表格题要先填""基本原则""再填""共识""，原则部分必须先说明气候治理的全球公共属性，否则后面的共识缺少依据。先把气候变化定性为全人类共同风险和挑战、已成为全球治理重要议题，再把粮食/生态/能源等威胁接为风险表现，最后承接共同责任落点。",气候变化给全人类带来巨大风险和挑战，已成为全球治理的重要议题，各国应把应对气候变化作为共同责任推进。,,False
21,266,理论,合作,核心答题点：国家间共同利益是国家合作的基础,1. 2025东城一模Q20,此次出访中，中国同秘鲁签署自贸协定升级议定书和共建“一带一路”合作规划，并在11天内达成60多项合作文件，说明相关国家围绕贸易合作、区域合作和发展议题存在共同利益。,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。,题面给出自贸协定升级议定书、共建“一带一路”合作规划以及11天60多项合作文件等具体落点，呈现的是高密度、跨议题的双边务实合作。问元首外交的“精彩”之处，要求解释这些密集合作为什么能落地，而不是把签约成果罗列一遍。先把贸易、区域和发展议题统摄到双方共同利益上，再写国家间共同利益是国家合作的基础，最后接到此次出访拓展务实合作的具体表现。,此次元首外交围绕自贸协定升级、共建“一带一路”合作规划和多项合作文件拓展务实合作，体现国家间共同利益是合作的基础。,,False
22,275,理论,合作,核心答题点：国家间共同利益是国家合作的基础,2. 2026石景山一模Q20,"题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容，问中国倡议如何助推亚太合作；亚太各国能在这些方向上联动合作，前提是它们具有相互交织的共同利益。",运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。,"题面用""五个共同""把多边贸易体制、贸易投资便利化、产业链供应链、数字绿色贸易、区域繁荣并排列出，五条都从""共同""切入，指向合作建立在亚太各国相互交织的利益之上。问""如何助推""，要把中国倡议与亚太合作的内在动力关联，不能只解释关键词字面。先点明亚太各国在多边贸易、产业链供应链和开放发展中存在共同利益，再写中国倡议凝聚共同维护、共同推进、共享繁荣三条共识，最后接到助推亚太合作走深走实。",中国倡议立足亚太各国在多边贸易、产业链供应链和开放发展中的共同利益，凝聚共同维护、共同推进、共享繁荣的合作共识，助推亚太合作走深走实。,,False
23,285,理论,合作,核心答题点：国家间共同利益是国家合作的基础,3. 2026丰台一模Q19,题面用减贫国际合作、教育合作和卫生健康经验分享三组材料，说明中国把自身发展同各国发展利益结合起来；要回答中国大国情怀与担当，需要先解释中国为什么能与各国在可持续发展上形成合作。,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。,"题面把减贫国际合作、教育合作和卫生健康经验分享三组事实并排，呈现的是中国把自身发展成果与各国发展需求拼到同一张利益清单上。需要说明""大国情怀与担当""，必须先解释中国为什么能与各国一起做这些事，再说担当从何而来。先点明中国致力于扩大同各国利益的汇合点，再写减贫、教育、卫生健康等领域的合作是共同利益的具体落点，最后接到中国把自身发展成就转化为全球可持续发展的共同利益。",中国致力于扩大同各国利益的汇合点，在消除贫困、教育普及和卫生健康等领域同各国合作，把自身发展成就转化为推动全球可持续发展的共同利益。,,False
24,294,理论,合作,核心答题点：国家间共同利益是国家合作的基础,4. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,题面写中非合力反对脱钩断链、提升发展中国家在全球治理体系中的代表性和发言权，并把战略共识嵌入南南合作；设问问理论逻辑，回答合作为什么能够成立时必须先说明共同利益。,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,"题面把""反对脱钩断链""和""提升发展中国家在全球治理体系中的代表性和发言权""并列摆出，并把战略共识嵌入南南合作框架，指向中非有一组重叠的利益与诉求。问""理论逻辑""，要解释战略共识为什么能达成；问""价值意蕴""，再带出对发展中国家整体的意义。先点明国家间共同利益是合作的基础，再写中非在维护发展中国家利益、反对脱钩断链、推进全球治理公平上的共同关切，最后接到双方能够达成一系列战略性共识。",国家间共同利益是合作的基础，中非在维护发展中国家共同利益、反对脱钩断链、推进全球治理公平方面具有共同关切，因此能够达成战略性共识。,,False
25,303,理论,合作,核心答题点：国家间共同利益是国家合作的基础,"5. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求；设问问理论逻辑，必须先给出合作成立的理论解释。,结合材料二，运用《当代国际政治与经济》知识，说明中国“推动重塑全球能源治理格局”的理论逻辑和价值意蕴。,"题面把绿色能源开发、技术合作、绿色基建放在中国与共建国家之间相互联动，指向双方在绿色发展方向上有相同需求。问""理论逻辑""，必须先解释这种联动为什么能成立，再带出价值意蕴。先点明中国与国际社会在绿色能源开发利用、应对气候变化和可持续发展上存在共同利益，再写共同利益是国家间合作的基础，最后接到中国能够推动重塑全球能源治理格局。",中国与国际社会在绿色能源开发利用、应对气候变化和实现可持续发展方面存在共同利益，共同利益是国家间合作的基础，因此中国能够推动重塑全球能源治理格局。,,False
26,314,理论,合作,核心答题点：国家间共同利益是国家合作的基础,6. 2026石景山二模Q18,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,"题面在市场、资源、产业和贸易投资四个维度同时呈现中国与东盟的互补关系，指向双方经贸合作有交错叠加的共同利益基础。问""原因""，要把合作能够提质升级的根本前提解释清楚。先点明中国与东盟在市场、资源、产业和贸易投资上互补，存在共同利益，再写国家间共同利益是合作的基础，最后接到合作顺应区域发展和时代发展主题、能够提质升级。",中国与东盟经贸合作建立在双方共同利益基础上，顺应区域发展和时代发展主题，因此能够提质升级。,,False
27,324,理论,合作,核心答题点：国家间共同利益是国家合作的基础,7. 2025东城二模Q20（同球共济精神）,题目指向论证“同球共济”精神为何能成立、为何能丰富人类命运共同体内涵，当材料呈现国际局势变乱交织、局部动荡不断时，要先回答各国在和平、安全、发展上存在共同利益。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。要求：自拟题目、观点明确、逻辑清晰，200字左右。,当今国际局势变乱交织、局部动荡不断，单靠精神口号不足以解释“同球共济”的国际接受度。小论文要说明“同球共济”精神和中国行动的关系，必须先解释这一精神为什么有共同基础。先说明各国在发展、安全、文明等问题上存在共同利益，再说明这使“同球共济”精神能够丰富人类命运共同体内涵并被国际社会接受。,当今国际局势变乱交织，各国在发展、安全、文明等问题上存在共同利益，这是“同球共济”精神能够丰富人类命运共同体内涵、被各国接受的客观基础。,,False
28,333,理论,合作,核心答题点：国家间共同利益是国家合作的基础,8. 2026顺义一模Q20,"设问问南南合作""典范""的深层逻辑。要回答""为什么是典范""，必须把科技小院与发展中国家共享农业技术、降低成本、培养人才接回经济全球化方向的""普惠、平衡、共赢""——这是材料里明确列入国际经济层的答题核心。",结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。,"设问追问的是原因和逻辑。设问问南南合作""典范""的深层逻辑，材料不是单向帮助，而是显示相关国家存在共同需求和共同收益；回答合作为什么成立时，应先用国家间共同利益是合作基础来解释。",国家间共同利益是合作的基础，中国与南方国家在农业发展上利益交汇，科技小院正是基于共同利益的合作典范。,,False
29,343,理论,合作,核心答题点：国家间共同利益是国家合作的基础,9. 2024朝阳二模Q20,表格题先要求形成研讨共识，研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁，因此必须先说明气候治理的全球公共问题属性。,结合研讨背景，运用《当代国际政治与经济》知识，完成下表。,设问要求把材料关系转化为教材术语。表格题先要求形成研讨共识，研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁，因此必须先说明气候治理的全球公共问题属性，材料不是单向帮助，而是显示相关国家存在共同需求和共同收益；回答合作为什么成立时，应先用国家间共同利益是合作基础来解释。,各方达成共识：气候治理是人类共同责任，各国基于共同利益携手建立公平合理、合作共赢的全球气候治理体系。,,False
30,351,理论,合作,核心答题点：国家间共同利益是国家合作的基础,10. 2026海淀二模Q20(2),全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来。,结合材料，运用《当代国际政治与经济》知识，围绕全球发展倡议从合作理念到丰富实践这一主题，撰写一篇短评。,设问要求把材料关系转化为教材术语。全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来，材料不是单向帮助，而是显示相关国家存在共同需求和共同收益；回答合作为什么成立时，应先用国家间共同利益是合作基础来解释。,全球发展倡议契合全人类共同利益，共同利益是国家合作的基础，近百个国家同中方签署合作文件、携手共谋发展。,,False
31,360,理论,合作,核心答题点：国家间共同利益是国家合作的基础,11. 2024西城二模Q19中国答案的国际关系新思路,题面把恃强凌弱、零和博弈、结盟对抗作为旧国际关系的问题，需要把中国答案放回当今世界主题之下，说明它顺应而非违背和平与发展的时代潮流。,结合材料，阐述中国答案所体现的处理国际关系的新思路。,设问要求把材料关系转化为教材术语。题面把恃强凌弱、零和博弈、结盟对抗作为旧国际关系的问题，需要把中国答案放回当今世界主题之下，说明它顺应而非违背和平与发展的时代潮流，材料不是单向帮助，而是显示相关国家存在共同需求和共同收益；回答合作为什么成立时，应先用国家间共同利益是合作基础来解释。,全人类是命运与共的大家庭，国与国之间利益交汇、命运交织、休戚与共，共同利益是处理国际关系合作共赢的基础。,,False
