question_id,year,district,exam_stage,question_no,evidence_status,真实设问原文,真实材料核心,真实法律主轴,主入口,副入口,主材料触发,副材料触发,禁止命中的框架点,v10错误命中,是否存在材料错配,是否存在细则/答案混入材料,是否存在OCR/串页/非法律污染,是否需要回源修复,是否应降级或移出,最终处理,修复说明
CC0084_2025_东城_二模_19,2025,东城,二模,19,PASS,【待回源确认】19.阅读材料，完成表格。 （一）本题标准和变通,19.(8 分)法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 案件一 龙某为13 周岁的钱某在所经营的美容工作室进行了大面积文身并收取费用。钱某母亲发现后，为 避免对钱某求学及就业造成影响，要求龙某为钱某清洗文身并赔偿。因协商未果，钱某诉至法院，最终法 院判决龙某退还文身费用并赔偿精神损失。 案件二 杨某在其运营的自媒体账号发布文章，在没有事实依据的情况下，评价某公司“搅乱市场”“打劫同 行”“无赖”“强盗”，引发社会关注，造成严重负面影响。该公司诉至法院，最终法…,表格补全：未成年人文身、名誉权、格式条款与民法原则,完成表格,,未成年人文身合同|侵权|自媒体诋毁公司名誉,,平台用工|普通合同万能化|知识产权主轴,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；人格权/隐私/名誉/肖像/个人信息；先表态，再证明；一主体一链,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,PASS_RECOVERED,【缺失，待回源】,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定； • 改变公有部分用途的法律程序问题； • 涉及民法典对公共区域功能改变的规定； • 思路2.充电桩方案的具体内容涉及哪些权利？ • 如： • 公共区域设置充电柜是否涉及侵权问题； • 可能侵害部分业主对公共部分的合法权利 • 充电柜建设是否损害相邻权的问题 • 充电柜安全…,小区公共区域充电桩方案法律问题,问具体方案涉及哪些法律问题,,公共区域改变用途程序|业主权利与公共安全|侵权,,合同成立|消费者|平台用工,问如何保护权利/承担责任；问如何保护权利/承担责任；合同成立/要约承诺/履约违约；相邻关系/物权边界/绿色原则/生态保护；一事实一法律词；合同先判成立/有效/履行,是,是,是,是,否,待用户确认,设问缺失或需从原卷回补；当前材料层含答案/细则/分析说明，不能直接进入学生题链；存在 OCR/页码/串页/非法律污染风险
CC0103_2025_丰台_一模_19,2025,丰台,一模,19,PASS,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,19. 2024 年6 月，最高人民法院知识产权法庭对一起因技术秘密侵权纠纷上诉案作出判决。原告方下 属公司的近40 名高级管理人员及技术人员离职后加入被告方，并利用在原单位接触的技术信息申请了12 件实用新型专利。 根据《中华人民共和国反不正当竞争法》，最高人民法院知识产权法庭依法适用2 倍惩罚性赔偿，判 决被告方赔偿原告方经济损失及维权合理开支合计6.4 亿余元，创下我国知识产权侵权诉讼判赔数额新 高。 该案在停止侵害民事责任承担的具体方式、内容、范围，以及拒绝履行、停止…,技术秘密侵权与惩罚性赔偿保护创新,问典型案例意义,规则意义,核心人员离职后使用原单位技术秘密|申请实用新型专利|法院适用惩罚性赔偿,,合同成立|消费者|平台用工,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；先表态，再证明；一主体一链,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,PASS,运用《法律与生活》相关知识阐释法院的裁判理由”→可分析法院裁判对构建合理健康的 劳动关系的意义。,19. 【答案】①根据《中华人民共和国劳动法》和《劳动合问法》规定，劳动者应当完成劳动任务，遵守 劳动纪律和职业道德。尹某没有履行劳动者的义务，违反了相关法律规定，不符合敬业等社会主义核心价 值观；②购物中心要求解除与尹某的劳动合网，符合《中华人民共和国劳动介同法》第三十九条的规定， 因此，法院驳回尹某的诉讼请求，法院的裁判保护了用人单位合理的用工自主权，引导劳动者坚持权利义 务相统一，构建合理健康的劳动关系。 【分析】背景素材：劳动合同纠纷具体案例 考点考查：劳动争议解决方…,劳动者义务与用人单位依法解除劳动合同,问法院裁判理由,规则意义,劳动者违反劳动纪律|职业道德|用人单位依据劳动合同法解除,,平台用工三从属性|消费者|知识产权,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一格一链,是,是,是,是,否,待用户确认,当前材料层含答案/细则/分析说明，不能直接进入学生题链；存在 OCR/页码/串页/非法律污染风险
CC0125_2025_延庆_一模_19,2025,延庆,一模,19,PASS,运用《法律与生活》知识，说明你会如何进行调解并说 明理由。,19. 网络经济持续健康发展，需要法治护航。 案情：杨某在贾某经营的网店下单DIY 模具类商品4 件，售价78 元，杨某签收后对商品不满意，在 未与贾某协商一致的情况下，直接点击了“仅退款”并退款成功。贾某要求杨某退回商品，杨某表示已经 将商品扔掉，无法退回。 贾某认为双方应当先确定货物是否存在质量问题，是否符合“仅退款”标准。杨某退款后应当退还货 物，虽然商品实际售价仅78 元，但杨某恶意“仅退款”的做法让自己遭受了商品损失和邮费损失。杨某 则认为商品质量不合格，达不到预期…,消费者仅退款纠纷中的诚信原则、合同解除与证据意识,问调解理由,材料证明,消费者退款后未退货|商品质量争议证据缺失|商家小额损失适合调解,,惩罚性赔偿|平台用工|知识产权,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；一事实一法律词；一路径一理由,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0131_2025_房山_一模_19,2025,房山,一模,19,PASS,结合材料，谈谈“真创新”受到“真保护”的法治价值。,A集团近40名高管及技术人员离职赴B集团工作；B集团利用离职人员在原单位接触掌握的新能源汽车底盘技术信息申请12件实用新型专利，并在无合法技术来源情况下短期推出相关车型；法院认定B集团以不正当手段侵害A集团技术秘密，适用2倍惩罚性赔偿，判赔6.4亿余元。,技术秘密侵权与不正当竞争：惩罚性赔偿提高侵权成本，保护知识产权，维护公平竞争，激发创新。,问法治价值/意义,知识产权保护,离职人员带走/利用技术秘密|无合法技术来源却推出车型|法院适用2倍惩罚性赔偿,保护创新者合法权益|维护公平竞争环境,合同成立|消费者|平台用工|裸写法治价值,问理由/为什么支持；问理由/为什么支持；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；不正当竞争/混淆/商业诋毁/虚假宣传；先表态，再证明；一主体一链,源表污染，已回源修复,源表是，已回源修复,否,否，已完成,否,重写,已从试卷第6页回源到真实案情；不能再用“原卷无答案/分析/核心素养”当材料。
CC0137_2025_昌平_二模_20,2025,昌平,二模,20,PASS,阅读材料，运用《法律与生活》知识，完成裁判理由。,（1）李某使用 AI 绘图软件制作图片，加“AI 绘画”等标签发布；刘某未经许可拿来配图并抹去水印；法院支持李某诉讼请求。（2）小王申请开通信用卡，声明已阅览申请材料并愿意遵守领用合约；使用信用卡透支消费后未按约还款；银行诉至法院；法院判决小王偿还本金和利息。,裁判理由双格：AI 图片著作权保护与侵权责任；信用卡领用合约有效与透支违约责任。,裁判理由 / 补表 / 完成理由,一格一链,AI 不能成为著作权主体，但人使用 AI 形成具备智力成果和独创性的图片|刘某未经许可使用并抹去水印|小王真实意思表示申请信用卡并同意合约，透支后拒不还款,AI 著作权格|信用卡合同违约格,平台用工|消费者欺诈|公共场所侵权|动物侵权|只写创新价值,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一格一链,否,否,否,否,否,重写,v11.1 补回信用卡合同违约格；本题按一格一链处理，不能只写 AI 著作权。
CC0143_2025_朝阳_一模_19,2025,朝阳,一模,19,PASS,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,机票代销平台在交易中隐蔽搭售/诱导消费者购买增值服务，消费者无法清楚知悉或有效拒绝；争点是合同成立后是否可撤销及三倍赔偿。,消费者合同欺诈：合同成立不等于不可撤销，隐蔽搭售损害知情权/自主选择权，可退赔并适用惩罚性赔偿。,问消费者诉求能否支持及理由,合同效力|撤销,机票代销平台隐蔽搭售|消费者无法清楚知悉或无法有效拒绝,合同成立与合同效力区分|消费者权利保护,平台用工|三从属性|普通劳动关系,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一格一链,是,否,是,是,否,重写,平台二字不能触发劳动三从属性；本题主轴是消费者欺诈与合同撤销。
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,PASS,"结合材料,运用《法律与生活》知识,分析上述案例。","20.(10 分)在日常生活中,要把握好权利和义务的关系。 材料一 孙女士和刘先生是同一楼层的邻居,两家入户门相对,相距约2 米。刘先生在自家入户门安装 了具有“智能人脸识别”“180 度超广角”“自动人体侦测”“云存储”等功能的可视门铃摄像头,可通过 手机远程操控。孙女士认为该摄像头可能拍摄到自己及家人的日常出行规律及其他动态信息,要求刘先生 拆除该摄像头,双方由此产生纠纷。 材料二 《中华人民共和国民法典》(节选) 第二百七十一条 业主对建筑物内的住宅、经营性用房等专有部…",具体权利保护/侵权责任,问如何保护权利或判决认识,,材料需锁定具体人格|财产|相邻等权利,,万能意义价值|平台用工|合同成立,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；人格权/隐私/名誉/肖像/个人信息；一主体一链；一事实一法律词,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,PASS,【待回源确认】案件二裁判理由：根据反不正当竞争法，1分。,20. （10 分）人民法院审理案件，必须坚持以事实为根据、以法律为准绳，做到公正司法。 了解案件，分析事实，印证法理，参考示例，完成下表。 案件事实 拟写裁判要点 案件一 甲公司在 2016 年与乙公司终 止合作后，继续在甲公司运营的相关地图软 件、应用和第三方服务中使用乙公司数据。 乙公司以甲公司侵犯署名权、修改权、复制 权、信息网络传播权等理由向人民法院提起 诉讼。 示例： 裁判理由：根据著作权法，甲公司在 应用软件中使用被诉侵权电子地图， 侵害了乙公司对涉案导航电子地…,消费者欺诈/消费者权益,裁判理由,材料证明,经营者信息告知|宣传|消费者权利受损,,平台用工|三从属性|只写诚信经营,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；人格权/隐私/名誉/肖像/个人信息；一格一链；一主体一链,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
CC0162_2025_海淀_一模_18,2025,海淀,一模,18,OPEN_OR_REFERENCE,运用《法律与生活》知识，谈谈对本案判决的认识。,18．（7 分） 随着居民消费水平的提高，主题乐园越来越受到游客的青睐。某主题乐园推出了年卡服务，游客只需 支付一定费用办理年卡，即可享受主题乐园酒店的折扣优惠，并通过优先通道快速入园游玩项目。游客在 办理时需与该主题乐园签订有关年卡的《条款及细则》格式合同，其中明确规定：“主题乐园年卡不可转 让，年卡及其相应福利仅限持卡人本人使用。若游客违反上述约定，主题乐园有权解除合同。” 小黄在购买年卡后，发现主题乐园酒店对登记入住人员与实际入住人员是否一致的审查存在漏洞，于 是他利用…,平台用工事实劳动关系,评析,行为评价,劳动纪律|管理控制|经济报酬和结算,,普通合同成立|消费者欺诈|知识产权,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一主体一链,否,否,否,否,是，OPEN_OR_REFERENCE 仅参考,降级参考,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,PASS,【缺失，待回源】,20．（6分） ①生产者产品责任是无过错侵权责任，行为人只要损害了他人的民事权益，不论其有无过错，均应当承担侵权责任。《解释》从保护消费者角度作出解释，明确缺陷产品造成的产品自身损害属于产品责任赔偿范围，切实维护消费者合法权益。 ②禁止饲养的烈性犬等危险动物造成他人损害的，动物饲养人或者管理人应承担无过错侵权责任，没有任何免责事由和减责事由。《解释》阐明民法典“最严格的无过错责任”立法精神，强化动物饲养人、管理人责任意识，维护动物饲养管理秩序，保障人民群众生命财产安全。,消费者欺诈/消费者权益,消费者权益保护,,经营者信息告知|宣传|消费者权利受损,,平台用工|三从属性|只写诚信经营,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；法律制度意义/规则保护谁规范谁；一主体一链；一规则一价值,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
CC0181_2025_海淀_期末_21,2025,海淀,期末,21,PASS,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,21. 阅读材料，完成问题。 “竞业限制”是指用人单位与劳动者之间约定，劳动者在离职后不得到生产同类产品或经营同类产业且有竞争关系的其他用人单位任职，也不得自己生产与原单位有竞争关系的同类产品或经营同类业务。 案例一：李某是A公司自主培养的高级管理人员。在职期间，李某与该公司签订了保密协议和竞业限制协议。两年后，李某离职，次日即入职相同经营范围和业务的B公司，任职相同岗位，负责相同产品生产。该产品生产技术属A公司“不为公众所知悉的技术信息”，A公司将李某诉至法院。法院经审理认…,劳动争议/用人单位与劳动者权利义务,问裁判,,劳动合同或劳动纪律争议|权利义务边界|依法解除,,平台三从属性（无平台事实时）|消费者|知识产权,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；知识产权/作品/商标/专利；先表态，再证明；一事实一法律词,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,PASS_RECOVERED,【待回源确认】①根据民法典规定，当事人不履行合同义务或者履行合同义务不符合约定的，守约方可以要求违约方承担违约责任。 采点赋分。 对应案件一，依据民法典，准确分析法理依据和事实依据，准确分析其中一方面得2分；准确分析两方面得4分。 结合案件二，根据反不正当竞争法，阐释作用，准确回答一点得2分；准确回答两点得4分。 答非所问、回答错误或没有应答，0分。 事实依据,20. (8 分) 新质生产力鼓励新业态拓展创新。人民法院能动履职、保护创新，为发展新质生产力提供重要保障。下列 是石景山法院以司法护航新质生产力发展的两个案例。 案例一 集成电路产业是信息产业的核心，为新质生产力发展提供重要支撑。原告科技公司与被告电路公司就某集 成电路技术研发项目签订委托合同，约定由被告按相关技术标准在规定时间内完成产品研发交付，原告分 期付酬 16 万元。研发过程中，原告支付了两期研发费共9.6 万元，经检验，阶段性产品未达合同要求且研 发进度超期。被告…,消费者欺诈/消费者权益,意义,规则意义,经营者信息告知|宣传|消费者权利受损,,平台用工|三从属性|只写诚信经营,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；不正当竞争/混淆/商业诋毁/虚假宣传；一格一链；一主体一链,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
CC0195_2025_西城_一模_20,2025,西城,一模,20,PASS,【缺失，待回源】,20．（8分）劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订 集体合同，可以确保双方协商一致，更加公平、平等自愿。更好地保护劳动者合法权益，促进广大劳 动者特别是低薪劳动者群体实现体面劳动，实现社会公平。促进企业依法规范用工，构建和谐劳动关 系，激发劳动者积极性，推动生产效率的提高，培育良好商誉，实现社会公平与经济效率的平衡。,平台用工事实劳动关系,平台用工,,劳动纪律|管理控制|经济报酬和结算,,普通合同成立|消费者欺诈|知识产权,问意义/价值/作用；问意义/价值/作用；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；一事实一法律词；一规则一价值,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
