atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-DC09,时代背景,国际局势变乱交织，面临诸多问题和挑战,局部动荡不断；和平与发展主题；世界多极化；全球经济复苏乏力；贸易保护主义；地区冲突；阵营对抗；非传统安全威胁,2025东城二模 Q20,第一层背景2分及替代表述1分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,小论文先给全球经济、安全、气候和治理挑战 需要先判断国际局势和时代背景,当今国际局势变乱交织 局部动荡不断 面临贸易保护主义、地区冲突和非传统安全威胁等诸多问题和挑战,merge_with_international_situation_background,和平与发展和世界多极化在本题是背景替代层级,candidate_with_fixes,2025东城二模_Q20_SRC_bd8e9436f81d;2025东城二模_Q20_SRC_e1c925184ab8
ATOM-DC10,政治多极化,“同球共济”精神丰富人类命运共同体内涵，符合各国共同利益,同球共济；人类命运共同体内涵；各国共同利益,2025东城二模 Q20,第二层精神4分中的两点,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,材料提出同球共济并列举人类共同家园和各国共同挑战 触发人类命运共同体与共同利益,同球共济精神丰富人类命运共同体内涵 符合各国共同利益 能把各国应对共同挑战的行动凝聚起来,merge_hmc_with_common_interest_in_same_question_layer,共同利益不能反向泛化为所有合作万能模板,candidate_with_fixes,2025东城二模_Q20_SRC_bd8e9436f81d;2025东城二模_Q20_SRC_e1c925184ab8
ATOM-DC11,中国,为解决全球问题贡献中国智慧和中国方案,中国智慧；中国方案；推动国际关系民主化；和平解决国际争端；劝和促谈；全球人工智能治理倡议,2025东城二模 Q20,第三层行动2分及替代表述,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,材料列举沙伊和解、乌克兰危机劝和促谈、巴黎协定和全球人工智能治理倡议 触发中国行动对全球问题的方案贡献,中国通过劝和促谈、推动气候合作和提出全球人工智能治理倡议 为解决全球性问题贡献中国智慧和中国方案,merge_with_china_wisdom_solution_action,国际关系民主化和和平解决争端是替代表述 不重复刷频,candidate_with_fixes,2025东城二模_Q20_SRC_bd8e9436f81d;2025东城二模_Q20_SRC_e1c925184ab8
ATOM-DC12,理论,共同利益是合作的基础,共同利益；一带一路；贸易自由化便利化；具体合作,2025东城一模 Q20,第一层4分中的共同利益2分及替代,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,中拉命运共同体建设、自贸协定升级和一带一路合作说明双方合作能成立 触发共同利益基础,国家间共同利益是合作的基础 中拉共建“一带一路”和自贸协定升级契合双方发展需要 因而能够深化合作,merge_with_common_interest_core,具体合作只作替代层级 不反向替代共同利益,candidate_with_fixes,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC13,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,贸易自由化便利化；中拉合作；自贸协定升级；开放、包容、普惠、平衡、共赢,2025东城一模 Q20,第一层4分中的经济全球化方向2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,元首外交中自贸协定升级和一带一路合作形成国际经济合作场景 触发经济全球化正确方向,此次元首外交推进中拉经贸合作和自贸协定升级 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,merge_with_full_open_inclusive_universal_balanced_winwin_core,高水平对外开放和高质量发展只作边界表述,candidate_with_fixes,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC14,政治多极化,维护发展中国家的利益，完善全球治理并推进国际关系民主化,维护发展中国家利益；全球南方；完善全球治理；推进国际关系民主化,2025东城一模 Q20,第二层2分及替代,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,材料写回应全球南方求平等促变革的强烈意愿 触发发展中国家利益和全球治理改革,此次元首外交回应全球南方求平等促变革的愿望 维护发展中国家利益 推动全球治理完善和国际关系民主化,merge_with_global_south_voice_and_ir_democratization,不与人类命运共同体实践层混成一条,candidate_with_fixes,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC15,中国,开辟中国特色大国外交的新境界，构建人类命运共同体的新实践,中国特色大国外交新境界；构建人类命运共同体的新实践,2025东城一模 Q20,第三层2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,材料呈现元首外交在多边活动和中拉合作中的连续实践 触发中国特色大国外交与命运共同体实践,此次元首外交以密集多边活动和务实合作开辟中国特色大国外交新境界 成为构建人类命运共同体的新实践,merge_with_chinese_major_country_diplomacy_hmc_practice,作为中国外交实践层 不吞并前两层经济和治理点,candidate_with_fixes,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC16,经济全球化,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力,促进资源优化配置；促进国际贸易；为世界新能源产业注入活力；让经济全球化更有活力,2025东城期末 Q20,第一层中国贡献2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,题目围绕中国新能源汽车出口和世界市场影响 触发经济全球化中的资源配置和国际贸易贡献,中国新能源汽车走向世界市场 促进资源优化配置和国际贸易 为世界新能源产业注入活力 让经济全球化更有活力,merge_with_globalization_factor_flow_and_trade_contribution,绿色贡献可作材料支撑 不单独升为选必一术语,candidate_with_fixes,2025东城期末_Q20_SRC_f5c5ada09871;2025东城期末_Q20_SRC_8ab211d978d9
ATOM-DC17,时代背景,贸易保护主义和逆全球化违背经济规律，破坏市场竞争和市场秩序,贸易保护主义；逆全球化；违背经济规律；破坏市场竞争；破坏市场秩序；损害消费者利益,2025东城期末 Q20,第二层批判欧盟行为2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,欧盟对中国新能源汽车征收反补贴税形成贸易壁垒 触发贸易保护主义和逆全球化批判,欧盟对中国新能源汽车征收反补贴税是贸易保护主义和逆全球化行为 违背经济规律 破坏市场竞争和市场秩序,merge_with_trade_protectionism_counter_globalization_core,不得使用试卷普通解析冒充细则,candidate_with_fixes,2025东城期末_Q20_SRC_f5c5ada09871;2025东城期末_Q20_SRC_8ab211d978d9
ATOM-DC18,中国,坚定维护本国利益，坚持互利共赢、和平谈判并推动贸易自由便利,维护本国利益；互利共赢；和平谈判方式；推动贸易自由便利；维护市场秩序,2025东城期末 Q20,第三层我国态度和做法2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,材料中的中欧磋商和贸易争端处理需要写中国维护利益与合作解决的态度,中国应坚定维护本国利益 坚持互利共赢和和平谈判方式 推动贸易自由便利并维护市场秩序,merge_with_trade_friction_response_and_winwin,与西城汽车贸易壁垒题同类但本题是短文认识类,candidate_with_fixes,2025东城期末_Q20_SRC_f5c5ada09871;2025东城期末_Q20_SRC_8ab211d978d9
ATOM-DC-B01,模块边界,制度型开放、国际高标准经贸规则和国际科创合作可作选必一边界观察,高水平对外开放；对接国际高标准经贸规则；国际科创交流合作；稳步扩大制度型开放；积极参与全球产业链合作；开放与安全动态平衡,2026东城一模 Q19(3),评标细则4+3+1的开放促进韧性与韧性支撑开放,P0_formal_scoring_rule_pptx_but_mixed_module,formal_scoring_pptx_with_paper_text_support,题干明示当代国际政治与经济但材料主轴是未来产业和产业链韧性 需边界核读后只保留选必一采分功能,北京通过对接国际高标准经贸规则、开展国际科创合作和扩大制度型开放 以开放促进产业链韧性并在开放与安全协同中推动未来产业发展,boundary_only_mixed_module_observation,未来产业、高水平对外开放、产业链韧性和高质量发展不直接计入选必一主链频次,boundary_only,2026东城一模_Q19_3_SRC_90391f5178e4;2026东城一模_Q19_3_SRC_0fca4fc46247
