bucket,core_cluster,distinct_source_count,atom_count,guarded_atom_count,expression_accumulation,source_questions
经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,13,16,5,利用国际组织赋予的权利；积极参与全球经济治理和规则制定；为企业出海营造良好国际环境；对标国际规则，推进制度型开放，深入融入经济全球化；制度型开放；深入融入经济全球化；积极参与全球经济治理和规则制定，推动全球治理体制更加公正合理；国际标准贡献；标准共通；技术共享；全球经济治理规则制定；提升发展中国家的代表性和发言权，推动国际规则制定更加公正合理；提升发展中国家的代表性和发言权；打破发达国家规则制定中的垄断主导；坚持合作共赢和多边主义，推动全球经济治理体系改革；坚持合作共赢；开放包容；共同利益；坚持多边贸易；多边主义；全球经济治理体系改革；充分运用国际规则，利用国际组织赋予的权利，通过对话磋商维护自身权益；充分运用国际规则；对话磋商；积极维护自身权益,2024东城一模 Q20；2024海淀期中 Q16(2)；2024西城一模 Q19(6)；2025房山一模 Q18(2)；2025昌平二模 Q21；2025朝阳一模 Q20；2025海淀期中 Q16(2)；2025西城期末 Q20(2)；2026房山一模 Q19；2026朝阳期末 Q20；2026海淀一模 Q20；2026西城一模 Q20(2)；2026门头沟一模 Q20
经济全球化,提升贸易投资合作质量和水平,1,1,1,提升贸易投资合作质量和水平；贸易投资合作质量和水平,2024东城一模 Q20
经济全球化,推动贸易和投资自由化便利化,11,11,5,推动贸易投资自由化便利化；贸易投资自由化便利化；贸易投资便利化；贸易投资自由化；贸易投资便利化自由化；优化营商环境；破除贸易壁垒；降低制度性交易成本；提高贸易效率；共同利益是合作的基础；共同利益；一带一路；贸易自由化便利化；具体合作；推动区域经济一体化，促进区域贸易和投资自由化便利化；经济融合；共同发展；区域经济一体化；区域贸易和投资自由化便利化；深化区域经济合作，促进区域投资和贸易自由化便利化；亲诚惠容外交理念；区域经济合作；区域投资和贸易自由化便利化；区域产业链供应链深度融合；数字贸易博览会搭建交流合作平台，促进投资和贸易自由化便利化，更好利用两个市场两种资源,2024丰台一模 Q20；2024朝阳期中 Q20(3)；2024海淀一模 Q18(1)；2025东城一模 Q20；2025朝阳一模 Q20；2025朝阳二模 Q21；2026房山一模 Q19；2026朝阳一模 Q20；2026石景山一模 Q20；2026西城一模 Q20(2)；2026门头沟一模 Q20
经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,13,12,4,推动经济全球化朝着更加开放；包容；普惠；平衡；共赢的方向发展；开放；共赢；共赢方向发展；共建一带一路；参与国际经济合作机遇；推动普惠包容的经济全球化；建设开放型世界经济；促进贸易自由化；促进共同发展；维护持久和平；共同推进现代化；贸易自由化便利化；中拉合作；自贸协定升级；维护全球自由贸易；多边贸易；开放包容普惠平衡共赢；普惠平衡共赢开放；营造良好外部经济环境：倡导普惠包容的经济全球化，推动经济全球化朝开放；普惠包容的经济全球化,2024朝阳期中 Q20(3)；2025东城一模 Q20；2025延庆一模 Q20(2)；2025昌平二模 Q21；2025朝阳二模 Q21；2025朝阳期末 Q21；2025石景山一模 Q17(2)；2025西城一模 Q21(2)；2025西城二模 Q19(2)；2025门头沟一模 Q19；2026朝阳一模 Q20；2026石景山一模 Q20；2026顺义一模 Q20
经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,5,5,2,促进人才；商品；服务和生产要素在全球范围内流动；人才流；商品流；资金流；生产要素全球流动；维护产业链供应链安全稳定，形成多元稳定的经贸关系，发挥比较优势并深度加入国际分工；产业链供应链安全稳定；经济安全；统筹安全与发展；多元稳定的经贸关系；发挥比较优势；优势互补；深度加入国际分工；封关稳定全球产业链供应链；深化国际分工与合作，推动建设开放型世界经济；全球产业链供应链稳定畅通；国际分工与合作；开放型世界经济；世界经济开放发展；技术研发提升企业竞争力并推动产业升级，深度融入全球产业分工和合作；技术研发；企业竞争力；产业升级,2024丰台一模 Q20；2026房山一模 Q19；2026朝阳一模 Q20；2026西城一模 Q20(2)；2026门头沟一模 Q20
经济全球化,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力,1,1,0,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力；促进资源优化配置；促进国际贸易；为世界新能源产业注入活力；让经济全球化更有活力,2025东城期末 Q20
经济全球化,维护产业链供应链安全稳定，形成多元稳定的国际经济格局和经贸关系,2,3,2,维护产业链供应链安全稳定，形成多元稳定的国际经济格局和经贸关系；多元化布局；顺应经济全球化趋势；利用世界各地优势组织生产经营；产业链供应链安全；多元稳定国际经济格局；供应链金融创新缓解供应链资金短缺；供应链金融；资金短缺；链条稳定；推动全球供应链高质量发展，增强经济全球化活力，推动合作共赢；先进技术降低成本提高效率；畅通全球产业链供应链；合作共赢,2024丰台一模 Q20；2025朝阳一模 Q20
政治多极化,共商共建共享的全球治理观,12,12,3,共商共建共享的全球治理观；共商共建共享全球治理观；坚持共商共建共享；共商共建共享；以人类命运共同体理念；全人类共同价值；正确义利观；真正的多边主义和互利共赢参与全球治理；命运共同体；践行真正的多边主义；坚持互利共赢；全球倡议系统推动构建人类命运共同体：全球发展倡议以发展促繁荣；全球发展倡议；以发展促繁荣；坚持正确义利观；发展合作中共享机遇；建立公平合理；合作共赢的全球气候治理体系，推动构建人类命运共同体；全球气候治理体系；公平正义合作共赢的新型国际关系；共同利益是国家合作的基础；人类命运共同体；中国推动构建人类命运共同体并推动全球治理体制向更加公正合理方向发展；平等；开放,2024朝阳二模 Q20；2025丰台二模 Q20；2025丰台期末 Q20；2025石景山一模 Q17(2)；2025顺义一模 Q20；2026东城期末 Q20；2026丰台一模 Q19；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026石景山一模 Q20；2026西城期末 Q20；2026通州期末 Q20
政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,11,12,1,推动构建国际新秩序；倡导国际关系民主化；践行多边主义；推动构建更加公正合理的国际新秩序；国际关系民主化；多边主义；推动国际秩序朝着更加公正合理的方向发展，倡导国际关系民主化和真正的多边主义；顺应时代潮流；倡导全球协作；坚持真正的多边主义；全球治理；赋予发展中国家更多发言权；为解决全球问题贡献中国智慧和中国方案；中国智慧；中国方案；推动国际关系民主化；和平解决国际争端；劝和促谈；全球人工智能治理倡议；维护发展中国家的利益，完善全球治理并推进国际关系民主化；维护发展中国家利益；全球南方；完善全球治理；推进国际关系民主化；全球治理应坚持平等,2024朝阳二模 Q20；2024海淀期中 Q21(2)；2024西城二模 Q19；2025东城一模 Q20；2025东城二模 Q20；2025丰台二模 Q20；2025石景山一模 Q17(2)；2025顺义一模 Q20；2026丰台一模 Q19；2026朝阳期末 Q20；2026通州期末 Q20
政治多极化,世界多极化深入发展与平等有序的世界多极化,4,4,0,政治多极化；经济全球化深入发展，和平与发展成为时代主题；世界之变；和平与发展仍是时代主题；国际局势变乱交织，面临诸多问题和挑战；局部动荡不断；和平与发展主题；世界多极化；全球经济复苏乏力；贸易保护主义；地区冲突；阵营对抗；非传统安全威胁；新中国外交的时代背景不断变化：政治多极化；经济全球化；和平与发展；时代主题；世界多极化是当今国际形势的突出特点，中国在追求本国利益时兼顾他国合理关切；国家利益；兼顾他国合理关切,2024海淀期中 Q21(2)；2025东城二模 Q20；2025延庆一模 Q20(2)；2025海淀期中 Q21(2)
政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,9,8,2,推进构建新型国际关系（国际关系民主化）；国际关系民主化；新型国际关系；推动建设合作共赢的新型国际关系；合作共赢的新型国际关系；合作共赢；互利共赢；共享发展成果；贡献中国智慧和中国方案；完善全球治理；构建新型国际关系；全人类共同价值；正确义利观；构建人类命运共同体；推动建设以合作共赢为核心的新型国际关系，推动国际关系民主化，实现真正的多边主义；合作共赢新型国际关系；真正的多边主义；全球治理变革；和平共处五项原则；维护主权；安全和发展利益；推动建设新型国际关系；推动构建人类命运共同体；主权安全发展利益；人类命运共同体,2024东城一模 Q16；2024朝阳一模 Q21；2025丰台期末 Q20；2025朝阳二模 Q21；2025海淀二模 Q21；2025门头沟一模 Q19；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026顺义一模 Q20
政治多极化,全球治理应坚持开放、合作、共享、共赢、包容和共商共建,1,1,0,全球治理应坚持开放；合作；共享；共赢；包容和共商共建；开放；包容；求同存异；共商共建,2024朝阳二模 Q20
政治多极化,坚持共同但有区别的责任，发达国家应承担更多责任,1,1,0,坚持共同但有区别的责任，发达国家应承担更多责任；不同国家发展阶段和具体情况不同；从各自实际出发；共同但有区别的责任；发达国家兑现承诺,2024朝阳二模 Q20
中国,坚持正确义利观，在发展合作中义利相兼、互利共赢,3,2,1,坚持正确义利观；兼顾各方利益；正确义利观；兼顾他国合理关切；坚持正确的义利观，提升国际话语权并尊重世界文明多样性；国际话语权；世界文明多样性；文明交流互鉴；讲好中国故事边界,2025朝阳期末 Q21；2026朝阳期中 Q17；2026通州期末 Q20
中国,推动构建人类命运共同体,21,28,4,推动构建人类命运共同体；人类命运共同体；习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南；外交指导思想与时俱进；人类命运共同体作为思想层可得分表述；构建人类命运共同体；正确义利观；外交政策宗旨等同位替代表述；独立自主的和平外交政策；维护世界和平；促进共同发展；义利观；中国智慧中国方案；综合短文可选知识：人类命运共同体；推动构建人类命运共同体，超越集团政治；实力至上和西方普世价值逻辑；人类命运共同体理念；超越集团政治小圈子规则；超越实力至上逻辑；超越少数西方国家定义的普世价值；推动构建人类命运共同体，建设持久和平；普遍安全；共同繁荣；开放包容；清洁美丽的世界,2024东城一模 Q16；2024东城二模 Q20；2024丰台二模 Q19；2024海淀期中 Q21(2)；2024西城二模 Q19；2025东城一模 Q20；2025东城二模 Q20；2025丰台期末 Q20；2025延庆一模 Q20(2)；2025朝阳二模 Q21；2025朝阳期末 Q21；2025海淀期中 Q21(2)；2025海淀期末 Q22；2025门头沟一模 Q19；2026东城期末 Q20；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026朝阳期中 Q17；2026石景山一模 Q20；2026通州期末 Q20；2026顺义一模 Q20
中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,5,5,0,贡献中国智慧；中国方案；勇于大国担当；中国智慧；大国担当；大国责任与担当；正确义利观；共享发展经验；为全球治理贡献中国智慧和中国力量；贡献中国力量；拓展发展中国家走向现代化的途径，贡献中国智慧中国方案；拓展发展中国家走向现代化的途径；贡献中国智慧中国方案；通过南南合作帮助发展中国家，贡献中国智慧；南南合作；发展中国家；中国智慧中国方案,2024丰台二模 Q19；2025西城一模 Q21(1)；2026朝阳一模 Q20；2026西城期末 Q20；2026通州期末 Q20
中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,7,10,2,总体国家安全观；维护国家经济安全；科技安全；底线思维；应对风险；新中国外交始终服务于我国人民民主专政的国家性质；国家性质；国家利益；维护主权安全发展利益为非累计替代表述；坚持独立自主的基本立场；独立自主的和平外交政策；维护世界和平；促进共同发展的宗旨；和平共处五项原则；促进世界和平与发展为基本目标；当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；激烈国际竞争；技术人才资源竞争；国家安全；风险应对；贸易壁垒；技术制裁；技术垄断；共同利益是国际合作的基础；共同利益,2024朝阳一模 Q21；2024海淀期中 Q21(2)；2024西城一模 Q19(6)；2025朝阳二模 Q21；2025海淀期中 Q21(2)；2026丰台一模 Q19；2026朝阳期中 Q17
中国,国际发展合作、南南合作与“小而美”项目,6,6,1,改善发展中国家民生；发展中国家民生改善；全球发展内生动力；和平；发展；合作；共赢是时代潮流；气候变化属于全球性非传统安全威胁；和平发展合作共赢是时代潮流；非传统安全威胁；坚持正确义利观，开放广阔中国市场，与发展中国家共享发展新机遇；开放广阔的中国市场；坚持正确义利观；共享发展新机遇；惠民生增福祉；互利共赢；中国以科技助力发展中国家发展，提升自主发展能力；改善民生并促进全球可持续发展；技术赋能；发展中国家；全球南方；自主发展能力；民生改善；全球可持续发展；解决全球发展不平衡,2025西城二模 Q19(2)；2025门头沟一模 Q19；2025顺义一模 Q20；2026延庆一模 Q19(2)；2026朝阳一模 Q20；2026西城期末 Q20
中国,中国作为负责任大国积极参与全球治理并推动全球南方现代化,3,3,0,积极参与全球气候治理，做全球气候治理的建设者；引领者和负责任大国；建设者；引领者；做负责任的大国；中国以最大发展中国家身份积极参与全球治理并推动全球南方现代化；国际政治经济格局中的重要力量；全球南方现代化；中国参与全球治理；中国作为负责任大国积极承担责任，发挥建设性作用；气候变化挑战；负责任大国；建设性作用,2024丰台二模 Q19；2025丰台二模 Q20；2026西城期末 Q20
中国,自觉履行国际义务，遵循国际法，承担国际责任,1,1,0,自觉履行国际义务，遵循国际法，承担国际责任；履行国际义务；遵循国际法；承担国际责任,2026西城期末 Q20
中国,坚定维护本国利益，坚持互利共赢、和平谈判并推动贸易自由便利,1,1,0,坚定维护本国利益，坚持互利共赢；和平谈判并推动贸易自由便利；维护本国利益；互利共赢；和平谈判方式；推动贸易自由便利；维护市场秩序,2025东城期末 Q20
中国,中国平等开放、合作共享的全球治理理念,1,1,1,中国平等开放；合作共享的全球治理理念；平等开放；合作共享；全球治理理念；中国发展新机遇,2024朝阳期中 Q20(3)
中国,中非携手推进现代化,1,1,0,中非携手推进现代化；中非现代化；材料1分,2025丰台期末 Q20
中国,改善民生、促进就业和经济社会发展，提升当地民众获得感,1,1,0,改善民生；促进就业和经济社会发展，提升当地民众获得感；中老铁路安居村；200口井；中国园林；公共卫生；民生,2025顺义一模 Q20
联合国,《联合国宪章》宗旨和原则,5,5,1,符合《联合国宪章》宗旨和原则；符合《联合国宪章》；坚定维护以联合国为核心的国际体系；维护《联合国宪章》宗旨和原则；支持联合国工作；支持联合国改革；全球倡议系统推动构建人类命运共同体：全球安全倡议通过对话协商和平解决国际争端；全球安全倡议；对话协商；和平解决国际争端；遵守联合国宪章宗旨和原则；共赢思维；持久和平；普遍安全；中国作为联合国常任理事国遵守联合国宪章宗旨原则并践行多边主义维护多边体制；联合国常任理事国；联合国宪章宗旨原则；践行多边主义；维护多边体制权威性和有效性；中国维护联合国宪章宗旨和原则并落实联合国2030年可持续发展议程；联合国宪章的宗旨和原则；联合国2030年可持续发展议程；联合国发展峰会,2024东城二模 Q20；2025丰台二模 Q20；2025海淀二模 Q21；2026丰台一模 Q19；2026通州期末 Q20
联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,3,4,1,联合国地位和作用；最具普遍性；代表性和权威性的政府间国际组织；集体安全机制核心；实践多边主义最佳场所；三大支柱；中国作为联合国创始会员国；安理会常任理事国；世界上最大的发展中国家；国际政治经济格局中的重要力量；中国的联合国身份；中国国际格局地位；营造良好外部政治环境：平等有序世界多极化；新型国际关系；国际关系民主化；联合国核心体系和全球治理改革；平等有序世界多极化；全球南方团结合作；合作共赢新型国际关系；共商共建共享；反对霸权主义强权政治；联合国核心体系；全球治理体系变革完善；践行真正的多边主义，维护以联合国为核心的国际体系和以国际法为基础的国际秩序；真正多边主义,2025朝阳期末 Q21；2025海淀二模 Q21；2025石景山一模 Q17(2)
联合国,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台,1,1,0,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台；提供平台；创造良好外部环境；中国也是受益者,2025海淀二模 Q21
联合国,维护联合国在国际事务中的核心作用，完善全球治理体系,1,1,0,维护联合国在国际事务中的核心作用，完善全球治理体系；维护联合国的核心作用；完善全球治理体系,2026西城期末 Q20
