atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-CY16,经济全球化,深化区域经济合作，促进区域投资和贸易自由化便利化,亲诚惠容外交理念；区域经济合作；一带一路；区域投资和贸易自由化便利化；区域产业链供应链深度融合,2025朝阳一模 Q20,区域化合作角度2分,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_text_support,题面写区域化合作和供应链距离缩短 回答应对新态势触发区域合作和贸易投资自由化便利化,中国应深化区域经济合作 秉持亲诚惠容外交理念 加强与周边国家和地区经济合作 促进区域投资和贸易自由化便利化 推动区域产业链供应链深度融合,merge_with_regional_integration_and_trade_investment_facilitation,一带一路作为用法积累 不单独造频次；绿色化和数字化角度保持边界留痕,candidate_with_fixes,2025朝阳一模_Q20_SRC_c3d1aea637c9;2025朝阳一模_Q20_SRC_832947a8c994
ATOM-CY17,经济全球化,积极参与全球经济治理和规则制定，维护多边贸易体系，推动构建开放型世界经济,全球经济治理和规则制定；多边贸易体系；更高水平开放型经济；开放型世界经济；人类命运共同体,2025朝阳一模 Q20,总结1分及绿色规则相关角度,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_text_support,题面写绿色认证等国际规则影响国际竞争力 需要从规则治理和多边贸易体系说明中国应对,中国应积极参与全球经济治理和规则制定 维护多边贸易体系 发展更高水平开放型经济 推动构建开放型世界经济和人类命运共同体,merge_with_global_economic_governance_rulemaking,绿色技术和数字化加速只作为材料方向或混模块支撑 不替代全球治理规则核心 也不作独立选必一频次,candidate_with_fixes,2025朝阳一模_Q20_SRC_c3d1aea637c9;2025朝阳一模_Q20_SRC_832947a8c994
ATOM-CY18,时代背景,和平与发展是当今时代主题,和平与发展；世界发展大势；服务国家发展大局,2026朝阳期末 Q20,和平发展角度背景1分,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_visual_support,设问问中国特色大国外交为什么要更有作为 先要求判断国际背景和时代主题,和平与发展是当今时代主题 中国特色大国外交主动作为顺应世界发展大势并服务国家发展大局,merge_with_peace_and_development_core,后续命运共同体等是目标层 不把时代主题替代四角度全题,candidate_with_fixes,2026朝阳期末_Q20_SRC_e80d35a6d904;2026朝阳期末_Q20_SRC_0056d930a7a9
ATOM-CY19,政治多极化,推动构建人类命运共同体，维护共同利益，推动国际新秩序和全球治理,命运共同体；共同利益；国际新秩序；全球治理,2026朝阳期末 Q20,和平发展角度目标1分,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_visual_support,材料写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量 触发命运共同体和全球治理目标,中国特色大国外交更有作为 有利于推动构建人类命运共同体 维护共同利益 推动国际新秩序和全球治理发展,merge_with_hmc_global_governance_goal,与时代主题同角度但不同分层,candidate_with_fixes,2026朝阳期末_Q20_SRC_e80d35a6d904;2026朝阳期末_Q20_SRC_0056d930a7a9
ATOM-CY20,政治多极化,反对单边主义、霸权主义和强权政治，提升发展中国家代表性和话语权,多极化；单边主义；霸权强权；发展中国家代表性话语权；全球南方联合自强,2026朝阳期末 Q20,政治角度背景1分+目标1分,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_visual_support,材料写全球南方联合自强和金砖扩员 回答政治方面为什么更有作为触发反霸权与国际关系民主化,面对单边主义和霸权强权 中国特色大国外交推动多极化进程 提升发展中国家代表性和话语权 维护发展中国家利益并促进全球南方联合自强,merge_with_developing_country_voice_and_ir_democratization,本角度是背景1分+目标1分成对结构；多极化/霸权强权等背景词不得和发展中国家话语权目标混成单一必答频次,candidate_with_fixes,2026朝阳期末_Q20_SRC_e80d35a6d904;2026朝阳期末_Q20_SRC_0056d930a7a9
ATOM-CY21,经济全球化,反对贸易保护主义，推动开放型世界经济、世界经济共同繁荣、互利共赢、开放合作、共享成果,经济全球化；贸易保护主义；开放型世界经济；共同繁荣；互利共赢；开放合作；共享成果,2026朝阳期末 Q20,经济角度背景1分+目标1分,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_visual_support,材料写维护以世贸组织为核心的多边贸易体制和拓展贸易投资自由化便利化 回答经济方面触发全球化与反保护主义,面对贸易保护主义 中国特色大国外交应坚定维护多边贸易体制 推动开放型世界经济和世界经济共同繁荣 在互利共赢和开放合作中共享发展成果,merge_with_open_world_economy_and_anti_protectionism,本角度是背景1分+目标1分成对结构；贸易保护主义是背景 目标表述进入完整五词经济全球化方向的表述积累 不能替代完整核心名,candidate_with_fixes,2026朝阳期末_Q20_SRC_e80d35a6d904;2026朝阳期末_Q20_SRC_0056d930a7a9
ATOM-CY22,理论,主权、安全、发展利益是国家核心利益；国家利益是国际关系的决定性因素,国家核心利益；国家利益决定性因素；维护国家利益是对外活动出发点和落脚点；维护人民利益；中国式现代化,2026朝阳期末 Q20,我国国家利益角度背景1分+目标1分,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_visual_support,材料写海外安全保障体系和维护国家利益 回答国家利益方面触发国家利益理论,主权、安全、发展利益是国家核心利益 国家利益是国际关系的决定性因素 维护国家利益是主权国家对外活动的出发点和落脚点 中国特色大国外交要维护人民利益并服务中国式现代化,merge_with_national_interest_core,本角度是背景1分+目标1分成对结构；国家利益理论不混入中国政策桶 维护人民利益和中国式现代化是目标层表达,candidate_with_fixes,2026朝阳期末_Q20_SRC_e80d35a6d904;2026朝阳期末_Q20_SRC_0056d930a7a9
ATOM-CY23,经济全球化,数字贸易博览会搭建交流合作平台，促进投资和贸易自由化便利化，更好利用两个市场两种资源,数字贸易；交流合作平台；投资贸易自由化便利化；资源优化配置；两个市场两种资源,2024朝阳期中 Q20(3),短评三段点评6分中的打造新平台点评,P0_formal_scoring_rule_text,formal_scoring_docx_rtf_with_paper_text_support,短评主题是数字驱动商通全球 打造新平台材料触发投资贸易自由化便利化和资源配置,数字贸易博览会为全球数字贸易搭建交流合作平台 促进投资和贸易自由化便利化 实现资源优化配置 使各国更好利用两个市场两种资源,merge_with_trade_investment_facilitation_two_markets,只处理Q20第三问 前两问经济与社会不计选必一；短评结构分标题分表达分不计术语频次,candidate_with_boundary_guard,2024朝阳期中_Q20_3_SRC_3d4cd35f4494;2024朝阳期中_Q20_3_SRC_b706c444e16d;2024朝阳期中_Q20_3_SRC_34231242a333
ATOM-CY24,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,开放包容普惠平衡共赢；普惠平衡共赢开放,2024朝阳期中 Q20(3),短评总评2分中的做法或总评价,P0_formal_scoring_rule_text,formal_scoring_docx_rtf_with_paper_text_support,短评总结要求把数贸会意义上升到经济全球化方向 触发完整五词核心,中国坚持办好数字贸易博览会 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,merge_with_full_five_word_globalization_direction,与2025朝阳二模Q21等合并成一个核心 保留完整五词；只处理Q20第三问且不计短评形式分,candidate_with_boundary_guard,2024朝阳期中_Q20_3_SRC_3d4cd35f4494;2024朝阳期中_Q20_3_SRC_b706c444e16d;2024朝阳期中_Q20_3_SRC_34231242a333
ATOM-CY25,中国,中国平等开放、合作共享的全球治理理念,平等开放；合作共享；全球治理理念；中国发展新机遇,2024朝阳期中 Q20(3),短评总评2分中的总评价,P0_formal_scoring_rule_text,formal_scoring_docx_rtf_with_paper_text_support,数贸会让中国平台联通全球并共享发展机遇 总评可上升到中国全球治理理念,数字贸易博览会生动展现中国平等开放、合作共享的全球治理理念 让世界共享中国发展新机遇,merge_with_china_wisdom_governance_concept,只处理Q20第三问；短评题标题分结构分表达分不计术语频次,candidate_with_boundary_guard,2024朝阳期中_Q20_3_SRC_3d4cd35f4494;2024朝阳期中_Q20_3_SRC_b706c444e16d;2024朝阳期中_Q20_3_SRC_34231242a333
ATOM-CY-B01,中国,2025朝阳期末 Q21 只作等级答案参考：习近平外交思想、构建人类命运共同体、外交政策、世界多极化、全球治理体系、经济全球化,等级答案宽口径；中国特色大国外交；全球南方；中国式现代化外部环境,2025朝阳期末 Q21,细则PDF视觉核读仅见等级答案式宽口径,P1_level_answer_or_reference_only,scanned_scoring_pdf_visual_no_point_rubric,题面属于选必一但没有逐点评分原词 不能把宽口径模块词冒充P0术语,中国特色大国外交要在习近平外交思想指导下推动人类命运共同体建设并为中国式现代化营造良好外部环境,keep_reference_only_not_main_frequency,如后续找到逐点细则可升级；当前不进主链频次,reference_only,2025朝阳期末_Q21_SRC_49b23fecab97;2025朝阳期末_Q21_SRC_131c6c890bd4
ATOM-CY26,中国,中国特色大国外交为中国式现代化营造总体外部环境,推动构建人类命运共同体；独立自主和平外交政策；和平共处五项原则；主权安全发展利益；三大全球倡议,2025朝阳期末 Q21,②营造总体外部环境1分；P2讲评PPT slide33,P2_teaching_lecture_with_point_scoring,p0_pdf_level_only_plus_paper_text_support,设问问如何通过中国特色大国外交营造外部环境 先从总体外交方向和国家利益写起,中国坚持独立自主的和平外交政策和和平共处五项原则 推动构建人类命运共同体 维护主权安全发展利益 为中国式现代化营造和平稳定的总体外部环境,merge_with_china_diplomacy_environment,同层8句任一句给1分；仅P2低等级候选 不计P0频次,candidate_p2_guard,2025朝阳期末_Q21_SRC_CY2025QIMO_PPTX;2025朝阳期末_Q21_SRC_131c6c890bd4
ATOM-CY27,政治多极化,营造良好外部政治环境：平等有序世界多极化、新型国际关系、国际关系民主化、联合国核心体系和全球治理改革,平等有序世界多极化；全球南方团结合作；合作共赢新型国际关系；共商共建共享；反对霸权主义强权政治；国际关系民主化；联合国核心体系；全球治理体系变革完善,2025朝阳期末 Q21,③营造良好的外部政治环境2分；P2讲评PPT slide33,P2_teaching_lecture_with_point_scoring,p0_pdf_level_only_plus_paper_text_support,材料写国际力量对比调整全球南方壮大和单边霸凌 因此政治环境层触发多极化与全球治理秩序,中国倡导平等有序的世界多极化 推动建设以合作共赢为核心的新型国际关系 推动国际关系民主化 维护以联合国为核心的国际体系并推动全球治理体系变革完善,merge_with_political_environment_expression_pool,同层8句任一句给1分满2分；只作P2表述池 不拆成多个P0必答频次,candidate_p2_guard,2025朝阳期末_Q21_SRC_CY2025QIMO_PPTX;2025朝阳期末_Q21_SRC_131c6c890bd4
ATOM-CY28,经济全球化,营造良好外部经济环境：倡导普惠包容的经济全球化，推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展,普惠包容的经济全球化；开放包容普惠平衡共赢；高水平对外开放边界；新发展格局边界,2025朝阳期末 Q21,④营造良好的外部经济环境2分；P2讲评PPT slide34,P2_teaching_lecture_with_point_scoring,p0_pdf_level_only_plus_paper_text_support,材料写逆全球化思潮和脱钩断链行径 回答经济外部环境时触发经济全球化正确方向,面对逆全球化和脱钩断链 中国倡导普惠包容的经济全球化 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 为中国式现代化营造良好外部经济环境,merge_with_full_five_word_globalization_direction,完整五词必须保留；高水平对外开放和新发展格局为混模块边界；仅P2低等级候选,candidate_p2_guard,2025朝阳期末_Q21_SRC_CY2025QIMO_PPTX;2025朝阳期末_Q21_SRC_131c6c890bd4
ATOM-CY29,中国,坚持正确的义利观，提升国际话语权并尊重世界文明多样性,正确义利观；国际话语权；世界文明多样性；文明交流互鉴；讲好中国故事边界,2025朝阳期末 Q21,⑤营造良好的外部文化环境和国际舆论环境1分；P2讲评PPT slide34,P2_teaching_lecture_with_point_scoring,p0_pdf_level_only_plus_paper_text_support,材料写意识形态分歧和国际舆论环境 回答中国外交价值取向时优先保留选必一的正确义利观,中国坚持正确的义利观 尊重世界文明多样性 提升国际话语权 以负责任大国形象为中国式现代化营造良好外部文化和舆论环境,merge_with_correct_yili_china_diplomacy,正确义利观可入中国外交桶；文化自信和讲好中国故事主要作选必三边界；仅P2低等级候选,candidate_p2_guard,2025朝阳期末_Q21_SRC_CY2025QIMO_PPTX;2025朝阳期末_Q21_SRC_131c6c890bd4
