atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-C11,时代背景,和平与发展仍是时代主题,"中国的做法符合时代主题和平与发展；时代主题：和平和发展",2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,"中国创新、经验共享、开放合作和南南合作都指向促进各国共同发展，因此要判断其是否顺应和平与发展的世界大势。","中国通过科技创新、发展经验共享和开放合作促进各国共同发展，中国的做法符合和平与发展的时代主题。",merge_with_M01,do_not_merge_with_China_diplomacy_purpose,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad
ATOM-C12,理论,共同利益,共同利益是国家合作的基础,2026顺义一模 Q20,幻灯片9共同利益1分必答,P0_formal_scoring_rule,formal_scoring_pptx,"设问问南南合作典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展共同需求。","国家间共同利益是国家合作的基础，科技小院回应全球南方国家提升农业生产、培养本土人才和实现可持续发展的共同需求，因此能够成为南南合作典范。",new_core_theory,do_not_merge_with_correct_yiliguan,candidate_with_fixes,2026顺义一模_Q20_SRC_8d2be8df9cad;2026顺义一模_Q20_SRC_1da70413b2d1
ATOM-C13,中国,构建人类命运共同体；正确义利观；外交政策宗旨等同位替代表述,"构建人类命运共同体；独立自主的和平外交政策；维护世界和平、促进共同发展；义利观",2026顺义一模 Q20,幻灯片9国际政治3分同一评分功能位,P0_formal_scoring_rule,formal_scoring_pptx,"材料写中国方案应用于多国农业治理、让更多全球南方国家受益，触发中国开展南南合作的价值逻辑。","科技小院秉持构建人类命运共同体理念，坚持正确义利观，分享中国方案并帮助全球南方国家实现农业发展。",same_scoring_slot_variant,do_not_duplicate_frequency_across_M05_M06_M13,candidate_with_fixes,2026顺义一模_Q20_SRC_8d2be8df9cad;2026顺义一模_Q20_SRC_1da70413b2d1
ATOM-C14,联合国,联合国地位和作用,"最具普遍性、代表性和权威性的政府间国际组织；集体安全机制核心；实践多边主义最佳场所；三大支柱",2025海淀二模 Q21,中国需要联合国第1点2分任意两条,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,"材料一用粮食安全、儿童、健康、气候和和平安全等数据呈现联合国全球作用，论证中国为什么需要联合国。","联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织，是集体安全机制的核心和实践多边主义的最佳场所，能够通过发展与和平、人权三大支柱推动全球治理。",new_core_UN,not_pure_P0_frequency,candidate_with_fixes,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036;2025海淀二模_Q21_SRC_203635b75b25
ATOM-C15,联合国,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台,"提供平台；创造良好外部环境；中国也是受益者",2025海淀二模 Q21,中国需要联合国第2点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,"题目中的中国需要联合国，要说明联合国怎样为中国参与国际事务、开展多边合作和推进现代化提供平台与外部环境。","联合国为中国对外开放和现代化事业提供重要平台与良好外部环境，成为中国开展多边合作的主要舞台。",new_core_UN,meaning_understanding_not_verbatim_required,candidate_with_fixes,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036
ATOM-C16,中国,中国作为联合国创始会员国/安理会常任理事国；世界上最大的发展中国家/国际政治经济格局中的重要力量,"中国的联合国身份；中国国际格局地位",2025海淀二模 Q21,联合国需要中国第1点中国地位1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,"论证联合国也需要中国时，材料写中国代表第一个签署联合国宪章和中国在联合国的长期贡献，触发中国身份和地位。","中国作为联合国创始会员国和安理会常任理事国，同时是世界上最大的发展中国家、国际政治经济格局中的重要力量，能够为联合国事业和全球治理提供重要支持。",merge_with_China_status_core,not_pure_P0_frequency,candidate_with_fixes,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036;2025海淀二模_Q21_SRC_203635b75b25
ATOM-C17,联合国,坚定维护以联合国为核心的国际体系；维护《联合国宪章》宗旨和原则,"支持联合国工作；支持联合国改革",2025海淀二模 Q21,联合国需要中国第2点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,"材料二写中国担任安理会轮值主席，推动弥合分歧、建立共识、提升效率，体现中国支持联合国体系和宪章原则。","中国坚定维护以联合国为核心的国际体系，维护《联合国宪章》宗旨和原则，并以建设性行动支持联合国改革和安理会工作。",merge_with_M04_UN_charter,not_pure_P0_frequency,candidate_with_fixes,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036
ATOM-C18,中国,贡献中国智慧和中国方案,"完善全球治理；构建新型国际关系；全人类共同价值；正确义利观；构建人类命运共同体",2025海淀二模 Q21,联合国需要中国第3点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,"材料二写中国以负责任、建设性态度参与联合国事务，反映全球南方声音、推动停火止战和恢复和平，要求回答中国为联合国事业贡献什么。","中国以负责任、建设性态度参与联合国事务，反映全球南方声音，推动完善全球治理、构建新型国际关系和人类命运共同体，为联合国贡献中国智慧和中国方案。",merge_with_M07_and_crossrefs,avoid_duplicate_count_with_variants_same_point,candidate_with_fixes,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036
ATOM-C19,中国,人类命运共同体、中国智慧中国方案,"综合短文可选知识：人类命运共同体；中国智慧中国方案",2025海淀期末 Q22,教师研修PPT slide61-62可选知识,P2_teaching_lecture_with_q22_rubric,teacher_training_ppt_optional_knowledge,"综合短文不固定要求选必一；只有当愚公移山精神被上升为中国面对共同挑战、推动世界互联互通的价值时，才触发该可选角度。","“愚公移山”体现团结奋斗、迎难而上的精神，中国以此推动构建人类命运共同体，贡献中国智慧和中国方案。",P2_optional_variant_only,not_mandatory_not_P0_frequency,candidate_with_fixes,2025海淀期末_Q22_SRC_61b68f14212d;2025海淀期末_Q22_SRC_1bd40d845040

