atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs,_file,final_bucket,final_core_cluster
ATOM-B11,理论,处理好发展和安全的关系；统筹发展和安全,发展与安全,2026朝阳期中 Q17,第二层总说1分,P0_formal_scoring_rule,formal_scoring_docx,材料一端呈现人工智能带来效率提升和发展动能，另一端呈现数据泄露、模型缺陷、伦理失控等风险，触发发展和安全关系。,发展人工智能必须统筹发展和安全，在释放降本增效和发展动能的同时，有效防范数据安全、科技安全等风险。,keep_question_relation_container,Layer2_economy_subpoint_boundary_record_required,candidate_with_fixes,2026朝阳期中_Q17_SRC_763b7470b96b,scoring_atom_table_batch01.csv,理论,处理好发展和安全的关系；统筹发展和安全
ATOM-B12,中国,总体国家安全观；维护国家经济安全、科技安全,底线思维；应对风险,2026朝阳期中 Q17,第二层分说1,P0_formal_scoring_rule,formal_scoring_docx,材料列举人工智能安全事件和非传统安全风险，回答安全端时触发总体国家安全观及经济安全、科技安全。,我国应坚持总体国家安全观和底线思维，维护国家经济安全、科技安全，为人工智能发展守住安全底线。,keep_as_subpoint,government_regulation_and_laws_not_core_xuanbiyi,candidate_with_fixes,2026朝阳期中_Q17_SRC_763b7470b96b,scoring_atom_table_batch01.csv,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体
ATOM-B13,理论,处理好中国发展和世界发展的关系,中国发展与世界发展,2026朝阳期中 Q17,第三层总说1分,P0_formal_scoring_rule,formal_scoring_docx,材料把我国人工智能发展与全球南方能力建设、全球智能鸿沟联系起来，触发本国发展和世界发展之间的关系。,我国推进人工智能发展要处理好中国发展和世界发展的关系，在谋求本国发展的同时促进世界共同发展。,keep_question_relation_container,domestic_industry_upgrade_boundary_support_only,candidate_with_fixes,2026朝阳期中_Q17_SRC_763b7470b96b,scoring_atom_table_batch01.csv,理论,处理好中国发展和世界发展的关系
ATOM-B14,经济全球化,利用国际组织赋予的权利；积极参与全球经济治理和规则制定,为企业出海营造良好国际环境,2025海淀期中 Q16(2),内嵌图片image2第3点贸易摩擦2分,user_confirmed_image_scoring_material,embedded_docx_image_verified,设问要求为企业出海提建议，材料呈现商标权败诉和国际贸易风险，说明出海不能只靠企业经营策略，还要利用国际组织和全球治理规则维护权益。,面对海外市场贸易摩擦和知识产权风险，企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为中国咖啡企业出海营造良好的国际环境。,merge_core,do_not_upgrade_text_reference_answers,candidate_with_fixes,2025海淀期中_Q16_SRC_cda046c2d36d,scoring_atom_table_batch01.csv,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定
ATOM-B15,时代背景,政治多极化、经济全球化深入发展，和平与发展成为时代主题,世界之变；和平与发展仍是时代主题,2025海淀期中 Q21(2),内嵌图片image8变4分-世界之变2分,user_confirmed_image_scoring_material,embedded_docx_image_verified,设问分析新中国外交的变，材料按历史阶段呈现中国面对的外部世界变化，触发世界格局与时代主题变化。,新中国外交面对的时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，推动外交在不同阶段调整重点。,merge_into_ATOM_B02,not_China_policy_purpose,candidate_with_fixes,2025海淀期中_Q21_SRC_cda046c2d36d,scoring_atom_table_batch01.csv,政治多极化,世界多极化深入发展与平等有序的世界多极化
ATOM-B16,中国,中国综合国力不断增强，国际地位不断提升，承担越来越多国际责任,国际影响力、话语权不断提升,2025海淀期中 Q21(2),内嵌图片image8变4分-中国之变实力1分,user_confirmed_image_scoring_material,embedded_docx_image_verified,材料从站起来、富起来、强起来展示中国实力和地位变化，回答外交的变要说明中国自身实力基础变化。,中国综合国力不断增强、国际地位不断提升，承担越来越多国际责任，推动中国特色大国外交不断发展。,merge_core,image8_remark_classified_as_usable_variant,candidate_with_fixes,2025海淀期中_Q21_SRC_cda046c2d36d,scoring_atom_table_batch01.csv,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量
ATOM-B17,中国,习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南,外交指导思想与时俱进；人类命运共同体作为思想层可得分表述,2025海淀期中 Q21(2),内嵌图片image8变4分-中国之变思想1分,user_confirmed_image_scoring_material,embedded_docx_image_verified,材料写新时代外交理论和实践创新，形成习近平外交思想，说明外交指导思想随着中国和世界发展而变。,习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南，指引中国形成全方位、多层次、立体化的外交布局。,keep_as_China_diplomacy_core,HMC_here_is_thought_layer_expression_not_standalone_core,candidate_with_fixes,2025海淀期中_Q21_SRC_cda046c2d36d,scoring_atom_table_batch01.csv,中国,推动构建人类命运共同体
ATOM-B18,中国,新中国外交始终服务于我国人民民主专政的国家性质,国家性质；国家利益/维护主权安全发展利益为非累计替代表述,2025海淀期中 Q21(2),内嵌图片image8不变第1项1分,user_confirmed_image_scoring_material,embedded_docx_image_verified,设问要求说明不变，材料虽然呈现外交任务变化，但外交服务国家性质和国家根本利益的基础没有变。,新中国外交始终服务于我国人民民主专政的国家性质，以维护我国主权、安全和发展利益为重要依据。,keep_core,state_interest_non_cumulative_reminder_not_new_core,candidate_with_fixes,2025海淀期中_Q21_SRC_cda046c2d36d,scoring_atom_table_batch01.csv,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体
ATOM-B19,中国,坚持独立自主的基本立场,独立自主的和平外交政策,2025海淀期中 Q21(2),内嵌图片image8不变第2组基本立场2分,user_confirmed_image_scoring_material,embedded_docx_image_verified,材料中各阶段外交重点不同，但都体现中国自主决定对外方针，触发独立自主基本立场。,新中国外交始终坚持独立自主的基本立场，按照不同阶段国家发展需要自主决定外交方针。,keep_core,may_merge_with_foreign_policy_section,candidate_with_fixes,2025海淀期中_Q21_SRC_cda046c2d36d,scoring_atom_table_batch01.csv,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体
ATOM-B20,中国,维护世界和平、促进共同发展的宗旨；和平共处五项原则,促进世界和平与发展为基本目标,2025海淀期中 Q21(2),内嵌图片image8不变第2组宗旨目标准则,user_confirmed_image_scoring_material,embedded_docx_image_verified,设问要求分析外交不变，材料中不同阶段都围绕和平、发展、和平共处展开，触发中国外交政策宗旨、目标和基本准则。,新中国外交始终贯彻维护世界和平、促进共同发展的宗旨，以促进世界和平与发展为基本目标，坚持和平共处五项原则作为对外关系基本准则。,keep_core,do_not_merge_with_era_theme_ATOM_B02,candidate_with_fixes,2025海淀期中_Q21_SRC_cda046c2d36d,scoring_atom_table_batch01.csv,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体
ATOM-B21,政治多极化,推进构建新型国际关系（国际关系民主化）,国际关系民主化；新型国际关系,2024东城一模 Q16,试题分析PPT slide26阅卷细则中论证层可得1分,P2_teaching_or_lecture,teaching_analysis_ppt_with_marking_details,题目以民族贡献人类社会为核心，材料写中国创造人类文明新形态并贡献中国智慧，中国对国际关系和共同体建设的贡献成为可给分论证角度。,中国共产党领导中国人民创造人类文明新形态、促进世界文明交流互鉴，也推进构建新型国际关系、倡导国际关系民主化，为人类社会贡献中国智慧。,keep_P2_candidate,cross_book_prompt_not_standard_xuanbiyi_question,candidate_with_fixes,2024东城一模_Q16_SRC_1f17f2c91d92;2024东城一模_Q16_SRC_a1c55f582bad,scoring_atom_table_batch01.csv,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系
ATOM-B22,中国,推动构建人类命运共同体,人类命运共同体,2024东城一模 Q16,试题分析PPT slide26阅卷细则中论证层可得1分,P2_teaching_or_lecture,teaching_analysis_ppt_with_marking_details,同一论证层要求说明中国实践对人类社会的意义，触发人类命运共同体作为中国方案的价值指向。,中国推动构建人类命运共同体，把中国发展同人类社会共同进步联系起来，为世界发展贡献中国方案。,merge_with_ATOM_B06_as_P2_variant,keep_evidence_level_visible,candidate_with_fixes,2024东城一模_Q16_SRC_1f17f2c91d92;2024东城一模_Q16_SRC_a1c55f582bad,scoring_atom_table_batch01.csv,中国,推动构建人类命运共同体
ATOM-B23,经济全球化,对标国际规则，推进制度型开放，深入融入经济全球化,制度型开放;深入融入经济全球化,2024东城一模 Q20,试题分析PPT slide64第3点,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,题目问开放措施如何通过构建新发展格局助力高质量发展，材料写主动对标国际规则、规制、管理和标准，触发制度型开放与经济全球化链条。,我国主动对标国际规则、规制、管理和标准，推进制度型开放、深入融入经济全球化，为外循环提速和新发展格局构建提供开放条件。,keep_P2_candidate,high_level_opening_excluded_as_boundary,candidate_with_fixes,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad,scoring_atom_table_batch01.csv,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定
ATOM-B24,经济全球化,增强国内国际两个市场两种资源联动效应,以国内大循环吸引全球资源要素；两个市场两种资源,2024东城一模 Q20,试题分析PPT slide64第4点,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,材料写放宽外资准入并依托超大规模市场优势，题目要求说明开放措施如何促进国内国际循环联动。,我国放宽外资准入、依托超大规模市场优势，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应。,merge_with_ATOM_B10_two_markets_core,keep_P2_label,candidate_with_fixes,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad,scoring_atom_table_batch01.csv,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动
ATOM-B25,经济全球化,提升贸易投资合作质量和水平,贸易投资合作质量和水平,2024东城一模 Q20,试题分析PPT slide64第4点,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,材料把外循环提速落实到市场准入、营商环境和外资流入，触发贸易投资合作质量提升对高质量发展的作用。,我国优化市场准入和营商环境，提升贸易投资合作质量和水平，使外循环更好服务经济高质量发展。,keep_P2_candidate,boundary_with_required_economics_terms,candidate_with_fixes,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad,scoring_atom_table_batch01.csv,经济全球化,提升贸易投资合作质量和水平
BOUNDARY-B01,模块边界,2026朝阳期中 Q17 第二层分说2：必修二/一般经济治理边界，已排除,经济平稳可持续发展；高质量发展；注入新动能；降本增效；提高效率；优化资源配置；经济增长；政府履行经济职能监管；完善法律法规,2026朝阳期中 Q17,第二层发展端分说2，本项目不作为选必一主链术语,P0_formal_scoring_rule_boundary,formal_scoring_docx_but_cross_module_boundary,材料确有人工智能发展效益和治理监管内容，但本项目只积累选必一《当代国际政治与经济》主链术语，故将这些必修二/一般治理表达保留为边界记录。,,excluded_boundary_subpoint,prevents_false_missing_subpoint_without_promoting_cross_module_terms,excluded_boundary_subpoint,2026朝阳期中_Q17_SRC_763b7470b96b,scoring_atom_table_batch01.csv,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作
ATOM-C01,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；坚持创新驱动战略,综合国力较量；经济和科技实力；创新驱动战略,2026朝阳一模 Q20,第20题第①点2分(1+1)必答点,P0_formal_scoring_rule,formal_scoring_docx,设问问中国为什么能为全球发展提供稳定性和正能量，镜头一用AI、大模型和创新药说明中国科技创新能力，触发能力来源型答题。,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，中国坚持创新驱动战略，科技实力日益增强，能够为全球产业链供应链稳定和全球发展提供支撑。,new_core_theory,not_merge_with_generic_global_supply_chain_result,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量
ATOM-C02,中国,贡献中国智慧、中国方案；勇于大国担当,大国责任与担当；正确义利观；共享发展经验,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,镜头二呈现鲁班工坊、菌草和现代化经验走向多国，要求说明中国怎样把自身发展经验转化为国际公共贡献。,中国通过鲁班工坊、菌草技术和现代化经验共享助力共同繁荣，秉持正确义利观，贡献中国智慧和中国方案，展现大国责任与担当。,merge_with_M07_and_crossref_M05,avoid_duplicate_count_with_HMC_same_section,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系
ATOM-C03,中国,改善发展中国家民生,发展中国家民生改善;全球发展内生动力,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,镜头二集中呈现中国职业教育和农业技术服务发展中国家，回答正能量时要说明这些合作对当地发展和民生的实际作用。,中国职业教育国际合作和菌草种植技术帮助发展中国家培养技术人才、减贫和生态治理，改善发展中国家民生，增强全球发展内生动力。,new_expression_under_china_responsibility,not_a_general_empty_result_phrase,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,中国,国际发展合作、南南合作与“小而美”项目
ATOM-C04,中国,推动构建人类命运共同体,人类命运共同体,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,材料写中国同世界分享发展成果、助力各国探索适合自身国情的发展道路，触发中国面向全球共同发展的理念表达。,中国同世界分享减贫技术、发展成果和现代化经验，推动构建人类命运共同体，使全球发展更具包容性和稳定性。,merge_with_M06,independent_core_not_initiative_subordinate,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,中国,推动构建人类命运共同体
ATOM-C05,经济全球化,充分利用国内国际两个市场、两种资源,两个市场、两种资源,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,镜头三写中国市场、制造业、货物贸易、自贸协定和免签政策，说明中国发展通过市场资源联动形成开放发展潜力。,中国依托超大规模市场和全球贸易网络，联动国内国际两个市场、两种资源，为各国共享中国发展机遇提供稳定空间。,merge_with_M12,keep_P0_source_variant,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动
ATOM-C06,经济全球化,推动贸易投资自由化便利化,贸易投资自由化便利化,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,自贸协定、免签政策和人才流商品流资金流双向流动，触发跨境贸易投资便利化这一经济全球化机制。,中国通过自贸协定和便利化政策推动贸易投资自由化便利化，促进人才、商品和资金双向流动，为开放型世界经济提供支撑。,new_core_globalization,high_level_opening_excluded_as_boundary,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,经济全球化,推动贸易和投资自由化便利化
ATOM-C07,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展,开放、包容、普惠、平衡、共赢；普惠、平衡、共赢,2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际经济角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,当材料把中国市场开放、发展经验共享、南南合作和全球南方受益联系起来，答案要说明中国推动经济全球化走向更公平、更包容、更共赢。,中国持续释放市场潜力、扩大自贸朋友圈并促进要素流动，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。,new_high_information_core,Shunyi_short_phrase_is_variant_not_core,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad,scoring_atom_table_batch02.csv,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展
ATOM-C08,政治多极化,推动建设合作共赢的新型国际关系,合作共赢的新型国际关系；合作共赢；互利共赢；共享发展成果,2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,材料呈现中国同各国分享发展经验、进行农业技术合作和互利开放，说明中国以合作而非零和竞争回应全球发展问题。,中国同各国分享减贫、职业教育和现代化经验，扩大互利合作，推动建设合作共赢的新型国际关系，为全球发展注入稳定力量。,merge_with_M03_new_type_ir,do_not_merge_with_common_interests_theory,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad,scoring_atom_table_batch02.csv,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系
ATOM-C09,中国,坚持共商共建共享,共商共建共享,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,材料强调发展机遇由中国与世界共同创造、共同受益，触发开放合作语境中的共商共建共享表达。,中国坚持共商共建共享，与世界携手开拓发展新空间，使中国发展机遇转化为各国共同发展机遇。,keep_as_loose_open_cooperation_variant,do_not_merge_with_global_governance_view_M02,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,政治多极化,共商共建共享的全球治理观
ATOM-C10,经济全球化,促进人才、商品、服务和生产要素在全球范围内流动,人才流、商品流、资金流；生产要素全球流动,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,材料直接写中国购、中国游中的人才流、商品流、资金流双向奔赴，触发生产要素跨国流动机制。,中国通过自贸协定、免签政策和市场开放促进人才、商品、服务和生产要素在全球范围内流动，增强世界经济循环韧性。,new_core_globalization_flow,may_merge_later_with_factor_flow_core,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0,scoring_atom_table_batch02.csv,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作
ATOM-C11,时代背景,和平与发展仍是时代主题,中国的做法符合时代主题和平与发展；时代主题：和平和发展,2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,中国创新、经验共享、开放合作和南南合作都指向促进各国共同发展，因此要判断其是否顺应和平与发展的世界大势。,中国通过科技创新、发展经验共享和开放合作促进各国共同发展，中国的做法符合和平与发展的时代主题。,merge_with_M01,do_not_merge_with_China_diplomacy_purpose,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad,scoring_atom_table_batch02.csv,时代背景,和平与发展仍是时代主题
ATOM-C12,理论,共同利益,共同利益是国家合作的基础,2026顺义一模 Q20,幻灯片9共同利益1分必答,P0_formal_scoring_rule,formal_scoring_pptx,设问问南南合作典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展共同需求。,国家间共同利益是国家合作的基础，科技小院回应全球南方国家提升农业生产、培养本土人才和实现可持续发展的共同需求，因此能够成为南南合作典范。,new_core_theory,do_not_merge_with_correct_yiliguan,candidate_with_fixes,2026顺义一模_Q20_SRC_8d2be8df9cad;2026顺义一模_Q20_SRC_1da70413b2d1,scoring_atom_table_batch02.csv,理论,国家间共同利益是国家合作的基础
ATOM-C13,中国,构建人类命运共同体；正确义利观；外交政策宗旨等同位替代表述,构建人类命运共同体；独立自主的和平外交政策；维护世界和平、促进共同发展；义利观,2026顺义一模 Q20,幻灯片9国际政治3分同一评分功能位,P0_formal_scoring_rule,formal_scoring_pptx,材料写中国方案应用于多国农业治理、让更多全球南方国家受益，触发中国开展南南合作的价值逻辑。,科技小院秉持构建人类命运共同体理念，坚持正确义利观，分享中国方案并帮助全球南方国家实现农业发展。,same_scoring_slot_variant,do_not_duplicate_frequency_across_M05_M06_M13,candidate_with_fixes,2026顺义一模_Q20_SRC_8d2be8df9cad;2026顺义一模_Q20_SRC_1da70413b2d1,scoring_atom_table_batch02.csv,中国,推动构建人类命运共同体
