suite_id,year,stage,district,suite_name,priority_bucket,bundle_path,cache_status,supplemental_source,status,assigned_role,choice_status,subjective_status,evidence_status,notes
S011,2024,2024各区二模,朝阳,2024朝阳二模,2-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024朝阳二模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S012,2024,2024各区二模,丰台,2024丰台二模,2-5,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024丰台二模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S013,2024,2024各区二模,顺义,2024顺义思政二模,2-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024顺义思政二模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S014,2024,2024各区期中,海淀,2024海淀期中,3-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024海淀期中.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S015,2024,2024各区期中,朝阳,2024朝阳期中,3-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024朝阳期中.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S016,2025,2025各区一模,海淀,2025海淀一模,1-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025海淀一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S017,2025,2025各区一模,西城,2025西城一模,1-2,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025西城一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S018,2025,2025各区一模,东城,2025东城一模,1-3,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025东城一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S019,2025,2025各区一模,朝阳,2025朝阳一模,1-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025朝阳一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S020,2025,2025各区一模,丰台,2025丰台一模,1-5,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025丰台一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S021,2025,2025各区一模,延庆,2025延庆一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025延庆一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S022,2025,2025各区一模,房山,2025房山一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025房山一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S023,2025,2025各区一模,石景山,2025石景山一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025石景山一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S024,2025,2025各区一模,门头沟,2025门头沟一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025门头沟一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S025,2025,2025各区一模,顺义,2025顺义一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025顺义一模.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S026,2025,2025各区二模,海淀,2025海淀二模,2-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025海淀二模.md,suite-bundle,,pending,worker-2025B,pending,pending,pending,
S027,2025,2025各区二模,西城,2025西城二模,2-2,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025西城二模.md,suite-bundle,,pending,worker-2025B,pending,pending,pending,
S028,2025,2025各区二模,东城,2025东城二模,2-3,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025东城二模.md,suite-bundle,,pending,worker-2025B,pending,pending,pending,
S029,2025,2025各区二模,朝阳,2025朝阳二模,2-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025朝阳二模.md,suite-bundle,,pending,worker-2025B,pending,pending,pending,
S030,2025,2025各区二模,丰台,2025丰台二模,2-5,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025丰台二模.md,suite-bundle,,pending,worker-2025B,pending,pending,pending,
S031,2025,2025各区二模,昌平,2025昌平二模,2-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025昌平二模.md,suite-bundle,,pending,worker-2025B,pending,pending,pending,
S032,2025,2025各区期末,海淀,2025海淀期中,3-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025海淀期中.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S033,2025,2025各区期末,海淀,2025海淀期末,4-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025海淀期末.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S034,2025,2025各区期末,西城,2025西城期末,4-2,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025西城期末.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S035,2025,2025各区期末,东城,2025东城期末,4-3,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025东城期末.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S036,2025,2025各区期末,朝阳,2025朝阳期末,4-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025朝阳期末.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S037,2025,2025各区期末,丰台,2025丰台期末,4-5,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025丰台期末.md,suite-bundle,,pending,worker-2025A,pending,pending,pending,
S038,2026,2026各区一模,海淀,2026海淀一模,1-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026海淀一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S039,2026,2026各区一模,西城,2026西城一模,1-2,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026西城一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S040,2026,2026各区一模,东城,2026东城一模,1-3,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026东城一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S041,2026,2026各区一模,朝阳,2026朝阳一模,1-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S042,2026,2026各区一模,丰台,2026丰台一模,1-5,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S043,2026,2026各区一模,延庆,2026延庆一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S044,2026,2026各区一模,房山,2026房山一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S045,2026,2026各区一模,石景山,2026石景山一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S046,2026,2026各区一模,门头沟,2026门头沟一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S047,2026,2026各区一模,顺义,2026顺义一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md,suite-bundle,,pending,worker-2026A,pending,pending,pending,
S048,2026,2026各区期末和期中,海淀,2026海淀期中,3-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期中.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S049,2026,2026各区期末和期中,海淀,2026海淀期末,3-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期末.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S050,2026,2026各区期末和期中,西城,2026西城期末,3-2,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S051,2026,2026各区期末和期中,东城,2026东城期末,3-3,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S052,2026,2026各区期末和期中,朝阳,2026朝阳期中,3-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S053,2026,2026各区期末和期中,朝阳,2026朝阳期末,3-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期末.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S054,2026,2026各区期末和期中,丰台,2026丰台期末,3-5,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026丰台期末.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S055,2026,2026各区期末和期中,石景山,2026石景山期末,3-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026石景山期末.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
S056,2026,2026各区期末和期中,通州,2026通州期末,3-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md,suite-bundle,,pending,worker-2026B,pending,pending,pending,
