"hit_id","year","district","part_candidate","term","file_path","line","text"
"HIT00015","2024","海淀","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","48","创新思维角度（3分）  "
"HIT00016","2024","海淀","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","50","1.辩证思维的整体性  "
"HIT00017","2024","海淀","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","53","辩证思维角度（2分）  "
"HIT00018","2024","海淀","思维候选","思维抽象","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","56","调查了解阶段对事物的认识属于感性具体，认识要向前发展，就需要通过分析研究对事物进行思维抽象，并使认识发展到思维具体。调查研究的这两个阶段相互依赖、不可分割。  "
"HIT00019","2024","海淀","思维候选","思维抽象","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","58","调查了解阶段对事物的认识属于感性具体（1分），认识要向前发展，就需要通过分析研究对事物进行思维抽象,并使认识发展到思维具体。（1分）  "
"HIT00020","2024","海淀","思维候选","思维抽象","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","59","感性具体（感性认识）：1分，思维抽象/思维具体（理性认识）：1分  "
"HIT00021","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\MASTER_REQUIREMENTS.md","7","- 书目：选择性必修三《逻辑与思维》。 "
"HIT00022","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\MASTER_REQUIREMENTS.md","8","- 范围：选必三思维部分与推理部分，按最终宝典结构处理。 "
"HIT00023","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\MASTER_REQUIREMENTS.md","33","- 推理部分：按 `推理题型树 -> 规则口令 -> 对应模拟题` 组织。 "
"HIT00024","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\MASTER_REQUIREMENTS.md","50","- 推理题必须写清逻辑形式、规则口令、有效式/错误式、解题动作、答案落点、易错陷阱。 "
"HIT00025","2025","门头沟","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26d9b228064053c1_2025门头沟一模细则.md","80","①  运用辩证思维破解发展矛盾。（1分）  "
"HIT00026","2025","门头沟","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26d9b228064053c1_2025门头沟一模细则.md","82","②创新思维培育发展新动能。（1分）运用联想、发散思维，多向探索，超前思维（四选二1分），材料分析（1分）  "
"HIT00027","2025","门头沟","思维候选","科学思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26d9b228064053c1_2025门头沟一模细则.md","83","③遵循科学思维的客观性和预见性（二选一1分），立足实际或遵循客观规律（1分）结合材料（1分）  "
"HIT00028","2024","","思维候选","思维具体","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3423b62eb032b5df_2024届各区一模试题分类汇编必修4.md","38","B.人们对事物的认识要经历一个从思维具体到思维抽象的过程  "
"HIT00029","2026","西城","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\22206a780a1503a6_2026西城一模细则.md","27","促进全民阅读进步体现：发挥正确意识的促进作用（着眼阅读）/联系观点（着眼全民）/发展观点（着眼战略投资）/正确价值观的导向作用（着眼入法彰显国家导向）/辩证思维、超前思维  "
"HIT00030","2026","西城","推理候选","形式逻辑","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\22206a780a1503a6_2026西城一模细则.md","73","（3）任选两位村民的观点，运用形式逻辑知识，说明其理解是否正确。(4分)  "
"HIT00031","2026","西城","推理候选","三段论","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\22206a780a1503a6_2026西城一模细则.md","75","甲：错误。理由：三段论规则：犯了四概念的错误/前提不真/材料分析（个人补偿诉求是正当的个人利益，与公共不是非此即彼的关系。题目中的小前提窄化了公共利益的外延）  "
"HIT00032","2026","西城","推理候选","同一律","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\22206a780a1503a6_2026西城一模细则.md","77","丙：错误。理论：偷换了概念/违背同一律/材料分析（充分条件假言推理中，前提中的后件是“村民会议”,而结论中是 “村委会”,偷换了概念，违背同一律）  "
"HIT00033","2026","西城","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\22206a780a1503a6_2026西城一模细则.md","104","具体可以用实践观、矛盾观、发展观、规律与主观能动性的关系、辩证思维、创新思维（超前思维的特点探索性）、改革的知识等  "
"HIT00034","2024","顺义","思维候选","逆向思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\33010f3bed39e275_20240318顺义思政二模试题_定.md","42","④网友喊话家乡文旅局“抄作业”“亮家底”是运用了逆向思维的方式  "
"HIT00035","2024","顺义","思维候选","聚合思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\33010f3bed39e275_20240318顺义思政二模试题_定.md","53","C.创作者从不同的角度、不同的方向进行散点式叙事是聚合思维的体现  "
"HIT00036","2024","顺义","推理候选","形式逻辑","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\33010f3bed39e275_20240318顺义思政二模试题_定.md","55","在生活和工作中，有些听起来似乎有道理，但仔细想起来，又疑窦丛生，这就需要学习形式逻辑，提升逻辑思维能力。下列观点和逻辑分析正确的是  "
"HIT00037","2024","顺义","推理候选","必要条件","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\33010f3bed39e275_20240318顺义思政二模试题_定.md","64","该判断中，a=b是ac=bc的充分必要条件  "
"HIT00038","2024","顺义","推理候选","排中律","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\33010f3bed39e275_20240318顺义思政二模试题_定.md","71","该回答违反了排中律  "
"HIT00039","2024","顺义","推理候选","必要条件","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\33010f3bed39e275_20240318顺义思政二模试题_定.md","75","C.构建起相关法律法规是保证我国数字经济稳定和快速发展的必要条件  "
"HIT00040","2024","顺义","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\33010f3bed39e275_20240318顺义思政二模试题_定.md","172","（2）结合材料，运用《逻辑与思维》知识，说明如何运用超前思维加快推进“无废城市”建设系统化、科学化、长效化。（7分）  "
"HIT00041","2025","东城","思维候选","聚合思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","141","聚焦完成登月任务核心问题，综合考虑了月面环境问题、航天员行走等不同需要，体现了聚合思维和发散思维。同时，把服装造型设计和火箭形象、传统文化联系起来，体现了联想思维。3分  "
"HIT00042","2025","东城","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","143","第一层次：创新思维表现、特点  "
"HIT00043","2025","东城","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","144","登月服的设计体现了思路新、方法新、结果新/或创新思维具有多向性、跨越性、独特性。写出任何一个词可得1分。  "
"HIT00044","2025","东城","思维候选","聚合思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","146","（1）聚焦完成登月任务核心问题，综合考虑了月面环境问题、航天员行走等不同需要,体现了聚合思维和发散思维。  "
"HIT00045","2025","东城","思维候选","联想思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","147","（2）把服装造型设计和火箭形象、传统文化联系起，体现了联想思维。  "
"HIT00046","2025","东城","思维候选","超前思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","148","（3）提前预判月面特殊环境和航天员登陆后需求，据此设计航天服细节，体现了超前思维。  "
"HIT00047","2025","东城","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","151","如果通篇答案只回答创新思维的表现和特点，并且材料说明充分，最多得2分。  "
"HIT00048","2025","东城","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","156","1.遗漏创新思维表现、特点这一知识点，3分卷较多。  "
"HIT00049","2025","东城","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\26b1173765262a2f_2025东城期末细则.md","157","2.不掌握“创新思维”相关知识，答题表述没有学科术语，0-1分卷较多。  "
"HIT00050","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\08_review\governor_checklist.md","17","- ClaudeCode 初始 entries：主观思维 4 条、推理 3 条、选择陷阱 18 条，JSONL 均可解析。 "
"HIT00051","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\08_review\governor_checklist.md","18","- P0 Batch 1 entries：主观思维 1 条、推理 2 条、选择陷阱 1 条，coverage 4 行。 "
"HIT00052","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\08_review\governor_checklist.md","19","- P0 Batch 2 entries：推理 2 条、选择陷阱 2 条，coverage 4 行。 "
"HIT00053","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\08_review\governor_checklist.md","25","- 正文按框架组织：思维方法线在前，推理题型树在后，选择题陷阱和速查页收束。 "
"HIT00054","2025","门头沟","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md","190","已知体育课确实出汗了，那么以下推理正确的是（   ）  "
"HIT00055","2025","门头沟","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md","197","①体现了创新思维，突破了传统的经济发展模式  "
"HIT00056","2025","门头沟","思维候选","科学思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md","334","（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。  "
"HIT00057","2025","门头沟","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md","393","21.【答案】 （1）①运用辩证思维破解发展矛盾。坚持辩证否定观，对煤炭经济加以扬弃，破除传统路径依  "
"HIT00058","2025","门头沟","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md","396","②创新思维培育发展新动能。运用联想、发散思维突破路径依赖，进行多向探索，将山地资源与文旅农林  "
"HIT00059","2025","门头沟","思维候选","超前思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md","397","商跨界融合，打造“三地”品牌，形成新业态。用超前思维布局未来产业，抢占人工智能技术制高点。  "
"HIT00060","2025","门头沟","思维候选","科学思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md","398","③遵循科学思维的客观性和预见性，立足实际调整发展逻辑。门头沟区从资源约束的现实出发，科学分析  "
"HIT00061","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\08_review\confucius_report.md","11","- 总路线先区分“思维方法线”和“推理规则线”，避免学生把哲学、选必三思维、形式逻辑混成一团。 "
"HIT00062","2026","","思维候选","科学思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\08_review\confucius_report.md","12","- 科学思维、辩证思维、创新思维、思维抽象与思维具体均有题干动作、判题、卷面句和易错提醒。 "
"HIT00063","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\08_review\confucius_report.md","13","- 推理部分按充分条件、必要条件、三段论、形式逻辑综合分树，学生能先翻译逻辑形式再判规则。 "
"HIT00064","2025","房山","思维候选","思维抽象","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","77","A. 将传统秧歌迁移到机器人，达到了思维抽象这一认识的终点  "
"HIT00065","2025","房山","推理候选","三段论","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","171","（2）请以“博物馆是保护和传承人类文明的重要殿堂”为结论，编写一个合乎规则的三段论。  "
"HIT00066","2025","房山","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","176","（3）结合材料，运用创新思维知识，就“如何让琉璃河遗址‘热’起来”提两条建议。  "
"HIT00067","2025","房山","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","297","②：“很多人没去过古北水镇”属于特称否定判断，特称否定判断不能直接进行换位推理 ，不能直接推出  "
"HIT00068","2025","房山","思维候选","思维具体","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","305","【详解】A：认识的终点应为思维具体，而非思维抽象，A 错误。  "
"HIT00069","2025","房山","思维候选","联想思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","411","① 运用联想思维，开发沉浸式体验项目。 如以青铜罍铭文为线索设计互动解谜游戏，让游客在探索中感  "
"HIT00070","2025","房山","思维候选","发散思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","413","② 发散思维创新宣传方式。 利用短视频平台发布“铭文破译挑战”等话题，吸引年轻人关注。  "
"HIT00071","2025","房山","推理候选","三段论","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","416","考点考查：探索世界与把握规律、认识社会与价值选择、文化传承与文化创新、三段论等  "
"HIT00072","2025","房山","推理候选","三段论","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","441","乎规则的三段论。但要注意“小项”是博物馆，“大项”是保护和传承人类文明的重要殿堂，所以大前提  "
"HIT00073","2025","房山","推理候选","三段论","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","443","外要通过材料找出一个“中项”即可，注意第一要符合符合三段论的逻辑规则。  "
"HIT00074","2025","房山","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","445","本题属于开放性试题，要求结合材料，运用创新思维知识，就“如何让琉璃河遗址‘热’起来”提两条建  "
"HIT00075","2025","房山","思维候选","联想思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\3227fd51f2020c04_2025北京房山高三一模政治_教师版.md","446","议。切合主题要求，言之有理即可。具体可运用联想思维、发散思维等知识来作答。  "
"HIT00076","","","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2f596046ed6d0ce5_16._1.md","80","秦腔传唱、大唐不夜城唐风呈现，传统与新潮交织。这启示学生在文化发展中要既肯定又否定，实现创新。让学生理解创新思维的内涵，提升创新能力，在文化传承创新中培育创新精神，成为推动文化发展的新生力量，践行大思政课立德树人、培养创新人才的育人价值。  "
"HIT00077","","","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2f596046ed6d0ce5_16._1.md","81","2.实践育人的文化体验：学生参与西安古艺传承实践活动，如亲身体验锔瓷点金制作过程，能将所学文化理论知识运用到实际操作中，实现知行合一。在大唐不夜城的文旅实践场景中，学生可锻炼沟通协作能力，参与文化创意项目策划，培养创新思维和实践操作能力。通过这些实践，学生深刻理解文化传承创新的意义，增强文化自信，磨炼意志品质，明确个人成长与文化发展的紧密联系，落实大思政课实践育人、塑造时代新人精神品质的价值。  "
"HIT00078","","","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2f596046ed6d0ce5_16._1.md","87","2.实践育人的历史探索：学生参与敦煌文化遗址考察实践，可将历史文化知识与实地场景相对照，深化对知识的理解，实现知行合一。在研究敦煌壁画、文献过程中，需团队协作，能提升沟通协作能力；面对文化研究中的难题，可锻炼创新思维和问题解决能力。通过这些实践，学生感受文化传承的不易与重要，增强文化保护意识和责任感，磨炼意志，在历史文化探索中塑造精神品质，落实大思政课实践育人、培育时代新人的价值。  "
"HIT00079","","","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2f596046ed6d0ce5_16._1.md","93","2.实践育人的多元体验：学生参与喀什民族文化交流实践活动，如参与民族节庆筹备，能将民族文化理论知识运用到实际交往中，实现知行合一。在参与喀什古城文旅产业发展实践，如民俗文化创意产品开发时，可培养创新思维和实践操作能力，锻炼沟通协作、组织管理能力。通过这些实践，学生深入了解民族文化融合发展，增强民族团结意识，磨炼意志，塑造勇于担当、善于合作的精神品质，落实大思政课实践育人、促进学生全面发展的价值。  "
"HIT00080","2025","朝阳","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","220","结合材料，运用《逻辑与思维》知识，分析上述居民的话是否合乎逻辑，说明理由。  "
"HIT00081","2025","朝阳","推理候选","排中律","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","226","               违反了排中律  "
"HIT00082","2025","朝阳","推理候选","矛盾律","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","232","违反了矛盾律  "
"HIT00083","2025","朝阳","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","237","丙的话：能够写出  推理符合三段论的推理规则（可写出具体规则）  "
"HIT00084","2025","朝阳","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","238","推理前提真实  "
"HIT00085","2025","朝阳","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","239","推理结构正确  "
"HIT00086","2025","朝阳","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","371","6.正确运用推理，要确保前提的准确性，选择合适的推理方法，遵循推理规则。  "
"HIT00087","2025","朝阳","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","375","上述推理  "
"HIT00088","2025","朝阳","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","376","①是依据事物之间相同或相似的属性进行的推理，其结论具有或然性  "
"HIT00089","2025","朝阳","推理候选","归纳推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","377","②属于分析了认识对象与有关现象之间的因果联系的完全归纳推理  "
"HIT00090","2025","朝阳","推理候选","类比推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","378","③是类比推理，前提中确认对象的相同或相似属性的多少影响结论可靠性  "
"HIT00091","2025","朝阳","推理候选","推理","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","379","④运用了演绎推理方法，推理的前提虽只涉及部分对象，但结论正确  "
"HIT00092","2025","朝阳","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md","382","①用辩证思维把握创作内容，既克服又保留，优化作品构成  "
"HIT00093","2026","延庆","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2e0f67df1ab78a60_2026延庆一模细则.md","99","要坚持辩证思维，用联系、发展、全面的观点看待事物，坚持矛盾分析法，既要看到虚拟数字人直播的积极影响，也要关注其带来的挑战。  "
"HIT00094","2026","延庆","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2e0f67df1ab78a60_2026延庆一模细则.md","101","要坚持创新思维，突破常规，敢于探索新的思路和方法。面对虚拟数字人直播，我们应鼓励创新，推动技术不断升级，同时完善相应的法律法规，促进电商行业健康可持续发展。  "
"HIT00095","2026","延庆","思维候选","辩证思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2e0f67df1ab78a60_2026延庆一模细则.md","103","①辩证思维/用联系、发展、全面/矛盾分析法 1分；  "
"HIT00096","2026","延庆","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\2e0f67df1ab78a60_2026延庆一模细则.md","105","③创新思维/三新1分；  "
