idx,module,node,title,prompt_verdict,front_note,audit_node_verdict,content_verdict,issues,doc_prompt,source_prompt,doc_answer,source_summary,source_paths
11,一、科学思维,追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,exact,none,supported_scientific_objectivity,PASS_BASELINE_BY_EXISTING_BACKCHECK,,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,育种团队坚持科学思维追求认识客观性，先走访花农、批发商和电商，系统收集市场对月季的需求偏好，再把生产端、流通端、消费端的客观要求转化为“要好看”“要好种”“耐储运”等可操作指标；科研方向不是研究者单方面设想，而是在多主体真实需求和市场反馈中形成，使育种目标符合生产、流通和消费实际。,教师版答案/讲评：市场调研中运用分析与综合，调查花农、批发商、电商差异化需求并整合为系统育种指标；自主育种过程体现科学思维追求客观性、从实际出发，并借助市场测试实践检验。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf
12,一、科学思维,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,exact,none,supported_scientific_predictiveness,PASS_BASELINE_BY_EXISTING_BACKCHECK,,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,企业根据人口老龄化加速、护理人员短缺和居家养老需求扩大的发展趋势，预判未来养老服务会更加需要智能照护和陪伴支持，把研发方向提前锁定在养老应用场景，使产品开发顺应养老服务方式变化和技术应用趋势，体现科学思维能够依据规律和趋势作出预见。,科学思维结果具有预见性：企业追踪具身智能机器人和人口老龄化发展趋势，预测养老服务中广阔应用空间和持续增长的市场潜力。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx
13,一、科学思维,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,mismatch_needs_source_check,none,supported_scientific_predictiveness,NEEDS_SOURCE_PROMPT_RECHECK,prompt_mismatch,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,我国依据人工智能技术和应用发展趋势，科学预判未来发展方向，不把人工智能只看成当下工具，而是把它放入长期科技竞争和教育变革中谋划；通过提出分阶段目标、提前布局 AI 教育，使发展规划能够顺应未来技术变革和教育实践需要，体现科学思维结果具有预见性。,准确预判人工智能发展趋势，提前部署，抢占先机，指明方向，分段规划，体现预见性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx
14,一、科学思维,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,contains_or_score_delta,has_audit_note_in_answer,supported_scientific_predictiveness,CONTENT_NOTE_PRESENT_VERIFY_NOTE_OR_MOVE_TO_AUDIT,audit_note_in_student_answer,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,门头沟根据绿色发展、数字经济、人工智能和文旅融合趋势提前培育新动能，预判传统煤城向“京西智谷”转型的未来方向，把矿山退出后的生态涵养、算力布局、数字视听、生物医药和山地文旅联结起来，使产业转型从资源依赖走向高质量发展，体现科学思维结果具有预见性。【提示】原细则21(1)按3角度赋分(9分)：①辩证思维(辩证否定/整体性/动态性/分析与综合 四选一)1+材料1+1=3分；②创新思维(联想/发散/超前 四选二)1+材料1+1=3分；③科学思维客观性or预见性(二选一)1+材料1+1=3分。完整答案需写三个角度。,科学思维客观性和预见性均可；立足实际或遵循客观规律并结合材料。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
15,一、科学思维,结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,exact,has_audit_note_in_answer,supported_scientific_predictiveness_with_boundary,CONTENT_NOTE_PRESENT_VERIFY_NOTE_OR_MOVE_TO_AUDIT,audit_note_in_student_answer,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,准确预测冰雪经济发展前景，有助于依据政策支持、游客收入增长、雪博会交流平台和市场需求变化等信号把握产业趋势，体现科学思维结果具有预见性；但预测只能帮助看清方向，不能替代现实条件建设。推动高质量发展还要针对场地布局、产业链协同、标准体系、专业人才和核心技术等短板持续补强，把前景判断转化为产业发展能力。【提示】原细则核心采分点为充分条件假言判断的运用错误(前件不充分)+辩证思维(其他多种条件)=6分。,观点强调运用超前思维准确预测冰雪经济发展前景；准确预测是推动高质量发展的必要条件但不是唯一条件，还需辩证思维、具体问题具体分析、遵循规律、从当地实际出发。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx
16,一、科学思维,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,exact,none,supported_scientific_testability,PASS_BASELINE_BY_EXISTING_BACKCHECK,,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,该企业通过多轮应用测试、打磨与迭代，以用户试用和实践效果不断优化、完善设计，确保产品能够切实解决老人居家生活的实际问题；如果功能不能经受真实使用检验，就需要被调整和完善，使研发设想、功能设计和服务效果不断接受实践检验与修正，体现科学思维结果具有可检验性。,科学思维结果具有可检验性：产品反复测试、多轮迭代，以用户试用与实践效果不断优化调整、完善设计，确保切实解决老人居家生活实际问题。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx
17,一、科学思维,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,mismatch_needs_source_check,none,supported_scientific_testability,NEEDS_SOURCE_PROMPT_RECHECK,prompt_mismatch,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,我国在推进人工智能发展和 AI 教育战略布局过程中，不让规划停留在纸面目标，而是把阶段目标、重点任务和应用安排放到实践中接受检验；再根据发展成果、实践反馈和新问题不断完善相关政策部署，使科学判断能够在真实实践中被验证、修正和推进，体现科学思维结果具有可检验性。,在实践中检验发展成果，并完善相关政策部署，不断推动人工智能发展，体现可检验性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx
18,一、科学思维,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,exact,none,supported_scientific_testability,PASS_BASELINE_BY_EXISTING_BACKCHECK,,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,获奖建议能够从调研报告、模拟提案转化为惠及民生的具体措施，说明其问题判断和解决方案不是停在课堂设想中，而是在社会治理实践中接受群众需求、部门采纳、政策执行和治理效果的检验；能否解决真实问题、产生公共价值，成为判断建议是否科学的重要标准，体现科学思维结果具有可检验性。,获奖建议在实践中产生又接受实践检验，有些建议已经转化为惠及民生的具体措施，体现科学思维结果具有可检验性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc
19,一、科学思维,结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,exact,none,supported_scientific_testability,PASS_BASELINE_BY_EXISTING_BACKCHECK,,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,育种团队把试验田里种出的每一批花送到花市参与分级和拍卖，用市场数据完成对科研成果的最终确认；品种好不好不只由实验室判断，还要接受真实市场实践检验，使科研判断不断被验证和修正，体现科学思维结果具有可检验性。,团队自主育种过程体现科学思维追求客观性，坚持从实际出发，对品种选育效果作出合乎逻辑的推断，并借助市场测试实践加以检验。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf
20,一、科学思维,结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,exact,has_audit_note_in_answer,supported_scientific_testability,CONTENT_NOTE_PRESENT_VERIFY_NOTE_OR_MOVE_TO_AUDIT,audit_note_in_student_answer,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,改进调研时，可先根据无障碍设施真实使用场景修订问卷选项，再通过实地测量、对比不同人群的回答，或与相关部门数据比对，检验结论是否可靠、能否经得起实践反复检验；也可比较老年人、残障人士、儿童、普通在职职工、离退休人员、相关行业从业者等不同群体反馈，用后续调查结果验证改进方案的有效性，体现科学思维结果具有可检验性。【提示】原细则赋分(6分)：逻辑错误(划分标准不一、选言判断遗漏)2分+建议(科学思维/逻辑思维规则/辩证思维 三角度任选两条，每条建议1分+知识1分)4分。,科学思维可检验性示例：调研结束后，通过实地测量、对比不同人群回答、或与相关部门数据比对，检验结论是否可靠，经得起实践反复检验。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf
21,二、辩证思维,整体性,1. 2025海淀二模 第20题（主观题）,mismatch_needs_source_check,has_audit_note_in_answer,correct_under_user_framework_整体性,NEEDS_SOURCE_PROMPT_RECHECK,prompt_mismatch;audit_note_in_student_answer,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,"推进共同富裕应坚持辩证思维的整体性，将共享主体、建设领域、合法权益和人人参与作为相互支撑的整体来安排，把人人共享、各方面建设成果共享、合法权益保障和共建共享放在同一共享发展格局中统筹；这样才能使发展成果共享、权益保障和共同建设相互促进，而不是就某一项孤立用力。【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在""分析与综合""""量变与质变""等节属于知识延伸，写入卷面只采前述三个角度计分。",细则第20题可选知识角度含“分析与综合/系统优化/整体性”，材料落脚点为共享主体全面、建设领域全面、权利全面、共建人人参与；另含“质量互变规律/动态性”。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx
22,二、辩证思维,整体性,2. 2025东城一模 第18题第（1）问（主观题）,exact,has_audit_note_in_answer,correct_under_user_framework_整体性,CONTENT_NOTE_PRESENT_VERIFY_NOTE_OR_MOVE_TO_AUDIT,audit_note_in_student_answer,（1）结合材料一，说明“两重”实施是如何体现辩证思维的。（4分）,(1)结合材料一，说明“两重”实施是如何体现辩证思维的。 (4分),"""两重""实施坚持辩证思维的整体性，把硬投资、软建设、重点领域和安全能力建设作为相互联系的整体来推进，既用重大工程和重大项目夯实发展基础，又用政策、规划、体制机制和投入机制提供制度支撑，使资源投入、治理能力和战略目标相互配合，形成办成大事难事的整体合力。【提示】原细则赋分(4分)：第一层(整体性/动态性/实践观三选一+材料)2分+第二层(主要矛盾/两点论与重点论)2分。仅写整体性最多2分，必须补""抓主要矛盾，聚焦新质生产力发展等核心领域""。",细则明确“两重”坚持辩证思维的整体性、动态性以及实践的观点；整体性可替换为联系、全面、系统优化、综合、立足整体。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf
23,二、辩证思维,整体性,3. 2026东城一模 第19题第（4）问（主观题）,exact,none,correct_under_user_framework_整体性_not_new_node,PASS_BASELINE_BY_EXISTING_BACKCHECK,,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,中关村应坚持整体性，把基础研究、技术研发、成果转化、产业应用、人才平台和市场机制作为相互联系的整体统筹起来，打通原创成果从书架到货架的转化链。只有让科研突破、企业承接、市场应用和制度支持相互衔接，才能使“从 0 到 1”的突破继续推进为从有到强、从点到链的系统升级。,细则“系统观念”知识含立足整体、全局观念、综合思维、内部结构有序性和优化趋向、整体性等；分析要求统筹基础研究、技术研发、成果转化、产业应用，统筹人才、平台、政策、市场等资源。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx
24,二、辩证思维,整体性,4. 2026房山一模 第18题第（1）问（主观题）,exact,has_audit_note_in_answer,correct_under_user_framework_整体性,CONTENT_NOTE_PRESENT_VERIFY_NOTE_OR_MOVE_TO_AUDIT,audit_note_in_student_answer,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,"北京运用辩证思维，坚持整体性，把产业、能源、交通、用地结构调整和多污染物协同控制联系起来统筹推进，不能把常态蓝天理解为某一个污染源的单点治理结果；同时在整体治理中兼顾重点区域、重点行业、重点时段和重点企业，使分区分类、一企一策等精准措施共同服务于空气质量持续改善和常态蓝天这一整体目标。【提示】原细则按 (1+1)×3=6 分赋分，要求""整体性 + 矛盾分析法（具体问题具体分析：重点区域/行业/时段精准施策）+ 动态性/量变质变（久久为功、日积月累）""三组路径都要写到，仅写整体性最多得 2 分。",细则答案示例：系统治理统筹四大结构调整，实现整体推进；久久为功推动量变到质变；精准施策、分区分类、一企一策。治理路径一明确“整体性/分析与综合/联系/系统优化”。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx
