idx,node,title,diff_fields
61,联想思维,4. 2026朝阳一模 第17题第（1）问后半（主观题）,
62,联想思维,5. 2026海淀二模 第18题第（1）问（主观题）,
63,联想思维,6. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,答案落点
64,联想思维,7. 2025门头沟一模 第21题第（1）问（主观题）,设问;答案落点
65,发散思维与聚合思维,1. 2025东城期末 第18题第（2）问（主观题）,
66,发散思维与聚合思维,2. 2026丰台二模 第21题（主观题）,
67,发散思维与聚合思维,3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,答案落点
68,发散思维与聚合思维,4. 2026海淀一模 第17题（建议部分）（主观题）,
69,发散思维与聚合思维,5. 2024丰台一模 第19题第（2）问（主观题）,答案落点
70,逆向思维,1. 2025房山一模 第16题第（3）问（主观题）,
71,逆向思维,2. 2025昌平二模 第19题（主观题）,答案落点
72,逆向思维,3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,答案落点
73,超前思维,1. 2024西城一模 第19题第（5）问（主观题）,
74,超前思维,2. 2024东城一模 第18题第（3）问（主观题）,
75,超前思维,3. 2026顺义二模 第21题（主观题）,
76,超前思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,答案落点
77,超前思维,5. 2026海淀期末 第20题第（2）问（主观题）,
78,超前思维,6. 2025东城期末 第18题第（2）问（主观题）,
79,超前思维,7. 2025海淀期末 第18题（主观题）,答案落点
80,超前思维,8. 2024朝阳期中 第19题（主观题）,答案落点
81,超前思维,9. 2024顺义二模 第16题第（2）问（主观题）,
82,超前思维,10. 2026石景山一模 第17题第（2）问（主观题）,答案落点
83,超前思维,11. 2025门头沟一模 第21题第（1）问（主观题）,设问;答案落点
84,超前思维,12. 2024丰台二模 第18题第（2）问（主观题）,答案落点
