entry_no,module,node,entry_title,material_trigger_current,prompt_current,why_current,answer_current,source_paper_path,source_rubric_path,question_prompt_source,rubric_source_summary,prompt_copy_verdict,rubric_understanding_verdict,node_verdict,action,notes
25,二、辩证思维,整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,法院处理赤泥库环境纠纷时，既看到环境污染、地质灾害、文物威胁等现实风险，又着眼生态修复、公共安全和产业转型，统筹生态、经济、社会效益以及企业、社会组织、行政部门等多方责任。,结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。,整体性强调把对象放进相互联系的结构中把握。赤泥库纠纷不是单一污染点，也不是简单判谁输谁赢；环境污染、地质灾害、文物保护、生态修复、公共安全、产业转型和多方责任共同构成治理对象。看到这些要素被放在同一案件解决链条中，就应想到用整体性统筹多重风险和多方利益。,法院坚持辩证思维的整体性，把赤泥库纠纷中的环境污染风险、地质灾害隐患、公共安全、文物保护、生态修复、产业转型和多方责任联系起来整体把握，不把案件简化为单一赔偿或单点污染处理；通过统筹企业治理、行政监管、社会组织参与和公共利益保护，形成兼顾生态、经济和社会效益的纠纷解决思路。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,细则要点1为辩证思维：联系、发展、全面看问题，或整体性动态性实践观；材料要求统筹生态、经济、社会效益和企业、社会组织、行政部门责任；要点2为创新思维。,patched_missing_question_number_and_score,supported_by_rubric,correct_under_user_framework_整体性_partial_rubric,kept_entry_prompt_patched,该题细则同时含创新思维，整体性条目只能承担辩证思维部分，不能替代全题。
26,二、辩证思维,整体性,6. 2025西城一模 第17题（主观题）,温榆生态心把清河、温榆河交汇处的水流形态、鱼虫水鸟栖息、河心岛、深潭浅滩、粮田保留和核心区封闭放在同一生态恢复工程中规划。,结合材料，说明“温榆生态心”建设中蕴含的科学思维。,关键是回到辩证思维的整体性。材料里每个要素都不是孤立存在：水系变化影响生物栖息，粮田和荒野空间共同维持生态肌理，核心区封闭减少人为干扰，各部分共同服务生态恢复。看到多要素共同构成生态功能，就应想到整体性。,温榆生态心建设坚持辩证思维的整体性，把清河与温榆河交汇形成的水系、生物栖息空间、河心岛、深潭浅滩、粮田保留和核心区封闭作为相互联系的整体来规划，使水、田、鸟兽、荒野空间和人为干预边界共同服务生态恢复，形成更稳定的生态系统和良好生态环境。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,细则要求从客观性、辩证思维、创新思维三个维度回答；辩证思维角度为联系的、变化发展的、全面的观点，分析生态心建设各要素，整体规划。,patched_missing_score,supported_by_rubric,correct_under_user_framework_整体性_partial_rubric,kept_entry_prompt_patched,科学思维综合题中只抽取辩证思维整体性触发；不得把三维度合并成新节点。
27,二、辩证思维,动态性,1. 2025海淀二模 第20题（主观题）,材料把共享发展写成“渐进共享”：一口吃不成胖子，必然有一个从低级到高级、从不均衡到均衡的过程；即使达到很高水平也会有差别，说明共同富裕要在发展阶段变化中推进。,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,动态性强调用变化发展的观点看问题。材料中的“渐进共享”“从低级到高级”“从不均衡到均衡”说明共同富裕不是一次完成的静态状态，而是在发展阶段变化中不断推进、不断调整、不断提高的过程。这里不能把共同富裕理解为固定终点，而应理解为随共享主体、共享领域、权益保障和共建参与不断发展的过程。,推进共同富裕要坚持动态性，看到它不是一次完成的静态结果，而是随共享主体扩大、共享领域拓展、合法权益保障和共建参与不断推进的渐进过程，会经历由低到高、由不均衡到均衡的变化；应根据不同发展阶段不断推进全民共享、全面共享、共建共享和渐进共享，使共享水平在发展中持续提升。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,材料“渐进共享”写明一口吃不成胖子、从低级到高级、从不均衡到均衡；细则可选角度含“质量互变规律/动态性”。,patched_missing_score_and_overbroad_material_terms,supported_by_rubric,correct_under_user_framework_动态性,kept_entry_prompt_and_scope_patched,按用户框架先归动态性；已删除收入分配、公共服务等源文未直接展开词。
28,二、辩证思维,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,生生之宇宙观把宇宙理解为生生不息、日新不已的变化过程，强调万物在变易、革新、成长和展开中存在；人效法天地之德，也是在这种不断生成变化的宇宙图景中理解人的行为方向，而不是把世界看成静止不变的存在状态。,生生之宇宙观体现了辩证思维的①特征。人效法天地之德体现的推理类型是②推理。,材料连续出现“生生不息、日新、变易、革新、成长、展开”，说明宇宙不是静止对象，而是在持续生成、变化和发展过程中被把握。设问问“辩证思维的①特征”，不是泛写联系整体，也不是写创新方法，而是对应动态性：用变化、发展、过程的眼光看对象。,生生之宇宙观把宇宙理解为不断生成、变化、更新和展开的过程，说明事物总在运动变化中存在和发展。认识和处理问题时不能把对象看成静止不变的状态，而应从其发生、发展和转化过程中把握趋势与方向，用变化发展的眼光分析问题、指导行动，体现辩证思维的动态性。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf; /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,(1)生生之宇宙观体现了辩证思维的 ① 特征。人效法天地之德体现的推理类型是 ② 推理。(4分),参考答案：①动态性 ②类比；类比推理无变通。动态性可替换为用变化发展的观点看问题等。,patched_missing_question_number_blanks_and_score,supported_by_rubric,correct_under_user_framework_动态性,kept_entry_prompt_patched,答案落点应以动态性为主，类比推理属于推理宝典或题中第二空，不扩展为思维正文重点。
29,二、辩证思维,分析与综合,1. 2025海淀二模 第20题（主观题）,共享被拆成全民共享、全面共享、共建共享和渐进共享等层次，分别涉及共享主体、建设领域、合法权益、人人参与和推进过程；这些层次又共同指向全体人民共同富裕的整体格局。,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,分析与综合要求先把对象拆成相互联系的方面，再合成统一整体。材料不是泛泛说共享，而是把“谁共享、共享什么、怎样保障、谁来共建、怎样渐进推进”拆成全民共享、全面共享、共建共享、渐进共享等层次；每个层次解决的问题不同，但都共同服务共同富裕这一总目标。看到材料既有分层展开，又有共同指向，就应想到先分析各方面要求，再综合成共享发展的整体方案。,推进共同富裕应运用分析与综合，先分别分析全民共享、全面共享、共建共享和渐进共享在共享主体、共享领域、合法权益、人人参与和推进过程上的不同要求，弄清各层次解决什么问题；再把这些要求综合为相互衔接的共享发展格局，使发展成果不是由某一群体单向获得，而是在全体人民共建共享、循序渐进中转化为共同富裕。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,细则明确“分析与综合/系统优化/整体性”，并提示若在分析与综合层只回答分析或只回答综合，最多给知识1分；讲评材料分全民、全面、共建、渐进共享。,patched_missing_score_and_overbroad_material_terms,supported_by_rubric,correct_under_user_framework_分析与综合,kept_entry_prompt_and_scope_patched,同题可作为分析与综合样本，但必须保留“先分层分析再整体综合”的链条；已删除收入分配、公共服务等泛化词。
30,二、辩证思维,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,中国企业走出去后，不只是面对一个单一市场问题，而是在投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面同时遇到冲突和不适应；这些问题彼此关联，任何一个环节处理不好都会影响整体经营。,中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任选一种辩证思维方法，针对上述问题提出合理建议。,材料把企业“走出去”的困难列成法律制度、技术标准、市场营销、人员管理、当地文化等多个方面，这就不能用一个笼统办法处理。先逐项识别不同冲突，触发分析；再把法律合规、技术适配、营销本土化、人员管理和文化沟通合成一套海外经营方案，触发综合。解题关键是看出“拆开看差异、合起来成方案”的分析与综合链条。,企业应运用分析与综合的方法，分别分析投资国法律制度、技术标准、市场营销、人员管理和当地文化等差异，明确各环节可能带来的经营风险和适应要求；再把合规建设、技术调整、营销策略、管理方式和文化沟通综合起来，形成适合当地条件的本土化经营方案。,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,（3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任选一种辩证思维方法，针对上述问题提出合理建议。（4分）,细则第19题第（3）问：可从分析与综合的方法、辩证否定观等角度作答，其他角度符合题意亦可酌情给分。,patched_missing_question_number_and_score,supported_by_rubric,correct_under_user_framework_分析与综合,kept_entry_prompt_patched,原docx抽取有“任用/任选”文本差异，学生稿保留语义通顺的“任选”；已补（3）和4分。
31,二、辩证思维,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,京津冀三地分别承担北京非首都功能疏解、天津服务新两翼建设、河北承接创新资源和产业协作等不同功能，同时通过规划、政策、交通、产业、生态、创新等协同联动共同书写高质量发展新篇章。,结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分）,材料先把北京、天津、河北三地的功能定位分开写：北京疏解非首都功能，天津服务新两翼建设，河北承接创新资源和产业协作，这一步是在拆要素、明差异，触发分析。随后又写规划、政策、交通、产业、生态、创新等协同联动，说明三地不是各干各的，而是在区域整体中优势互补，触发综合。分析与综合的入口很清楚，答案要从“分清各自特质”推进到“服务协同发展整体大局”。,京津冀三省市应从协同发展的战略大局出发，先科学分析各自功能定位、资源禀赋、产业基础和特色优势，明确各自在区域发展中的作用；再在分析基础上综合把握区域差异和共同需求，通过共商合作大计、推动优势互补和协同联动，把各自发展特质统一到京津冀协同发展整体格局中，服务区域高质量发展。,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,（2）结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分）,细则17（2）：京津冀三省市从协同发展战略大局出发，抓住主要矛盾，科学精准分析各自功能定位和特色优势；在此基础上整体把握区域差异，共商合作大计，优势互补；在分析与综合的对立统一中服务协同发展大局。,exact_visual_pdf_check,supported_by_rubric,correct_under_user_framework_分析与综合,kept_entry_no_text_change,原卷无可用文本层，已渲染page_06目视核验设问。
32,二、辩证思维,分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,观点把给 AI 装上版权雷达这一单一技术措施说成能防止点击盗版资源网站；材料同时呈现法律追责、技术检测、用户素养提升等配套条件，说明单一措施不等于全部治理条件。,有人认为：只要给AI装上“版权雷达”，提前扫描问题指令，就能防止点击盗版资源网站。判断该观点是否正确，并运用《逻辑与思维》知识说明理由。,先抓观点里的“只要……就……”：它把给 AI 装版权雷达说成足以防止点击盗版资源网站。但版权雷达只是重要条件，不是充分条件。再回到材料看该怎么办：还要有法律追责机制、技术检测、平台治理和用户素养提升，说明防盗版传播不是一个按钮解决，而是多条件协同治理。这里既要看条件判断的边界，也要把技术、法律、平台和用户行为综合成治理链。,防止点击盗版资源网站应运用分析与综合，先分析 AI 版权雷达、法律追责、技术检测、平台治理和用户素养各自作用及其限度，再把这些条件综合为协同治理链。这样才能看清技术措施只是治理体系的一环，不能把单一版权雷达当成防盗版传播的全部充分条件。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(1).docx,（1）有人认为：只要给AI装上“版权雷达”，提前扫描问题指令，就能防止点击盗版资源网站。判断该观点是否正确，并运用《逻辑与思维》知识说明理由。（5分）,评标细则：观点片面；版权雷达只是重要条件而非充分条件；除了技术防控，还需配套法律追责机制等条件，说明如何做可写法律机制/技术检测/用户素养提升，并需运用辩证思维。,patched_missing_question_number_and_score,supported_by_rubric_general_bianzheng,usable_under_分析与综合_but_source_not_explicit_method_name,kept_entry_prompt_and_overreach_patched,删除“平台治理”这类源文未明示配套项；本题主要还有充分条件判断，推理册也应覆盖。
33,二、辩证思维,分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,月季育种团队走访花农、批发商和电商，将差异化需求转化为系统育种指标；又把云南自然特点与降低成本目标联结，提出“减配”假设，并用花市分级和拍卖数据检验科研成果。,结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。,分析与综合的入口在需求转化。材料先分别走访花农、批发商和电商，说明不同主体对花色、种植、运输、销售有不同要求；再把这些差异需求整合成“好看、好种、耐储运”等育种指标。看到“分别调查—提炼指标—形成方案”的动作链，就应判断为先分析后综合。,团队运用分析与综合，先分别分析花农、批发商和电商在观赏性、种植成本、运输储存和销售偏好上的差异化需求，再综合形成“好看、好种、耐储运”的育种指标；又把云南自然条件、“减配”假设和花市分级、拍卖数据纳入同一育种方案，使新品种选育既回应不同主体需求，又能在市场检验中形成整体合理性。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,答案明确：市场调研中运用分析与综合，分别调查花农、批发商和电商三方差异化需求，在具体分析基础上将调研结果整合为系统育种指标，形成对市场需求的整体性认识。,patched_missing_question_number_and_score,supported_by_rubric,correct_under_user_framework_分析与综合,kept_entry_prompt_and_node_scope_patched,把“减配实验/市场测试”从本节点答案落点中移出，避免把联想思维、科学思维混到分析与综合节点。
34,二、辩证思维,分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,养老立法最大难点是把长期以来多元参与的原则性表述，转化为主体明确、划分清晰的责任体系；材料列出政府保基本、市场供选择、社会补稳定、家庭为基础，并通过居家、社区、机构养老三类服务精准定位四方角色。,运用《逻辑与思维》知识，分析如何以辩证思维方法应对养老立法的最大难点。,材料把养老立法难点写成从原则性表述走向可执行责任体系，先将政府、市场、社会、家庭四类主体及居家、社区、机构三类服务分开看，触发分析；但养老服务不能停在分工清单上，还应将基本保障、选择性供给、稳定补充和家庭基础统一到一个权责衔接的制度网络中，触发综合。破解这一难点的关键就是分析与综合的辩证运用：分清结构，再形成整体方案。,应运用分析与综合相结合的方法，先区分政府、市场、社会、家庭不同主体和居家、社区、机构养老不同服务功能，明确保基本、供选择、补稳定、尽亲情责任等不同定位；再把各方责任综合为权责清晰、衔接有序、服务互补的保障网络，使原则性表述转化为可执行的制度安排，在整体协调中破解养老立法难点。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/细则/石景山区高三政治第二次模拟考试答案评分细则(1).doc,（2）结合材料二，运用《逻辑与思维》知识，分析如何以辩证思维方法应对养老立法的最大难点。（6分）,细则：可从辩证分合、质量互变、辩证否定观等角度回答；示例用辩证分合方法，先针对不同主体功能进行分析，再把不同主体责任统一成权责清晰、衔接有序的保障网络。,patched_missing_question_number_material_scope_and_score,supported_by_rubric,correct_under_user_framework_分析与综合,kept_entry_prompt_patched,细则用“辩证分合方法”，可稳定挂到分析与综合。
35,二、辩证思维,分析与综合,7. 2026海淀一模 第17题第（2）问（主观题）,原调查问卷暴露出身份分类混杂、主要困难选项不完整等问题；改进调研不能只改一个选项，而要把观察、访谈、文献查阅、问卷调查和数据分析结合起来，从整体上找出影响城市无障碍通行体验的真实原因。,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。为提高调研活动的科学性，提出具体可行的建议。,材料中的问题不是单个选项改错就能解决，而是问卷设计、调查对象、资料来源和真实出行场景之间没有配合好。要提高调研科学性，就要先分别看不同群体、不同障碍、不同数据来源各自能说明什么，再把观察、访谈、文献查阅、问卷和数据分析合成能够互相验证的调研方案。这正是分析与综合的思维路径。,提高调研科学性，应先分析出行群体差异、问卷选项缺陷、设施环境问题和数据来源局限，再综合运用观察、访谈、文献查阅、问卷调查和数据分析等方法进行交叉验证；用多种资料相互补充，形成更全面、更可靠的调研结论和改进建议。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,细则：逻辑错误为划分标准不一、选言判断遗漏；建议可从调研方案、调研方法、数据分析等角度提出。辩证思维示例为全面观点，综合运用观察、访谈、文献、问卷，先实地观察和深度访谈探索问题，再设计问卷验证，并从整体角度思考解决。,already_patched_previous_batch,supported_by_rubric_bianzheng_example,usable_under_分析与综合_with_整体性_overlap,kept_entry_no_text_change,该细则更显性词是“全面观点/综合运用多方法”，与整体性有交叉；当前分析与综合条目只作为多方法先分后合的可用挂载，后续全书终审可考虑是否移至整体性。
36,二、辩证思维,矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,面对机遇与挑战并存的新征程；拆分新机遇与风险因素再整体谋划；持续投入科研和循序渐进化解冲击；顺应科技革命和国际环境变化,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,材料把“机遇”放在新征程背景中，不是让你单向乐观，而是要求同时看见机遇与挑战的对立统一。科技革命、产业基础、外部压力和内部短板共同说明，机遇是在矛盾双方及其转化条件中展开的；只有把推动力量和制约因素一起分析，才能判断新征程中的发展动力。,面对机遇，要坚持矛盾分析法，既看到有利条件、发展空间、科技革命和政策机遇，也看到风险挑战、短板压力、外部不确定和内部能力不足，分析机遇和挑战相互联系、相互转化的条件；不能把机遇当作自动到来的结果，而要通过主动作为、制度完善、科技创新和风险应对，把有利条件转化为发展优势，把压力和短板转化为改革创新的动力。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,细则明确矛盾分析法：机遇与挑战是对立统一的关系，危和机总是同生并存，要在分析机遇和挑战矛盾双方基础上增强忧患意识、抓住主要矛盾，并运用分析与综合、质量互变、动态性等辩证思维方法。,patched_missing_challenge_and_score,supported_by_rubric_explicit_矛盾分析法,correct_under_user_framework_矛盾分析法,kept_entry_prompt_patched,原稿设问截断为“机遇”，已补“与挑战”和8分；此题可稳挂矛盾分析法，但答案不应吞掉细则中的整体谋划/动态性提示。
37,二、辩证思维,矛盾分析法,2. 2025延庆一模 第18题（主观题）,低空经济呈现高速增长态势，但面临整体产业规模小、基础设施和服务保障少、低空空域开放难、应用场景散等挑战，需要完善基础设施保障和监管体系，鼓励企业技术创新与多元应用场景开发。,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,矛盾分析法的入口是“发展态势”和“制约问题”同时出现。低空经济一边高速增长，一边有“小、少、难、散”四类挑战；产业规模、基础设施、空域开放、监管能力、应用场景和产业链合作之间相互制约，其中空域开放难、管控能力弱又是牵动全局的重要制约。看到优势与短板并存、多个矛盾相互牵连，就要抓住主要矛盾和矛盾的主要方面，集中突破关键环节。,应坚持矛盾分析法，既看到低空经济增长快、潜力大、应用前景广等有利条件，也看到产业规模小、基础设施和服务保障少、空域开放难、应用场景散、安全监管要求高等制约因素；在分析矛盾双方基础上，抓住空域管理、基础设施、监管能力和场景拓展等关键问题，针对主要短板集中施策，推动低空经济规范健康发展。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,细则给出可采用分析与综合、质量互变、辩证否定、矛盾分析法等，示例包含“用联系、发展、矛盾的观点看问题”“集中力量解决空域管理问题”，并同时强调整体性、动态性和辩证分合。,patched_missing_score,supported_by_rubric_as_one_allowed_method,usable_under_矛盾分析法_but_not_exclusive,kept_entry_prompt_patched,本题细则不是只锁定矛盾分析法；当前挂载可用，但后续终审要避免把它写成唯一标准答案。
38,二、辩证思维,矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,虚拟数字人直播既有低成本、无间断、精准匹配等行业活力，又被不法商家滥用于仿冒欺诈；社会治理观点在全面禁止与放任自由两个极端之间拉扯。,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,矛盾分析法要求同时看到事物的对立方面。材料先把虚拟数字人直播的两面写全：低成本、无间断、精准匹配带来行业活力，仿冒欺诈又带来治理风险。这种“有价值也有问题”的结构，说明不能只支持或只反对，而要分析积极作用与风险隐患怎样并存、怎样转化。,看待虚拟数字人直播要坚持矛盾分析法，既看到其能够降低营销成本、精准匹配消费需求、拓展直播场景、激发市场活力，也要正视仿冒欺诈、虚假宣传、主体责任不清等风险隐患；只有全面分析矛盾双方及其转化条件，才能在发展新业态的同时完善监管、推动规范治理。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,细则明确坚持辩证思维，用联系、发展、全面的观点看待事物，坚持矛盾分析法，既看到虚拟数字人直播的积极影响，也关注其挑战；同时可写适度原则、创新思维、辩证否定。,patched_missing_question_number_and_score,supported_by_rubric_explicit_矛盾分析法,correct_under_user_framework_矛盾分析法,kept_entry_prompt_patched,本题可同时服务矛盾分析法和适度原则；当前矛盾条目只保留“两面看”的触发链。
39,二、辩证思维,整体性,7. 2026西城二模 第18题第（4）问（主观题）,AI 生成内容可能带来效率和工具优势，也存在幻觉、偏见、错误和隐蔽价值立场；适应人机协同新常态，不能盲目迷信机器输出，也不能全盘否定 AI 技术。,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,评标角度把这题落在“坚持辩证思维”，核心词是“全面、发展的观点”。材料不是让学生只列 AI 风险，也不是让学生只赞成使用 AI，而是要求全面看待 AI 技术发展现状：既识别虚假信息、偏见和价值立场，又避免一概排斥智能工具。看到“不盲目迷信、不全盘否定”，就应回到整体性和全面观点，而不是把它硬写成单纯矛盾分析法。,适应人机协同新常态，应坚持辩证思维的整体性和全面观点，全面看待 AI 技术发展现状，既看到 AI 在信息处理和辅助学习中的作用，也警惕幻觉、偏见、错误和隐蔽价值立场；不盲目迷信、不全盘否定，在证据核验和独立判断中实现人与智能良性互动、协同共生。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,细则角度2为“坚持辩证思维，用全面、发展的观点看问题，全面看待AI技术发展现状，不盲目迷信、不全盘否定，提升数字素养，实现人与智能良性互动、协同共生”；未明示矛盾分析法。,patched_missing_question_number_and_score_and_rehung,supported_as_bianzheng_quanmian_not_explicit_矛盾分析法,misclassified_as_矛盾分析法_rehung_to_整体性,moved_from_矛盾分析法_to_整体性,这是本批最大纠偏：原挂矛盾分析法过硬，已按细则证据挪入整体性/全面观点。
40,二、辩证思维,矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,冰雪经济既有政策支持、游客收入增长和雪博会平台等发展机会，也有场地布局有限、产业链不健全、标准不完善、人才和核心技术不足等短板。,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,这里不能把观点简单判成“预测有用”或“预测没用”，而要分析推动高质量发展的条件结构：准确预测前景有价值，但发展机会和制约短板同时存在，预测不能替代补短板、强产业链和完善标准。机会与不足并存，就是矛盾分析法的入口。,推动冰雪经济高质量发展应坚持矛盾分析法，既看到政策规划、市场增长、游客收入提高和雪博会交流平台带来的发展机会，也看到场地布局、产业链协同、标准体系、专业人才和核心技术等短板；准确预测前景有意义，但不能把预测当成充分条件，还必须针对制约因素补短板、强链条、建标准、育人才，才能把发展前景转化为高质量发展的现实能力。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,细则指出准确预测前景是必要条件而非充分条件；要用辩证思维看到优势和机会，也看到劣势和不足，并对具体问题进行具体分析。细则说明辩证思维包括联系、发展、矛盾、综合与分析、质量互变等观点。,patched_missing_question_number,supported_by_rubric_general_bianzheng_with_矛盾,usable_under_矛盾分析法_but_also_sufficient_condition_reasoning,kept_entry_prompt_patched,本题还涉及“必要条件不是充分条件”的推理判断，推理册应另收；思维册当前只保留优势/不足并存的矛盾链条。
