idx,original_node,final_node,title,refined_verdict,action_applied,removed_note_count,removed_notes
11,追求认识的客观性,追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
12,结果具有预见性,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
13,结果具有预见性,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,P2_PROMPT_RESTORE_EXACT,restored_subquestion_number_and_score_from_source,0,
14,结果具有预见性,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则21(1)按3角度赋分(9分)：①辩证思维(辩证否定/整体性/动态性/分析与综合 四选一)1+材料1+1=3分；②创新思维(联想/发散/超前 四选二)1+材料1+1=3分；③科学思维客观性or预见性(二选一)1+材料1+1=3分。完整答案需写三个角度。
15,结果具有预见性,结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,P1_REASONING_NOTE_REPHRASE,removed_audit_note_blocks;adopted_reasoning_precision_necessary_not_sufficient,1,【提示】原细则核心采分点为充分条件假言判断的运用错误(前件不充分)+辩证思维(其他多种条件)=6分。
16,结果具有可检验性,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
17,结果具有可检验性,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,P2_PROMPT_RESTORE_EXACT,restored_subquestion_number_and_score_from_source,0,
18,结果具有可检验性,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,PASS_CORE_SUPPORTED,no_change,0,
19,结果具有可检验性,结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
20,结果具有可检验性,结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则赋分(6分)：逻辑错误(划分标准不一、选言判断遗漏)2分+建议(科学思维/逻辑思维规则/辩证思维 三角度任选两条，每条建议1分+知识1分)4分。
21,整体性,整体性,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,removed_audit_note_blocks;rejected_wrong_official_hint_body_kept,1,"【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在""分析与综合""""量变与质变""等节属于知识延伸，写入卷面只采前述三个角度计分。"
22,整体性,整体性,2. 2025东城一模 第18题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则赋分(4分)：第一层(整体性/动态性/实践观三选一+材料)2分+第二层(主要矛盾/两点论与重点论)2分。仅写整体性最多2分，必须补""抓主要矛盾，聚焦新质生产力发展等核心领域""。"
23,整体性,整体性,3. 2026东城一模 第19题第（4）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
24,整体性,整体性,4. 2026房山一模 第18题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则按 (1+1)×3=6 分赋分，要求""整体性 + 矛盾分析法（具体问题具体分析：重点区域/行业/时段精准施策）+ 动态性/量变质变（久久为功、日积月累）""三组路径都要写到，仅写整体性最多得 2 分。"
25,整体性,整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则按辩证思维(3分)+创新思维(3分)+整体逻辑(1分)赋分(7分)，仅写整体性最多得3分，必须同时补""组织技术论证、引导多方协商、运用发散与聚合形成创新调解方案""等创新思维内容。"
26,整体性,整体性,6. 2025西城一模 第17题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则按""客观性+辩证思维(整体性、联系、发展)+创新思维""三个角度赋分(7分)，仅写整体性最多得3分，须三个角度同写才能拿到6-7分。"
27,整体性,整体性,7. 2026西城二模 第18题第（4）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按三个角度赋分(7分)：①科学思维特征(客观性)；②辩证思维(全面、发展观点)；③创新思维(三新或逆向思维)。仅写一个角度最多3分，三个角度+至少一点深入才能拿到6-7分。
28,动态性,动态性,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,removed_audit_note_blocks;rejected_wrong_official_hint_body_kept,1,"【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在多个节属于知识延伸，写入卷面只采前述三个角度计分。"
29,动态性,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则赋分(4分=动态性2分+类比推理2分)：①动态性(可替换""用变化发展的观点看问题/矛盾运动的观点/创新"")给1分+判断空格""动态性""2分；②类比推理(无替换)2分。本条目仅展开动态性，整道题还须答类比推理。"
30,分析与综合,分析与综合,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,removed_audit_note_blocks;rejected_wrong_official_hint_body_kept,1,"【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在多个节属于知识延伸，写入卷面只采前述三个角度计分。"
31,分析与综合,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,P0_PROMPT_TYPO,fixed_prompt_typo_任选,0,
32,分析与综合,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,P3_PROMPT_MINOR_DELTA,no_change,0,
33,分析与综合,分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则核心采分点为充分条件假言判断的运用错误(1分必踩)+辩证思维分析与综合多措并举(4分)；仅按分析与综合答最多得3-4分。
34,分析与综合,分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则该题按三条赋分(6分)：①分析与综合；②联想思维(迁移、想象)；③科学思维追求认识客观性+实践检验，仅写分析与综合最多得2-3分。
35,分析与综合,分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
36,分析与综合,分析与综合,7. 2026海淀一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则赋分(6分)：逻辑错误(划分标准不一、选言判断遗漏)2分+建议(科学思维/逻辑思维规则/辩证思维 三角度任选两条，每条建议1分+知识1分)4分。
37,矛盾分析法,矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按4个角度赋分(8分)：①矛盾分析法(可替换辩证否定观)2分；②分析与综合(可替换整体性)2分；③量变质变规律2分；④动态性(可替换发展观点)2分+逻辑分2分。每角度知识1+材料1，仅写矛盾分析法最多2分。
38,矛盾分析法,矛盾分析法,2. 2025延庆一模 第18题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则赋分(7分)：辩证思维特征(整体性/动态性)1分+答出两个辩证方法(分析与综合/质量互变/辩证否定/矛盾分析法等任选)每个观点2+材料1=6分。仅写矛盾分析法最多3-4分，须再补一种辩证方法。
39,矛盾分析法,矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按4选3赋分(7分)：①辩证思维(联系发展全面+矛盾分析法)；②适度原则；③创新思维/三新；④辩证否定，每条理论1分+材料1分。
40,矛盾分析法,矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,P1_REASONING_NOTE_REPHRASE,removed_audit_note_blocks;adopted_reasoning_precision_necessary_not_sufficient,1,【提示】原细则核心采分点为充分条件假言判断的运用错误(前件不充分)+辩证思维(其他多种条件)=6分。
41,量变与质变,量变与质变,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,removed_audit_note_blocks;rejected_wrong_official_hint_body_kept,1,"【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在多个节属于知识延伸，写入卷面只采前述三个角度计分。"
42,量变与质变,量变与质变,2. 2025延庆一模 第18题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则赋分(7分)：辩证思维特征(整体性/动态性)1分+答出两个辩证方法(分析与综合/质量互变/辩证否定/矛盾分析法等任选)每个观点2+材料1=6分。仅写量变与质变最多3-4分，须再补一种辩证方法。
43,适度原则,适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按4选3赋分(7分)：①辩证思维(联系发展全面+矛盾分析法)；②适度原则；③创新思维/三新；④辩证否定，每条理论1分+材料1分。
44,辩证否定,辩证否定,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,removed_audit_note_blocks;rejected_wrong_official_hint_body_kept,1,"【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在多个节属于知识延伸，写入卷面只采前述三个角度计分。"
45,辩证否定,辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
46,辩证否定,辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
47,辩证否定,辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原参考答案分三大角度作答(每角度约2-3分)，完整答案还需写创新思维(联想/发散/超前)+科学思维客观性/预见性，仅写辩证否定一条难以拿到完整分。
48,认识发展历程,认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
49,三性与三新,三性与三新,1. 2025昌平二模 第19题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则按""逆向思维3分+发散与聚合/联想(迁移、想象)+三新5分""拆分赋分，作答时建议按这两段分别展开。"
50,三性与三新,三性与三新,2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则主答案为超前+联想+逆向各2分=6分；发散与聚合为补充答案④⑤(只写一个1分，两者都答2分)，作答应优先写主三角度。
51,三性与三新,三性与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按辩证思维(3分)+创新思维(3分)+整体逻辑(1分)赋分(7分)，**必须同时补写辩证思维：用联系、发展、全面的观点看问题，运用矛盾分析法处理生态修复、公共安全、产业转型协同推进**，否则少答3分。
52,三性与三新,三性与三新,4. 2026延庆一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按4选3赋分(7分)：①辩证思维(联系发展全面+矛盾分析法)；②适度原则；③创新思维/三新；④辩证否定，每条理论1分+材料1分。仅写创新思维最多得1-3分。
53,三性与三新,三性与三新,5. 2026石景山一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则主答案为联想/发散/超前任选两条(6分)；其他思维方法可作拓展答案。
54,三性与三新,三性与三新,6. 2026丰台二模 第21题（主观题）,PASS_CORE_SUPPORTED,no_change,0,
55,三性与三新,三性与三新,7. 2026西城二模 第18题第（4）问（主观题）,P1_NOTE_OVEREXPANDED,removed_audit_note_blocks;rejected_overexpanded_note_kept_source_supported_innovation_angle,1,【提示】原细则按三个角度赋分(7分)：①科学思维特征(客观性、可检验性)；②辩证思维方法(联系、发展、全面、矛盾分析)；③创新思维(含逆向、发散与聚合)，三个角度+至少一点深入才能拿到6-7分，仅写创新思维最多得3分。
56,三性与三新,三性与三新,8. 2025西城一模 第17题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按三个角度赋分(7分)：①追求认识客观性(从客观自然条件出发、遵循自然规律)；②辩证思维(联系、变化发展、全面)；③创新思维(三新)。仅写创新思维最多得 2-3 分。
57,三性与三新,三性与三新,9. 2025石景山一模 第19题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按三段赋分(5分)：①科学思维客观性+可检验性；②运用多种方法、归纳推理寻找因果联系；③创新思维能力。仅写创新思维最多得 1-2 分，必须补前两段。
58,联想思维,联想思维,1. 2025海淀期末 第18题（主观题）,PASS_CORE_SUPPORTED,no_change,0,
59,联想思维,联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则主答案为联想/发散/超前任选两条(6分)；其他思维方法可作拓展答案。
60,联想思维,发散思维与聚合思维,3. 2026东城一模 第19题第（4）问（主观题）,P0_NODE_REHANG,removed_audit_note_blocks;rehung_from_lianxiang_to_fasanjuhe_by_source_rubric,1,"【提示】原细则给5分：系统观念知识1+创新思维知识1+材料分析2+1，原答案未把""书架→货架""作为联想思维的""迁移""得分点，本条目建议归""创新思维-发散与聚合""或单设""系统观念""专题。"
61,联想思维,联想思维,4. 2026朝阳一模 第17题第（1）问后半（主观题）,PASS_CORE_SUPPORTED,no_change,0,
62,联想思维,联想思维,5. 2026海淀二模 第18题第（1）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
63,联想思维,联想思维,6. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则主答案为超前+联想+逆向各2分=6分；发散与聚合为补充答案④⑤(只写一个1分，两者都答2分)，作答应优先写主三角度。
64,联想思维,联想思维,7. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则原文""联想、发散思维(四选二)""并提，单写联想偏窄。"
65,发散思维与聚合思维,发散思维与聚合思维,1. 2025东城期末 第18题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
66,发散思维与聚合思维,发散思维与聚合思维,2. 2026丰台二模 第21题（主观题）,PASS_CORE_SUPPORTED,no_change,0,
67,发散思维与聚合思维,发散思维与聚合思维,3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则把""发散与聚合""列为补充答案④⑤(只写一个得1分，两者都答得2分)，主答案是超前+联想+逆向(各2分)；不可只写发散聚合而漏掉主三角度。"
68,发散思维与聚合思维,发散思维与聚合思维,4. 2026海淀一模 第17题（建议部分）（主观题）,PASS_CORE_SUPPORTED,no_change,0,
69,发散思维与聚合思维,发散思维与聚合思维,5. 2024丰台一模 第19题第（2）问（主观题）,P2_AUXILIARY_KEEP_WITH_REDLINE,removed_audit_note_blocks;kept_auxiliary_answer_removed_redline_note,1,"【阅卷红线】卷面具体方法必须写""问卷调查法、访谈法""等具体名称，不可写""发散思维""""超前思维""等大词；理由部分官方主示例是超前思维+科学思维客观性/预见性，发散与聚合属拓展答案。"
70,逆向思维,逆向思维,1. 2025房山一模 第16题第（3）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
71,逆向思维,逆向思维,2. 2025昌平二模 第19题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则把这道8分题拆为""逆向思维3分+发散与聚合/联想5分""，逆向思维段建议直接给到3分。"
72,逆向思维,逆向思维,3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则主答案为超前+联想+逆向各2分=6分；发散与聚合为补充答案④⑤(只写一个1分，两者都答2分)，作答应优先写主三角度。
73,超前思维,超前思维,1. 2024西城一模 第19题第（5）问（主观题）,P3_PROMPT_MINOR_DELTA,no_change,0,
74,超前思维,超前思维,2. 2024东城一模 第18题第（3）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
75,超前思维,超前思维,3. 2026顺义二模 第21题（主观题）,PASS_CORE_SUPPORTED,no_change,0,
76,超前思维,超前思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则主答案为超前+联想+逆向各2分=6分；发散与聚合为补充答案④⑤(只写一个1分，两者都答2分)，作答应优先写主三角度。
77,超前思维,超前思维,5. 2026海淀期末 第20题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
78,超前思维,超前思维,6. 2025东城期末 第18题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
79,超前思维,超前思维,7. 2025海淀期末 第18题（主观题）,P2_HIGH_RISK_OPTIONAL,removed_audit_note_blocks;kept_high_risk_optional_angle_removed_warning_note,1,"【警示】原参考答案只采""逆向思维(人找书→书找人)""和""联想思维(赤印迁移)""两条，未把超前思维列为得分点；本条目仅作思维延伸，写入卷面未必计分，应优先写逆向+联想两条。"
80,超前思维,超前思维,8. 2024朝阳期中 第19题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按超前+逆向+联想+发散与聚合 各2分=8分赋分，仅写超前思维最多2分。
81,超前思维,超前思维,9. 2024顺义二模 第16题第（2）问（主观题）,P3_PROMPT_MINOR_DELTA,no_change,0,
82,超前思维,超前思维,10. 2026石景山一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则主答案为联想/发散/超前任选两条；本条属第三可选方向（健康中国战略+预防保健），可保留但非必出表述。
83,超前思维,超前思维,11. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则21(1)按3角度赋分(9分)：①辩证思维(辩证否定/整体性/动态性/分析与综合 四选一)1+材料1+1=3分；②创新思维(联想/发散/超前 四选二)1+材料1+1=3分；③科学思维客观性or预见性(二选一)1+材料1+1=3分。完整答案需写三个角度。
84,超前思维,超前思维,12. 2024丰台二模 第18题第（2）问（主观题）,P1_REASONING_NOTE_REPHRASE,removed_audit_note_blocks;adopted_reasoning_precision_necessary_not_sufficient,1,【提示】原细则核心采分点为充分条件假言判断的运用错误(前件不充分)+辩证思维(其他多种条件)=6分。
