idx,module,node,title,refined_verdict,refined_note,prompt_verdict,front_note,audit_node_verdict,doc_prompt,source_prompt,source_summary,source_paths
11,一、科学思维,追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,supported_scientific_objectivity,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,教师版答案/讲评：市场调研中运用分析与综合，调查花农、批发商、电商差异化需求并整合为系统育种指标；自主育种过程体现科学思维追求客观性、从实际出发，并借助市场测试实践检验。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf
12,一、科学思维,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,supported_scientific_predictiveness,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,科学思维结果具有预见性：企业追踪具身智能机器人和人口老龄化发展趋势，预测养老服务中广阔应用空间和持续增长的市场潜力。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx
13,一、科学思维,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,P2_PROMPT_RESTORE_EXACT,同2025丰台一模18(1)：应保留（1），分值可在审计注中说明。,mismatch_needs_source_check,none,supported_scientific_predictiveness,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,准确预判人工智能发展趋势，提前部署，抢占先机，指明方向，分段规划，体现预见性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx
14,一、科学思维,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,contains_or_score_delta,has_audit_note_in_answer,supported_scientific_predictiveness,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,科学思维客观性和预见性均可；立足实际或遵循客观规律并结合材料。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
15,一、科学思维,结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,P1_REASONING_NOTE_REPHRASE,2024丰台二模18(2)应精确写成“把必要条件误当充分条件/准确预测是必要非充分”；不是简单写“充分条件假言判断错误”。,exact,has_audit_note_in_answer,supported_scientific_predictiveness_with_boundary,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,观点强调运用超前思维准确预测冰雪经济发展前景；准确预测是推动高质量发展的必要条件但不是唯一条件，还需辩证思维、具体问题具体分析、遵循规律、从当地实际出发。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx
16,一、科学思维,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,supported_scientific_testability,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,科学思维结果具有可检验性：产品反复测试、多轮迭代，以用户试用与实践效果不断优化调整、完善设计，确保切实解决老人居家生活实际问题。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx
17,一、科学思维,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,P2_PROMPT_RESTORE_EXACT,同2025丰台一模18(1)：应保留（1），分值可在审计注中说明。,mismatch_needs_source_check,none,supported_scientific_testability,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,在实践中检验发展成果，并完善相关政策部署，不断推动人工智能发展，体现可检验性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx
18,一、科学思维,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,supported_scientific_testability,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,获奖建议在实践中产生又接受实践检验，有些建议已经转化为惠及民生的具体措施，体现科学思维结果具有可检验性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc
19,一、科学思维,结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,supported_scientific_testability,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,团队自主育种过程体现科学思维追求客观性，坚持从实际出发，对品种选育效果作出合乎逻辑的推断，并借助市场测试实践加以检验。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf
20,一、科学思维,结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,supported_scientific_testability,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,科学思维可检验性示例：调研结束后，通过实地测量、对比不同人群回答、或与相关部门数据比对，检验结论是否可靠，经得起实践反复检验。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf
21,二、辩证思维,整体性,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,2025海淀二模20细则明确含“分析与综合/系统优化/整体性”，不是只采整体性+动态性+辩证否定。,mismatch_needs_source_check,has_audit_note_in_answer,correct_under_user_framework_整体性,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,细则第20题可选知识角度含“分析与综合/系统优化/整体性”，材料落脚点为共享主体全面、建设领域全面、权利全面、共建人人参与；另含“质量互变规律/动态性”。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx
22,二、辩证思维,整体性,2. 2025东城一模 第18题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_整体性,（1）结合材料一，说明“两重”实施是如何体现辩证思维的。（4分）,(1)结合材料一，说明“两重”实施是如何体现辩证思维的。 (4分),细则明确“两重”坚持辩证思维的整体性、动态性以及实践的观点；整体性可替换为联系、全面、系统优化、综合、立足整体。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf
23,二、辩证思维,整体性,3. 2026东城一模 第19题第（4）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_整体性_not_new_node,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,细则“系统观念”知识含立足整体、全局观念、综合思维、内部结构有序性和优化趋向、整体性等；分析要求统筹基础研究、技术研发、成果转化、产业应用，统筹人才、平台、政策、市场等资源。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx
24,二、辩证思维,整体性,4. 2026房山一模 第18题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_整体性,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,细则答案示例：系统治理统筹四大结构调整，实现整体推进；久久为功推动量变到质变；精准施策、分区分类、一企一策。治理路径一明确“整体性/分析与综合/联系/系统优化”。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx
25,二、辩证思维,整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_整体性_partial_rubric,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,细则要点1为辩证思维：联系、发展、全面看问题，或整体性动态性实践观；材料要求统筹生态、经济、社会效益和企业、社会组织、行政部门责任；要点2为创新思维。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx
26,二、辩证思维,整体性,6. 2025西城一模 第17题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_整体性_partial_rubric,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,细则要求从客观性、辩证思维、创新思维三个维度回答；辩证思维角度为联系的、变化发展的、全面的观点，分析生态心建设各要素，整体规划。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx
27,二、辩证思维,整体性,7. 2026西城二模 第18题第（4）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,misclassified_as_矛盾分析法_rehung_to_整体性,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,细则角度2为“坚持辩证思维，用全面、发展的观点看问题，全面看待AI技术发展现状，不盲目迷信、不全盘否定，提升数字素养，实现人与智能良性互动、协同共生”；未明示矛盾分析法。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf
28,二、辩证思维,动态性,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,2025海淀二模20细则把质量互变规律/动态性列为可选角度；提示不能说只有动态性、不采质量互变。,mismatch_needs_source_check,has_audit_note_in_answer,correct_under_user_framework_动态性,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,材料“渐进共享”写明一口吃不成胖子、从低级到高级、从不均衡到均衡；细则可选角度含“质量互变规律/动态性”。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx
29,二、辩证思维,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_动态性,（1）生生之宇宙观体现了辩证思维的 ① 特征。人效法天地之德体现的推理类型是 ② 推理。（4分）,(1)生生之宇宙观体现了辩证思维的 ① 特征。人效法天地之德体现的推理类型是 ② 推理。(4分),参考答案：①动态性 ②类比；类比推理无变通。动态性可替换为用变化发展的观点看问题等。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf; /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx
30,二、辩证思维,分析与综合,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,2025海淀二模20细则明确含“分析与综合/系统优化/整体性”，本条不是知识延伸而是可选知识角度。,mismatch_needs_source_check,has_audit_note_in_answer,correct_under_user_framework_分析与综合,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,细则明确“分析与综合/系统优化/整体性”，并提示若在分析与综合层只回答分析或只回答综合，最多给知识1分；讲评材料分全民、全面、共建、渐进共享。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx
31,二、辩证思维,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,P0_PROMPT_TYPO,设问把“任选一种”写成“任用一种”，必须改。,mismatch_needs_source_check,none,correct_under_user_framework_分析与综合,（3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任用一种辩证思维方法，针对上述问题提出合理建议。（4分）,（3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任选一种辩证思维方法，针对上述问题提出合理建议。（4分）,细则第19题第（3）问：可从分析与综合的方法、辩证否定观等角度作答，其他角度符合题意亦可酌情给分。,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx ; /Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx
32,二、辩证思维,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,P3_PROMPT_MINOR_DELTA,设问与源题基本一致，仅有题号/分值/前置句差异；终稿可按原卷统一。,contains_or_score_delta,none,correct_under_user_framework_分析与综合,结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分）,（2）结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分）,细则17（2）：京津冀三省市从协同发展战略大局出发，抓住主要矛盾，科学精准分析各自功能定位和特色优势；在此基础上整体把握区域差异，共商合作大计，优势互补；在分析与综合的对立统一中服务协同发展大局。,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx
33,二、辩证思维,分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,usable_under_分析与综合_but_source_not_explicit_method_name,（1）有人认为：只要给AI装上“版权雷达”，提前扫描问题指令，就能防止点击盗版资源网站。判断该观点是否正确，并运用《逻辑与思维》知识说明理由。（5分）,（1）有人认为：只要给AI装上“版权雷达”，提前扫描问题指令，就能防止点击盗版资源网站。判断该观点是否正确，并运用《逻辑与思维》知识说明理由。（5分）,评标细则：观点片面；版权雷达只是重要条件而非充分条件；除了技术防控，还需配套法律追责机制等条件，说明如何做可写法律机制/技术检测/用户素养提升，并需运用辩证思维。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(1).docx
